ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5479.7 at 2015-06-09T16:36:06. Report at Tuesday, June 9, 2015. Processed Wednesday at 2015-06-10T01:00:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Aconex,ACX,3.00,2.82,2.62,,
ActiveX,AIV,.035,.031,.031,,
AMA Grp,AMA,.61,.595,.59,,
Aust Ethical,AEF,54.11,53.00,51.25,,
Bellamys Aust,BAL,3.90,3.80,3.79,,
Blaze Int'l def,BLZDA,.05,.02,-,,
Brisbane Broncos,BBL,.35,.30,.30,,
Citigold Corp,CTO,.035,.027,.021,,
Danakali,DNK,.50,.485,.40,,
Empire Res,ERL,.01,.003,.005,,
Fantastic Hldgs,FAN,2.43,2.315,2.33,,
Freelancer,FLN,1.245,1.21,1.22,,
Kogi Iron,KFE,.083,.073,.035,,
  opt may17,KFEO,.035,.03,.015,,
Lion Energy,LIO,.24,.22,.15,,
Mount Magnet South opt dec18,MUMOA,.002,.001,.001,,
Nuplex Industries,NPX,3.93,3.85,3.67,,
Peel Mining,PEX,.26,.125,.105,,
Peninsula Energy opt dec18,PENOD,.008,.007,.007,,
Pilbara Minerals,PLS,.092,.075,.06,,
Proteomics Intl Lab,PIQ,.775,.205,.24,,
Red Emperor Res,RMP,.086,.072,.07,,
The Citadel Grp,CGL,3.90,3.75,3.82,,
Viralytics,VLA,.93,.75,.565,,
Vortex Pipes,VTX,.021,.02,.02,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
A-Cap Res,ACB,.026,.03,.03,,
ADMEDUS,AHZ,.059,.06,.067,,
Applabs Tech,ALA,.09,.095,.105,,
  opt may16,ALAO,.007,.012,.01,,
ASK Funding,AKF,.074,.077,.078,,
Aust Leaders Fund,ALF,1.14,1.15,1.22,,
Bega Cheese,BGA,4.41,4.44,4.55,,
BetaShares DivHarv etf unt,HVST,23.07,23.10,23.30,,
Betasharesnasdaq100 etf unt,NDQ,9.97,10.00,10.00,,
BlueScope Steel,BSL,2.97,3.02,3.28,,
Cadence Capital opt aug15,CDMO,.003,.004,.005,,
Cash Convert,CCV,.705,.71,.73,,
Challenger lpyr3qut,CGFPA,95.41,96.05,96.75,,
Clime Capital lpvr6qut,CAMPA,1.68,1.73,1.84,,
Coffey Int'l,COF,.14,.145,.15,,
C'wlth Bank  of Aust nyr3qut,CBAPD,93.36,93.48,93.50,,
DataDot Tech,DDT,.012,.026,.026,,
Devine,DVN,.70,.735,.73,,
Entellect def,ESNDA,.015,.017,-,,
Flagship Invest,FSI,1.36,1.40,1.425,,
Fonterra S/H Fund ord unt,FSF,4.31,4.38,4.43,,
Haoma Min,HAO,.12,.13,.13,,
Huon Aquaculture,HUO,3.40,3.42,3.53,,
Insurance Aust Grp,IAG,5.34,5.38,5.43,,
Kathmandu Hldgs,KMD,1.22,1.225,1.295,,
Manas Resources,MSR,.01,.014,.012,,
Mastermyne Grp,MYE,.19,.195,.195,,
McPherson's,MCP,.69,.70,.95,,
Minotaur Explore,MEP,.071,.077,.078,,
Mktvectsmallcapdiv etf unt,MVS,16.28,16.36,17.00,,
National Aust Bank def,NABN,31.21,31.50,33.00,,
New Hope Corp,NHC,1.86,1.93,1.905,,
Nine Entertainment,NEC,1.555,1.96,2.08,,
Perpetual Equity Inv opt jun16,PICO,.024,.025,.026,,
Platina Res opt sep15,PGMO,.002,.01,.004,,
Prime Media Grp,PRT,.775,.82,.85,,
Quickstep Hldgs,QHL,.15,.16,.165,,
Resource Dev Grp,RDG,.016,.017,.018,,
Rox Resources,RXL,.02,.024,.023,,
Royal Res,ROY,.01,.011,.012,,
Salmat,SLM,.745,.75,.75,,
Seven West Media,SWM,1.02,1.17,1.16,,
SIV Asset Mgt,SAM,.031,.04,.04,,
Superloop,SLC,1.815,1.92,-,,
Tissue Therapies,TIS,.033,.039,.06,,
Watermark Mkt fd,WMK,.82,.84,.85,,
Woolworths,WOW,27.00,27.07,27.02,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
