ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5669.0 at 2015-07-20T16:35:06. Report at Monday, July 20, 2015. Processed Tuesday at 2015-07-21T01:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
"Airxpanders, cdi",AXP,.60,.55,.59,,
Alchemy Resources,ALY,.051,.045,.024,,
AMA Grp,AMA,.72,.67,.66,,
Amaysim Au,AYS,1.97,1.96,-,,
ANZ ETFS Renminbi,ZCNH,10.44,9.88,9.95,,
ANZ ETFS S&P 500 Yld,ZYUS,10.75,10.71,10.10,,
AP Eagers,APE,10.30,10.03,9.85,,
Armidale Invest,AIK,.13,.125,.11,,
BetaShares S&P 500 etf ,UMAX,18.27,18.10,17.61,,
BetaShares GBP etf unt,POU,21.15,21.11,20.44,,
BetaShares US Dollar etf ,USD,13.37,13.33,12.88,,
BetaShares Nasdaq 100 etf,NDQ,11.03,10.77,10.30,,
Blackmores,BKL,85.88,84.50,82.99,,
Capilano Honey,CZZ,14.45,13.75,13.89,,
Catapult Grp Intl,CAT,1.40,1.35,1.055,,
China Waste Corp,CWC,.485,.43,.41,,
Credit Corp Grp,CCP,12.93,12.92,12.54,,
Emergent Res,EMG,.024,.019,.018,,
Energy Devs,ENE,7.98,7.92,7.40,,
Garda Div Prop Fund unt,GDF,1.03,1.00,-,,
Gateway Lifestyle stp,GTY,2.17,2.165,2.14,,
Genesis Res,GES,.08,.07,.06,,
GR Engineering,GNG,1.11,1.00,.98,,
Hansen Tech,HSN,3.08,2.95,2.68,,
Henderson Grp cdi,HGG,5.93,5.74,5.73,,
HFA Hldgs,HFA,2.415,2.33,2.22,,
HUB24,HUB,1.65,1.60,1.25,,
Integrated Research,IRI,2.03,1.94,1.80,,
iShares S&P 500 cdi,IVV,291.71,289.71,280.00,,
iShares Glb Health cdi,IXJ,155.03,154.73,147.00,,
iShares Global 100 ETF cdi,IOO,106.48,105.35,104.23,,
iShares Glb Cons cdi,IXI,129.05,128.23,122.18,,
iShares MSCI EAFE cdi,IVE,89.11,88.75,87.74,,
iShares MSCI Japan cdi,IJP,18.74,17.59,17.40,,
iShares Glb Telecom cdi,IXP,87.00,86.51,83.91,,
James Hardie Ind cdi,JHX,19.16,19.06,18.43,,
Keybridge Capital covm3wu,KBCPA,1.02,.99,1.00,,
Macquarie Grp,MQG,85.44,83.92,83.37,,
Magellan Global Eq tmf unt,MGE,2.72,2.69,2.61,,
McMillan Shakespr,MMS,13.42,13.23,13.13,,
Melbourne IT,MLB,1.715,1.71,1.71,,
Market Vectors Moat,MOAT,43.25,42.93,40.20,,
Market Vectors WexAu Qual etf ,QUAL,19.36,19.21,18.76,,
Naracoota Res,NRR,.058,.057,.046,,
Onevue Hldgs,OVH,.45,.44,.445,,
Pro Medicus,PME,2.52,2.34,2.22,,
Rubianna Res,RRE,.038,.032,.025,,
Sandfire Res,SFR,6.80,6.49,6.53,,
Select Harvests,SHV,12.91,12.45,11.57,,
Senetas Corp,SEN,.17,.162,.155,,
SG Fleet Grp,SGF,2.75,2.67,2.66,,
SPDR S&P 500 ETF cdi,SPY,289.79,286.88,276.86,,
SpeedCast Intl,SDA,3.40,3.20,2.99,,
Superloop,SLC,2.20,2.01,2.09,,
Thomson Res,TMZ,.045,.029,.023,,
UBS IQ MSCI Eu Ethical etf ,UBE,21.59,21.50,21.13,,
UBS IQ MSCI Japan etf unt,UBJ,21.45,21.35,20.76,,
UBS IQ MSCI WexAu etf unt,UBW,21.67,21.50,21.10,,
Vita Grp,VTG,1.97,1.90,1.875,,
Vngd All-World ex-US cdi,VEU,67.03,66.79,66.80,,
Vngd US Total Market cdi,VTS,150.01,149.30,144.10,,
Webjet,WEB,4.38,4.20,3.40,,
Yowie Grp,YOW,1.25,1.215,1.07,,
  opt dec15,YOWO,1.00,.98,.82,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
ANZ ETFS Physical Gold,ZGOL,15.13,15.26,15.26,,
Beadell Resources,BDR,.15,.155,.165,,
BetaShares Gold etf unt,QAU,11.44,12.00,12.31,,
ETFS Physical Palladium,ETPMPD,80.98,83.98,97.74,,
ETFS Physical Platinum,ETPMPT,128.12,134.05,134.05,,
Exterra Res,EXC,.008,.01,.01,,
Geodynamics,GDY,.032,.034,.035,,
Icon Energy,ICN,.047,.049,.049,,
Kula Gold,KGD,.028,.031,.03,,
Medlab Clinical,MDC,.16,.185,-,,
Metro Perform Glass,MPP,1.39,1.41,1.49,,
Market Vectors Gold cdi,GDX,20.87,22.18,23.23,,
Red 5,RED,.053,.056,.082,,
Steamships Trading,SST,23.30,24.00,28.00,,
TZ,TZL,.086,.087,.09,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
