ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5133.5 at 2015-09-08T16:37:05. Report at Tuesday, September 8, 2015. Processed Wednesday at 2015-09-09T01:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
BBX Minerals,BBX,.023,.018,.017,,
Bellamys Aust,BAL,6.55,6.29,6.05,,
Blackmores,BKL,121.31,118.00,118.80,,
Blackwall Prop Tr unt,BWR,1.295,1.26,1.25,,
Brickworks,BKW,15.41,15.20,15.17,,
GBM Resources,GBZ,.031,.029,.028,,
Mozambi Res,MOZ,.034,.023,.022,,
  opt dec17,MOZO,.02,.011,.011,,
Multiplex European unt,MUE,.07,.069,.068,,
oOh! Media,OML,3.105,3.07,2.90,,
Radar Iron,RAD,.045,.04,.015,,
Silver Mines rts28sepd,SVLR,.002,.001,-,,
St Barbara,SBM,.71,.60,.56,,
UXC,UXC,1.18,1.135,1.115,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Academies A'asia,AKG,.35,.38,.39,,
Adairs,ADH,2.53,2.56,2.60,,
Antisense Therapeut,ANP,.079,.08,.08,,
Beach Energy,BPT,.562,.602,.65,,
Bendigo&Adelaide Bk lpyr6ut,BENPE,92.18,93.15,92.80,,
Blackgold Int'l,BGG,.032,.045,.05,,
Bora Bora Res,BBR,.10,.13,.12,,
Cassini Res,CZI,.04,.042,.044,,
Challenger Energy,CEL,.029,.035,.035,,
CPT Global,CGO,.30,.31,.31,,
Crown Resorts hym3qut,CWNHA,97.26,98.50,99.00,,
  hym3qut,CWNHB,88.82,90.30,91.00,,
Dick Smith Hldgs,DSH,1.325,1.345,1.485,,
E & A,EAL,.09,.095,.13,,
Energy Res,ERA,.325,.335,.34,,
Energy World Corp,EWC,.187,.225,.21,,
Fletcher Bldg,FBU,6.24,6.32,6.33,,
Frankland River,FLR,.002,.003,.003,,
Icon Energy,ICN,.03,.033,.035,,
Mineral Deposits,MDL,.57,.61,.63,,
National Aust Bank lpyr3ut,NABPB,92.15,92.27,92.42,,
Orocobre,ORE,1.50,1.56,1.565,,
Paradigm Bio,PAR,.28,.32,.31,,
PPK Grp,PPK,.25,.27,.30,,
Suncorp Grp lpyr3qut,SUNPE,92.15,94.00,93.15,,
Tasmania Mines,TMM,1.00,1.06,1.25,,
XTB MGR20,YTMMGR,111.36,113.18,113.18,,
TPI Enterprises,TPE,2.45,2.80,2.90,,
TZ,TZL,.068,.073,.071,,
Zimplats Hldgs,ZIM,6.14,6.15,6.15,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
