ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5277.0 at 2015-11-24T16:39:36. Report at Tuesday, November 24, 2015. Processed Wednesday at 2015-11-25T01:00:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Adacel Tech,ADA,2.07,1.525,1.61,,
Anatara Lifesciences,ANR,1.12,1.05,1.08,,
APN Outdoor Grp,APO,5.59,5.45,4.95,,
Baby Bunting Grp,BBN,2.35,2.21,2.02,,
Bellamys Aust,BAL,10.98,10.16,8.79,,
BPS Technology,BPS,1.315,1.22,1.125,,
BT Invest Mgt,BTT,13.00,12.95,11.46,,
BWX,BWX,2.72,2.47,-,,
Carbon Conscious,CCF,.09,.077,.042,,
CI Res,CII,1.40,1.31,1.21,,
Circadian Tech,CIR,.33,.295,.295,,
  opt nov18,CIRO,.095,.06,.06,,
Easton Invest,EAS,.90,.89,.75,,
ETS General Electric,ETSGEL,42.51,30.975,30.975,,
ETS Intel,ETSINT,47.92,43.203,43.343,,
Excalibur Min,EXM,.01,.004,.006,,
Farm Pride Foods,FRM,.84,.635,.62,,
Fiducian Grp,FID,2.45,2.42,2.36,,
Future Gen Global Inv opt sep17,FGGO,.065,.053,.049,,
HFA Hldgs,HFA,3.22,3.02,3.01,,
HGL,HNG,.50,.45,.36,,
Isentia Grp,ISD,4.36,4.33,4.27,,
Kangaroo Isl Timber,KPT,11.50,11.20,11.00,,
Lynas Corp,LYC,.105,.095,.066,,
Mantra Grp,MTR,4.60,4.51,4.27,,
MaxiTRANS Ind,MXI,.645,.625,.585,,
Metallica Min,MLM,.095,.085,.055,,
Mobile Embrace,MBE,.375,.355,.275,,
NetComm Wireless,NTC,2.66,2.65,1.785,,
Odin Energy,ODN,.036,.002,.002,,
PS&C,PSZ,1.15,1.025,1.03,,
QMS Media,QMS,1.13,1.06,1.00,,
Quantum Res,QUR,.092,.084,.032,,
RCG Corp,RCG,1.587,1.50,1.475,,
Rent.com.au,RNT,.395,.345,.22,,
Ridley Corp,RIC,1.62,1.50,1.38,,
Tassal Grp,TGR,4.59,4.55,4.41,,
The A2 Milk Company,A2M,1.16,.915,.765,,
Touchcorp,TCH,2.25,2.09,1.95,,
Universal Coal cdi,UNV,.225,.195,.20,,
Watpac,WTP,1.07,1.05,.97,,
Zamanco Min,ZAM,.065,.062,.062,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
ABM Res,ABU,.08,.081,.18,,
Adcorp Aust,AAU,.027,.03,.033,,
Argo Global,ALI,1.79,1.87,1.87,,
Arrium,ARI,.077,.08,.087,,
AusTex Oil,AOK,.058,.061,.064,,
Bendigo&Adelaide Bk lpyr6ut,BENPE,92.11,93.00,92.90,,
Benitec,BLT,.325,.36,.41,,
BHP Billiton,BHP,19.65,19.73,22.24,,
Buxton Res,BUX,.065,.069,.084,,
Clarius Grp,CND,.16,.205,.22,,
ETFS Physical Palladium,ETPMPD,72.63,91.04,82.74,,
ETFS Physical Platinum,ETPMPT,113.00,116.01,123.75,,
Farmaforce,FFC,.26,.28,.30,,
Genex Power,GNX,.135,.14,.15,,
Goodman Plus Tr hyr3qut,GMPPA,98.00,99.00,98.25,,
Intueri Edu Grp,IQE,.68,1.25,.95,,
Ironbark Zinc,IBG,.046,.048,.052,,
Lamboo Res,LMB,.047,.049,.053,,
Mesoblast,MSB,1.52,1.705,3.04,,
Millennium Grp,MIL,2.03,2.15,-,,
Musgrave Min,MGV,.014,.016,.021,,
Nemex Res,NXR,.021,.052,.046,,
Neptune Marine,NMS,.82,.84,.85,,
Otto Energy,OEL,.025,.027,.029,,
Panoramic Res,PAN,.24,.265,.285,,
Shaw Riv Manganese,SRR,.008,.009,.012,,
Simavita cdi,SVA,.35,.36,.41,,
Slater & Gordon,SGH,1.935,2.59,2.735,,
South32,S32,1.165,1.235,1.33,,
Tanga Resources,TRL,.016,.017,.02,,
Traffic Tech,TTI,.035,.036,.039,,
Troy Resources,TRY,.225,.23,.315,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
