S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4758.2 at 16:47 12/11/2009  Report at 19:05 Thursday 12/11/2009. Processed 19:28 Thursday 12/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.147,0.46,0.445,ABP,Abacus Prop stpld,0.445,-1,"36,476",0.44,0.45,7.75,,-,0.62,17.42,-11.81,-
3.01,1.445,2.74,2.71,ABC,Adelaide Brighton,2.71,,"30,832",2.71,2.72,14,f,1.49,1.15,5.17,20.8,13.0
15.80,12.83,13.90,13.66,AGK,AGL Energy Ltd,13.72,-26,"9,848",13.70,13.72,54,f,6.63,6.00,3.94,358,3.8
5.60,2.03,5.04,4.75,AJL,AJ Lucas Grp,4.99,34,"4,185",4.97,5.00,10.5,f,23.78,2.11,2.10,249.7,2.0
5.91,0.60,4.97,4.86,ALS,Alesco Corp,4.91,-2,"2,358",4.87,4.91,7,f,-,0.49,1.43,-13.94,-
2.00,0.683,1.715,1.67,AWC,Alumina Ltd,1.67,-1.5,"114,912",1.67,1.68,12,,0.79,1.30,7.19,9.42,17.7
5.895,3.50,5.62,5.51,AMC,Amcor Ltd,5.55,-1,"74,677",5.52,5.56,34,,0.74,1.61,6.13,25.3,21.9
6.97,3.52,6.42,6.27,AMP,AMP Ltd,6.35,-5,"157,224",6.35,6.36,30,p,0.99,0.67,4.72,29.6,21.5
13.38,7.51,10.34,10.01,ANN,Ansell Ltd,10.24,12,"4,004",10.10,10.34,28,,3.19,1.98,2.73,89.2,11.5
25.25,11.83,23.16,22.82,ANZ,ANZ Banking Grp,22.94,-1,"72,869",22.90,22.95,102,f,1.67,10.72,4.45,170.4,13.5
3.30,2.43,3.20,3.08,APA,APA Grp stpld,3.10,-9,"9,485",3.09,3.14,31,,0.52,1.18,10.00,16.2,19.1
2.803,0.866,2.40,2.29,APN,APN News & Media,2.32,-6,"13,949",2.29,2.35,12,,-,-1.23,5.17,-13.1,-
6.39,2.183,5.34,5.28,AQP,Aquarius Platinum,5.32,14,"20,389",5.27,5.33,12.08,,-,-,2.27,-16.39,-
8.40,1.90,8.15,8.00,AQA,Aquila Res,8.09,11,"2,773",8.09,8.11,-,,-,-,-,-10.5,-
5.75,3.16,4.64,4.52,ALL,Aristocrat Leisure,4.55,3,"12,388",4.55,4.58,14.5,f,-,0.35,3.19,-0.2,-
4.73,1.845,4.06,3.95,AOE,Arrow Energy,3.96,-6,"18,174",3.96,3.98,-,,-,0.82,-,52,7.6
1.76,0.32,1.65,1.63,AIO,Asciano Grp stpld,1.64,1,"61,894",1.64,1.645,23,,-,-1.41,14.02,-32.5,-
0.515,0.445,0.495,0.47,AJADA,Astro Jap Prop Grp stpld d,0.47,-2.5,"6,560",0.47,0.485,-,,-,0.93,-,-71.94,-
37.90,23.52,34.24,33.55,ASX,ASX Ltd,33.60,-35,"6,406",33.58,33.61,164.9,f,1.11,2.66,4.91,183.2,18.3
2.10,0.405,1.845,1.805,AGO,Atlas Iron Ltd,1.83,3.5,"24,086",1.83,1.835,-,,-,-,-,-21.3,-
5.95,1.855,4.58,4.31,AAX,Ausenco Ltd,4.54,27,"18,778",4.47,4.55,18.5,f,2.38,0.76,4.07,43.94,10.3
2.07,1.16,1.55,1.52,AAC,Aust Agriculture,1.54,1,"7,458",1.51,1.545,-,,-,2.55,-,-25.7,-
1.93,0.991,1.87,1.825,AIX,Aust Infra unt,1.845,-2.5,"20,170",1.83,1.85,13,p,2.03,3.14,7.05,26.33,7.0
3.06,1.87,2.81,2.74,AWE,Aust Worldwide Ex,2.76,3,"37,319",2.75,2.76,-,,-,1.80,-,17.36,15.9
1.39,0.60,1.335,1.305,AUN,Austar United,1.315,,"31,654",1.30,1.34,-,,-,-0.33,-,-2.4,-
0.585,0.174,0.55,0.535,ALZ,Australand Prop stpld,0.535,-0.5,"29,891",0.535,0.54,10,,-,0.92,18.69,-15.55,-
1.995,1.085,1.90,1.825,AVO,Avoca Res,1.855,5.5,"18,465",1.85,1.88,-,,-,0.61,-,-6.97,-
2.995,0.592,1.26,1.20,AWB,AWB Ltd,1.225,3.5,"247,874",1.225,1.23,5,,3.70,1.81,4.08,18.5,6.6
5.96,2.52,5.79,5.68,AXA,AXA Asia Pacific,5.70,1,"76,156",5.68,5.73,18.5,p,-,0.96,3.25,-7.39,-
0.195,0.024,-,-,BBI,Babcock & Br Infr stp,0.035,,-,-,-,2.5,,-,1.84,71.43,-40.69,-
13.49,6.228,12.49,12.03,BOQ,Bank of Qld,12.13,-23,"8,404",12.10,12.15,52,f,1.46,6.62,4.29,75.9,16.0
0.956,0.678,0.84,0.815,BPT,Beach Pet,0.815,0.5,"124,514",0.815,0.82,1.75,p,14.41,-,2.15,25.21,3.2
12.543,5.733,9.14,9.00,BEN,Bendigo & Adelaide,9.00,,"6,868",9.00,9.05,43,f,0.60,4.03,4.78,25.6,35.2
40.28,20.00,39.70,39.13,BHP,BHP Billiton Ltd,39.55,45,"223,661",39.54,39.56,113.63,f,1.15,8.84,2.87,130.15,30.4
12.19,5.815,10.94,10.61,BBG,Billabong Intl,10.74,19,"9,438",10.67,10.74,45,p,1.54,0.70,4.19,69.2,15.5
3.607,1.675,3.10,2.87,BSL,BlueScope Steel,2.89,-14,"335,618",2.88,2.90,5,,-,2.46,1.73,-7.1,-
0.375,0.054,0.31,0.30,BLY,Boart Longyear,0.30,-1,"369,179",0.30,0.305,2.87,,2.38,-0.10,9.57,6.84,4.4
6.40,2.29,5.94,5.81,BLD,Boral Ltd,5.88,12,"30,603",5.87,5.94,13,f,1.85,4.12,2.21,24.1,24.4
7.15,0.945,6.92,6.84,BKN,Bradken Ltd,6.88,2,"3,182",6.85,6.89,23,f,2.28,1.31,3.34,52.5,13.1
8.37,4.08,7.08,6.99,BXB,Brambles Ltd,6.99,-3,"48,502",6.99,7.03,30,p,1.34,0.58,4.29,40.18,17.4
1.945,1.473,1.76,1.715,BWP,Bunnings Warehouse unt,1.74,1,"6,334",1.735,1.755,11.57,,-,1.79,6.65,-3.74,-
7.09,4.71,6.65,6.43,CAB,Cabcharge Aust,6.58,17,"10,549",6.53,6.65,34,f,1.50,2.21,5.17,51,12.9
14.00,6.18,10.44,10.15,CTX,Caltex Aust,10.17,-15,"8,235",10.17,10.20,36,,0.43,10.60,3.54,15.6,65.2
0.885,0.23,0.57,0.55,CVN,Carnarvon Pet,0.55,-1,"25,074",0.55,0.555,-,,-,0.07,-,5.4,10.2
3.66,1.51,3.45,3.36,CEY,Centennial Coal,3.39,3,"26,242",3.38,3.41,11,f,1.77,1.77,3.24,19.5,17.4
2.17,1.415,1.98,1.945,CFX,CFS Retail Prop unt,1.96,-1,"89,857",1.955,1.975,12.5,p,-,2.02,6.38,-15.27,-
4.07,0.865,3.94,3.82,CGF,Challenger FSG Ltd,3.88,8,"19,599",3.87,3.89,12.5,,-,1.81,3.22,-16.2,-
0.68,0.156,0.65,0.635,CHC,Charter Hall Grp forus,0.635,-0.5,"88,161",0.635,0.645,4.96,,-,0.71,7.81,-17.98,-
12.00,8.02,10.49,10.33,CCL,Coca-Cola Amatil,10.41,4,"15,236",10.30,10.41,40.5,f,1.35,1.14,3.89,54.8,19.0
68.54,46.21,62.58,61.90,COH,Cochlear Ltd,62.15,15,"3,806",62.10,62.48,175,f,1.34,2.78,2.82,233.7,26.6
56.24,24.03,55.58,54.60,CBA,C'wlth Bank  of Aust ,54.60,-40,"36,023",54.57,54.60,228,f,1.44,13.65,4.18,328.5,16.6
1.34,0.67,1.02,0.975,CPA,C'wlth Prop ord unt   ,1.01,3,"160,166",1.005,1.01,8.8,,-,1.15,8.71,-31.8,-
11.32,6.11,11.14,10.81,CPU,Computershare Ltd,10.95,15,"36,335",10.92,10.97,22,p,2.58,-1.95,2.01,56.75,19.3
0.682,0.244,0.435,0.425,CEU,ConnectEast stpld,0.43,,"128,987",0.425,0.43,2,,-,-,4.65,-25.43,-
3.44,1.71,3.09,3.05,CMJ,Consolidated Media,3.07,,"9,697",3.00,3.09,16.5,,3.75,0.66,5.37,61.91,5.0
4.92,2.60,4.38,4.30,CXP,Corporate Express,4.33,-2,"2,377",4.30,4.39,23,f,1.40,0.16,5.31,32.2,13.4
11.66,6.32,8.69,8.56,CRG,Crane Grp Ltd,8.60,-5,"5,984",8.58,8.63,63,f,1.01,4.35,7.33,63.9,13.5
9.39,4.18,8.37,8.14,CWN,Crown Ltd,8.16,-13,"13,812",8.14,8.19,37,p,-,3.42,4.53,-166.89,-
38.52,26.85,32.67,31.93,CSL,CSL Ltd,32.00,-30,"38,658",31.95,32.16,70,,2.75,7.49,2.19,192.51,16.6
2.18,0.905,1.915,1.835,CSR,CSR Ltd,1.89,6.5,"88,750",1.885,1.91,4,f,-,0.87,2.12,-45.1,-
6.59,1.05,5.90,5.73,CDU,Cudeco Ltd,5.73,-4,"5,184",5.73,5.79,-,,-,-,-,-0.07,-
5.94,2.02,5.85,5.74,DJS,David Jones Ltd,5.80,-7,"33,990",5.76,5.80,28,f,1.13,1.16,4.83,31.5,18.4
0.977,0.519,0.86,0.815,DXS,Dexus Prop Grp stpld,0.835,-1.5,"230,438",0.835,0.84,7.3,,-,1.01,8.74,-39.38,-
5.69,2.11,4.02,3.96,DOM,Dominion Min,3.97,5,"4,125",3.96,4.00,14,,2.17,1.06,3.53,30.38,13.1
9.24,3.01,9.05,8.64,DOW,Downer EDI Ltd,8.96,-14,"31,045",8.92,9.10,29,,1.88,2.18,3.24,54.4,16.5
2.319,1.28,1.78,1.685,DUE,DUET Grp forus,1.70,-6.5,"33,869",1.70,1.73,24.12,p,-,1.70,14.19,-9.24,-
1.165,0.30,0.885,0.865,ESG,Eastern Star Gas,0.87,-0.5,"13,051",0.865,0.87,-,,-,-,-,-0.34,-
0.775,0.193,0.535,0.53,ERC,Eircom Hldgs Ltd,0.535,0.5,"24,529",0.53,0.535,-,,-,-3.93,-,-884.2,-
1.265,0.165,0.185,0.175,ELD,Elders Ltd,0.18,0.5,"644,139",0.175,0.18,5.5,,-,0.37,30.56,-51.51,-
0.995,0.16,0.86,0.85,EHL,Emeco Hldgs,0.855,-0.5,"14,389",0.85,0.86,4,f,0.53,0.74,4.68,2.1,40.7
28.28,14.46,24.04,23.65,ERA,Energy Res,23.86,-14,"4,622",23.78,23.95,34,f,4.79,-,1.42,162.78,14.7
0.72,0.175,0.485,0.465,EWC,Energy World Corp,0.47,-1,"8,964",0.465,0.47,-,,-,-,-,-0.71,-
0.60,0.27,0.54,0.525,ENV,Envestra Ltd,0.525,-1,"8,762",0.525,0.53,5.5,,0.73,-0.08,10.48,4,13.1
4.37,1.24,4.02,3.94,EQN,Equinox Min Ltd cdi,3.96,1,"22,322",3.95,4.02,-,,-,-,-,25.35,15.6
11.45,0.785,8.70,8.40,EXT,Extract Res,8.40,-20,"2,060",8.31,8.45,-,,-,-,-,-5.38,-
1.805,0.795,1.685,1.64,FXJ,Fairfax Media Ltd,1.67,-0.5,"96,840",1.66,1.68,2,,-,-0.37,1.20,-21.6,-
17.925,4.65,17.43,17.34,FLX,Felix Res Ltd,17.36,-2,"4,036",17.34,17.44,53,f,2.57,2.53,3.05,136.18,12.7
0.83,0.204,0.75,0.73,FKP,FKP Prop Grp stpld,0.73,-1.5,"27,857",0.725,0.735,3.45,,-,3.15,4.73,-70.3,-
8.86,3.27,7.87,7.78,FWD,Fleetwood Corp,7.78,-1,487,7.77,7.85,66,f,1.04,2.63,8.48,68.7,11.3
17.75,3.39,17.75,17.06,FLT,Flight Centre,17.08,-46,"5,501",17.03,17.26,9,,4.26,1.92,0.53,38.3,44.6
4.75,1.16,4.14,4.07,FMG,Fortescue Metals Grp,4.07,,"46,850",4.05,4.09,-,,-,0.35,-,21.9,18.6
5.95,4.80,5.75,5.52,FGL,Foster's Grp,5.54,-4,"92,286",5.53,5.57,27.25,f,0.84,0.46,4.92,22.8,24.3
1.05,0.32,0.955,0.905,GBG,Gindalbie Metals,0.95,5.5,"50,351",0.95,0.955,-,,-,-,-,5.1,18.6
1.78,0.93,1.565,1.555,GFF,Goodman Fielder,1.56,1,"44,726",1.55,1.565,10.5,p,1.27,-0.20,6.73,13.3,11.7
1.063,0.123,0.61,0.59,GMG,Goodman Grp forus,0.605,1,"435,774",0.60,0.605,9.65,,-,0.84,15.95,-45.4,-
1.012,0.191,0.655,0.635,GPT,GPT Grp stpld,0.64,-0.5,"349,156",0.635,0.64,5.6,,-,0.71,8.75,-107.6,-
8.85,3.863,6.80,6.62,GNC,Graincorp Ltd,6.69,4,"48,212",6.69,6.73,-,,-,6.53,-,30.1,22.2
9.67,3.30,8.87,8.70,GUD,GUD Hldgs,8.76,7,"6,533",8.71,8.80,60,f,1.00,0.66,6.85,60,14.6
1.325,0.596,1.06,1.01,GNS,Gunns Ltd,1.01,-2.5,"11,642",1.01,1.02,4,f,2.02,1.80,3.96,8.1,12.5
3.18,1.67,2.89,2.86,GWT,GWA Intl,2.86,-3,"7,322",2.86,2.87,18,f,0.94,0.27,6.29,16.9,16.9
4.85,1.805,4.31,4.18,HVN,Harvey Norman,4.27,6,"25,276",4.24,4.28,11,f,1.83,2.01,2.58,20.18,21.2
2.30,0.964,1.90,1.86,HST,Hastie Grp Ltd,1.86,-4,"4,798",1.86,1.88,12,f,2.70,-0.26,6.45,32.4,5.7
2.085,0.255,1.09,1.03,HDF,Hastings Divers stpld,1.045,-2.5,"20,459",1.03,1.05,16,,0.11,2.06,15.31,1.8,58.1
4.88,3.61,4.77,4.70,HSP,Healthscope Ltd,4.72,-3,"7,729",4.69,4.77,21.5,f,1.34,0.06,4.56,28.88,16.3
2.67,1.10,2.48,2.46,HGG,Henderson Grp cdi 1:1,2.46,1,"43,837",2.36,2.49,12.15,,-,-0.22,4.94,-0.17,-
3.83,1.145,2.13,2.05,HIL,Hills Ind Ltd,2.10,6,"4,574",2.09,2.13,10,f,0.49,1.40,4.76,4.9,42.9
5.40,2.70,3.48,3.36,ILU,Iluka Res,3.38,-8,"10,462",3.38,3.40,-,,-,2.70,-,3.7,91.4
3.42,1.63,2.71,2.65,IPL,Incitec Pivot,2.65,-3,"123,356",2.65,2.66,21.6,f,2.19,-0.14,8.15,47.27,5.6
5.52,1.095,4.71,4.48,IGO,Independence Grp,4.65,15,"2,614",4.50,4.72,5,f,2.83,1.34,1.08,14.14,32.9
1.55,0.525,1.43,1.40,IFN,Infigen Energy stpld,1.40,-2.5,"49,476",1.39,1.415,9,,2.51,0.58,6.43,22.6,6.2
0.603,0.057,0.50,0.485,IIF,ING Industrial Fd unt,0.485,-1.5,"92,862",0.485,0.49,9.8,,-,0.96,20.21,-103.8,-
0.996,0.184,0.60,0.585,IOF,ING Office Fd stpld,0.59,-0.5,"216,629",0.585,0.59,7.92,,-,0.99,13.42,-49.8,-
