S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4670.0 at 16:34 27/1/2010  Report at 19:05 Wednesday 27/1/2010. Processed 19:18 Wednesday 27/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.216,0.40,0.385,ABP,Abacus Prop stpld,0.39,-0.5,"43,874",0.385,0.39,5.75,,-,0.62,14.74,-11.81,-
3.01,1.445,2.58,2.48,ABC,Adelaide Brighton,2.49,-8,"17,583",2.49,2.52,14,f,1.49,1.15,5.62,20.8,12.0
15.46,12.83,13.76,13.55,AGK,AGL Energy Ltd,13.75,10,"21,511",13.70,13.76,54,f,6.63,6.00,3.93,358,3.8
5.91,0.60,4.38,4.20,ALS,Alesco Corp,4.25,-18,"4,041",4.25,4.41,7,f,-,0.49,1.65,-13.94,-
2.06,0.683,1.69,1.605,AWC,Alumina Ltd,1.63,-8,"251,617",1.625,1.63,-,,-,1.30,-,9.42,17.3
6.35,3.50,5.88,5.78,AMC,Amcor Ltd,5.87,-7,"57,453",5.86,5.90,34,,0.74,1.61,5.79,25.3,23.2
6.97,3.52,6.42,6.29,AMP,AMP Ltd,6.36,-8,"94,787",6.35,6.37,30,p,0.99,0.67,4.72,29.6,21.5
10.98,7.51,10.47,10.15,ANN,Ansell Ltd,10.33,-13,"9,188",10.32,10.39,28,,3.19,1.98,2.71,89.2,11.6
25.25,11.83,22.17,21.80,ANZ,ANZ Banking Grp,21.96,-33,"91,625",21.95,21.97,102,f,1.67,10.72,4.64,170.4,12.9
3.68,2.50,3.23,3.17,APA,APA Grp stpld,3.18,-6,"15,273",3.18,3.19,31,,0.52,1.18,9.75,16.2,19.6
2.61,0.866,2.32,2.27,APN,APN News & Media,2.30,,"9,892",2.30,2.34,12,,-,-1.23,5.22,-13.1,-
7.95,3.088,6.90,6.70,AQP,Aquarius Platinum,6.79,-24,"13,432",6.75,6.85,-,,-,-,-,-16.39,-
11.38,1.727,9.70,9.04,AQA,Aquila Res,9.14,-75,"8,597",9.10,9.14,-,,-,-,-,-10.5,-
1.845,0.79,1.69,1.655,AAD,Ardent Leisure Grp stp,1.665,0.5,"12,819",1.66,1.675,14.3,,-,1.18,8.59,-0.32,-
5.75,3.16,4.04,3.92,ALL,Aristocrat Leisure,4.00,-1,"24,367",3.96,4.04,14.5,f,-,0.35,3.62,-0.2,-
4.73,2.10,4.29,4.06,AOE,Arrow Energy,4.10,3,"54,579",4.07,4.13,-,,-,0.82,-,52,7.9
1.94,0.32,1.77,1.67,AIO,Asciano Grp stpld,1.71,-5,"270,998",1.705,1.72,-,,-,-1.41,-,-32.5,-
37.90,23.52,34.01,33.27,ASX,ASX Ltd,33.76,29,"8,639",33.75,34.00,164.9,f,1.11,2.66,4.88,183.2,18.4
2.36,1.05,2.11,1.98,AGO,Atlas Iron Ltd,1.99,-11,"44,325",1.99,2.01,-,,-,-,-,-21.3,-
5.95,1.855,4.34,4.17,AAX,Ausenco Ltd,4.25,-8,"11,159",4.20,4.27,18.5,f,2.38,0.76,4.35,43.94,9.7
1.95,1.16,1.34,1.29,AAC,Aust Agriculture,1.29,-8.5,"5,788",1.29,1.365,-,,-,2.55,-,-25.7,-
1.95,0.991,1.86,1.81,AIX,Aust Infra unt,1.835,-3,"13,972",1.83,1.86,13,,2.03,3.14,7.08,26.33,7.0
1.465,0.65,1.33,1.285,AUN,Austar United,1.325,0.5,"17,985",1.31,1.34,-,,-,-0.33,-,-2.4,-
0.585,0.174,0.48,0.465,ALZ,Australand Prop stpld,0.465,-1,"37,701",0.46,0.465,8,,-,0.92,17.20,-15.55,-
2.26,1.415,1.85,1.73,AVO,Avoca Res,1.73,-6,"10,878",1.73,1.75,-,,-,0.61,-,-6.97,-
1.946,0.592,1.14,1.125,AWB,AWB Ltd,1.13,-1.5,"42,583",1.125,1.135,5,,3.70,1.81,4.42,18.5,6.1
3.17,2.11,2.84,2.74,AWE,AWE Ltd,2.76,-6,"31,429",2.76,2.77,-,,-,1.80,-,17.36,15.9
6.72,2.52,6.62,6.56,AXA,AXA Asia Pacific,6.59,5,"73,423",6.59,6.61,18.5,p,-,0.96,2.81,-7.39,-
13.49,6.228,11.04,10.80,BOQ,Bank of Qld,10.93,-13,"8,416",10.93,10.99,52,f,1.46,6.62,4.76,75.9,14.4
1.04,0.678,0.875,0.83,BPT,Beach Energy Ltd,0.83,-4.5,"62,545",0.83,0.835,1.75,p,14.41,-,2.11,25.21,3.3
10.44,5.733,9.79,9.50,BEN,Bendigo & Adelaide,9.68,-12,"13,510",9.65,9.80,43,f,0.60,4.03,4.44,25.6,37.8
44.49,26.64,40.81,40.25,BHP,BHP Billiton Ltd,40.30,-95,"180,175",40.30,40.49,113.63,f,1.15,8.84,2.82,130.15,31.0
12.19,5.815,11.39,11.14,BBG,Billabong Intl,11.19,-6,"12,223",11.16,11.23,45,p,1.54,0.70,4.02,69.2,16.2
3.336,0.399,2.08,2.04,BTA,Biota Hldgs,2.07,4,"18,278",2.07,2.08,-,,-,0.55,-,21.7,9.5
3.48,1.675,2.83,2.70,BSL,BlueScope Steel,2.71,-13,"333,537",2.71,2.72,5,,-,2.46,1.85,-7.1,-
0.41,0.054,0.37,0.35,BLY,Boart Longyear,0.355,-1.5,"823,385",0.355,0.36,-,,-,-0.10,-,6.84,5.2
6.40,2.29,5.56,5.47,BLD,Boral Ltd,5.55,,"42,201",5.53,5.58,13,f,1.85,4.12,2.34,24.1,23.0
7.55,0.945,6.21,6.10,BKN,Bradken Ltd,6.18,-2,"11,598",6.16,6.20,23,f,2.28,1.31,3.72,52.5,11.8
8.37,4.08,6.68,6.49,BXB,Brambles Ltd,6.53,-15,"61,439",6.51,6.68,30,p,1.34,0.58,4.59,40.18,16.3
1.945,1.492,1.73,1.705,BWP,Bunnings Warehouse unt,1.705,-1,"5,693",1.705,1.71,11.57,,-,1.79,6.79,-3.74,-
7.09,4.71,5.76,5.70,CAB,Cabcharge Aust,5.70,-8,"3,005",5.69,5.78,34,f,1.50,2.21,5.96,51,11.2
14.00,8.01,9.36,9.15,CTX,Caltex Aust,9.20,-13,"8,982",9.20,9.24,-,,-,10.60,-,15.6,59.0
