S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4574.1 at 16:41 18/6/2010  Report at 19:05 Friday 18/6/2010. Processed 19:13 Friday 18/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.33,0.405,0.40,ABP,Abacus Prop stp,0.405,,"86,848",0.40,0.405,5.75,,-,0.60,14.20,-2.32,-
3.01,2.03,2.85,2.77,ABC,Adelaide Brighton,2.83,4,"30,721",2.83,2.84,13.5,f,1.51,1.21,4.77,20.4,13.9
15.69,13.07,14.93,14.70,AGK,AGL Energy Ltd,14.83,5,"9,196",14.70,14.85,57,f,0.47,6.21,3.84,27,54.9
5.91,2.37,2.81,2.47,ALS,Alesco Corp,2.77,-8,"15,006",2.70,2.86,14,f,-,0.65,5.05,-17.36,-
2.06,1.285,1.62,1.59,AWC,Alumina Ltd,1.615,1.5,"104,460",1.61,1.615,2,f,-,1.21,1.24,-1.2,-
6.76,4.276,6.65,6.45,AMC,Amcor Ltd,6.52,-10,"42,055",6.50,6.55,29.5,,0.71,2.25,4.52,20.9,31.2
6.97,4.55,5.67,5.60,AMP,AMP Ltd,5.61,3,"66,424",5.59,5.61,30,p,1.24,0.80,5.35,37.1,15.1
13.48,8.16,13.36,13.06,ANN,Ansell Ltd,13.10,-19,"6,902",12.96,13.25,29,,2.82,1.92,2.21,81.7,16.0
26.23,15.68,23.22,22.94,ANZ,ANZ Banking Grp,23.14,19,"50,191",23.11,23.17,108,f,1.34,9.99,4.67,144.8,16.0
3.79,2.60,3.72,3.60,APA,APA Grp stp,3.71,-3,"27,618",3.66,3.74,31.75,,0.79,-,8.56,25,14.8
2.61,1.32,2.21,2.12,APN,APN News & Media,2.12,-7,"50,476",2.11,2.12,4,f,4.17,-0.78,1.89,16.7,12.7
7.95,3.74,6.62,6.44,AQP,Aquarius Platinum,6.60,22,"30,675",6.58,6.64,2.26,,9.20,-,0.34,20.79,31.7
11.38,4.545,9.21,8.91,AQA,Aquila Res,9.07,12,"5,425",8.91,9.11,-,,-,-,-,-14.8,-
1.845,1.00,1.15,1.10,AAD,Ardent Leisure stp,1.15,2,"11,772",1.14,1.15,14.3,,0.19,1.10,12.43,2.73,42.1
5.75,3.37,4.03,3.96,ALL,Aristocrat Leisure,3.96,-1,"36,656",3.96,4.00,4.5,,-,0.07,1.14,-31.3,-
5.31,3.04,4.92,4.85,AOE,Arrow Energy,4.92,3,"30,672",4.88,4.93,-,,-,2.13,-,15.38,32.0
1.94,1.24,1.695,1.66,AIO,Asciano Grp stp,1.69,2.5,"86,225",1.685,1.69,-,,-,0.10,-,-41.9,-
37.77,29.24,30.99,30.47,ASX,ASX Ltd,30.60,-13,"3,945",30.53,30.63,163.6,f,1.10,3.19,5.35,180.6,16.9
3.05,1.475,2.16,2.10,AGO,Atlas Iron Ltd,2.15,5,"23,465",2.14,2.15,-,,-,-,-,-15.5,-
5.95,1.89,2.29,2.20,AAX,Ausenco Ltd,2.21,-2,"22,409",2.21,2.23,9.5,f,2.00,0.62,4.30,19,11.6
1.595,1.18,1.52,1.485,AAC,Aust Agriculture,1.52,4.5,"86,163",1.485,1.525,-,,-,2.42,-,-20.3,-
2.09,1.18,1.80,1.765,AIX,Aust Infra unt,1.78,-1.5,"13,600",1.78,1.80,10,p,1.94,2.62,5.62,19.37,9.2
1.465,0.77,1.045,1.02,AUN,Austar United,1.03,-1,"29,446",1.02,1.04,-,,-,-0.31,-,4.7,21.9
3.05,1.835,2.66,2.59,ALZ,Australand Prop stp,2.63,7,"10,425",2.61,2.64,5,,-,0.68,1.90,-13.4,-
2.59,1.48,2.59,2.54,AVO,Avoca Res,2.56,3,"21,789",2.54,2.57,-,,-,0.79,-,12.49,20.5
1.337,0.865,1.04,1.02,AWB,AWB Ltd,1.03,,"17,451",1.025,1.035,-,,-,1.85,-,3.67,28.1
3.17,1.915,2.09,2.03,AWE,AWE Ltd,2.04,-3,"26,430",2.03,2.04,-,,-,1.74,-,1.43,142.7
6.72,3.51,5.79,5.71,AXA,AXA Asia Pacific,5.72,-3,"38,270",5.71,5.75,18.5,p,1.89,1.12,3.23,34.89,16.4
13.49,8.056,11.60,11.44,BOQ,Bank of Qld,11.44,,"5,774",11.43,11.52,52,f,1.78,7.20,4.55,92.4,12.4
1.04,0.655,0.765,0.76,BPT,Beach Energy Ltd,0.76,0.5,"35,769",0.755,0.76,1.75,p,9.17,1.27,2.30,16.05,4.7
10.48,6.00,8.98,8.83,BEN,Bendigo & Adelaide,8.83,-5,"14,253",8.82,8.90,43,f,0.83,5.16,4.87,35.53,24.9
44.93,31.33,39.37,38.60,BHP,BHP Billiton Ltd,39.13,31,"124,147",39.10,39.14,95.15,f,1.95,8.76,2.43,185.29,21.1
12.32,7.93,9.59,9.38,BBG,Billabong Intl,9.38,-7,"12,208",9.35,9.48,36,p,1.59,0.84,3.84,57.2,16.4
3.336,1.01,1.195,1.145,BTA,Biota Hldgs,1.195,4.5,"11,982",1.16,1.20,-,,-,0.60,-,36.6,3.3
3.48,2.06,2.33,2.28,BSL,BlueScope Steel,2.30,,"109,836",2.29,2.30,5,,-,2.47,2.17,-61.37,-
4.10,1.533,3.06,2.99,BLY,Boart Longyear,3.01,,"53,416",2.99,3.02,-,,-,0.14,-,-0.67,-
6.40,3.77,5.30,5.19,BLD,Boral Ltd,5.23,-6,"25,903",5.23,5.26,12.5,f,1.82,4.23,2.39,22.7,23.0
8.14,3.60,7.38,7.22,BKN,Bradken Ltd,7.23,-6,"4,073",7.22,7.29,26,f,1.67,1.58,3.60,43.3,16.7
8.37,5.54,6.17,5.84,BXB,Brambles Ltd,5.89,-32,"136,420",5.89,5.90,25,p,1.38,0.66,4.24,34.45,17.1
