S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4465.4 at 16:35 16/8/2010  Report at 19:05 Monday 16/8/2010. Processed 19:19 Monday 16/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.33,0.405,0.395,ABP,Abacus Prop stp,0.395,-0.5,"47,502",0.395,0.40,3.9,,-,0.60,9.87,-2.32,-
3.35,2.31,3.20,3.13,ABC,Adelaide Brighton,3.20,6,"19,706",3.19,3.21,13.5,f,1.51,1.21,4.22,20.4,15.7
15.69,13.37,15.25,14.98,AGK,AGL Energy Ltd,15.13,-2,"15,819",15.11,15.15,57,f,0.47,6.21,3.77,27,56.0
5.91,2.25,2.64,2.56,ALS,Alesco Corp,2.63,1,"2,646",2.53,2.69,7,,-,0.60,2.66,-132.84,-
2.06,1.45,1.76,1.70,AWC,Alumina Ltd,1.76,0.5,"263,500",1.755,1.76,4.22,f,0.14,1.22,2.40,0.59,298.3
7.04,5.26,6.61,6.46,AMC,Amcor Ltd,6.56,3,"65,645",6.55,6.57,29.5,,0.71,2.25,4.50,20.9,31.4
6.97,5.06,5.37,5.25,AMP,AMP Ltd,5.33,,"45,550",5.32,5.35,30,p,1.24,0.80,5.63,37.1,14.4
13.73,9.07,13.20,12.97,ANN,Ansell Ltd,13.09,-13,"6,545",13.05,13.23,29,,2.82,1.92,2.22,81.7,16.0
26.23,18.73,22.30,21.78,ANZ,ANZ Banking Grp,22.16,-2,"73,385",22.15,22.20,108,f,1.34,9.99,4.87,144.8,15.3
3.83,2.67,3.71,3.67,APA,APA Grp stp,3.70,-1,"7,902",3.68,3.71,31.75,,0.79,-,8.58,25,14.8
2.61,1.63,2.04,2.00,APN,APN News & Media,2.02,-2,"22,560",2.00,2.08,4,f,4.17,-0.78,1.98,16.7,12.1
7.95,3.89,4.51,4.40,AQP,Aquarius Platinum,4.48,2,"10,953",4.47,4.54,2.26,,3.16,-,0.50,7.15,62.7
11.38,5.846,8.49,8.09,AQA,Aquila Res,8.33,,"6,096",8.30,8.40,-,,-,-,-,-14.8,-
1.845,0.92,0.945,0.92,AAD,Ardent Leisure stp,0.94,-1,"4,431",0.94,0.95,14.3,,0.19,1.10,15.21,2.73,34.4
5.75,3.34,3.53,3.41,ALL,Aristocrat Leisure,3.49,4,"17,708",3.45,3.50,4.5,,-,0.07,1.29,-31.3,-
1.94,1.435,1.68,1.64,AIO,Asciano Grp stp,1.68,-0.5,"77,611",1.675,1.69,-,,-,0.10,-,-41.9,-
37.16,28.02,29.37,29.06,ASX,ASX Ltd,29.12,-29,"4,482",29.06,29.27,163.6,f,1.10,3.19,5.62,180.6,16.1
3.05,1.57,2.21,2.14,AGO,Atlas Iron Ltd,2.21,2,"20,781",2.20,2.21,-,,-,-,-,-15.5,-
