S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4438.8 at 16:38 31/8/2010  Report at 19:05 Tuesday 31/8/2010. Processed 19:06 Tuesday 31/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.33,0.42,0.41,ABP,Abacus Prop stp,0.41,-1,"55,921",0.41,0.415,3.9,,0.39,0.58,9.51,1.53,26.8
3.435,2.293,3.36,3.27,ABC,Adelaide Brighton,3.28,-3,"27,435",3.27,3.28,15.5,f,1.52,1.16,4.73,23.6,13.9
15.69,13.37,15.29,15.02,AGK,AGL Energy Ltd,15.02,-28,"22,100",15.02,15.06,59,,1.34,5.89,3.93,79.3,18.9
5.91,2.25,2.82,2.71,ALS,Alesco Corp,2.77,-6,"3,007",2.75,2.78,7,,-,0.60,2.53,-132.84,-
2.06,1.45,1.745,1.715,AWC,Alumina Ltd,1.715,-3.5,"157,141",1.715,1.72,4.23,f,0.14,1.22,2.47,0.59,290.7
7.04,5.27,6.87,6.71,AMC,Amcor Ltd,6.74,-13,"65,520",6.73,6.74,29.5,,0.54,1.49,4.38,15.8,42.7
6.97,4.85,5.05,5.00,AMP,AMP Ltd,5.04,-5,"85,777",5.03,5.04,31,p,1.28,0.90,6.15,39.8,12.7
13.73,9.07,13.58,12.99,ANN,Ansell Ltd,13.48,31,"6,454",13.47,13.48,30.5,,2.94,2.22,2.26,89.6,15.0
26.23,19.95,22.93,22.58,ANZ,ANZ Banking Grp,22.59,-36,"112,792",22.59,22.60,108,f,1.34,9.99,4.78,144.8,15.6
3.83,2.89,3.78,3.71,APA,APA Grp stp,3.74,-2,"19,636",3.74,3.75,32.75,,0.59,1.28,8.76,19.4,19.3
2.61,1.68,1.90,1.855,APN,APN News & Media,1.89,0.5,"30,326",1.885,1.89,9,,1.86,-0.75,4.76,16.7,11.3
7.95,3.89,4.76,4.65,AQP,Aquarius Platinum,4.71,-10,"14,662",4.70,4.72,2.26,,3.16,-,0.48,7.15,65.9
11.38,5.955,8.66,8.47,AQA,Aquila Res,8.50,-26,"3,402",8.50,8.52,-,,-,-,-,-14.8,-
1.845,0.92,0.95,0.925,AAD,Ardent Leisure stp,0.925,-2.5,"8,446",0.925,0.935,10.75,,0.59,0.92,11.62,6.3,14.7
5.75,3.34,3.74,3.64,ALL,Aristocrat Leisure,3.72,2,"28,116",3.70,3.72,3.5,,-,0.15,0.94,-15,-
1.94,1.435,1.69,1.645,AIO,Asciano Grp stp,1.675,0.5,"129,230",1.675,1.68,-,,-,0.08,-,-31.6,-
37.16,28.02,29.67,29.11,ASX,ASX Ltd,29.11,-49,"15,208",29.11,29.16,173.1,f,1.10,3.49,5.95,190.4,15.3
3.05,1.585,2.13,2.07,AGO,Atlas Iron Ltd,2.09,-6,"26,478",2.08,2.09,-,,-,-,-,-9.6,-
5.95,1.71,2.29,2.23,AAX,Ausenco Ltd,2.26,-4,"3,969",2.26,2.27,4.5,,-,0.50,1.99,-10.35,-
2.09,1.46,1.855,1.815,AIX,Aust Infra unt,1.82,-4,"14,457",1.815,1.82,10,p,3.32,2.61,5.49,33.22,5.5
1.465,0.84,0.945,0.915,AUN,Austar United,0.92,-2.5,"22,790",0.92,0.925,-,,-,-0.28,-,3.5,26.3
3.05,2.20,2.80,2.71,ALZ,Australand Prop stp,2.77,-3,"7,830",2.77,2.78,12,,1.24,3.44,4.33,14.9,18.6
3.10,1.48,3.05,2.98,AVO,Avoca Res,2.98,-2,"10,083",2.98,2.99,-,,-,0.79,-,12.49,23.9
1.49,0.865,1.45,1.445,AWB,AWB Ltd,1.445,-0.5,"117,512",1.445,1.45,-,,-,1.85,-,3.67,39.4
3.17,1.465,1.595,1.56,AWE,AWE Ltd,1.56,-4,"21,111",1.56,1.565,-,,-,1.60,-,-5.55,-
6.72,4.05,5.56,5.48,AXA,AXA Asia Pacific,5.50,-10,"15,888",5.50,5.51,18.5,p,1.66,1.01,3.36,30.79,17.9
13.49,9.68,9.99,9.83,BOQ,Bank of Qld,9.83,-23,"7,130",9.82,9.83,52,f,1.78,7.20,5.29,92.4,10.6
1.04,0.595,0.67,0.635,BPT,Beach Energy Ltd,0.655,0.5,"88,920",0.655,0.66,1.75,p,9.17,1.27,2.67,16.05,4.1
10.48,7.72,8.50,8.33,BEN,Bendigo & Adelaide,8.43,-2,"16,670",8.39,8.43,58,f,1.16,5.27,6.88,67.4,12.5
44.93,35.58,37.37,37.01,BHP,BHP Billiton Ltd,37.05,-82,"196,383",37.04,37.05,98.54,f,2.72,10.21,2.66,268.22,13.8
12.32,7.31,7.71,7.54,BBG,Billabong Intl,7.56,-14,"16,942",7.56,7.58,36,p,1.62,0.40,4.76,58.3,13.0
3.336,0.85,0.965,0.92,BTA,Biota Hldgs,0.93,-3.5,"7,888",0.93,0.935,-,,-,0.54,-,9.2,10.1
3.40,2.03,2.17,2.11,BSL,BlueScope Steel,2.14,-3,"142,631",2.13,2.14,5,f,1.38,2.53,2.34,6.9,31.0
4.10,2.43,2.98,2.91,BLY,Boart Longyear,2.91,-11,"36,277",2.91,2.92,2.29,p,3.56,1.50,0.79,8.15,35.7
6.40,4.15,4.48,4.36,BLD,Boral Ltd,4.40,-4,"37,764",4.39,4.41,13.5,f,-,3.92,3.07,-15.2,-
8.14,5.48,7.57,7.26,BKN,Bradken Ltd,7.54,11,"7,895",7.52,7.54,34,f,1.59,2.10,4.51,54.1,13.9
8.37,5.11,5.92,5.83,BXB,Brambles Ltd,5.86,1,"173,280",5.85,5.86,25,p,1.48,0.88,4.27,36.96,15.9
2.09,1.66,1.845,1.82,BWP,Bunnings Warehouse unt,1.845,0.5,"22,368",1.84,1.85,12.08,,1.84,1.88,6.55,22.18,8.3
6.66,4.25,4.83,4.71,CAB,Cabcharge Aust,4.81,3,"4,811",4.80,4.82,34,f,1.41,2.34,7.07,47.8,10.1
12.75,8.01,11.39,11.07,CTX,Caltex Aust,11.24,-9,"15,466",11.23,11.24,55,f,0.63,10.76,4.89,34.4,32.7
0.625,0.30,0.355,0.335,CVN,Carnarvon Pet,0.335,-2.5,"23,505",0.335,0.34,-,,-,0.04,-,2.1,16.0
5.86,3.56,5.25,5.12,CRZ,Carsales Com Ltd,5.20,4,"3,710",5.20,5.21,14.9,f,1.25,0.38,2.87,18.6,28.0
6.07,3.05,6.04,6.02,CEY,Centennial Coal,6.03,-2,"17,013",6.02,6.03,8,p,1.69,1.90,1.33,13.5,44.7
2.12,1.81,1.965,1.935,CFX,CFS Retail Prop unt,1.935,-2.5,"105,832",1.935,1.945,12.5,,1.01,2.02,6.46,12.65,15.3
4.50,2.92,3.83,3.75,CGF,Challenger FSG Ltd,3.77,-2,"36,233",3.77,3.78,14.5,,3.81,-,3.85,55.3,6.8
0.79,0.49,0.59,0.575,CHC,Charter Hall Grp forus,0.585,-0.5,"105,210",0.585,0.59,3.2,,0.01,0.56,5.47,0.02,2925.0
0.355,0.225,0.245,0.24,CQO,Charter Hall Office unt,0.245,,"126,138",0.24,0.245,1.85,,-,0.42,7.55,-1.9,-
0.735,0.47,0.605,0.59,CQR,Charter Hall Retail unt,0.595,-0.5,"75,226",0.595,0.60,5.3,,0.93,0.74,8.91,4.95,12.0
12.15,9.54,11.99,11.79,CCL,Coca-Cola Amatil,11.93,2,"24,579",11.91,11.93,45.5,f,1.39,1.47,3.81,63.1,18.9
79.11,58.08,69.69,68.91,COH,Cochlear Ltd,69.20,-7,"3,282",69.13,69.26,200,p,1.38,4.01,2.89,275.7,25.1
60.00,44.67,50.75,50.15,CBA,C'wlth Bank  of Aust ,50.30,-25,"71,721",50.18,50.31,290,f,1.19,15.94,5.77,344.5,14.6
1.045,0.85,0.945,0.935,CPA,C'wlth Prop ord unt   ,0.945,-0.5,"209,287",0.945,0.95,5.55,,1.06,1.13,5.87,5.89,16.0
12.90,8.70,9.60,9.37,CPU,Computershare Ltd,9.49,-11,"28,700",9.49,9.51,28,p,2.22,-1.61,2.95,62.24,15.2
0.49,0.33,0.41,0.405,CEU,ConnectEast stp,0.405,-0.5,"93,427",0.405,0.41,2,,-,0.47,4.94,-1.49,-
11.66,7.76,8.13,7.97,CRG,Crane Grp Ltd,8.04,-3,"2,558",8.01,8.04,40,f,1.04,4.50,4.98,41.7,19.3
9.39,7.41,8.42,8.28,CWN,Crown Ltd,8.28,-12,"23,601",8.28,8.29,37,p,1.04,3.42,4.47,38.54,21.5
37.56,30.03,33.04,32.50,CSL,CSL Ltd,32.96,43,"42,460",32.93,32.96,80,p,2.32,5.93,2.43,185.77,17.7
2.13,1.585,1.72,1.70,CSR,CSR Ltd,1.705,-1,"44,703",1.705,1.71,8.5,f,-,1.04,4.99,-8.2,-
6.59,1.63,2.25,2.06,CDU,Cudeco Ltd,2.12,-2,"41,632",2.12,2.13,-,,-,-,-,0.42,504.8
5.96,4.10,5.04,4.92,DJS,David Jones Ltd,4.93,-6,"34,910",4.93,4.94,29,f,1.14,1.22,5.88,33,14.9
0.89,0.70,0.835,0.825,DXS,DEXUS Prop Grp stp,0.83,,"491,975",0.83,0.835,5.1,,0.13,0.95,6.14,0.66,125.8
9.44,3.33,4.06,3.98,DOW,Downer EDI Ltd,3.98,-9,"14,463",3.98,3.99,29.1,,0.03,1.94,7.31,0.9,442.2
1.90,1.49,1.695,1.66,DUE,DUET Grp forus,1.665,-3,"18,160",1.665,1.67,20,p,0.81,1.74,12.01,16.25,10.2
2.78,2.41,2.68,2.60,DLX,Duluxgrp Ltd,2.60,-9,"20,777",2.60,2.63,-,,-,-,-,-,-
1.055,0.615,0.84,0.815,ESG,Eastern Star Gas,0.84,1,"33,117",0.835,0.84,-,,-,-,-,-0.8,-
3.90,0.315,0.675,0.64,ELD,Elders Ltd,0.64,-3.5,"61,149",0.64,0.645,-,,-,1.63,-,-51.11,-
22.00,12.86,21.85,21.51,EAU,Eldorado Gold cdi,21.51,-49,738,21.51,21.57,4.95,,4.98,-,0.23,24.64,87.3
0.995,0.45,0.78,0.75,EHL,Emeco Hldgs,0.77,-0.5,"25,205",0.77,0.775,2,f,-,0.70,2.60,-7.8,-
27.15,12.51,13.28,13.04,ERA,Energy Res,13.15,-17,"3,130",13.14,13.16,33,f,2.66,-,2.51,87.9,15.0
0.60,0.25,0.41,0.395,EWC,Energy World Corp,0.395,-1,"22,320",0.39,0.395,-,,-,0.30,-,3.02,13.1
0.595,0.46,0.505,0.495,ENV,Envestra Ltd,0.50,,"33,850",0.50,0.505,5.5,,0.51,-0.05,11.00,2.8,17.9
