S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4722.6 at 16:47 13/11/2009  Report at 19:05 Friday 13/11/2009. Processed 19:09 Friday 13/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.147,0.46,0.43,ABP,Abacus Prop stpld,0.45,0.5,"64,561",0.45,0.455,7.75,,-,0.62,17.22,-11.81,-
3.01,1.445,2.75,2.68,ABC,Adelaide Brighton,2.71,,"25,101",2.70,2.72,14,f,1.49,1.15,5.17,20.8,13.0
1.65,0.096,1.41,1.30,ABY,Aditya Birla,1.40,2.5,"11,090",1.385,1.40,-,,-,1.42,-,-17.34,-
1.305,0.50,0.59,0.565,AED,AED Oil Ltd,0.57,-2,"3,755",0.57,0.585,-,,-,-,-,-66.9,-
15.80,12.83,13.75,13.64,AGK,AGL Energy Ltd,13.69,-3,"15,371",13.68,13.76,54,f,6.63,6.00,3.94,358,3.8
5.60,2.03,5.00,4.90,AJL,AJ Lucas Grp,4.98,-1,"1,591",4.90,4.98,10.5,f,23.78,2.11,2.11,249.7,2.0
5.91,0.60,4.94,4.80,ALS,Alesco Corp,4.82,-9,"2,632",4.81,4.95,7,f,-,0.49,1.45,-13.94,-
0.98,0.333,0.615,0.60,AGS,Alliance Res,0.61,1,"16,721",0.605,0.615,-,,-,-,-,-8.3,-
2.00,0.683,1.65,1.62,AWC,Alumina Ltd,1.635,-3.5,"104,300",1.63,1.635,12,,0.79,1.30,7.34,9.42,17.4
5.89,3.50,5.58,5.50,AMC,Amcor Ltd,5.54,-1,"32,924",5.52,5.58,34,,0.74,1.61,6.14,25.3,21.9
6.97,3.52,6.36,6.27,AMP,AMP Ltd,6.30,-5,"73,007",6.29,6.30,30,p,0.99,0.67,4.76,29.6,21.3
13.38,7.51,10.44,10.18,ANN,Ansell Ltd,10.40,16,"3,598",10.20,10.44,28,,3.19,1.98,2.69,89.2,11.7
25.25,11.83,22.78,22.39,ANZ,ANZ Banking Grp,22.48,-46,"95,178",22.47,22.49,102,f,1.67,10.72,4.54,170.4,13.2
3.30,2.43,3.18,3.10,APA,APA Grp stpld,3.15,5,"11,373",3.13,3.16,31,,0.52,1.18,9.84,16.2,19.4
0.414,0.039,0.043,0.041,AXM,Apex Min NL,0.042,-0.1,"323,617",0.041,0.042,-,,-,-,-,-31.41,-
2.774,0.866,2.32,2.25,APN,APN News & Media,2.29,-3,"17,333",2.27,2.32,12,,-,-1.23,5.24,-13.1,-
6.39,2.183,5.31,5.23,AQP,Aquarius Platinum,5.29,-3,"9,456",5.20,5.32,12.08,,-,-,2.28,-16.39,-
8.40,1.90,8.17,7.96,AQA,Aquila Res,8.12,3,"4,268",8.12,8.15,-,,-,-,-,-10.5,-
1.285,0.245,0.85,0.815,ARU,Arafura Resource,0.845,,"1,995",0.825,0.85,-,,-,-,-,-7.7,-
1.65,0.79,1.485,1.47,AAD,Ardent Leisure Grp stp,1.475,-0.5,"3,382",1.475,1.48,14.3,,-,1.18,9.69,-0.32,-
5.75,3.16,4.58,4.45,ALL,Aristocrat Leisure,4.53,-2,"20,853",4.52,4.58,14.5,f,-,0.35,3.20,-0.2,-
4.73,1.845,3.94,3.86,AOE,Arrow Energy,3.88,-8,"34,783",3.88,3.89,-,,-,0.82,-,52,7.5
1.76,0.32,1.64,1.57,AIO,Asciano Grp stpld,1.61,-3,"150,006",1.61,1.615,23,,-,-1.41,14.29,-32.5,-
0.56,0.218,0.545,0.54,APZ,Aspen Grp stpld,0.545,0.5,"21,747",0.535,0.545,6.17,,-,0.68,11.32,-22.53,-
0.515,0.445,0.48,0.465,AJADA,Astro Jap Prop Grp stpld d,0.47,,"12,350",0.465,0.47,-,,-,0.93,-,-71.94,-
37.90,23.52,33.77,32.83,ASX,ASX Ltd,32.93,-67,"10,470",32.92,32.94,164.9,f,1.11,2.66,5.01,183.2,18.0
2.10,0.405,1.83,1.795,AGO,Atlas Iron Ltd,1.815,-1.5,"14,496",1.805,1.825,-,,-,-,-,-21.3,-
1.95,0.675,1.78,1.76,ASL,Ausdrill Ltd,1.775,,"4,158",1.76,1.78,11,f,2.11,1.73,6.20,23.23,7.6
5.95,1.855,4.72,4.41,AAX,Ausenco Ltd,4.45,-9,"11,803",4.45,4.48,18.5,f,2.38,0.76,4.16,43.94,10.1
2.07,1.16,1.57,1.525,AAC,Aust Agriculture,1.535,-0.5,"12,743",1.51,1.55,-,,-,2.55,-,-25.7,-
1.93,0.991,1.86,1.77,AIX,Aust Infra unt,1.785,-6,"63,750",1.78,1.80,13,p,2.03,3.14,7.28,26.33,6.8
0.939,0.299,0.66,0.65,API,Aust Pharmaceutical,0.66,0.5,"5,756",0.655,0.665,2,f,2.95,0.84,3.03,5.9,11.2
3.06,1.87,2.76,2.71,AWE,Aust Worldwide Ex,2.75,-1,"33,912",2.74,2.75,-,,-,1.80,-,17.36,15.8
3.12,1.425,2.59,2.55,ASB,Austal Ltd,2.56,-2,"4,242",2.54,2.58,6,f,0.83,1.24,2.34,5,51.2
1.39,0.60,1.37,1.30,AUN,Austar United,1.355,4,"23,288",1.335,1.37,-,,-,-0.33,-,-2.4,-
0.585,0.174,0.555,0.54,ALZ,Australand Prop stpld,0.55,1.5,"54,614",0.55,0.555,10,,-,0.92,18.18,-15.55,-
1.995,1.085,1.89,1.81,AVO,Avoca Res,1.875,2,"19,415",1.855,1.875,-,,-,0.61,-,-6.97,-
2.995,0.592,1.24,1.20,AWB,AWB Ltd,1.23,0.5,"85,912",1.23,1.24,5,,3.70,1.81,4.07,18.5,6.6
5.96,2.52,5.80,5.70,AXA,AXA Asia Pacific,5.76,6,"27,848",5.71,5.79,18.5,p,-,0.96,3.21,-7.39,-
0.195,0.024,-,-,BBI,Babcock & Br Infr stp,0.035,,-,-,-,2.5,,-,1.84,71.43,-40.69,-
13.49,6.228,11.85,11.54,BOQ,Bank of Qld,11.71,-42,"6,765",11.70,11.87,52,f,1.46,6.62,4.44,75.9,15.4
1.485,0.36,1.115,1.08,BMN,Bannerman Res,1.10,1,"1,265",1.085,1.10,-,,-,-,-,-6.22,-
0.956,0.678,0.825,0.795,BPT,Beach Pet,0.81,-0.5,"63,425",0.805,0.81,1.75,p,14.41,-,2.16,25.21,3.2
12.404,5.733,8.99,8.80,BEN,Bendigo & Adelaide,8.91,-9,"7,702",8.88,8.93,43,f,0.60,4.03,4.83,25.6,34.8
0.32,0.10,0.245,0.235,BDG,Bendigo Min Ltd,0.24,,"3,642",0.235,0.24,0.5,,3.40,0.15,2.08,1.7,14.1
1.50,0.156,1.04,1.01,BKY,Berkeley Res,1.015,-2.5,263,1.015,1.035,-,,-,-,-,-9.47,-
40.28,20.00,39.06,38.72,BHP,BHP Billiton Ltd,39.01,-54,"138,855",39.00,39.01,113.63,f,1.15,8.84,2.91,130.15,30.0
12.19,5.815,10.70,10.43,BBG,Billabong Intl,10.58,-16,"9,899",10.45,10.62,45,p,1.54,0.70,4.25,69.2,15.3
3.47,0.29,2.79,2.68,BTA,Biota Hldgs,2.68,-21,"7,648",2.68,2.72,-,,-,0.55,-,21.7,12.4
0.335,0.09,0.22,0.215,BUL,Blue Energy Ltd,0.22,,"25,414",0.215,0.22,-,,-,-,-,-1.48,-
3.48,1.675,2.87,2.82,BSL,BlueScope Steel,2.87,-2,"303,122",2.86,2.87,5,,-,2.46,1.74,-7.1,-
0.375,0.054,0.31,0.30,BLY,Boart Longyear,0.31,1,"681,946",0.305,0.31,2.87,,2.38,-0.10,9.26,6.84,4.5
6.40,2.29,5.89,5.73,BLD,Boral Ltd,5.83,-5,"23,434",5.82,5.84,13,f,1.85,4.12,2.23,24.1,24.2
1.60,0.146,1.44,1.35,BOW,Bow Energy Ltd,1.38,-14,"34,286",1.37,1.385,-,,-,-,-,-0.46,-
7.15,0.945,6.91,6.75,BKN,Bradken Ltd,6.84,-4,"7,685",6.75,6.91,23,f,2.28,1.31,3.36,52.5,13.0
8.37,4.08,7.01,6.91,BXB,Brambles Ltd,6.96,-3,"67,478",6.95,7.02,30,p,1.34,0.58,4.31,40.18,17.3
2.23,0.40,1.985,1.94,BRM,Brockman Res,1.975,,"1,267",1.93,1.985,-,,-,-,-,-11.1,-
1.945,1.473,1.755,1.71,BWP,Bunnings Warehouse unt,1.74,,"6,395",1.72,1.755,11.57,,-,1.79,6.65,-3.74,-
7.09,4.71,6.66,6.45,CAB,Cabcharge Aust,6.55,-3,"7,391",6.51,6.57,34,f,1.50,2.21,5.19,51,12.8
14.00,6.18,10.29,9.95,CTX,Caltex Aust,9.96,-21,"12,678",9.96,9.99,36,,0.43,10.60,3.61,15.6,63.8
0.535,0.155,0.50,0.485,CFE,Cape Lambert Iron,0.485,-0.5,"29,404",0.485,0.49,-,,-,-,-,47.27,1.0
0.885,0.195,0.77,0.73,CNX,Carbon Energy,0.77,3,"10,937",0.755,0.77,-,,-,-,-,-3.11,-
0.885,0.23,0.565,0.54,CVN,Carnarvon Pet,0.555,0.5,"47,649",0.555,0.565,-,,-,0.07,-,5.4,10.3
0.64,0.225,0.545,0.535,CCV,Cash Convert ord/div   ,0.545,1,"1,082",0.54,0.545,3,f,2.26,0.09,5.50,6.77,8.1
3.66,1.51,3.39,3.32,CEY,Centennial Coal,3.35,-4,"18,849",3.35,3.38,11,f,1.77,1.77,3.28,19.5,17.2
