S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4652.6 at 16:47 9/12/2009  Report at 19:05 Wednesday 9/12/2009. Processed 19:16 Wednesday 9/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.147,0.415,0.405,ABP,Abacus Prop stpld,0.415,-0.5,"32,466",0.41,0.415,7.75,,-,0.62,18.67,-11.81,-
3.01,1.445,2.63,2.50,ABC,Adelaide Brighton,2.59,6,"24,643",2.55,2.60,14,f,1.49,1.15,5.41,20.8,12.5
1.65,0.096,1.30,1.225,ABY,Aditya Birla,1.235,-8.5,"14,272",1.235,1.25,-,,-,1.42,-,-17.34,-
1.305,0.50,0.605,0.52,AED,AED Oil Ltd,0.595,6,"15,896",0.585,0.595,-,,-,-,-,-66.9,-
15.80,12.83,13.76,13.56,AGK,AGL Energy Ltd,13.56,-21,"9,980",13.56,13.70,54,f,6.63,6.00,3.98,358,3.8
5.60,2.03,4.19,3.96,AJL,AJ Lucas Grp,3.98,-24,"2,294",3.93,4.05,10.5,f,23.78,2.11,2.64,249.7,1.6
5.91,0.60,4.80,4.32,ALS,Alesco Corp,4.49,-43,"16,692",4.47,4.68,7,f,-,0.49,1.56,-13.94,-
0.98,0.333,0.565,0.535,AGS,Alliance Res,0.56,-1,"5,070",0.56,0.57,-,,-,-,-,-8.3,-
2.00,0.683,1.57,1.535,AWC,Alumina Ltd,1.55,-3,"138,625",1.55,1.555,12,,0.79,1.30,7.74,9.42,16.5
6.15,3.50,6.15,6.04,AMC,Amcor Ltd,6.11,-2,"54,502",6.10,6.14,34,,0.74,1.61,5.56,25.3,24.2
6.97,3.52,6.25,6.08,AMP,AMP Ltd,6.25,6,"61,585",6.16,6.26,30,p,0.99,0.67,4.80,29.6,21.1
13.38,7.51,10.26,10.05,ANN,Ansell Ltd,10.17,-3,"4,871",10.15,10.20,28,,3.19,1.98,2.75,89.2,11.4
25.25,11.83,21.61,21.41,ANZ,ANZ Banking Grp,21.51,-42,"89,136",21.51,21.58,102,f,1.67,10.72,4.74,170.4,12.6
3.38,2.50,3.29,3.23,APA,APA Grp stpld,3.24,-3,"6,328",3.23,3.30,31,,0.52,1.18,9.57,16.2,20.0
0.414,0.039,0.041,0.039,AXM,Apex Min NL,0.039,-0.2,"150,408",0.039,0.04,-,,-,-,-,-31.41,-
2.61,0.866,2.30,2.25,APN,APN News & Media,2.25,-8,"8,453",2.24,2.30,12,,-,-1.23,5.33,-13.1,-
7.05,2.897,6.26,6.01,AQP,Aquarius Platinum,6.17,-8,"12,324",6.12,6.36,12.08,,-,-,1.96,-16.39,-
10.455,1.727,9.18,8.70,AQA,Aquila Res,8.90,-5,"6,843",8.90,8.95,-,,-,-,-,-10.5,-
1.285,0.245,0.78,0.75,ARU,Arafura Resource,0.76,-2,"2,684",0.76,0.775,-,,-,-,-,-7.7,-
1.69,0.79,1.64,1.57,AAD,Ardent Leisure Grp stp,1.59,-1,"27,057",1.57,1.64,14.3,,-,1.18,8.99,-0.32,-
5.75,3.16,3.87,3.71,ALL,Aristocrat Leisure,3.82,2,"19,216",3.81,3.86,14.5,f,-,0.35,3.80,-0.2,-
4.73,1.95,3.96,3.90,AOE,Arrow Energy,3.90,-7,"19,171",3.90,3.96,-,,-,0.82,-,52,7.5
1.765,0.32,1.745,1.72,AIO,Asciano Grp stpld,1.73,-2,"236,770",1.73,1.735,23,,-,-1.41,13.29,-32.5,-
0.575,0.218,0.49,0.475,APZ,Aspen Grp stpld,0.485,-0.5,"7,048",0.48,0.495,6.17,,-,0.68,12.72,-22.53,-
0.515,0.16,0.445,0.42,AJA,Astro Jap Prop stp,0.43,0.5,"23,594",0.43,0.44,9,,-,0.93,20.93,-71.94,-
37.90,23.52,33.63,33.01,ASX,ASX Ltd,33.55,-1,"7,272",33.25,33.58,164.9,f,1.11,2.66,4.92,183.2,18.3
2.10,0.69,1.875,1.83,AGO,Atlas Iron Ltd,1.86,-1.5,"22,350",1.86,1.87,-,,-,-,-,-21.3,-
2.16,0.675,2.16,2.06,ASL,Ausdrill Ltd,2.07,-3,"7,849",2.05,2.09,11,f,2.11,1.73,5.31,23.23,8.9
5.95,1.855,4.31,4.11,AAX,Ausenco Ltd,4.27,7,"6,700",4.27,4.32,18.5,f,2.38,0.76,4.33,43.94,9.7
2.07,1.16,1.315,1.30,AAC,Aust Agriculture,1.31,0.5,"5,804",1.305,1.32,-,,-,2.55,-,-25.7,-
1.93,0.991,1.685,1.65,AIX,Aust Infra unt,1.675,0.5,"24,405",1.67,1.695,13,p,2.03,3.14,7.76,26.33,6.4
0.939,0.312,0.685,0.66,API,Aust Pharmaceutical,0.68,0.5,"18,382",0.67,0.68,2,f,2.95,0.84,2.94,5.9,11.5
3.12,1.425,2.31,2.27,ASB,Austal Ltd,2.27,-3,"1,994",2.27,2.30,6,f,0.83,1.24,2.64,5,45.4
1.465,0.60,1.295,1.265,AUN,Austar United,1.265,-1,"13,964",1.26,1.28,-,,-,-0.33,-,-2.4,-
0.585,0.174,0.505,0.495,ALZ,Australand Prop stpld,0.50,-1,"60,936",0.495,0.50,10,,-,0.92,20.00,-15.55,-
2.26,1.415,1.92,1.825,AVO,Avoca Res,1.84,-14,"22,970",1.84,1.85,-,,-,0.61,-,-6.97,-
2.521,0.592,1.17,1.13,AWB,AWB Ltd,1.145,-3.5,"104,471",1.14,1.155,5,,3.70,1.81,4.37,18.5,6.2
3.06,2.11,2.72,2.67,AWE,AWE Ltd,2.67,-6,"15,821",2.67,2.68,-,,-,1.80,-,17.36,15.4
6.00,2.52,5.87,5.68,AXA,AXA Asia Pacific,5.85,11,"59,347",5.77,5.86,18.5,p,-,0.96,3.16,-7.39,-
13.49,6.228,11.60,11.00,BOQ,Bank of Qld,11.49,19,"4,715",11.33,11.65,52,f,1.46,6.62,4.53,75.9,15.1
1.485,0.555,1.17,1.15,BMN,Bannerman Res,1.155,-4,"5,966",1.15,1.155,-,,-,-,-,-6.22,-
0.956,0.678,0.86,0.835,BPT,Beach Pet,0.855,0.5,"48,580",0.855,0.86,1.75,p,14.41,-,2.05,25.21,3.4
12.157,5.733,8.91,8.69,BEN,Bendigo & Adelaide,8.79,3,"8,130",8.76,8.82,43,f,0.60,4.03,4.89,25.6,34.3
0.32,0.13,0.235,0.22,BDG,Bendigo Min Ltd,0.225,-1,"17,475",0.225,0.23,0.5,,3.40,0.15,2.22,1.7,13.2
1.50,0.175,1.28,1.235,BKY,Berkeley Res,1.24,-1,"2,850",1.235,1.24,-,,-,-,-,-9.47,-
