S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4615.6 at 16:40 9/8/2010  Report at 19:05 Monday 9/8/2010. Processed 19:20 Monday 9/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.33,0.44,0.425,ABP,Abacus Prop stp,0.43,,"40,518",0.425,0.435,3.9,,-,0.60,9.07,-2.32,-
2.60,1.17,2.05,1.95,ACR,Acrux Ltd,2.03,5,"2,326",2.03,2.05,-,,-,0.06,-,-2.84,-
3.35,2.31,3.26,3.18,ABC,Adelaide Brighton,3.22,2,"14,362",3.22,3.23,13.5,f,1.51,1.21,4.19,20.4,15.8
1.65,0.62,0.98,0.955,ABY,Aditya Birla,0.965,,"2,964",0.955,0.965,-,,-,1.51,-,19.61,4.9
15.69,13.37,15.19,15.00,AGK,AGL Energy Ltd,15.10,-8,"6,879",15.10,15.14,57,f,0.47,6.21,3.77,27,55.9
5.60,1.96,2.05,2.00,AJL,AJ Lucas Grp,2.01,1,178,2.00,2.04,5.5,,2.91,1.32,2.74,16,12.6
5.91,2.25,2.63,2.59,ALS,Alesco Corp,2.63,-2,"1,187",2.63,2.64,7,,-,0.60,2.66,-132.84,-
0.865,0.28,0.35,0.335,AGS,Alliance Res,0.35,1,"1,652",0.335,0.35,-,,-,-,-,-1.97,-
2.06,1.45,1.655,1.625,AWC,Alumina Ltd,1.64,,"160,660",1.635,1.64,2,f,-,1.21,1.22,-1.2,-
7.04,4.791,6.45,6.35,AMC,Amcor Ltd,6.43,1,"38,176",6.41,6.43,29.5,,0.71,2.25,4.59,20.9,30.8
6.97,5.06,5.58,5.43,AMP,AMP Ltd,5.54,12,"59,518",5.54,5.56,30,p,1.24,0.80,5.42,37.1,14.9
13.73,9.07,13.49,13.22,ANN,Ansell Ltd,13.36,1,"4,617",13.21,13.38,29,,2.82,1.92,2.17,81.7,16.4
26.23,18.73,23.13,22.82,ANZ,ANZ Banking Grp,23.10,5,"65,363",23.09,23.13,108,f,1.34,9.99,4.68,144.8,16.0
3.83,2.66,3.74,3.70,APA,APA Grp stp,3.72,,"6,199",3.72,3.74,31.75,,0.79,-,8.53,25,14.9
2.61,1.63,2.10,2.05,APN,APN News & Media,2.08,-2,"5,876",2.08,2.10,4,f,4.17,-0.78,1.92,16.7,12.5
7.95,3.89,4.78,4.58,AQP,Aquarius Platinum,4.77,19,"25,462",4.76,4.78,2.26,,9.20,-,0.47,20.79,22.9
11.38,5.809,8.29,8.00,AQA,Aquila Res,8.29,9,"5,006",8.28,8.30,-,,-,-,-,-14.8,-
1.285,0.38,0.76,0.74,ARU,Arafura Resource,0.755,,"14,902",0.745,0.77,-,,-,-,-,-5.1,-
1.845,0.94,0.985,0.965,AAD,Ardent Leisure stp,0.98,-1.5,"7,039",0.97,1.00,14.3,,0.19,1.10,14.59,2.73,35.9
5.75,3.34,3.72,3.58,ALL,Aristocrat Leisure,3.67,4,"20,346",3.60,3.72,4.5,,-,0.07,1.23,-31.3,-
1.94,1.435,1.715,1.69,AIO,Asciano Grp stp,1.71,,"44,284",1.705,1.715,-,,-,0.10,-,-41.9,-
0.575,0.27,0.47,0.46,APZ,Aspen Grp stp,0.47,,"2,579",0.46,0.47,4.2,,-,0.68,8.94,-3.37,-
0.515,0.29,0.31,0.305,AJA,Astro Jap Prop stp,0.31,0.5,"2,150",0.305,0.31,8.5,,-,0.76,27.42,-36.49,-
37.16,28.02,30.38,29.60,ASX,ASX Ltd,30.26,28,"5,197",30.25,30.35,163.6,f,1.10,3.19,5.41,180.6,16.8
3.05,1.57,2.27,2.18,AGO,Atlas Iron Ltd,2.25,8,"50,580",2.25,2.26,-,,-,-,-,-15.5,-
2.34,1.217,1.795,1.765,ASL,Ausdrill Ltd,1.78,-1.5,"1,618",1.78,1.785,11,f,1.87,1.60,6.18,20.62,8.6
5.95,1.71,2.55,2.51,AAX,Ausenco Ltd,2.54,-1,"5,804",2.52,2.55,9.5,f,2.00,0.62,3.74,19,13.4
1.595,1.22,1.545,1.515,AAC,Aust Agriculture,1.525,-0.5,"4,583",1.51,1.525,-,,-,2.42,-,-20.3,-
2.09,1.44,1.915,1.86,AIX,Aust Infra unt,1.915,1,"12,481",1.915,1.92,10,,1.94,2.62,5.22,19.37,9.9
0.939,0.365,0.435,0.42,API,Aust Pharmaceutical,0.43,1.5,"6,098",0.425,0.435,3,f,2.03,0.79,6.98,6.1,7.0
3.12,1.935,2.32,2.27,ASB,Austal Ltd,2.28,,442,2.28,2.30,6,,0.72,1.30,2.63,4.35,52.4
1.465,0.84,0.98,0.965,AUN,Austar United,0.975,,"14,945",0.965,0.98,-,,-,-0.28,-,3.5,27.9
3.05,2.125,2.80,2.75,ALZ,Australand Prop stp,2.80,,"3,110",2.78,2.80,12,,1.24,3.44,4.29,14.9,18.8
2.99,1.48,2.94,2.80,AVO,Avoca Res,2.93,15,"20,170",2.90,2.94,-,,-,0.79,-,12.49,23.5
1.337,0.865,1.10,1.08,AWB,AWB Ltd,1.09,-1,"39,430",1.085,1.095,-,,-,1.85,-,3.67,29.7
3.17,1.465,1.725,1.70,AWE,AWE Ltd,1.715,1.5,"20,950",1.71,1.715,-,,-,1.74,-,1.43,119.9
6.72,4.05,5.60,5.42,AXA,AXA Asia Pacific,5.49,28,"94,340",5.45,5.50,18.5,p,1.66,1.01,3.37,30.79,17.8
13.49,9.74,10.50,10.17,BOQ,Bank of Qld,10.47,-9,"6,150",10.45,10.48,52,f,1.78,7.20,4.97,92.4,11.3
1.43,0.24,0.43,0.41,BMN,Bannerman Res,0.42,-0.5,"6,337",0.42,0.425,-,,-,-,-,-7.84,-
1.04,0.655,0.70,0.69,BPT,Beach Energy Ltd,0.695,-0.5,"11,115",0.695,0.70,1.75,p,9.17,1.27,2.52,16.05,4.3
10.48,7.66,8.77,8.16,BEN,Bendigo & Adelaide,8.64,37,"21,461",8.64,8.66,43,f,0.83,5.16,4.98,35.53,24.3
0.295,0.175,0.19,0.185,BDG,Bendigo Min Ltd,0.19,,"5,513",0.185,0.19,0.5,,6.40,0.15,2.63,3.2,5.9
1.595,0.905,1.25,1.225,BKY,Berkeley Res,1.23,,"1,062",1.205,1.23,-,,-,-,-,-8.92,-
44.93,35.58,41.65,40.92,BHP,BHP Billiton Ltd,41.55,42,"242,226",41.50,41.60,95.15,f,1.95,8.76,2.29,185.29,22.4
12.32,8.28,9.11,8.87,BBG,Billabong Intl,9.08,,"10,337",9.02,9.08,36,p,1.59,0.84,3.96,57.2,15.9
3.336,0.85,1.04,0.995,BTA,Biota Hldgs,1.035,2.5,"5,660",1.03,1.035,-,,-,0.60,-,36.6,2.8
3.41,2.03,2.47,2.41,BSL,BlueScope Steel,2.45,,"75,576",2.44,2.46,-,,-,2.47,-,-61.37,-
4.10,2.43,3.20,3.13,BLY,Boart Longyear,3.20,2,"15,676",3.18,3.20,-,,-,0.14,-,-0.67,-
6.40,4.15,4.50,4.35,BLD,Boral Ltd,4.47,9,"53,684",4.45,4.49,12.5,f,1.82,4.23,2.80,22.7,19.7
1.605,0.905,1.415,1.385,BOW,Bow Energy Ltd,1.415,2.5,"6,273",1.395,1.415,-,,-,-,-,4.42,32.0
8.14,5.48,7.97,7.72,BKN,Bradken Ltd,7.93,3,"6,036",7.90,7.98,26,f,1.67,1.58,3.28,43.3,18.3
8.37,5.22,5.44,5.36,BXB,Brambles Ltd,5.42,1,"30,913",5.41,5.45,25,p,1.38,0.66,4.61,34.45,15.7
4.05,1.22,3.15,3.02,BRM,Brockman Res,3.08,-4,"1,657",3.05,3.11,-,,-,-,-,-14.9,-
2.09,1.66,1.89,1.88,BWP,Bunnings Warehouse unt,1.89,0.5,"2,202",1.885,1.895,10.97,,1.27,1.83,5.80,13.89,13.6
6.66,4.35,4.55,4.42,CAB,Cabcharge Aust,4.54,11,"2,225",4.53,4.54,34,f,1.44,-,7.49,48.9,9.3
13.63,8.01,10.44,10.25,CTX,Caltex Aust,10.42,9,"3,161",10.33,10.42,25,f,4.65,10.48,2.40,116.3,9.0
0.533,0.269,0.38,0.37,CFE,Cape Lambert Res,0.37,,"11,048",0.37,0.38,-,f,-,-,-,10.88,3.4
0.885,0.29,0.325,0.315,CNX,Carbon Energy,0.315,-1,"5,999",0.315,0.32,-,,-,-,-,-1.87,-
0.655,0.30,0.395,0.385,CVN,Carnarvon Pet,0.39,,"24,652",0.39,0.395,-,,-,0.05,-,3.3,11.8
5.86,3.56,5.14,4.90,CRZ,Carsales Com Ltd,5.14,10,"2,329",5.01,5.16,6.6,f,1.24,0.01,1.28,8.2,62.7
0.71,0.475,0.56,0.55,CCV,Cash Convert ord/div   ,0.56,,"3,582",0.55,0.56,3,f,2.32,0.23,5.36,6.97,8.0
1.957,1.141,1.61,1.585,CAH,Catalpa Res,1.60,,"3,423",1.585,1.61,-,,-,-,-,-3.7,-
6.05,3.05,5.99,5.97,CEY,Centennial Coal,5.98,,"57,535",5.98,5.99,8,p,1.98,1.87,1.34,15.8,37.8
0.52,0.105,0.205,0.195,CNP,Centro Prop stp,0.20,-0.5,"21,527",0.20,0.205,31.8,,-,-2.87,159.00,-113.25,-
