Warrants Market - Daily,,,,,,,,,,,,
XAO 4695.2 at 16:47 7/12/2009  Report at 19:05 Monday 7/12/2009. Processed 19:20 Monday 7/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.16,,,,,,,,,,,,
AMPWOF,6.25,17/12/09,3:1,0.031,0.036,0.056,-,-,,,,
AMPWOE,6.75,17/12/09,3:1,0.003,-,0.044,-,-,,,,
AMPWOA,6.00,25/02/10,3:1,0.14,0.145,0.155,-,-,,,,
AMPWOB,6.75,25/02/10,3:1,0.052,0.057,0.063,-,-,,,,
ANZ Banking Grp Last Sale Price $21.95,,,,,,,,,,,,
ANZWOG,17.00,17/12/09,4:1,1.215,1.225,1.50,-,-,,,,
ANZWOI,21.00,17/12/09,4:1,0.215,0.29,0.285,-,-,,,,
ANZWOH,23.00,17/12/09,4:1,0.021,0.026,0.035,-,-,,,,
ANZWZF,23.00,17/12/09,4:1,0.052,0.066,-,-,-
ANZWZE,24.00,17/12/09,4:1,0.014,0.04,0.41,-,-
ANZWZG,25.00,28/01/10,4:1,0.09,0.12,-,-,-
ANZWZH,22.00,25/02/10,4:1,0.415,0.465,0.44,-6.5,540
ANZWOK,24.50,25/02/10,4:1,0.13,0.145,0.145,0.5,950
ANZWOL,26.50,25/02/10,4:1,0.051,0.056,0.075,-,-
ANZWOJ,28.50,25/02/10,4:1,0.024,0.029,0.034,-,-
ANZVMA,22.00,25/03/10,3:1,0.66,0.665,0.68,1,546
ANZVMB,24.00,25/03/10,3:1,0.37,0.375,0.42,-,-
ANZVME,26.00,29/04/10,3:1,0.27,0.275,0.315,-,-
ASX Ltd Last Sale Price $33.52,,,,,,,,
ASXVMA,33.00,25/03/10,4:1,0.71,0.715,0.71,2.5,50
ASXVMB,35.00,25/03/10,4:1,0.47,0.475,-,-,-
ASXVME,37.00,29/04/10,4:1,0.39,0.395,-,-,-
BHP Billiton Ltd Last Sale Price $40.61,,,,,,,,
BHPWON,35.00,17/12/09,4:1,1.395,1.415,1.84,-,-
BHPWOO,37.50,17/12/09,4:1,0.795,0.805,0.805,-30,1558
BHPVOA,40.00,17/12/09,4:1,0.29,0.295,0.305,-17.5,400
BHPVZN,42.00,17/12/09,4:1,0.155,0.185,-,-,-
BHPVOB,42.50,17/12/09,4:1,0.043,0.048,0.059,-8.6,250
BHPVZM,44.00,17/12/09,4:1,0.057,0.071,-,-,-
BHPWZA,40.00,28/01/10,4:1,0.78,0.805,0.895,-,-
BHPVZO,44.00,28/01/10,4:1,0.38,0.405,-,-,-
BHPWOC,37.00,25/02/10,4:1,1.21,1.215,1.20,-18.5,137
BHPWOD,39.00,25/02/10,4:1,0.84,0.845,1.00,-,-
BHPWOE,41.00,25/02/10,4:1,0.575,0.58,0.565,-12,100
BHPWOF,43.00,25/02/10,4:1,0.375,0.38,0.47,-,-
BHPVOC,45.00,25/02/10,4:1,0.24,0.245,0.255,-8,1200
BHPWZB,46.00,25/02/10,4:1,0.405,0.43,-,-,-
BHPVMA,37.00,25/03/10,4:1,1.425,1.43,-,-,-
BHPVMB,39.00,25/03/10,4:1,1.115,1.12,-,-,-
BHPVME,41.00,29/04/10,4:1,1.035,1.04,1.21,-,-
BlueScope Steel Last Sale Price $2.89,,,,,,,,
BSLWOE,3.00,17/12/09,2:1,0.02,0.025,0.038,-,-
BSLWOF,3.50,17/12/09,2:1,0.001,0.011,0.001,-2.7,4750
BSLVMA,3.25,25/03/10,2:1,0.092,0.095,0.096,-,-
C'wlth Bank  of Aust  Last Sale Price $53.79,,,,,,,,
CBAVZH,46.00,17/12/09,5:1,1.56,-,1.515,-,-
CBAWOH,47.50,17/12/09,5:1,1.19,1.21,0.905,-,-
CBAWOI,50.00,17/12/09,5:1,0.70,0.72,0.905,4.5,100
CBAVZI,52.00,17/12/09,5:1,0.49,0.515,0.74,-,-
CBAWOG,53.00,17/12/09,5:1,0.24,0.25,0.30,-16.5,1381
CBAVZJ,50.00,28/01/10,5:1,1.10,1.125,-,-,-
CBAWOL,51.00,25/02/10,5:1,0.815,0.82,0.87,-5,3640
CBAWOJ,54.00,25/02/10,5:1,0.455,0.46,0.50,-,605
CBAVZK,55.00,25/02/10,5:1,0.725,0.75,-,-,-
CBAWOK,57.00,25/02/10,5:1,0.275,0.28,0.355,-,-
CBAVMA,53.00,25/03/10,5:1,0.94,0.945,1.005,-7.5,10
CBAVMB,55.00,25/03/10,5:1,0.735,0.74,0.775,-,-
CBAVME,57.00,29/04/10,5:1,0.68,0.685,0.655,-0.5,100
Computershare Ltd Last Sale Price $10.97,,,,,,,,
CPUVMA,11.00,25/03/10,2:1,0.48,0.485,-,-,-
CSL Ltd Last Sale Price $31.26,,,,,,,,
CSLWZA,36.00,17/12/09,4:1,0.001,0.04,0.012,-,-
CSLWZB,32.00,28/01/10,4:1,0.27,0.295,0.365,-,-
CSLVMA,33.00,25/03/10,4:1,0.35,0.355,0.395,-,-
Fortescue Metals Grp Last Sale Price $4.26,,,,,,,,
