Warrants Market - Daily,,,,,,,,,,,,
XAO 4628.8 at 16:34 2/2/2010  Report at 19:05 Tuesday 2/2/2010. Processed 19:19 Tuesday 2/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.21,,,,,,,,,,,,
AMPWOA,6.00,25/02/10,3:1,0.105,0.11,0.125,-,-,,,,
AMPWOB,6.75,25/02/10,3:1,0.019,0.024,0.022,-,-,,,,
ANZ Banking Grp Last Sale Price $21.89,,,,,,,,,,,,
ANZWZH,22.00,25/02/10,4:1,0.185,0.215,0.475,-,-,,,,
ANZWOK,24.50,25/02/10,4:1,0.02,0.025,0.044,-,-,,,,
ANZWOL,26.50,25/02/10,4:1,0.005,0.01,0.01,-,-,,,,
ANZWOJ,28.50,25/02/10,4:1,0.002,0.01,0.006,-,-,,,,
ANZVMA,22.00,25/03/10,3:1,0.395,0.40,0.38,-1.5,300,,,,
ANZWZJ,23.00,25/03/10,4:1,0.215,0.245,-,-,-,,,,
ANZVMB,24.00,25/03/10,3:1,0.165,0.17,0.285,-,-,,,,
ANZWZI,24.00,25/03/10,4:1,0.13,0.16,-,-,-,,,,
ANZWOA,23.50,29/04/10,4:1,0.16,0.18,0.17,-1.5,1000,,,,
ANZWOB,25.00,29/04/10,4:1,0.073,0.086,0.205,-,-,,,,
ANZVME,26.00,29/04/10,3:1,0.13,0.135,0.16,-,-,,,,
ANZWOC,26.50,29/04/10,4:1,0.034,0.039,0.094,-,-,,,,
ASX Ltd Last Sale Price $34.56,,,,,,,,,,,,
ASXVMA,33.00,25/03/10,4:1,0.625,0.63,0.60,-,-,,,,
ASXVMB,35.00,25/03/10,4:1,0.35,0.355,-,-,-,,,,
ASXVME,37.00,29/04/10,4:1,0.275,0.28,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $40.46,,,,,,,,,,,,
BHPWOC,37.00,25/02/10,4:1,1.00,1.005,0.995,21,50,,,,
BHPWOD,39.00,25/02/10,4:1,0.57,0.575,0.57,18.5,40,,,,
BHPWOE,41.00,25/02/10,4:1,0.265,0.27,0.25,10,7210,,,,
BHPWOF,43.00,25/02/10,4:1,0.10,0.105,0.095,-3,540,,,,
BHPVOC,45.00,25/02/10,4:1,0.01,0.04,0.03,1.4,3298,,,,
BHPWZB,46.00,25/02/10,4:1,0.08,0.094,-,-,-,,,,
BHPVMA,37.00,25/03/10,4:1,1.10,1.105,0.905,-,-,,,,
BHPVMB,39.00,25/03/10,4:1,0.77,0.775,-,-,-,,,,
BHPVZA,42.00,25/03/10,4:1,0.55,0.58,-,-,-,,,,
BHPVZB,44.00,25/03/10,4:1,0.39,0.42,-,-,-,,,,
BHPWOA,36.00,29/04/10,4:1,1.365,1.37,1.375,8.5,200,,,,
BHPWOB,38.50,29/04/10,4:1,0.925,0.93,0.905,10.5,180,,,,
BHPWOG,40.50,29/04/10,4:1,0.62,0.625,0.615,-5,30,,,,
BHPVME,41.00,29/04/10,4:1,0.70,0.705,0.70,10,71,,,,
BHPWOH,43.50,29/04/10,4:1,0.31,0.315,0.31,8,1351,,,,
BHPWOI,46.00,29/04/10,4:1,0.185,0.19,0.185,5.5,410,,,,
BlueScope Steel Last Sale Price $2.63,,,,,,,,,,,,
BSLWOA,3.00,25/03/10,2:1,0.035,0.04,0.053,-,-,,,,
BSLVMA,3.25,25/03/10,2:1,0.01,-,0.15,-,-,,,,
BSLWOB,3.50,25/03/10,2:1,0.007,0.012,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $53.55,,,,,,,,,,,,
CBAWOJ,54.00,25/02/10,5:1,0.16,0.16,0.145,-,1000,,,,
CBAVZK,55.00,25/02/10,5:1,0.265,0.295,-,-,-,,,,
CBAWOK,57.00,25/02/10,5:1,0.051,0.056,0.05,0.1,200,,,,
CBAWOL,60.00,25/02/10,5:1,0.018,0.023,0.015,-,-,,,,
CBAVMA,53.00,25/03/10,5:1,0.53,0.535,0.52,2,400,,,,
CBAVZL,53.00,25/03/10,5:1,0.565,0.595,0.585,-,-,,,,
CBAVMB,55.00,25/03/10,5:1,0.36,0.365,0.51,-,-,,,,
CBAVZM,55.00,25/03/10,5:1,0.42,0.45,-,-,-,,,,
CBAWOA,50.00,29/04/10,5:1,1.055,1.075,1.03,6,320,,,,
