Warrants Market - Daily,,,,,,,,,,,,
XAO 4262.7 at 16:36 1/7/2010  Report at 19:05 Thursday 1/7/2010. Processed 19:37 Thursday 1/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.20,,,,,,,,,,,,
AMPWOA,6.00,23/09/10,3:1,0.034,0.039,0.07,-,-,,,,
AMPWOB,6.50,23/09/10,3:1,0.018,0.023,-,-,-,,,,
ANZ Banking Grp Last Sale Price $21.08,,,,,,,,,,,,
ANZVZD,24.00,28/07/10,4:1,0.042,0.056,-,-,-,,,,
ANZVMB,20.00,23/09/10,4:1,0.59,0.61,-,-,-,,,,
ANZVMC,22.00,23/09/10,4:1,0.31,0.325,0.355,-,-,,,,
ANZWOG,22.50,23/09/10,4:1,0.265,0.27,0.31,-,-,,,,
ANZVMD,24.00,23/09/10,4:1,0.14,0.15,-,-,-,,,,
ANZWOH,24.50,23/09/10,4:1,0.115,0.12,0.115,-2.5,400,,,,
ANZWMH,26.00,23/09/10,4:1,0.051,0.057,0.069,-,-,,,,
ANZWOI,26.50,23/09/10,4:1,0.049,0.054,0.17,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.015,-,0.095,-,-,,,,
ANZVMF,20.00,27/01/11,4:1,0.775,0.795,-,-,-,,,,
ANZVMG,22.00,27/01/11,4:1,0.515,0.53,-,-,-,,,,
ANZVMH,24.00,27/01/11,4:1,0.325,0.34,-,-,-,,,,
ANZVMI,26.00,27/01/11,4:1,0.195,0.21,0.205,-,100,,,,
ASX Ltd Last Sale Price $28.80,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.091,0.10,-,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.014,-,0.086,-,-,,,,
AXA Asia Pacific Last Sale Price $5.37,,,,,,,,,,,,
AXAWSA,0.00,25/03/20,1:1,-,-,5.47,-,-,,,,
BHP Billiton Ltd Last Sale Price $37.11,,,,,,,,,,,,
BHPVZF,42.00,28/07/10,4:1,0.095,0.125,-,-,-,,,,
