Warrants Market - Daily,,,,,,,,,,,,
XAO 4483.1 at 16:36 30/8/2010  Report at 19:05 Monday 30/8/2010. Processed 19:17 Monday 30/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.09,,,,,,,,,,,,
AMPWOB,5.25,23/09/10,3:1,0.029,0.034,-,-,-,,,,
AMPWOA,6.00,23/09/10,3:1,0.005,0.01,0.005,-,-,,,,
AMPWOC,5.75,25/11/10,3:1,0.036,0.041,-,-,-,,,,
AMPWOD,6.25,25/11/10,3:1,0.019,0.024,-,-,-,,,,
ANZ Banking Grp Last Sale Price $22.95,,,,,,,,,,,,
ANZVMB,20.00,23/09/10,4:1,0.76,0.785,-,-,-,,,,
ANZVMC,22.00,23/09/10,4:1,0.345,0.365,0.39,-,-,,,,
ANZWOG,22.50,23/09/10,4:1,0.22,0.265,0.255,6.5,1000,,,,
ANZVMD,24.00,23/09/10,4:1,0.092,0.10,0.096,2.7,90,,,,
ANZVZF,24.00,23/09/10,4:1,0.052,0.061,0.155,-,-,,,,
ANZWOH,24.50,23/09/10,4:1,0.052,0.055,0.06,1.9,500,,,,
ANZWMH,26.00,23/09/10,4:1,0.01,-,0.079,-,-,,,,
ANZWOI,26.50,23/09/10,4:1,0.013,0.018,0.17,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.001,-,0.007,-,-,,,,
ANZWOJ,22.00,25/11/10,4:1,0.435,0.44,-,-,-,,,,
ANZWOK,23.50,25/11/10,4:1,0.245,0.25,-,-,-,,,,
ANZWOL,25.00,25/11/10,4:1,0.125,0.13,-,-,-,,,,
ANZWOM,26.50,25/11/10,4:1,0.06,0.065,-,-,-,,,,
ANZVMF,20.00,27/01/11,4:1,0.935,0.955,-,-,-,,,,
ANZVMG,22.00,27/01/11,4:1,0.605,0.625,-,-,-,,,,
ANZVMH,24.00,27/01/11,4:1,0.36,0.375,0.47,-,-,,,,
ANZVMI,26.00,27/01/11,4:1,0.20,0.21,0.175,-,-,,,,
ASX Ltd Last Sale Price $29.60,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.019,-,0.086,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.001,-,0.086,-,-,,,,
AXA Asia Pacific Last Sale Price $5.60,,,,,,,,,,,,
AXAWSA,0.00,25/03/20,1:1,-,-,5.47,-,-,,,,
BHP Billiton Ltd Last Sale Price $37.87,,,,,,,,,,,,
BHPUMH,34.00,23/09/10,4:1,0.98,0.995,1.03,-,-,,,,
BHPUMI,38.00,23/09/10,4:1,0.25,0.26,0.25,5.5,78,,,,
BHPVMF,40.00,23/09/10,4:1,0.082,0.087,0.074,1.4,600,,,,
BHPVZH,40.00,23/09/10,4:1,0.052,0.076,0.069,-0.3,200,,,,
BHPUMJ,42.00,23/09/10,4:1,0.017,-,0.055,-,-,,,,
BHPVMG,44.00,23/09/10,4:1,0.001,-,0.065,-,-,,,,
BHPWMH,46.00,23/09/10,4:1,0.001,-,0.091,-,-,,,,
BHPWMI,48.00,23/09/10,4:1,0.001,-,0.06,-,-,,,,
BHPWOA,36.00,28/10/10,4:1,0.74,0.745,0.73,5.5,175,,,,
BHPWOB,38.00,28/10/10,4:1,0.445,0.45,0.44,5,52,,,,
BHPWOG,40.00,28/10/10,4:1,0.24,0.245,0.235,2,250,,,,
BHPWOH,42.00,28/10/10,4:1,0.115,0.12,0.12,2,500,,,,
BHPWOI,44.00,28/10/10,4:1,0.054,0.059,0.11,-,-,,,,
BHPVOB,39.00,23/12/10,4:1,0.575,0.58,0.535,-,-,,,,
BHPVOC,42.00,23/12/10,4:1,0.30,0.305,0.26,-,-,,,,
BHPVOF,46.00,23/12/10,4:1,0.105,0.11,-,-,-,,,,
BHPVMH,40.00,27/01/11,4:1,0.61,0.62,0.77,-,-,,,,
BHPVMI,42.00,27/01/11,4:1,0.43,0.435,0.425,2,200,,,,
BHPVMJ,44.00,27/01/11,4:1,0.295,0.30,0.355,-,-,,,,
BHPVMK,46.00,27/01/11,4:1,0.165,0.17,0.17,-,-,,,,
BlueScope Steel Last Sale Price $2.17,,,,,,,,,,,,
BSLUMB,2.50,28/10/10,1:1,0.054,0.057,0.06,-,-,,,,
Brambles Ltd Last Sale Price $5.85,,,,,,,,,,,,
BXBVME,5.00,23/09/10,1:1,0.86,0.885,0.67,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $50.55,,,,,,,,,,,,
CBAUMG,50.00,23/09/10,4:1,0.505,0.52,0.50,8,620,,,,
CBAVZE,52.00,23/09/10,5:1,0.115,0.16,0.125,6.6,170,,,,
CBAUMH,53.00,23/09/10,4:1,0.185,0.195,0.18,7.5,100,,,,
CBAWOG,54.00,23/09/10,5:1,0.076,0.081,0.076,1.6,1080,,,,
CBAUMI,55.00,23/09/10,4:1,0.079,0.085,0.042,-,-,,,,
CBAWOH,56.50,23/09/10,5:1,0.028,0.033,0.105,-,-,,,,
CBAWMI,57.00,23/09/10,4:1,0.028,-,0.56,-,-,,,,
CBAWMH,58.00,23/09/10,4:1,0.015,-,0.008,-,-,,,,
CBAWOI,59.00,23/09/10,5:1,0.014,0.019,0.012,-,-,,,,
CBAWOA,48.00,25/11/10,5:1,0.95,0.955,0.86,-,-,,,,
CBAWOB,50.50,25/11/10,5:1,0.65,0.655,0.59,-,-,,,,
CBAWOC,52.50,25/11/10,5:1,0.45,0.455,0.38,-,-,,,,
CBAWOJ,55.00,25/11/10,5:1,0.265,0.27,0.265,-,-,,,,
CBAWOK,57.50,25/11/10,5:1,0.155,0.175,0.165,4,1295,,,,
CBAVMF,48.00,27/01/11,4:1,1.53,1.545,-,-,-,,,,
CBAVMG,52.00,27/01/11,4:1,0.985,1.005,0.96,15.5,50,,,,
CBAVMH,56.00,27/01/11,4:1,0.60,0.61,-,-,-,,,,
CBAVMI,60.00,27/01/11,4:1,0.34,0.35,0.245,-,-,,,,
Computershare Ltd Last Sale Price $9.60,,,,,,,,,,,,
CPUUMB,11.50,23/09/10,1:1,0.015,-,0.20,-,-,,,,
CSL Ltd Last Sale Price $32.53,,,,,,,,,,,,
CSLUMB,34.00,23/09/10,4:1,0.074,0.077,0.091,-,-,,,,
CSLUMC,37.00,23/09/10,4:1,0.002,-,-,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.71,,,,,,,,,,,,
FMGUMB,4.50,23/09/10,1:1,0.35,0.355,0.37,12,30,,,,
Incitec Pivot Last Sale Price $3.37,,,,,,,,,,,,
IPLUMC,3.00,23/09/10,1:1,0.395,0.40,0.505,-,-,,,,
Macq Grp Ltd Last Sale Price $37.84,,,,,,,,,,,,
MQGVZC,42.00,23/09/10,5:1,0.033,0.042,0.425,-,-,,,,
MQGWOB,50.00,23/09/10,6:1,0.01,0.02,0.015,-,-,,,,
MQGWOC,57.50,23/09/10,6:1,0.005,0.01,0.014,-,-,,,,
MQGWOA,36.00,25/11/10,6:1,0.58,0.585,0.66,-,-,,,,
MQGWOF,40.00,25/11/10,6:1,0.27,0.275,0.285,7,250,,,,
MQGWOG,45.00,25/11/10,6:1,0.081,0.086,-,-,-,,,,
National Aust Bank Last Sale Price $23.55,,,,,,,,,,,,
NABWOI,25.00,23/09/10,4:1,0.058,0.081,0.16,-,-,,,,
NABVZF,26.00,23/09/10,4:1,0.009,0.04,-,-,-,,,,
NABWOG,26.00,23/09/10,4:1,0.025,0.037,0.021,-,-,,,,
NABWOH,28.00,23/09/10,4:1,0.012,0.017,0.027,-,-,,,,
NABWOA,23.50,25/11/10,4:1,0.305,0.33,0.23,-,-,,,,
