Warrants Market - Daily,,,,,,,,,,,,
XAO 4526.8 at 16:43 1/9/2010  Report at 19:06 Wednesday 1/9/2010. Processed 19:14 Wednesday 1/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.12,,,,,,,,,,,,
AMPWOB,5.25,23/09/10,3:1,0.027,0.037,-,-,-,,,,
AMPWOA,6.00,23/09/10,3:1,0.005,0.015,0.005,-,-,,,,
AMPWOC,5.75,25/11/10,3:1,0.035,0.04,-,-,-,,,,
AMPWOD,6.25,25/11/10,3:1,0.018,0.023,-,-,-,,,,
ANZ Banking Grp Last Sale Price $23.14,,,,,,,,,,,,
ANZVMB,20.00,23/09/10,4:1,0.82,0.825,-,-,-,,,,
ANZVMC,22.00,23/09/10,4:1,0.38,0.385,0.39,-,-,,,,
ANZWOG,22.50,23/09/10,4:1,0.27,0.275,0.295,7,1510,,,,
ANZVMD,24.00,23/09/10,4:1,0.089,0.092,0.096,-,-,,,,
ANZVZF,24.00,23/09/10,4:1,0.05,0.059,0.155,-,-,,,,
ANZWOH,24.50,23/09/10,4:1,0.05,0.06,0.056,1.5,300,,,,
ANZWMH,26.00,23/09/10,4:1,0.006,-,0.079,-,-,,,,
ANZWOI,26.50,23/09/10,4:1,0.011,0.021,0.17,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.001,-,0.001,-0.6,550,,,,
ANZVZG,23.00,28/10/10,4:1,0.275,0.305,-,-,-,,,,
ANZWOJ,22.00,25/11/10,4:1,0.445,0.45,-,-,-,,,,
ANZWOK,23.50,25/11/10,4:1,0.25,0.255,-,-,-,,,,
ANZWOL,25.00,25/11/10,4:1,0.13,0.135,-,-,-,,,,
ANZWOM,26.50,25/11/10,4:1,0.061,0.066,-,-,-,,,,
ANZVMF,21.00,27/01/11,4:1,-,-,-,-,-,,,,
ANZVMG,23.00,27/01/11,4:1,-,-,-,-,-,,,,
ANZVMH,25.00,27/01/11,4:1,-,-,0.47,-,-,,,,
ANZVMI,26.00,27/01/11,4:1,0.19,0.195,0.175,-,-,,,,
ASX Ltd Last Sale Price $29.59,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.015,-,0.086,-,-,,,,
