Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4403.9 at 2011-10-27T16:36:25. Report at Thursday, October 27, 2011. Processed Friday at 2011-10-28T01:00:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $22.00,
ANZVRC,20.00,27/10/11,4:1,.505,,.175,,,,
ANZWOC,20.00,27/10/11,4:1,.525,,.405,,,,
ANZVRD,21.00,27/10/11,4:1,.255,,.15,,,,
ANZWOA,21.00,27/10/11,4:1,.275,,.20,,,,
ANZWMJ,23.00,27/10/11,4:1,.001,,,,,,
ANZWOB,23.00,27/10/11,4:1,.005,,.031,,,,
ANZWOD,19.00,24/11/11,4:1,.70,.705,.70,+6,40,,
ANZVRE,21.00,24/11/11,4:1,.225,.225,,,,,
ANZWOE,21.00,24/11/11,4:1,.305,,.155,,,,
ANZVRF,22.50,24/11/11,4:1,.047,.046,,,,,
ANZWOF,23.00,24/11/11,4:1,.11,.115,.105,,,,
ANZVRH,21.00,22/12/11,4:1,.32,,,,,,
ANZVRG,22.50,22/12/11,4:1,.125,,,,,,
ANZWOG,18.00,24/01/12,4:1,1.035,1.04,,,,,
ANZWOH,21.00,24/01/12,4:1,.49,.495,.43,,,,
ANZWOI,24.00,24/01/12,4:1,.165,.17,.15,,,,
ANZWMK,25.00,24/01/12,4:1,.028,.07,.03,,,,
ANZWOJ,27.00,24/01/12,4:1,.047,.052,,,,,
,
BHP Billiton Last Sale Price $38.35,
BHPVRC,39.00,27/10/11,4:1,,,,,,,
BHPWOD,39.00,27/10/11,4:1,,.25,.008,,,,
BHPVRD,41.00,27/10/11,4:1,,,.037,,,,
BHPWOC,42.00,27/10/11,4:1,.002,,.105,,,,
BHPWOE,46.00,27/10/11,4:1,.005,,.006,,,,
BHPWOF,48.00,27/10/11,4:1,,,.006,,,,
BHPWOA,37.00,24/11/11,4:1,.70,.705,.695,+20,3400,,
BHPVRE,38.00,24/11/11,4:1,.405,.40,,,,,
BHPWOB,39.00,24/11/11,4:1,.445,.45,.255,,,,
BHPVRF,40.00,24/11/11,4:1,.15,.15,.066,,,,
BHPWOG,41.00,24/11/11,4:1,.23,.235,.18,,,,
BHPWOH,43.00,24/11/11,4:1,.105,.11,.072,,,,
BHPWML,45.00,24/11/11,4:1,.001,,.001,,,,
BHPVRG,38.00,22/12/11,4:1,.58,,,,,,
BHPVRH,40.00,22/12/11,4:1,.31,,,,,,
BHPVOA,33.00,24/01/12,4:1,1.80,1.805,1.47,,,,
BHPVOB,36.00,24/01/12,4:1,1.255,1.26,,,,,
BHPVOC,39.00,24/01/12,4:1,.805,.81,,,,,
BHPVOD,42.00,24/01/12,4:1,.465,.47,.44,+13,200,,
BHPWMM,46.00,24/01/12,4:1,.067,.09,.05,,,,
,
BlueScope Steel Last Sale Price $0.89,
BSLVRB,0.90,27/10/11,2:1,,,,,,,
,
