Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 08:30 Saturday 28/11/2009|. Processed 20:28 Sunday 29/11/2009.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Allied Brands Ltd,ordinary,ABQ,F,0.5,-,0.5,100,-,-,-,1,11/1/10,15/1/10,29/1/10,,,,,,,,,
Anglo Pacific Grp,ordinary,AGP,I,6.8506,-,6.8506,-,3,-,8.8055,-,9/11/09,13/11/09,13/1/10,,,,,,,,,
ANZ Banking Grp,ordinary,ANZ,F,56,-,102,100,3,3,62,74,5/11/09,11/11/09,18/12/09,,,,,,,,,
ANZ Banking Grp,pref share,ANZPB,I,103.93,-,206.18,100,-,-,-,143.15,24/11/09,30/11/09,15/12/09,,,,,,,,,
ARB Corp,ordinary,ARP,I,40,-,40,100,3,3,6,9,9/11/09,13/11/09,1/12/09,,,,,,,,,
Aust Pharm,ordinary,API,F,2,-,2,100,-,-,-,1,28/10/09,4/11/09,11/12/09,,,,,,,,,
Bank Of Queensland,ordinary,BOQ,F,26,-,52,100,3,-,35,38,13/11/09,19/11/09,1/12/09,,,,,,,,,
Beach Pet,ordinary,BPT,F,1,-,3,10,3,-,0.75,1,26/10/09,30/10/09,11/12/09,,,,,,,,,
Bendigo & Adelaide,reset conv pref,BENPA,I,305.47,-,305.47,100,-,-,305.47,-,12/4/10,16/4/10,3/5/10,,,,,,,,,
Bendigo & Adelaide,reset preference,BENPB,I,86.47,-,171.07,100,-,-,162.85,152.98,18/11/09,24/11/09,15/12/09,,,,,,,,,
Bendigo & Adelaide,step up non-cum pref,BENPC,I,98,-,184,100,-,-,490,86,16/12/09,22/12/09,11/1/10
Berklee Ltd,ordinary,BER,I,12,-,12,100,-,-,1,-,23/11/09,27/11/09,8/12/09
Brickworks Ltd,ordinary,BKW,F,26.5,-,39,100,-,-,12.5,26.5,19/11/09,25/11/09,9/12/09
BT Invest Mngmnt,ordinary,BTT,F,4.9,-,7.9,100,-,-,3.5,5.4,30/11/09,4/12/09,18/12/09
Campbell Brothers,ordinary,CPB,I,45,-,45,50,3,-,-,60,27/11/09,3/12/09,16/12/09
Canada Land Ltd,chess depositary int,CDL,I,-,-,-,-,-,-,-,0.28,7/12/09,11/12/09,6/1/10
Commonwealth Bank,perp.exc.(perls v),CBAPA,Q3,306.57,-,306.57,100,-,-,-,-,19/1/10,25/1/10,1/2/10
Commonwealth Bank,perp.exc.(perls iv),CBAPB,Q3,172.54,-,471.63,100,-,-,312.12,247.22,19/1/10,25/1/10,1/2/10
Count Financial,ordinary,COU,I,2,-,3,100,-,-,8,2,23/11/09,27/11/09,15/12/09
CSR Ltd,ordinary,CSR,I,2.5,-,2.5,100,4,-,6,-,4/11/09,10/11/09,23/12/09
Diploma Grp Ltd,ordinary,DGX,F,1,-,1,100,-,-,-,2,26/10/09,30/10/09,1/12/09
Environmental Grp,ordinary,EGL,F,0.2,-,0.2,100,3,-,-,0.3,11/1/10,15/1/10,29/1/10
Ethane Pipeline,stapled securities,EPX,I,3.39,-,6.78,-,-,-,3.08,3.1,23/12/09,31/12/09,15/1/10
Felix Res Ltd,ordinary,FLX,I,50,-,50,100,-,-,3,50,19/11/09,25/11/09,9/12/09
Fisher & Paykel H,ordinary,FPH,I,-,-,-,-,3,-,-,5.2536,3/12/09,9/12/09,18/12/09
Graincorp Ltd,a class ordinary,GNC,F,7.27,-,7.27,100,-,-,-,-,30/11/09,4/12/09,16/12/09
Greencross Ltd,ordinary,GXL,F,2,-,2,100,-,-,-,-,4/11/09,10/11/09,18/12/09
Gunns Ltd,forests,GNSPA,I,155.62,-,299.36,100,-,-,556.15,142.15,22/12/09,30/12/09,14/1/10
Harvey Norman,ordinary,HVN,F,6,-,6,100,-,-,7,7,30/10/09,6/11/09,7/12/09
HGL Ltd,ordinary,HNG,F,5,-,8,100,3,-,7,-,1/12/09,7/12/09,17/12/09
Hillgrove Res Ltd,ordinary,HGO,I,1,-,1,100,-,-,-,-,10/11/09,16/11/09,30/11/09
Incitec Pivot,ordinary,IPL,F,2.3,-,4.4,-,3,-,204,19.5,19/11/09,25/11/09,18/12/09
Insurance Aust,5.63% reset cnv.pref,IAGPA,I,282.27,-,282.27,100,-,-,282.27,-,24/11/09,30/11/09,15/12/09
Joyce Corp,ordinary,JYC,F,2,-,3.5,-,4,-,3,3,30/11/09,4/12/09,11/12/09
Katana Capital,ordinary,KAT,F,0.5,-,0.5,100,3,-,2,1,26/11/09,2/12/09,17/12/09
Lihir Gold Ltd,ordinary,LGL,I,1.62,-,1.62,-,-,-,-,-,2/11/09,9/11/09,30/11/09
Macq Grp Ltd,ordinary,MQG,I,86,-,86,-,3,-,145,-,9/11/09,13/11/09,16/12/09
Marbletrend Grp,ordinary,MBD,F,0.5,-,0.5,100,-,-,1,-,9/12/09,15/12/09,7/1/10
Namoi Cotton Co-Op,co-operative cap.unt,NAM,I,2.5,-,2.5,-,4,-,3,-,5/11/09,11/11/09,16/12/09
National Aust Bank,ordinary,NAB,F,73,-,146,100,3,3,97,97,13/11/09,19/11/09,17/12/09
Newmont Min Corp,cdi 10:1,NEM,I,-,-,0.9729,-,-,-,2.3256,1.1098,2/12/09,8/12/09,29/12/09
Orica Ltd,ordinary,ORI,F,57,-,97,35.09,3,-,39,55,11/11/09,17/11/09,4/12/09
Orica Ltd,step up preference,ORIPB,F,229,-,229,-,-,-,438,470,9/11/09,13/11/09,30/11/09
Preferred Capital,perls iii,PCAPA,I,-,-,147.15,-,-,-,620.94,145.32,22/12/09,30/12/09,6/1/10
Premium Investors,ordinary,PRV,I,3.5,-,3.5,100,3,-,-,4,10/12/09,16/12/09,28/1/10
Programmed,ordinary,PRG,I,3,-,3,100,3,-,-,10.5,31/12/09,7/1/10,27/1/10
Ruralco Hldgs,ordinary,RHL,F,6,-,12,100,4,-,9,-,30/11/09,4/12/09,11/1/10
Seven Net,reset cnv. pref.,SEVPC,I,197.94,-,197.94,100,-,-,365.7,-,9/11/09,13/11/09,30/11/09
