Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 08:30 Saturday 8/5/2010|. Processed 14:26 Sunday 9/5/2010.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Alcoa Inc,chess depositary int,AAI,F,2.7927,-,11.6158,-,-,-,38.3539,3.5739,3/5/10,7/5/10,25/5/10,,,,,,,,,
Anglo Pacific Grp,ordinary,AGP,F,7.7981,-,14.6487,-,3,-,8.8055,9.0212,3/5/10,7/5/10,7/7/10,,,,,,,,,
ANZ Banking Grp,ordinary,ANZ,I,52,-,52,100,3,3,46,-,6/5/10,12/5/10,1/7/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPA,F,132.86,-,253.95,100,-,-,-,219.02,24/5/10,28/5/10,15/6/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPB,F,122.27,-,444.96,100,-,-,-,143.15,24/5/10,28/5/10,15/6/10,,,,,,,,,
Asia Liver Trans,ordinary,AJJ,I,0.5,-,0.5,-,-,-,-,-,0/0/00,0/0/00,8/6/10,,,,,,,,,
Aspen Grp,ord/units stapled,APZ,Q3,1.05,-,3.15,-,4,-,9.79,-,25/3/10,31/3/10,20/5/10,,,,,,,,,
Aust Pharm,ordinary,API,I,1,-,1,100,-,-,-,1,7/5/10,13/5/10,3/6/10,,,,,,,,,
Bank Of Queensland,ordinary,BOQ,I,26,-,26,100,3,-,26,-,28/4/10,4/5/10,18/5/10,,,,,,,,,
Bendigo & Adelaide,reset conv pref,BENPA,F,310.53,-,616,100,-,-,305.47,310.53,11/10/10,15/10/10,1/11/10,,,,,,,,,
Bendigo & Adelaide,reset preference,BENPB,F,104.63,-,374.95,100,-,-,-,152.98,18/5/10,24/5/10,15/6/10,,,,,,,,,
Bendigo & Adelaide,step up non-cum pref,BENPC,F,110,-,396,100,-,-,167,86,21/6/10,25/6/10,12/7/10,,,,,,,,,
