Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-07-09T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Abacus Prop,units/ord stapled,ABP,F,8.25,-,16.5,-,3,-,-,1.5,7 Jul,13 Jul,15 Aug,0,,
Aberdeen Leaders,ordinary,ALR,F,3.75,-,9.5,100,3,-,4.0,3.75,28 Jun,4 Jul,29 Jul,0,,
Adelaide Mgd,units,AYT,F,-,0.55,0.95,-,-,-,-,3.903,24 Jun,30 Jun,31 Aug,0,,
Agricultural Land,ordinary units,AGJ,F,-,1.49,0.96,-,3,-,1.1,0.92,24 Jun,30 Jun,27 Sep,0,,
All 200 Energy,etf units,ENY,F,24.7017,-,30.608,39.80,3,-,-,-,1 Jul,7 Jul,14 Jul,0,,
All 200 Financials,etf units,FIN,F,4.031,-,18.0219,70.59,3,-,-,-,1 Jul,7 Jul,14 Jul,0,,
All 200 Fin-x-A-REIT,etf units,FIX,F,4.8747,-,20.099,88.09,3,-,-,-,1 Jul,7 Jul,14 Jul,0,,
All 200 Industrials,etf units,IDD,F,6.3073,-,11.2839,49.47,3,-,-,-,1 Jul,7 Jul,14 Jul,0,,
All 200 Resources,etf units,RSR,F,9.0102,-,10.5952,42.46,3,-,-,-,1 Jul,7 Jul,14 Jul,0,,
All 300 Metals & Mining,etf units,MAM,F,4.1389,-,4.8556,56.38,3,-,-,-,1 Jul,7 Jul,14 Jul,0,,
ALE Prop Grp,stapled securities,LEP,F,-,9.75,10.0,-,3,-,12.0,12.0,24 Jun,30 Jun,31 Aug,0,,
AMCB Fund No 1,ordinary,AKS,F,365.0,-,597.0,100,-,-,-,-,29 Jun,5 Jul,13 Jul,0,,
AMCB Fund No 3,ordinary,AKU,F,316.0,-,586.0,100,-,-,-,-,29 Jun,5 Jul,12 Jul,0,,
Aneka Tambang,cdi  1:5,ATM,F,3.2811,-,3.2811,-,-,-,-,1.3713,5 Jul,11 Jul,25 Jul,0,,
ANZ Banking Grp,pref share,ANZPA,Q1,143.3,-,143.3,100,-,-,412.99,141.62,25 Aug,31 Aug,15 Sep,0,,
ANZ Banking Grp,pref share,ANZPB,Q1,132.71,-,132.71,100,-,-,381.34,131.26,25 Aug,31 Aug,15 Sep,0,,
APA Grp,stapled securities,APA,F,-,17.9,16.5,-,3,-,15.75,17.0,24 Jun,30 Jun,15 Sep,0,,
Ardent Leisure Grp,stapled securities,AAD,F,-,5.0,6.5,-,3,-,6.5,4.25,24 Jun,30 Jun,31 Aug,0,,
Aspen Grp,ord/units stapled,APZ,F,1.05,-,4.2,-,3,-,3.15,1.05,24 Jun,30 Jun,19 Aug,0,,
