Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-11-22T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
AIMS Prop Sec Fund,units,APW,I,-,0.1088,-,-,4,-,-,-,26 Sep,30 Sep,19 Dec,0,,
Alcoa Inc,chess depositary int,AAI,I,2.4157,-,2.4157,-,-,-,-,2.6893,5 Nov,7 Nov,25 Nov,0,,
AMA Grp,ordinary,AMA,F,1.6,-,1.6,100,-,-,-,1.6,13 Oct,15 Oct,3 Dec,0,,
Aust Masters YF4,ordinary,AYK,I,71.0,-,71.0,100,-,-,-,90.0,19 Nov,21 Nov,5 Dec,0,,
Aust Masters YF1,ordinary,AYD,I,95.0,-,95.0,100,-,-,100.0,95.0,19 Nov,21 Nov,5 Dec,0,,
Aust Masters YF3,ordinary,AYJ,I,120.0,-,120.0,100,-,-,-,115.0,19 Nov,21 Nov,5 Dec,0,,
Aust Masters YF2,ordinary,AYH,I,90.0,-,90.0,100,-,-,-,95.0,19 Nov,21 Nov,5 Dec,0,,
ANZ Banking Grp,ordinary,ANZ,F,95.0,-,178.0,100,3,3,73.0,91.0,7 Nov,11 Nov,16 Dec,0,,
ANZ Banking Grp,pref share cps2,ANZPA,F,100.29,-,400.78,100,-,-,216.94,102.63,26 Nov,28 Nov,15 Dec,0,,
ANZ Banking Grp,pref share cps3,ANZPC,I,200.35,-,200.35,100,-,-,197.5,-,11 Feb,13 Feb,2 Mar,0,,
ANZ Banking Grp,cap note,ANZPD,I,210.82,-,210.82,100,-,-,237.75,-,18 Feb,20 Feb,2 Mar,0,,
ANZ Banking Grp,cap note 2,ANZPE,I,208.45,-,208.45,100,-,-,-,-,12 Mar,16 Mar,24 Mar,0,,
ARB Corp,ordinary,ARP,I,100.0,-,100.0,100,3,3,12.5,15.5,17 Nov,19 Nov,5 Dec,0,,
AusNet Services,stapled securities,AST,I,4.18,-,4.18,52.63,3,-,-,-,21 Nov,25 Nov,24 Dec,0,,
Aust Pharmaceutical,ordinary,API,F,2.0,-,3.5,100,-,-,1.5,1.75,12 Nov,14 Nov,12 Dec,0,,
Bank of Qld,ordinary,BOQ,F,34.0,-,66.0,100,3,-,28.0,30.0,3 Nov,6 Nov,27 Nov,0,,
Bendigo & Adelaide Bk,reset preference,BENPB,I,72.37,-,72.37,100,-,-,235.79,71.2,20 Nov,24 Nov,15 Dec,0,,
Bendigo & Adelaide Bk,conv pref share,BENPD,I,273.9,-,273.9,100,-,-,273.62,-,26 Nov,28 Nov,15 Dec,0,,
Bendigo & Adelaide Bk,conv pref share 2,BENPE,I,59.29,-,59.29,100,-,-,-,-,17 Nov,19 Nov,1 Dec,0,,
Brickworks,ordinary,BKW,F,28.0,-,42.0,100,-,-,13.5,-,3 Nov,6 Nov,27 Nov,0,,
BT Invest Mgt,ordinary,BTT,F,19.0,-,35.0,35.00,3,-,8.0,10.0,3 Dec,5 Dec,19 Dec,0,,
Cape Lambert Res,ordinary,CFE,I,2.0,-,2.0,100,-,-,-,-,28 Jan,30 Jan,27 Feb,0,,
Challenger,cn cap note,CGFPA,I,179.0,-,179.0,-,-,-,-,-,13 Feb,17 Feb,25 Feb,0,,
C'wlth Bank  of Aust,perp.exc.(perls vi),CBAPC,I,112.51,-,112.51,100,-,-,357.47,111.34,3 Dec,5 Dec,15 Dec,0,,
C'wlth Bank  of Aust,perp.exc.perls vii,CBAPD,I,79.08,-,79.08,100,-,-,-,-,3 Dec,5 Dec,15 Dec,0,,
CSR,ordinary,CSR,I,8.5,-,8.5,-,3,-,5.0,-,13 Nov,17 Nov,16 Dec,0,,
Desane Grp Hldgs,ordinary,DGH,F,2.0,-,4.0,100,-,-,-,1.0,12 Nov,14 Nov,26 Nov,0,,
DuluxGroup,ordinary,DLX,F,10.5,-,20.5,100,3,-,8.0,9.5,25 Nov,27 Nov,17 Dec,0,,
E & A,ordinary,EAL,F,2.75,-,5.5,100,3,-,2.5,2.5,12 Nov,14 Nov,28 Nov,0,,
Fisher & Paykel Health,ordinary,FPH,I,5.2665,-,5.2665,-,3,-,4.9075,-,3 Dec,5 Dec,19 Dec,1,,
Gale Pacific,ordinary,GAP,F,1.35,-,2.65,-,4,-,1.3,1.35,13 Nov,17 Nov,1 Dec,0,,
GrainCorp,a class ordinary,GNC,F,5.0,-,20.0,100,-,-,25.0,20.0,28 Nov,2 Dec,16 Dec,0,,
Harvey Norman,ordinary,HVN,F,8.0,-,14.0,100,-,-,4.5,4.5,30 Oct,3 Nov,1 Dec,0,,
Incitec Pivot,ordinary,IPL,F,7.3,-,10.8,10.00,3,-,3.4,5.8,20 Nov,24 Nov,16 Dec,0,,
Infratil,ordinary,IFZ,I,-,-,-,-,4,-,3.3266,-,26 Nov,28 Nov,15 Dec,0,,
Insurance Aust Grp,conv pref shs,IAGPC,I,232.23,-,232.23,100,-,-,229.62,-,21 Apr,23 Apr,1 May,0,,
IPE,ordinary,IPE,I,3.0,-,3.0,100,-,-,3.0,-,13 Nov,17 Nov,4 Dec,0,,
Ironbark Capital,ordinary,IBC,I,2.0,-,2.0,100,4,-,1.25,-,15 Dec,17 Dec,30 Dec,0,,
James Hardie Ind,chess depositary int,JHX,I,9.1733,-,9.1733,-,-,-,9.0448,-,19 Dec,23 Dec,27 Feb,1,,
Macquarie Bank,cnv cap note,MBLPA,I,236.3,-,236.3,40.00,-,-,-,-,12 Mar,16 Mar,24 Mar,0,,
