Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-06-13T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
8I Hldgs,cdi 1:1,8IH,F,0.9397,-,0.9397,-,-,-,-,-,10 Jul,14 Jul,31 Aug,0,,
AIMS Prop Sec Fund,units,APW,I,-,0.1791,-,-,4,-,0.15,0.0901,27 Mar,31 Mar,19 Jun,0,,
ALE Prop Grp,stapled securities,LEP,F,8.45,-,16.85,-,4,-,8.2,8.25,26 Jun,30 Jun,7 Sep,1,,
ALS,ordinary,ALQ,F,10.0,-,21.0,25.00,3,-,19.0,20.0,9 Jun,11 Jun,1 Jul,0,,
ANZ Banking Grp,ordinary,ANZ,I,86.0,-,86.0,100,3,3,83.0,-,8 May,12 May,1 Jul,0,,
ANZ Banking Grp,ctg pre 3m per t,ANZPA,I,94.59,-,94.59,100,-,-,201.9,100.26,26 May,28 May,15 Jun,0,,
ANZ Banking Grp,ctg pre 6m per t,ANZPC,I,190.04,-,190.04,100,-,-,197.5,200.23,13 Aug,17 Aug,1 Sep,0,,
ANZ Banking Grp,cn 6m per q rd t,ANZPD,I,200.57,-,200.57,100,-,-,237.75,210.71,20 Aug,24 Aug,1 Sep,0,,
ANZ Banking Grp,cn 6m per q rd t,ANZPE,I,196.02,-,196.02,100,-,-,-,202.99,14 Sep,16 Sep,24 Sep,0,,
ANZ Banking Grp,cn 6m per q rd t,ANZPF,I,232.81,-,232.81,100,-,-,-,-,14 Sep,16 Sep,24 Sep,0,,
Aristocrat Leisure,ordinary,ALL,I,8.0,-,8.0,-,4,-,8.0,-,29 May,2 Jun,3 Jul,0,,
Aurora Div Inc Tr,managed fund units,AOD,I,0.45,-,0.45,72.59,3,-,0.5,-,28 May,1 Jun,19 Jun,0,,
AusNet Services,stapled securities,AST,F,4.18,-,8.36,53.04,3,-,-,-,9 Jun,11 Jun,26 Jun,0,,
Bendigo&Adelaide Bk,cn 3m per q rd t,BENPB,I,66.67,-,66.67,100,4,4,217.26,72.34,20 May,22 May,15 Jun,0,,
Bendigo&Adelaide Bk,ctg pre 6m per rd t,BENPD,I,271.2,-,271.2,100,4,4,-,266.49,26 May,28 May,15 Jun,0,,
Bendigo&Adelaide Bk,ctg pre 6m per rd t,BENPE,I,189.53,-,189.53,100,4,4,59.29,-,16 Nov,18 Nov,30 Nov,1,,
BetaShares DivHarv,etf units,HVST,I,21.7109,-,21.7109,57.33,3,-,-,-,1 Jun,3 Jun,17 Jun,0,,
BetaShares HighIntCash,etf units,AAA,I,10.444,-,10.444,-,3,-,14.3274,-,1 Jun,3 Jun,17 Jun,0,,
BT Invest Mgt,ordinary,BTT,I,17.0,-,17.0,40.00,3,-,16.0,-,13 May,15 May,2 Jul,0,,
Challenger,ctg pre 3m per q t,CGFPA,I,97.0,-,97.0,100,-,-,-,-,13 Aug,17 Aug,25 Aug,0,,
Charter Hall Grp,stapled us prohibit.,CHC,F,12.1,-,24.2,-,3,-,11.0,11.3,26 Jun,30 Jun,31 Aug,1,,
Clime Capital,ordinary,CAM,F,1.2,-,2.35,100,3,-,3.15,1.15,1 Jul,3 Jul,23 Jul,1,,
Clime Capital,ctg pre 7.50% per 3m,CAMPA,F,4.5,-,9.25,100,-,-,14.25,4.75,1 Jul,3 Jul,22 Jul,1,,
C'wlth Bank  of Aust,cn 3m per q rd t,CBAPC,I,107.98,-,107.98,100,4,-,337.71,113.71,3 Jun,5 Jun,15 Jun,0,,
C'wlth Bank  of Aust,cn 3m per q rd t,CBAPD,I,90.34,-,90.34,100,4,-,-,-,3 Jun,5 Jun,15 Jun,0,,
CSR,ordinary,CSR,F,11.5,-,20.0,-,3,-,5.0,5.0,2 Jun,4 Jun,7 Jul,0,,
Desane Grp Hldgs,ordinary,DGH,I,15.0,-,15.0,100,3,-,2.0,-,11 Jun,15 Jun,30 Jun,0,,
Dicker Data,ordinary,DDR,I,2.7,-,2.7,100,3,-,1.0,0.7,15 Jun,17 Jun,26 Jun,1,,
DuluxGroup,ordinary,DLX,I,11.0,-,11.0,100,3,-,10.0,-,27 May,29 May,19 Jun,0,,
Fisher & Paykel Hlth,ordinary,FPH,F,7.5358,-,12.9043,-,3,-,4.9075,6.5037,17 Jun,19 Jun,10 Jul,0,,
G8 Education,ordinary,GEM,I,6.0,-,6.0,100,3,-,10.0,4.5,24 Jun,26 Jun,7 Jul,1,,
Gentrack Grp,ordinary,GTK,I,3.8621,-,3.8621,30.00,-,-,-,-,10 Jun,12 Jun,19 Jun,0,,
GrainCorp,a class ordinary,GNC,I,7.5,-,7.5,100,-,-,15.0,-,1 Jul,3 Jul,17 Jul,0,,
Incitec Pivot,ordinary,IPL,I,4.4,-,4.4,-,3,-,3.5,-,19 May,21 May,1 Jul,0,,
Infratil,ordinary,IFZ,F,13.3071,-,31.3056,-,4,-,3.3266,6.3903,3 Jun,5 Jun,15 Jun,0,,
Insurance Aust Grp,ctg pre 6m per q t,IAGPC,I,222.1,-,222.1,100,-,-,239.42,-,21 Oct,23 Oct,2 Nov,0,,
James Hardie Ind,chess depositary int,JHX,F,63.0826,-,72.953,-,-,-,30.8756,55.4424,9 Jun,11 Jun,7 Aug,0,,
Kathmandu Hldgs,ordinary,KMD,I,2.7801,-,2.7801,100,-,-,2.3205,-,3 Jun,5 Jun,19 Jun,0,,
Macquarie Bank,cn 6m per q rd t,MBLPA,I,241.21,-,241.21,40.00,-,-,-,-,14 Sep,16 Sep,24 Sep,0,,
Macquarie Grp,ordinary,MQG,F,200.0,-,330.0,40.00,3,-,100.0,160.0,18 May,20 May,2 Jul,0,,
Metro Perform Glass,ordinary,MPP,F,3.3911,-,3.3911,-,-,-,-,-,16 Jul,20 Jul,4 Aug,0,,
National Aust Bank,ordinary,NAB,I,99.0,-,99.0,100,3,3,99.0,-,15 May,19 May,3 Jul,0,,
National Aust Bank,cn 3m per q rd t-21,NABPA,I,98.79,-,98.79,100,-,-,306.67,103.3,2 Jun,4 Jun,22 Jun,0,,
National Aust Bank,cn 3m per q rd t-22,NABPB,I,98.19,-,98.19,100,-,-,100.8,104.01,28 May,1 Jun,17 Jun,0,,
National Aust Bank,cn 3m per q rd t-23,NABPC,I,101.72,-,101.72,100,-,-,-,-,11 Jun,15 Jun,23 Jun,0,,
Newhaven Hotels,ordinary,NHH,F,3.0,-,6.0,100,-,-,2.0,4.0,10 Jun,12 Jun,23 Jun,0,,
Orica,ordinary,ORI,I,40.0,-,40.0,35.00,3,-,40.0,-,28 May,1 Jun,1 Jul,0,,
Otto Energy,ordinary,OEL,I,0.76,-,0.76,-,-,-,-,-,12 Jun,16 Jun,26 Jun,1,,
OzForex Grp,ordinary,OFX,F,3.584,-,7.084,100,-,-,-,2.375,10 Jun,12 Jun,26 Jun,0,,
Preferred Capital,tr pre 3m per q su,PCAPA,I,110.29,-,110.29,100,4,-,390.04,130.6,24 Jun,26 Jun,6 Jul,0,,
Programmed Maint,ordinary,PRG,F,11.5,-,18.0,100,4,-,6.0,11.0,1 Jul,3 Jul,24 Jul,0,,
PTB Grp,ordinary,PTB,F,5.0,-,5.0,100,3,-,-,-,20 May,22 May,16 Jun,0,,
Ramsay Health Care,tr pre 6m per q rd t,RHCPA,I,250.94,-,250.94,100,-,-,261.93,263.29,30 Sep,2 Oct,20 Oct,0,,
ResMed Inc,cdi  10:1,RMD,I,3.0175,-,3.0175,-,-,-,2.3605,2.705,19 May,21 May,18 Jun,0,,
RFM Poultry,nsx - ordinary,RFP,I,2.5125,-,2.5125,100,3,-,-,3.31,26 Jun,30 Jun,30 Jul,1,,
Rural Funds Grp,stapled,RFF,F,2.1475,-,4.295,-,3,-,2.1296,-,26 Jun,30 Jun,30 Jul,0,,
Ruralco Hldgs,ordinary,RHL,I,9.0,-,9.0,100,3,-,8.0,-,3 Jun,5 Jun,26 Jun,0,,
Suncorp Grp,cn 3m per q rd t,SUNPC,I,122.89,-,122.89,100,4,-,382.19,128.71,5 Jun,10 Jun,17 Jun,0,,
Suncorp Grp,cn 3m per q rd,SUNPD,I,128.25,-,128.25,-,-,-,407.88,140.02,12 Aug,14 Aug,24 Aug,0,,
Suncorp Grp,cn 3m per q rd t,SUNPE,I,100.83,-,100.83,100,4,-,-,46.67,29 May,2 Jun,17 Jun,0,,
Sunland Grp,ordinary,SDG,I,2.0,-,2.0,100,4,-,2.0,-,1 Jun,3 Jun,25 Jun,0,,
Sydney Airport,stapled us prohibit.,SYD,I,12.5,-,12.5,-,3,-,11.5,-,26 Jun,30 Jun,14 Aug,0,,
Technology One,ordinary,TNE,I,2.15,-,2.15,100,-,-,1.95,-,1 Jun,3 Jun,17 Jun,0,,
Thorn Grp,ordinary,TGA,F,6.75,-,11.75,100,3,-,4.5,6.5,30 Jun,2 Jul,16 Jul,0,,
Tower,ordinary,TWR,I,6.7467,-,6.7467,-,4,-,5.0278,-,10 Jun,12 Jun,30 Jun,0,,
Transmetro Corp,ordinary,TCO,F,5.0,-,5.0,100,-,-,-,5.0,10 Jun,12 Jun,30 Jun,0,,
Transurban Grp,triple stapled sec.,TCL,F,20.5,-,40.0,17.07,3,-,17.0,18.0,26 Jun,30 Jun,14 Aug,0,,
Westpac Banking,ordinary,WBC,I,93.0,-,93.0,100,3,-,90.0,-,13 May,15 May,2 Jul,0,,
Westpac Banking,ctg pre 6m per rd t,WBCPC,F,191.45,-,400.87,100,-,-,-,208.94,18 Sep,22 Sep,30 Sep,0,,
Westpac Banking,cn 3m per q rd t,WBCPD,I,94.28,-,94.28,100,-,-,-,-,27 Aug,31 Aug,8 Sep,0,,
Westpac Banking,cn 3m per q rd t,WBCPE,I,93.6,-,93.6,100,-,-,-,-,11 Jun,15 Jun,23 Jun,0,,
Westpac TPS Tr,c pre 3m 09-55 q rd,WCTPA,I,55.73,-,55.73,100,-,-,67.18,-,11 Jun,15 Jun,30 Jun,0,,
,
