Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4754.5 at 16:47 9/10/2009 Report at 22:01 Friday 9/10/2009. Processed 17:05 Sunday 11/10/2009.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,127.028,37.85,165,39.85,20.00,113.63,f,3.00,4.29,45.3,130.15,29.1,-13.5,2.53,8.84,40.1,14.4
2,2,CBA,C'wlth Bank  of Aust ,80.74,53.16,316,53.63,24.03,228,f,4.29,6.13,-14.3,328.5,16.2,-15.0,2.57,13.65,40.3,9.8
3,3,WBC,Westpac Banking,76.818,26.12,102,26.74,14.40,128,f,4.90,7.00,8.4,172.3,15.2,6.2,3.89,7.92,38.0,8.9
4,4,NAB,National Aust Bank,66.221,31.60,175,31.78,15.85,170,f,5.38,7.69,6.6,262.7,12.0,-2.8,2.02,12.66,42.6,-0.4
5,5,ANZ,ANZ Banking Grp,61.662,24.62,101,25.08,11.83,120,,4.87,6.96,-,170.4,14.4,-27.8,2.32,10.72,53.2,0.4
6,6,TLS,Telstra Corp,39.32,3.16,-6,4.46,2.93,28,f,8.86,12.66,-,32.9,9.6,10.5,3.10,0.32,-16.5,-0.5
7,10,RIO,Rio Tinto Ltd,37.32,61.50,431,68.301,23.59,101.48,,1.65,2.36,7.8,87.06,70.6,74.3,1.15,-,2.6,1.6
8,8,NWS,News Corp b voting,36.809,15.52,12,16.64,8.93,5.14,,0.33,0.41,12.4,74.58,20.8,38.4,0.42,-0.04,5.6,-17.6
9,7,WPL,Woodside Pet,36.278,50.57,-85,53.12,26.81,110,f,2.18,3.11,29.8,240,21.1,77.9,5.23,11.33,24.0,13.5
10,9,WOW,Woolworths Ltd,35.655,28.85,-6,29.80,23.68,104,f,3.60,5.15,13.0,150.71,19.1,12.1,5.05,1.54,7.8,15.4
11,11,WDC,Westfield Grp stpld,30.693,13.30,12,17.75,8.68,100.25,,7.54,7.54,-,-211.56,-,25.8,1.23,11.02,-11.7,-4.7
12,12,WES,Wesfarmers Ltd,30.466,26.30,79,27.04,14.244,110,f,4.18,5.97,-42.1,160,16.4,-,1.09,3.14,35.8,-1.0
13,13,QBE,QBE Insurance Grp,23.355,22.80,-70,28.65,15.01,127,p,5.57,6.05,3.3,213.9,10.7,-5.3,2.08,5.17,-5.1,2.3
14,15,MQG,Macq Grp Ltd,19.096,57.40,260,58.80,15.00,185,p,3.22,4.27,-46.4,309.6,18.5,-52.8,2.00,23.72,107.3,-3.4
15,14,CSL,CSL Ltd,19.031,31.82,-138,39.75,26.85,70,,2.20,2.20,52.2,192.51,16.5,34.5,3.48,7.49,-10.7,21.6
16,16,NCM,Newcrest Min,17.265,35.72,410,37.17,16.55,15,,0.42,0.42,50.0,53,67.4,-9.5,3.96,8.95,72.6,17.9
17,17,ORG,Origin Energy,14.204,16.18,18,17.70,12.34,50,f,3.09,4.41,100.0,791,2.0,-20.8,1.28,8.31,8.2,35.2
18,18,AMP,AMP Ltd,13.782,6.79,64,6.82,3.52,30,p,4.42,5.72,-13.0,29.6,22.9,-48.3,6.51,0.67,32.6,-4.5
19,19,STO,Santos Ltd,12.564,15.12,34,16.582,9.325,42,f,2.78,3.97,5.0,236.7,6.4,30.9,2.81,-,24.7,19.1
20,20,FMG,Fortescue Metals Grp,11.659,3.77,14,4.75,1.16,-,,-,-,-,21.9,17.2,-,11.12,0.35,27.8,58.7
21,22,SUN,Suncorp-Metway,11.54,9.08,58,9.479,4.36,40,f,4.41,6.29,-60.4,31.62,28.7,-44.8,0.87,5.11,27.9,-17.3
22,24,LEI,Leighton Hldgs,11.032,37.00,261,38.83,16.15,115,f,3.11,4.44,-19.9,149.5,24.7,-3.5,4.72,7.43,56.2,24.9
23,23,FGL,Foster's Grp,10.825,5.61,7,6.17,4.80,27.25,f,4.86,6.94,3.8,22.8,24.6,1.8,2.88,0.46,2.9,-0.3
24,21,BXB,Brambles Ltd,9.958,7.10,-68,8.85,4.08,30,p,4.23,4.48,-13.0,40.18,17.7,6.4,5.65,0.58,-5.9,-14.3
25,26,AXA,AXA Asia Pacific,9.757,4.72,40,5.19,2.52,18.5,p,3.92,4.51,-16.9,-7.39,-,-,2.99,0.96,12.6,-7.3
26,25,SGP,Stockland stpld,9.58,4.02,9,5.073,1.955,34,p,8.46,8.49,-22.6,-104.1,-,-16.2,1.09,3.61,17.6,-11.3
27,27,ORI,Orica Ltd,8.495,23.60,79,24.87,10.75,95,p,4.03,4.64,7.8,143.3,16.5,5.8,1.97,1.38,28.6,3.6
28,28,IAG,Insurance Aust Grp,8.066,3.88,16,4.16,2.94,10,f,2.58,3.68,-55.6,9.32,41.6,20.1,1.67,1.16,5.0,-7.0
29,30,OSH,Oil Search Ltd,7.697,6.77,47,6.82,2.95,7.85,,1.16,1.16,7.3,19.77,34.2,113.4,3.35,-,52.6,28.0
30,29,CCL,Coca-Cola Amatil,7.486,10.08,16,12.00,7.62,40.5,f,4.02,5.74,9.9,54.8,18.4,12.9,5.46,1.14,30.7,17.8
31,33,LGL,Lihir Gold Ltd,7.414,3.13,28,3.64,1.52,-,,-,-,-,-9.97,-,54.7,1.76,1.29,60.5,4.4
32,31,CNA,Coal & Allied Ind  ,6.926,79.99,-1,108.50,67.50,710,f,8.88,12.68,2740.0,1076.6,7.4,632.1,4.66,15.40,-8.1,2.3
33,32,WOR,WorleyParsons Ltd,6.902,29.27,28,31.79,10.62,93,f,3.18,4.41,8.8,161.1,18.2,13.2,4.17,-0.03,103.8,20.6
34,36,QAN,Qantas Airways,6.727,2.97,13,3.02,1.38,6,,2.02,2.89,-82.9,5.6,53.0,-82.1,1.17,2.25,27.0,-5.7
35,34,AMC,Amcor Ltd,6.543,5.36,-5,6.082,3.50,34,,6.34,6.34,-,25.3,21.2,0.2,2.13,1.61,5.6,-0.7
36,35,CWN,Crown Ltd,6.395,8.49,-10,9.14,4.18,37,p,4.36,5.48,-31.5,-166.89,-,-37.2,1.86,3.42,32.7,-
37,38,AGK,AGL Energy Ltd,6.338,14.12,51,15.82,12.14,54,f,3.82,5.46,1.9,358,3.9,9.0,1.08,6.00,4.9,0.6
38,39,CPU,Computershare Ltd,6.168,11.10,24,11.32,6.11,22,p,1.98,2.36,4.8,56.75,19.6,19.7,5.55,-1.95,35.7,15.5
39,37,LNN,Lion Nathan Ltd,6.122,11.46,1,11.47,7.052,44,f,3.84,5.48,5.0,51.2,22.4,4.2,6.97,-0.94,42.4,18.2
40,41,ASX,ASX Ltd,6.106,35.46,127,37.90,23.52,164.9,f,4.65,6.64,-14.3,183.2,19.4,-14.3,2.20,2.66,25.4,4.9
41,40,GPT,GPT Grp stpld,6.077,0.655,2,1.25,0.191,8.8,,13.44,13.44,-19.5,-107.6,-,-31.1,0.89,0.71,10.9,-34.9
42,42,TOL,Toll Hldgs Ltd,5.815,8.36,,8.87,4.38,25,f,2.99,4.27,11.5,39.95,20.9,-17.1,2.24,1.58,44.7,4.8
43,45,BSL,BlueScope Steel,5.47,3.00,12,5.05,1.675,5,,1.67,2.38,-87.3,-7.1,-,-90.7,0.97,2.46,-13.2,-16.4
44,44,TCL,Transurban stpld,5.315,4.12,1,5.80,3.51,22,,5.34,5.34,-61.4,-1.9,-,-85.2,1.38,2.79,-20.0,-10.7
45,43,SHL,Sonic Healthcare,5.248,13.51,-25,14.85,9.96,57,p,4.22,5.03,9.6,46.9,28.8,15.9,2.07,-1.72,3.0,4.8
46,47,CFX,CFS Retail Prop unt,4.992,2.01,3.5,2.38,1.415,12.5,p,6.22,6.22,4.2,-15.27,-,24.2,1.00,2.02,5.7,6.4
47,46,AFI,Aust Foundation,4.967,5.04,6,5.23,3.41,21,f,4.17,5.95,-,10.61,47.5,-49.8,1.40,4.79,17.6,4.8
48,51,AIO,Asciano Grp stpld,4.945,1.69,9,2.361,0.32,23,,13.61,13.61,-100.0,-32.5,-,-70.5,2.24,-1.41,0.6,-
49,49,LLC,Lend Lease Corp,4.843,10.51,27,11.29,4.85,41,f,3.90,5.16,-46.8,-164.7,-,-35.7,1.98,4.20,58.3,-9.8
50,48,MAP,Macq Airports stpld,4.829,2.81,1.1,2.95,1.291,27,,9.61,9.61,3.9,118.92,2.4,-37.1,0.74,-,46.8,5.5
51,50,ERA,Energy Res,4.822,25.28,70,28.28,9.35,34,f,1.34,1.92,40.0,162.78,15.5,48.3,6.35,-,79.6,13.8
52,53,NHC,New Hope Corp,4.721,5.74,15,5.97,3.03,9.25,f,1.61,2.30,60.9,240.3,2.4,189.4,1.72,3.36,90.3,76.0
53,55,IPL,Incitec Pivot,4.676,2.90,18,4.47,1.63,21.6,f,7.45,10.64,1617.3,47.27,6.1,205.7,1.49,-0.14,-13.1,44.5
54,52,HVN,Harvey Norman,4.674,4.40,2,4.59,1.805,11,f,2.50,3.57,-21.4,20.18,21.8,-15.0,2.27,2.01,75.8,10.5
55,54,MGR,Mirvac Grp stpld,4.657,1.66,6.5,2.043,0.542,5,,3.01,3.01,-72.6,-65.21,-,-59.1,0.96,1.73,96.5,-23.1
56,57,AWC,Alumina Ltd,4.575,1.875,13,2.231,0.683,12,,6.40,9.14,-46.9,9.42,19.9,-50.9,1.64,1.30,2.3,-27.9
57,61,OST,OneSteel Ltd,4.216,3.18,17,4.009,1.40,10,,3.14,3.95,-49.2,22.59,14.1,-49.7,0.97,1.66,4.8,-2.7
58,56,TAH,Tabcorp Hldgs Ltd,4.212,6.93,-13,7.73,6.05,65,f,9.38,13.40,38.3,93.2,7.4,-5.3,1.29,-0.02,11.5,-18.9
59,60,GMG,Goodman Grp forus,4.082,0.675,1,1.631,0.123,9.65,,14.30,14.30,-71.6,-45.4,-,13.3,1.08,0.84,-10.1,-47.9
60,66,FXJ,Fairfax Media Ltd,4.034,1.715,10.5,2.263,0.795,2,,1.17,1.54,-89.2,-21.6,-,-48.1,0.81,-0.37,-1.6,-24.5
61,58,FBU,Fletcher Bld,4.026,6.66,-22,7.04,3.90,28.62,,4.30,4.30,-22.8,-7,-,-22.1,1.67,2.25,40.1,-2.1
62,68,OZL,OZ Min,3.98,1.275,17,1.385,0.40,5,,3.92,3.92,-37.5,-123.36,-,-92.0,1.23,0.80,34.9,-25.6
63,59,TEL,Telecom Corp fpo nz,3.925,2.09,-6,2.44,1.74,16.92,,8.10,8.10,-18.7,17.7,11.8,-30.0,1.80,0.76,13.0,-12.9
64,64,ARG,Argo Invest,3.922,6.70,7,6.88,4.52,27,f,4.03,5.76,-10.0,-11.1,-,-53.1,1.36,6.38,13.5,-
65,62,SGM,Sims Metal Mgmt,3.829,21.00,-74,29.15,10.68,38,f,1.81,2.58,-68.3,-82.9,-,-92.8,1.34,8.09,51.1,3.6
