Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4722.6 at 16:47 13/11/2009  Report at 19:05 Friday 13/11/2009. Processed 13:26 Sunday 15/11/2009.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,130.921,39.01,161,40.28,20.00,113.63,f,2.91,4.16,45.3,130.15,30.0,-13.5,2.50,8.84,25.0,15.4
2,2,CBA,C'wlth Bank  of Aust ,83.356,54.33,162,56.24,24.03,228,f,4.20,6.00,-14.3,328.5,16.5,-15.0,2.57,13.65,64.5,9.7
3,3,WBC,Westpac Banking,75.953,25.82,-73,27.57,14.40,116,f,4.49,6.42,-18.3,125.3,20.6,-37.4,2.14,7.89,56.3,8.8
4,4,NAB,National Aust Bank,60.542,28.89,14,32.37,15.85,146,f,5.05,7.22,-24.7,262.7,11.0,-53.0,1.59,12.66,52.2,-4.2
5,5,ANZ,ANZ Banking Grp,56.309,22.48,8,25.25,11.83,102,f,4.54,6.48,-25.0,170.4,13.2,12.6,1.73,10.72,59.6,-2.0
6,7,RIO,Rio Tinto Ltd,42.187,69.52,452,70.06,23.59,101.48,,1.46,2.09,7.8,46.14,150.7,74.3,1.22,-,80.7,5.4
7,6,TLS,Telstra Corp,41.062,3.30,10,4.29,2.93,28,f,8.48,12.12,-,32.9,10.0,10.5,3.14,0.32,-14.2,1.6
8,8,NWS,News Corp b voting,36.969,15.72,31,16.64,8.93,5.14,,0.33,0.41,12.4,74.58,21.1,38.4,0.42,-0.04,32.3,-16.8
9,10,WPL,Woodside Pet,35.123,48.96,105,54.32,26.81,110,f,2.25,3.21,29.8,240,20.4,77.9,4.96,11.33,36.4,11.5
10,9,WOW,Woolworths Ltd,34.75,28.04,7,30.57,23.68,104,f,3.71,5.30,13.0,150.71,18.6,12.1,4.91,1.54,8.4,11.9
11,11,WES,Wesfarmers Ltd,32.313,27.90,148,28.97,14.244,110,f,3.94,5.63,-42.1,160,17.4,-,1.10,3.14,57.5,-1.3
12,12,WDC,Westfield Grp stpld,28.57,12.38,17,15.34,8.68,100.25,,8.10,8.10,-,-211.56,-,25.8,1.13,11.02,-11.2,-8.6
13,13,QBE,QBE Insurance Grp,23.048,22.50,8,26.66,15.01,127,p,5.64,6.13,3.3,213.9,10.5,-5.3,2.04,5.17,0.2,0.1
14,14,CSL,CSL Ltd,19.006,31.77,69,38.52,26.85,70,,2.20,2.20,52.2,192.51,16.5,34.5,3.40,7.49,-8.5,18.4
15,16,NCM,Newcrest Min,16.722,34.57,49,37.24,18.33,15,,0.43,0.43,50.0,53,65.2,-9.5,3.78,8.95,39.5,13.0
16,15,MQG,Macq Grp Ltd,16.252,48.85,-75,58.80,15.00,126,,2.58,2.79,-46.4,243.2,20.1,-52.8,1.73,23.72,69.1,-7.8
17,17,ORG,Origin Energy,14.242,16.22,20,17.40,12.34,50,f,3.08,4.40,100.0,791,2.1,-20.8,1.26,8.31,3.5,32.6
18,19,AMP,AMP Ltd,12.906,6.30,43,6.97,3.52,30,p,4.76,6.16,-13.0,29.6,21.3,-48.3,5.68,0.67,15.5,-9.0
19,18,STO,Santos Ltd,12.606,15.17,23,16.582,10.904,42,f,2.77,3.96,5.0,236.7,6.4,30.9,2.77,-,10.1,19.8
20,20,FMG,Fortescue Metals Grp,12.495,4.04,22,4.75,1.16,-,,-,-,-,21.9,18.4,-,11.27,0.35,85.5,52.6
21,25,AXA,AXA Asia Pacific,11.906,5.76,146,5.96,2.52,18.5,p,3.21,3.69,-16.9,-7.39,-,-,2.72,0.96,0.3,-9.7
22,21,SUN,Suncorp-Metway,11.286,8.88,48,9.59,4.36,40,f,4.50,6.43,-60.4,31.62,28.1,-44.8,0.81,5.11,20.8,-18.9
23,22,LEI,Leighton Hldgs,11.19,37.53,173,38.99,16.15,115,f,3.06,4.38,-19.9,149.5,25.1,-3.5,4.57,7.43,54.0,25.2
24,23,FGL,Foster's Grp,10.825,5.61,30,5.95,4.80,27.25,f,4.86,6.94,3.8,22.8,24.6,1.8,2.73,0.46,1.7,-3.2
25,24,BXB,Brambles Ltd,9.829,6.96,-6,8.37,4.08,30,p,4.31,4.57,-13.0,40.18,17.3,6.4,5.63,0.58,1.9,-15.5
26,26,SGP,Stockland stpld,9.651,4.05,36,4.194,1.955,34,p,8.40,8.43,-22.6,-104.1,-,-16.2,1.00,3.61,-3.2,-15.0
27,27,ORI,Orica Ltd,8.549,23.75,140,24.87,10.75,97,p,4.08,4.70,7.8,145.2,16.4,5.8,1.86,1.71,46.8,1.5
28,29,IAG,Insurance Aust Grp,8.358,4.02,25,4.13,2.94,10,f,2.49,3.55,-55.6,9.32,43.1,20.1,1.62,1.16,5.9,-9.1
29,28,LGL,Lihir Gold Ltd,7.959,3.36,5,3.64,1.565,1.52,,0.45,0.45,-,-9.97,-,54.7,1.86,1.29,50.4,2.9
30,31,CCL,Coca-Cola Amatil,7.871,10.52,26,12.00,8.02,40.5,f,3.85,5.50,9.9,54.8,19.2,12.9,5.60,1.14,23.8,15.7
31,30,OSH,Oil Search Ltd,7.511,5.81,-13,6.93,3.91,7.85,,1.35,1.35,7.3,19.77,29.4,113.4,3.34,-,22.2,22.7
32,32,TCL,Transurban stpld,7.147,5.54,-1,5.79,3.51,22,,3.97,3.97,-61.4,-1.9,-,-85.2,1.86,2.79,16.9,-1.9
33,33,AMC,Amcor Ltd,6.763,5.54,5,5.89,3.50,34,,6.14,6.14,-,25.3,21.9,0.2,2.18,1.61,5.8,-2.3
34,34,CNA,Coal & Allied Ind  ,6.71,77.50,50,108.50,67.50,710,f,9.16,13.09,2740.0,1076.6,7.2,632.1,4.48,15.40,-10.2,1.9
35,35,WOR,WorleyParsons Ltd,6.369,26.95,-53,31.79,10.62,93,f,3.45,4.78,8.8,161.1,16.7,13.2,3.92,-0.03,113.1,16.1
36,38,QAN,Qantas Airways,6.206,2.74,10,3.06,1.38,6,,2.19,3.13,-82.9,5.6,48.9,-82.1,1.04,2.25,17.7,-13.9
37,37,AGK,AGL Energy Ltd,6.145,13.69,16,15.80,12.83,54,f,3.94,5.63,1.9,358,3.8,138.6,1.04,6.00,-8.2,-0.7
38,36,CWN,Crown Ltd,6.141,8.15,-1,9.39,4.18,37,p,4.54,5.71,-31.5,-166.89,-,-27.2,1.79,3.42,84.2,-
39,41,CPU,Computershare Ltd,6.107,10.99,67,11.32,6.11,22,p,2.00,2.39,4.8,56.75,19.4,19.7,5.16,-1.95,60.8,6.8
40,42,GPT,GPT Grp stpld,5.984,0.645,5,0.955,0.191,5.6,,8.68,8.68,-19.5,-107.6,-,-31.1,0.81,0.71,-18.8,-38.4
41,39,TOL,Toll Hldgs Ltd,5.966,8.53,14,9.07,4.38,25,f,2.93,4.19,11.5,39.95,21.4,-17.1,2.26,1.58,50.4,2.0
42,40,ASX,ASX Ltd,5.67,32.93,-52,37.90,23.52,164.9,f,5.01,7.15,-14.3,183.2,18.0,-14.3,2.08,2.66,15.0,1.9
43,43,SHL,Sonic Healthcare,5.516,14.20,12,14.85,9.96,57,p,4.01,4.78,9.6,46.9,30.3,15.9,2.16,-1.72,9.9,5.8
44,45,MAP,MAP Grp forus,5.303,2.83,1,2.95,1.291,27,,9.54,9.54,3.9,118.92,2.4,-37.1,0.74,-,55.3,1.7
45,44,BSL,BlueScope Steel,5.233,2.87,-8,3.48,1.675,5,,1.74,2.49,-87.3,-7.1,-,-90.7,0.95,2.46,-5.9,-19.6
46,46,AFI,Aust Foundation,5.144,5.22,,5.35,3.41,21,f,4.02,5.75,-,10.61,49.2,-49.8,1.45,4.79,43.9,5.4
47,47,CFX,CFS Retail Prop unt,4.893,1.97,8,2.17,1.415,12.5,p,6.35,6.35,4.2,-15.27,-,24.2,0.94,2.02,-3.5,2.1
48,48,AIO,Asciano Grp stpld,4.711,1.61,5,1.76,0.32,23,,14.29,14.29,-100.0,-32.5,-,-70.5,2.07,-1.41,86.6,-
49,50,HVN,Harvey Norman,4.61,4.34,23,4.85,1.805,11,f,2.53,3.62,-21.4,20.18,21.5,-15.0,2.12,2.01,97.3,3.9
50,49,ERA,Energy Res,4.566,23.94,52,28.28,14.51,34,f,1.42,2.03,40.0,162.78,14.7,48.3,5.89,-,47.3,8.4
51,52,TAH,Tabcorp Hldgs Ltd,4.418,7.27,28,7.70,6.05,65,f,8.94,12.77,38.3,93.2,7.8,-5.3,1.30,-0.02,9.9,-18.3
52,55,MGR,Mirvac Grp stpld,4.377,1.56,14,1.745,0.542,5,,3.21,3.21,-72.6,-65.21,-,-59.1,0.82,1.73,17.8,-28.9
53,51,LLCDA,Lend Lease Grp stpld d,4.248,9.22,,-,-,-,,-,-,-,-,-,-,-,-,-,-
54,53,IPL,Incitec Pivot,4.225,2.62,,3.42,1.63,21.6,f,8.24,11.77,1617.3,47.27,5.5,205.7,1.34,-0.14,-0.3,24.1
55,56,OST,OneSteel Ltd,4.105,3.09,13,3.49,1.40,10,,3.24,4.07,-49.2,22.59,13.7,-49.6,0.91,1.66,30.9,-6.4
56,54,RMD,ResMed Inc cdi 10:1,4.076,5.38,-17,6.67,4.46,-,,-,-,-,23.91,22.5,55.6,3.06,1.75,3.2,-4.7
57,58,AWC,Alumina Ltd,3.99,1.635,3.5,2.00,0.683,12,,7.34,10.48,-46.9,9.42,17.4,-50.9,1.40,1.30,45.7,-30.2
58,57,ARG,Argo Invest,3.963,6.77,9,6.91,4.52,27,f,3.99,5.70,-10.0,-11.1,-,-53.1,1.35,6.38,29.7,-1.6
59,63,FXJ,Fairfax Media Ltd,3.94,1.675,7,1.805,0.795,2,,1.19,1.58,-89.2,-21.6,-,-48.1,0.75,-0.37,31.0,-27.8
60,59,SGM,Sims Metal Mgmt,3.93,21.54,46,29.15,10.68,38,f,1.76,2.52,-68.3,-82.9,-,-92.8,1.35,8.09,57.2,6.5
61,65,OZL,OZ Min,3.886,1.245,7,1.325,0.40,5,,4.02,4.02,-37.5,-123.36,-,-92.0,1.14,0.80,113.6,-27.7
62,61,DXS,Dexus Prop Grp stpld,3.884,0.815,2,0.962,0.519,7.3,,8.96,8.96,-35.6,-39.38,-,2.8,0.74,1.01,10.1,-15.5
63,60,FBU,Fletcher Bld,3.835,6.33,4,7.04,3.90,28.62,,4.52,4.52,-22.8,-7,-,-22.1,1.58,2.25,38.7,-5.7
64,62,TEL,Telecom Corp fpo nz,3.775,2.01,,2.31,1.74,16.92,,8.42,8.42,-18.7,17.7,11.4,-30.0,1.73,0.76,4.3,-14.2
65,64,GMG,Goodman Grp forus,3.643,0.60,-0.5,1.063,0.123,9.65,,16.08,16.08,-71.6,-45.4,-,13.3,0.97,0.84,-21.6,-50.8
66,66,NHC,New Hope Corp,3.594,4.35,-3,5.22,2.649,9.25,f,2.13,3.04,60.9,240.3,1.8,189.4,1.32,3.36,60.5,63.1
67,68,MTS,Metcash Ltd,3.527,4.61,10,4.74,3.80,24,f,5.21,7.44,14.3,26.47,17.4,11.3,2.70,0.13,20.0,4.6
68,67,COH,Cochlear Ltd,3.491,62.00,-30,68.54,46.21,175,f,2.82,4.03,16.7,233.7,26.5,12.9,9.63,2.78,16.3,6.2
69,70,BLD,Boral Ltd,3.471,5.83,28,6.40,2.29,13,f,2.23,3.19,-61.8,24.1,24.2,-46.7,1.20,4.12,44.1,-5.2
70,69,FLX,Felix Res Ltd,3.415,17.37,-3,17.925,4.65,53,f,3.05,4.36,-,136.18,12.8,162.6,4.81,2.53,234.0,68.5
71,74,JHX,James Hardie Ind cdi,3.277,7.57,39,8.32,2.89,-,,-,-,-100.0,13.52,56.0,42.7,-,-0.34,88.9,-3.2
72,71,PTM,Platinum Asset,3.186,5.68,8,6.34,2.80,20,f,3.52,5.03,-16.7,22.49,25.3,-22.0,16.18,-,79.8,-
73,75,TTS,Tatts Grp Ltd,3.125,2.45,5,2.97,2.30,21,f,8.57,12.24,121.1,21.9,11.2,7.6,1.18,-0.56,2.9,-8.4
74,77,BEN,Bendigo & Adelaide,3.12,8.91,41,12.404,5.733,43,f,4.83,6.89,-33.9,25.6,34.8,-37.9,0.95,4.03,-17.7,-10.6
75,72,SOL,Soul Pattinson,3.098,12.98,-15.2,14.035,7.018,32,f,2.47,3.52,6.7,466.25,2.8,98.6,0.83,10.91,63.8,19.9
76,73,MIG,Macq Infra stpld,3.053,1.35,-2.5,1.835,0.95,20,p,14.81,15.10,-,-73.72,-,58.6,0.75,1.73,-11.0,-20.3
77,83,DOW,Downer EDI Ltd,2.996,8.98,78,9.24,3.01,29,,3.23,3.23,13.7,54.4,16.5,10.9,2.06,2.18,105.9,9.6
78,78,PDN,Paladin Energy,2.955,4.12,1,5.52,1.68,-,,-,-,-,-96.13,-,-,3.79,1.20,73.4,-16.5
79,76,PRY,Primary Health Care,2.935,6.10,-13,6.56,3.46,14,f,2.30,3.28,-48.1,28.65,21.3,42.2,1.42,-,49.5,-9.0
80,82,DJS,David Jones Ltd,2.905,5.77,30,5.94,2.02,28,f,4.85,6.93,3.7,31.5,18.3,8.5,4.01,1.16,134.6,20.5
81,79,AOE,Arrow Energy,2.842,3.88,-6,4.73,1.845,-,,-,-,-,52,7.5,-,2.49,0.82,88.5,56.4
82,80,EQN,Equinox Min Ltd cdi,2.691,3.81,-15,4.37,1.24,-,,-,-,-,25.35,15.0,-64.0,3.94,-,135.7,21.5
83,81,CTX,Caltex Aust,2.689,9.96,-29,14.00,6.18,36,,3.61,5.16,-55.0,15.6,63.8,-58.1,1.06,10.60,38.5,-20.2
84,85,BBG,Billabong Intl,2.675,10.58,58,12.19,5.815,45,p,4.25,5.11,-15.1,69.2,15.3,-19.5,2.15,0.70,3.5,-9.7
85,86,CSR,CSR Ltd,2.613,1.86,8,2.18,0.905,4,f,2.15,3.07,-47.7,-45.1,-,-39.0,1.45,0.87,37.0,-11.6
86,84,NUF,Nufarm Ltd,2.577,11.82,17,14.46,7.30,27,,2.28,2.28,-22.9,33.5,35.3,-11.1,1.56,3.59,30.4,9.4
87,88,BOQ,Bank of Qld,2.47,11.71,11,13.49,6.228,52,f,4.44,6.34,-27.9,75.9,15.4,-25.9,1.16,6.62,26.8,-4.0
88,93,MCC,Macarthur Coal,2.449,9.63,82,9.94,2.32,13,f,1.35,1.93,-23.5,79.3,12.1,183.3,2.22,4.03,140.7,28.3
89,90,AQP,Aquarius Platinum,2.444,5.29,26,6.39,2.183,12.08,,2.28,2.28,-100.0,-16.39,-,-,3.10,-,59.9,-15.7
