Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4472.4 at 16:37 4/6/2010  Report at 22:00 Friday 4/6/2010. Processed 13:53 Sunday 6/6/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,127.095,37.87,-110,44.93,31.33,95.15,f,2.51,3.59,45.3,185.29,20.4,-13.5,2.53,8.76,11.7,5.3
2,2,CBA,C'wlth Bank  of Aust ,79.713,51.47,-65,60.00,36.20,235,f,4.57,6.52,-14.3,330.4,15.6,-15.0,2.54,-,38.3,3.5
3,3,WBC,Westpac Banking,67.762,22.76,-64,28.43,18.76,125,f,5.49,7.85,-18.3,138.5,16.4,-37.4,1.85,8.42,18.5,1.8
4,4,ANZ,ANZ Banking Grp,57.363,22.64,12,26.23,15.68,108,f,4.77,6.81,-25.0,144.8,15.6,12.6,1.77,9.99,44.0,-2.2
5,5,NAB,National Aust Bank,51.669,24.36,-42,32.37,21.23,147,f,6.03,8.62,-24.7,199.3,12.2,-53.0,1.37,12.41,14.7,-10.5
6,6,NWS,News Corp b voting,43.494,18.33,-11,20.18,12.01,5.14,,0.28,0.35,23.1,74.58,24.6,38.4,0.50,0.45,38.1,-11.6
7,7,RIO,Rio Tinto Ltd,41.016,67.59,-61,81.25,46.40,51.56,f,0.76,1.09,-62.3,307.95,21.9,-56.1,0.80,13.56,30.4,-3.0
8,8,TLS,Telstra Corp,38.574,3.10,15,3.71,2.88,28,f,9.03,12.90,-,32.4,9.6,10.5,3.04,0.36,-0.1,-5.4
9,9,WPL,Woodside Pet,34.318,43.99,53,53.869,38.795,110,f,2.50,3.57,-17.8,259,17.0,-36.1,3.31,-,5.0,1.4
10,10,WES,Wesfarmers Ltd,33.661,29.09,19,33.21,21.05,115,f,3.95,5.65,-42.1,129.9,22.4,-,1.21,3.47,33.8,-6.9
11,11,WOW,Woolworths Ltd,33.511,27.01,60,30.57,25.19,109,f,4.04,5.76,13.0,158.91,17.0,12.1,4.75,1.99,6.4,3.5
12,12,WDC,Westfield Grp stp,29.701,12.87,7,14.33,10.50,94,,7.30,7.30,-11.7,-20.41,-,-19.4,1.22,10.47,21.9,-7.4
13,13,QBE,QBE Insurance Grp,19.677,19.01,-61,25.70,18.42,128,p,6.73,7.31,1.6,196.5,9.7,-6.2,1.91,5.16,1.2,-10.5
14,14,CSL,CSL Ltd,18.884,32.82,142,37.56,29.27,75,,2.29,2.29,52.2,213.41,15.4,34.5,3.46,6.11,4.3,5.8
15,15,NCM,Newcrest Min,15.67,32.41,37,39.75,28.47,20,,0.62,0.62,50.0,55.4,58.5,-9.5,3.60,9.20,6.9,15.9
