Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, October 26, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4496.3 at 2012-10-26T16:43:06. Report at Friday, October 26, 2012. Processed Saturday at 2012-10-27T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton,108.748,33.86,-114,38.82,30.09,106.15,f,3.13,4.48,14.1,284.17,11.9,-13.6,1.652,11.37,-7.6,-.8,,
2,2,CBA,C'wlth Bank  of Aust,91.482,56.85,+1,58.05,45.39,334.00,f,5.88,8.39,4.4,448.90,12.7,-1.2,2.201,18.73,22.8,9.2,,
3,3,WBC,Westpac Banking,77.609,25.19,-37,26.12,19.29,162.00,f,6.43,9.19,12.2,198.30,12.7,5.0,1.772,10.12,22.0,5.2,,
4,4,ANZ,ANZ Banking Grp,68.562,25.23,-43,27.63,18.60,145.00,f,5.75,8.21,3.6,213.40,11.8,4.0,1.663,12.22,24.6,9.3,,
5,5,NAB,National Aust Bank,59.498,25.90,-32,27.13,21.57,178.00,f,6.87,9.82,13.2,213.60,12.1,16.9,1.410,13.68,8.8,1.9,,
6,6,NWS,News Corp,54.845,23.67,-126,25.20,16.40,14.09,,.60,.60,3.0,46.12,51.3,51.7,.765,2.01,40.4,16.4,,
7,7,TLS,Telstra Corp,50.768,4.08,+1,4.11,3.07,28.00,f,6.86,9.80,-,27.50,14.8,20.8,4.343,.33,42.2,17.1,,
8,8,WES,Wesfarmers,39.919,34.32,-80,35.97,28.25,165.00,f,4.81,6.87,10.0,184.20,18.6,10.6,1.348,4.45,11.3,11.9,,
9,9,WOW,Woolworths,35.950,29.04,-42,30.88,23.21,126.00,f,4.34,6.20,3.3,148.67,19.5,8.8,4.256,2.36,27.6,5.0,,
10,10,WPL,Woodside Petroleum,28.260,34.30,-168,38.16,30.00,114.05,f,3.33,4.75,-6.6,187.44,18.3,14.1,2.163,16.08,-3.1,-7.6,,
11,11,RIO,Rio Tinto,24.599,56.45,-270,72.30,48.37,152.71,f,2.71,3.86,21.9,247.68,22.8,13.0,.422,20.97,-16.3,-2.2,,
12,13,WDC,Westfield Grp,23.780,10.57,+2,10.70,7.39,48.95,,4.63,4.63,-23.8,73.22,14.4,-18.9,1.397,6.79,44.6,9.6,,
13,12,CSL,CSL,23.264,46.30,-114,48.64,28.10,83.00,,1.79,1.79,3.8,189.24,24.5,8.8,6.786,5.08,63.7,16.3,,
14,14,NCM,Newcrest Min,20.012,26.16,-135,37.27,20.89,35.00,p,1.34,1.39,16.7,146.00,17.9,-3.8,1.326,14.70,-20.6,-5.8,,
15,15,QBE,QBE Insurance Grp,15.893,13.28,-101,15.15,9.88,65.00,p,4.89,5.29,-32.0,71.57,18.6,-48.7,1.546,4.45,-5.6,-10.8,,
16,16,AMP,AMP,13.275,4.53,-20,4.85,3.71,26.50,p,5.85,7.16,-3.3,25.40,17.8,-5.4,1.925,1.06,12.7,-2.9,,
17,17,FMG,Fortescue Metals Grp,12.611,4.05,-18,6.18,2.81,8.00,f,1.98,2.82,14.3,49.13,8.2,-19.4,3.416,.77,-15.0,2.8,,
18,18,ORG,Origin Energy,12.391,11.33,-25,15.08,11.08,50.00,f,4.41,6.30,-,90.60,12.5,16.0,.857,6.54,-18.1,-7.0,,
19,19,SUN,Suncorp Grp,12.236,9.51,-7,9.78,7.329,40.00,f,4.21,6.01,14.3,56.68,16.8,26.3,.866,6.15,17.7,7.4,,
20,21,BXB,Brambles,11.089,7.13,-8,7.69,6.04,26.00,p,3.65,4.04,.5,38.17,18.7,23.3,4.124,.49,12.3,4.0,,
21,20,STO,Santos,11.046,11.52,-47,14.63,10.04,30.00,f,2.60,3.72,-18.9,55.00,20.9,13.4,1.232,-,-9.0,-6.2,,
22,22,MQG,Macquarie Grp,10.457,30.85,-46,31.31,21.22,150.00,,4.86,4.86,-24.7,230.78,13.4,-26.7,.891,28.47,30.9,-10.5,,
23,23,CCL,Coca-Cola Amatil,10.327,13.55,-5,14.19,11.30,54.50,f,4.02,5.75,8.3,90.30,15.0,4.4,5.076,1.88,14.9,12.9,,
24,24,OSH,Oil Search,9.824,7.36,-29,7.91,5.83,3.82,,.52,.52,-11.2,14.95,49.2,62.0,3.307,-,12.8,8.5,,
25,29,WRT,Westfield Retail Tr,9.498,3.11,+13,3.165,2.34,17.65,,5.68,5.68,3650.0,26.90,11.6,-83.9,.953,3.37,30.1,-,,
26,26,AMC,Amcor,9.400,7.79,-15,8.09,6.72,37.00,,4.75,4.75,5.7,34.00,22.9,12.3,2.781,.96,16.7,16.2,,
27,25,IAG,Insurance Aust Grp,9.376,4.51,-10,4.64,2.775,17.00,f,3.77,5.38,6.3,10.01,45.1,9.0,2.073,1.20,49.5,10.5,,
28,27,ORI,Orica,9.068,24.80,-96,28.27,23.01,91.00,p,3.67,4.83,-5.3,170.30,14.6,-9.6,2.340,2.05,-1.1,6.7,,
29,28,QRN,QR National,9.023,3.72,-10,4.03,3.07,8.30,,2.23,2.23,124.3,18.10,20.6,49.5,1.237,2.98,15.0,-,,
30,30,TCL,Transurban Grp,8.872,6.07,-9,6.245,5.23,29.50,p,4.86,5.35,9.3,3.80,159.7,-51.7,2.544,2.21,22.2,15.9,,
31,31,AGK,AGL Energy,7.878,14.32,-70,16.01,13.031,61.00,f,4.26,6.09,5.0,23.80,60.2,-36.7,1.105,7.26,6.9,6.3,,
32,32,SGP,Stockland,7.643,3.47,+1,3.64,2.90,24.00,,6.92,6.92,1.3,21.10,16.4,-32.2,.929,3.68,18.4,3.9,,
33,33,CWN,Crown,6.891,9.46,-23,9.70,7.83,37.00,p,3.91,4.75,-,69.78,13.6,57.6,2.042,3.45,22.2,9.3,,
34,34,GMG,Goodman Grp,6.880,4.28,-6,4.38,.56,18.00,,4.21,4.21,-38.3,27.04,15.8,5.0,1.330,2.54,44.8,17.4,,
35,38,RMD,ResMed Inc,6.209,3.99,+4,4.11,2.36,1.63,,.41,.41,-,17.17,23.2,22.0,3.936,-,47.9,13.7,,
36,37,GPT,GPT Grp,6.201,3.51,-5,3.65,3.00,19.10,,5.44,5.44,31.9,17.89,19.6,-51.8,.914,3.65,17.9,12.7,,
37,39,SYD,Sydney Airport,6.142,3.30,+5,3.59,2.54,21.00,,6.36,6.36,-,6.57,50.2,-,2.525,2.44,4.2,13.8,,
38,36,LEI,Leighton Hldgs,6.142,18.22,-90,26.65,14.71,80.00,,4.39,4.39,30.4,-171.10,-,-4.3,2.220,7.06,-13.2,-16.9,,
39,35,WOR,WorleyParsons,5.993,24.67,-273,30.00,23.12,91.00,p,3.69,4.78,5.8,143.70,17.2,15.6,3.027,1.12,-8.6,.9,,
40,40,CFX,CFS Retail Prop,5.558,1.965,-1,2.02,1.655,13.10,p,6.67,6.67,3.1,14.42,13.6,-.2,.949,2.07,15.9,7.6,,
41,44,MGR,Mirvac Grp,5.207,1.52,-,1.56,1.145,8.40,,5.53,5.53,2.4,12.20,12.5,1.7,.905,1.66,27.7,6.6,,
42,42,ASX,ASX,5.205,29.72,-63,33.49,27.53,177.90,f,5.99,8.55,-2.9,193.70,15.3,-.7,1.738,3.85,2.5,1.2,,
43,41,IPL,Incitec Pivot,5.130,3.15,-13,3.64,2.62,11.50,p,3.65,3.87,47.4,19.00,16.6,19.3,1.384,.54,-6.6,8.5,,
44,43,SHL,Sonic Healthcare,5.091,12.87,-40,13.98,10.83,59.00,p,4.58,5.39,-,81.10,15.9,6.9,1.950,-2.40,21.9,1.9,,
45,48,AFI,Aust Foundation,4.912,4.75,+6,4.83,3.93,21.00,f,4.42,6.32,-,23.02,20.6,-6.8,1.243,4.60,18.4,1.3,,
46,45,LLC,Lend Lease Grp,4.899,8.53,-23,8.81,6.87,38.00,,4.45,4.45,8.6,92.70,9.2,9.6,1.253,4.38,14.8,2.3,,
47,46,CPU,Computershare,4.801,8.64,-28,9.17,7.18,28.00,p,3.24,4.07,-,27.63,31.3,-6.9,4.159,-.02,17.8,-4.6,,
48,49,DXS,DEXUS Prop Grp,4.766,.985,+2,1.015,.78,5.35,,5.43,5.43,3.3,3.75,26.3,-62.9,.952,1.00,23.0,13.7,,
49,47,RHC,Ramsay Health Care,4.749,23.50,-58,25.69,17.81,60.00,f,2.55,3.65,15.4,112.70,20.9,15.1,3.377,2.40,28.4,34.2,,
50,50,CTX,Caltex Aust,4.401,16.30,-80,17.48,11.66,45.00,f,2.76,3.94,-25.0,-302.40,-,164.8,1.984,8.13,26.3,21.1,,
51,52,AIO,Asciano,4.340,4.45,-10,4.97,1.375,7.50,f,1.69,2.41,25.0,24.70,18.0,1.7,1.297,.65,-2.1,-,,
52,51,ILU,Iluka Res,4.262,10.18,-63,19.055,7.72,80.00,f,7.86,11.23,837.5,161.20,6.3,1302.6,2.777,3.76,-33.6,46.5,,
53,54,COH,Cochlear,4.066,71.37,-92,74.00,51.31,245.00,p,3.43,4.13,8.9,100.00,71.4,-10.0,10.565,3.13,26.6,7.0,,
54,53,JHX,James Hardie Ind,3.947,8.98,-42,9.475,5.68,41.46,,4.62,4.62,-,133.63,6.7,-,32.485,.28,51.8,9.5,,
55,56,FBU,Fletcher Bldg,3.849,5.62,-22,6.06,4.34,24.97,,4.44,5.31,3.9,21.30,26.4,-17.3,1.364,2.08,14.8,-1.8,,
56,57,APA,APA Grp,3.822,4.96,-,5.34,4.28,35.00,,7.06,7.06,1.7,20.40,24.3,11.0,2.355,1.58,22.6,26.0,,
57,55,TTS,Tatts Grp,3.794,2.74,-16,2.96,2.25,23.00,f,8.39,11.99,7.0,23.80,11.5,16.8,1.424,-1.05,29.0,12.9,,
58,58,NHC,New Hope Corp,3.721,4.48,+2,5.891,3.554,11.00,f,2.46,3.51,7.3,20.10,22.3,28.0,1.652,2.69,-19.5,7.8,,
59,59,TEL,Telecom Corp of NZ,3.627,1.945,-,2.20,1.39,15.27,,7.85,7.85,41.4,47.22,4.1,39.8,2.849,.31,36.6,16.0,,
60,60,ARG,Argo Invest,3.597,5.72,-2,5.80,4.96,26.00,f,4.55,6.49,-,26.80,21.3,-4.7,1.121,5.78,14.6,-1.4,,
61,61,SPN,SP AusNet,3.523,1.055,-2,1.135,.873,8.00,p,7.58,8.65,-,8.95,11.8,-2.6,1.203,.88,16.5,16.3,,
62,64,SOL,Soul Pattinson,3.282,13.71,-13,14.30,12.30,44.00,f,3.21,4.58,10.0,59.81,22.9,6.9,.870,11.69,2.4,4.6,,
63,67,MTS,Metcash,3.250,3.69,-3,4.37,3.12,28.00,f,7.59,10.84,3.7,11.69,31.6,6.9,2.434,-.28,-4.6,-1.4,,
64,63,ALQ,ALS,3.245,9.53,-42,13.984,7.23,45.00,p,4.72,5.73,60.7,65.89,14.5,62.3,3.489,.48,7.8,22.4,,
65,68,BEN,Bendigo & Adelaide Bk,3.210,7.98,-11,9.68,6.82,60.00,f,7.52,10.74,-,48.60,16.4,-10.9,.761,6.16,-8.9,2.5,,
66,62,TWE,Treasury Wine Estates,3.165,4.89,-61,5.60,3.41,13.00,p,2.66,3.23,116.7,13.90,35.2,-,1.077,3.10,33.6,-,,
67,65,WHC,Whitehaven Coal,3.090,3.05,-19,5.622,2.74,7.10,f,2.33,3.32,-59.5,10.90,28.0,-32.2,.906,3.38,-43.4,-4.0,,
68,69,TOL,Toll Hldgs,3.069,4.28,-9,5.98,3.72,25.00,f,5.84,8.34,-,9.00,47.6,-4.8,1.118,1.33,-7.6,-17.0,,
69,71,QAN,Qantas Airways,3.047,1.345,+.5,1.825,.96,-,,-,-,-,-10.80,-,-24.0,.517,2.33,-16.6,-21.7,,
70,70,CRF,Centro Retail Aust,3.026,2.12,-2,2.17,1.655,6.50,,3.07,3.07,-,-16.63,-,-,.904,2.21,-,-,,
71,66,EGP,Echo Entertainment,2.948,3.57,-40,4.416,3.269,4.00,,1.12,1.60,-,5.90,60.5,-46.2,1.046,1.15,.8,-,,
72,73,AIA,Auckland Airport,2.791,2.11,-,2.15,1.70,8.28,,3.92,3.92,21.9,8.43,25.0,16.1,1.441,1.46,23.4,14.2,,
73,93,GNC,GrainCorp,2.785,12.20,+335,12.69,6.901,30.00,f,2.46,3.51,20.0,109.97,11.1,146.4,2.029,5.42,67.9,27.7,,
74,72,BLD,Boral,2.728,3.56,-38,4.49,2.93,11.00,f,3.09,4.41,-24.1,23.79,15.0,-60.2,.801,3.31,-6.8,-11.7,,
75,74,FLT,Flight Centre,2.664,26.60,-40,27.955,16.12,112.00,f,4.21,6.02,33.3,200.10,13.3,16.3,3.108,5.04,40.4,21.0,,
76,76,CPA,C'wlth Prop Office,2.535,1.08,-.5,1.125,.90,6.09,p,5.64,5.64,10.7,10.66,10.1,4.8,.935,1.16,23.4,13.6,,
77,75,OZL,OZ Minerals,2.479,8.17,-32,11.88,6.00,40.00,,4.90,4.90,-14.3,88.90,9.2,-39.8,.887,8.18,-26.7,-8.4,,
78,82,BOQ,Bank of Qld,2.322,7.52,+14,8.300,6.13,52.00,f,6.91,9.88,217.3,-10.20,-,-88.0,.801,6.94,-1.1,-9.4,,
79,77,RRL,Regis Res,2.294,5.04,-35,5.87,2.85,-,,-,-,-,15.51,32.5,77.8,9.642,-,68.0,116.9,,
80,81,DUE,DUET Grp,2.289,2.05,-3,2.20,1.645,16.00,,7.80,7.80,-19.3,4.44,46.2,-61.5,1.459,1.41,33.9,18.6,,
81,79,SEK,Seek,2.275,6.75,-31,7.55,5.08,17.30,f,2.56,3.66,21.0,39.10,17.3,5.7,2.951,-,11.2,5.7,,
82,80,REA,REA Grp,2.272,17.25,-60,18.03,11.57,33.00,f,1.91,2.73,26.9,66.20,26.1,24.7,9.070,1.39,36.4,30.6,,
83,78,AWC,Alumina,2.221,.91,-8,1.565,.625,2.80,,3.08,4.40,-8.5,1.92,47.4,52.7,.790,.96,-37.3,-16.2,,
84,84,SVW,Seven Grp Hldgs,2.201,7.16,+1,10.76,6.35,38.00,f,5.31,7.58,5.6,43.00,16.7,45.7,.853,4.53,-2.5,8.2,,
85,83,SKI,Spark Infrastructure,2.129,1.605,-7.5,1.722,1.185,10.50,,6.54,6.54,-26.1,12.24,13.1,41.0,1.596,1.67,41.6,21.5,,
86,85,HVN,Harvey Norman,2.098,1.975,-3.5,2.25,1.78,9.00,f,4.56,6.51,-25.0,16.24,12.2,-15.5,.926,2.21,-4.9,-17.3,,
87,86,TAH,Tabcorp Hldgs,2.092,2.85,-4,3.36,2.63,24.00,f,8.42,12.03,-44.2,47.60,6.0,-40.9,1.488,-1.66,5.4,3.6,,
88,92,MLT,Milton Corp,2.055,16.90,+22,17.05,13.87,78.00,f,4.62,6.59,2.6,83.90,20.1,5.1,1.093,17.07,16.2,3.6,,
89,89,REH,Reece Aust,2.042,20.50,-35,21.40,17.65,61.00,f,2.98,4.25,-,114.00,18.0,-4.5,2.888,6.85,15.4,-3.0,,
90,88,ANN,Ansell,2.027,15.50,-66,16.87,12.76,35.50,,2.29,2.29,7.6,99.10,15.6,7.1,2.812,2.43,13.4,17.1,,
91,90,ABC,Adelaide Brighton,2.014,3.16,-4,3.40,2.73,16.50,f,5.22,7.46,-,24.20,13.1,-2.1,2.104,1.23,16.3,10.0,,
92,91,PTM,Platinum Asset,1.998,3.56,-7,4.43,3.34,21.00,f,5.90,8.43,-16.0,22.51,15.8,-14.5,8.107,-,-6.5,-9.8,,
93,87,PNA,PanAust,1.986,3.28,-22,3.84,2.19,3.00,,.91,.91,-,22.17,14.8,-9.6,2.256,1.54,1.6,11.7,,
94,97,CMJ,Consolidated Media,1.927,3.43,-1,3.46,2.39,16.50,f,4.81,5.56,-,15.27,22.5,-5.6,5.986,.57,37.5,9.9,,
95,94,SGM,Sims Metal Mgt,1.892,9.26,-48,15.73,7.84,20.00,,2.16,2.16,-57.5,-253.30,-,-63.8,.790,8.59,-32.0,-20.6,,
96,96,PRY,Primary Health Care,1.876,3.73,-15,3.90,2.62,11.00,f,2.95,4.21,37.5,23.30,16.0,11.5,.729,-1.32,15.5,-11.7,,
97,98,TPM,TPG Telecom,1.873,2.36,-3,2.42,1.27,5.50,f,2.33,3.33,22.2,11.50,20.5,14.0,3.171,.09,68.9,23.6,,
98,95,MND,Monadelphous Grp,1.856,20.47,-116,24.37,16.77,125.00,f,6.11,8.72,31.6,155.24,13.2,33.2,7.555,2.70,19.0,21.5,,
99,100,AIX,Aust Infrastructure Fd,1.844,2.97,-2,3.26,1.84,10.50,p,3.54,3.97,5.0,31.57,9.4,-7.7,.987,3.01,64.0,25.1,,
100,102,IOF,Investa Office Fd,1.836,2.99,-,3.045,2.343,15.60,,5.22,5.22,-37.5,16.00,18.7,1.3,.953,3.14,25.9,14.3,,
101,106,SKC,SkyCity Entertain,1.783,3.09,+5,3.16,2.40,12.35,p,4.00,4.92,7.0,18.79,16.4,10.8,2.814,.54,17.9,9.0,,
102,104,UGL,UGL,1.765,10.61,-29,13.90,10.15,70.00,f,6.60,9.43,-,80.80,13.1,6.3,1.501,-.94,-14.9,-3.0,,
103,110,SUL,Super Retail Grp,1.730,8.81,+17,9.04,5.24,32.00,f,3.63,5.19,17.1,46.10,19.1,14.4,2.512,.24,70.2,26.0,,
104,105,CGF,Challenger,1.727,3.17,-12,4.62,3.05,18.00,,5.68,5.68,9.1,28.80,11.0,15.5,.844,2.22,-27.0,-1.5,,
105,99,CRZ,carsales.com,1.719,7.31,-63,8.03,4.395,24.50,f,3.35,4.79,23.1,30.60,23.9,25.0,13.390,.20,54.4,26.1,,
106,107,BPT,Beach Energy,1.706,1.35,-3.5,1.763,.88,2.25,f,1.67,2.38,30.2,14.43,9.4,78.3,1.058,1.28,17.8,22.1,,
107,109,ALZ,Australand Prop,1.702,2.95,-,3.13,2.19,21.50,,7.29,7.29,4.9,25.20,11.7,-12.7,.751,3.46,23.7,11.8,,
