Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, November 2, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4483.3 at 2012-11-02T16:42:06. Report at Friday, November 2, 2012. Processed Saturday at 2012-11-03T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton,110.546,34.42,+56,38.82,30.09,106.15,f,3.08,4.41,14.1,284.17,12.1,-13.6,1.679,11.37,1.6,-3.4,,
2,2,CBA,C'wlth Bank  of Aust,92.319,57.37,+52,58.05,45.39,334.00,f,5.82,8.32,4.4,448.90,12.8,-1.2,2.221,18.73,28.9,9.2,,
3,3,WBC,Westpac Banking,77.118,25.03,-16,26.12,19.29,162.00,f,6.47,9.25,12.2,198.30,12.6,5.0,1.760,10.12,26.6,7.2,,
4,4,ANZ,ANZ Banking Grp,68.345,25.15,-8,27.63,18.60,145.00,f,5.77,8.24,3.6,213.40,11.8,4.0,1.658,12.22,34.5,10.9,,
5,5,NAB,National Aust Bank,57.132,24.87,-103,27.13,21.57,180.00,f,7.24,10.34,4.7,213.60,11.6,-2.9,1.304,13.68,14.5,2.3,,
6,6,NWS,News Corp,55.078,23.66,-1,25.20,16.56,14.09,,.60,.60,3.0,46.12,51.3,51.7,.764,2.01,40.5,17.0,,
7,7,TLS,Telstra Corp,50.892,4.09,+1,4.15,3.09,28.00,f,6.85,9.78,-,27.50,14.9,20.8,4.354,.33,39.8,16.2,,
8,8,WES,Wesfarmers,39.567,34.01,-31,35.97,28.25,165.00,f,4.85,6.93,10.0,184.20,18.5,10.6,1.336,4.45,17.4,9.4,,
9,9,WOW,Woolworths,35.634,28.73,-31,30.88,24.12,126.00,f,4.39,6.27,3.3,148.67,19.3,8.8,4.219,2.36,22.1,5.3,,
10,10,WPL,Woodside Petroleum,28.021,34.01,-29,38.16,30.00,114.05,f,3.35,4.79,-6.6,187.44,18.1,14.1,2.145,16.08,7.0,-8.5,,
11,11,RIO,Rio Tinto,25.004,57.38,+93,72.30,48.37,152.71,f,2.66,3.80,21.9,247.68,23.2,13.0,.429,20.97,-6.4,-5.4,,
12,12,WDC,Westfield Grp,23.803,10.58,+1,10.76,7.62,48.95,,4.63,4.63,-23.8,73.22,14.4,-18.9,1.398,6.79,35.9,9.8,,
13,13,CSL,CSL,23.497,46.78,+48,48.64,29.52,83.00,,1.77,1.77,3.8,189.24,24.7,8.8,6.854,5.08,53.0,16.7,,
14,14,NCM,Newcrest Min,20.067,26.20,+4,37.27,20.89,35.00,p,1.34,1.39,16.7,146.00,17.9,-3.8,1.329,14.70,-23.4,-9.7,,
15,15,QBE,QBE Insurance Grp,15.450,12.91,-37,14.71,9.88,65.00,p,5.03,5.44,-32.0,71.57,18.0,-48.7,1.503,4.45,.6,-11.0,,
16,16,AMP,AMP,13.011,4.44,-9,4.85,3.71,26.50,p,5.97,7.31,-3.3,25.40,17.5,-5.4,1.886,1.06,13.9,-4.8,,
17,17,FMG,Fortescue Metals Grp,12.486,4.01,-4,6.18,2.81,8.00,f,2.00,2.85,14.3,49.13,8.2,-19.4,3.382,.77,-10.1,-.6,,
18,18,ORG,Origin Energy,12.183,11.14,-19,15.08,11.08,50.00,f,4.49,6.41,-,90.60,12.3,16.0,.843,6.54,-18.2,-6.6,,
19,19,SUN,Suncorp Grp,11.785,9.16,-35,9.78,7.329,40.00,f,4.37,6.24,14.3,56.68,16.2,26.3,.834,6.15,18.3,6.4,,
20,20,BXB,Brambles,10.996,7.07,-6,7.69,6.04,26.00,p,3.68,4.07,.5,38.17,18.5,23.3,4.089,.49,4.4,6.4,,
21,21,STO,Santos,10.845,11.31,-21,14.63,10.04,30.00,f,2.65,3.79,-18.9,55.00,20.6,13.4,1.210,-,-11.5,-6.0,,
22,22,MQG,Macquarie Grp,10.393,30.66,-19,31.99,21.22,150.00,,4.89,4.89,-24.7,230.78,13.3,-26.7,.886,28.47,39.5,-9.3,,
23,23,CCL,Coca-Cola Amatil,10.037,13.17,-38,14.19,11.30,54.50,f,4.14,5.91,8.3,90.30,14.6,4.4,4.934,1.88,17.6,12.0,,
24,24,OSH,Oil Search,9.837,7.37,+1,7.91,5.83,3.82,,.52,.52,-11.2,14.95,49.3,62.0,3.311,-,18.0,9.6,,
25,25,WRT,Westfield Retail Tr,9.621,3.15,+4,3.18,2.34,17.65,,5.60,5.60,3650.0,26.90,11.7,-83.9,.966,3.37,31.8,-,,
26,26,AMC,Amcor,9.400,7.79,-,8.09,6.72,37.00,,4.75,4.75,5.7,34.00,22.9,12.3,2.781,.96,12.8,15.1,,
27,27,IAG,Insurance Aust Grp,9.397,4.52,+1,4.64,2.775,17.00,f,3.76,5.37,6.3,10.01,45.2,9.0,2.077,1.20,63.8,9.3,,
28,28,ORI,Orica,9.167,25.07,+27,28.27,23.01,91.00,p,3.63,4.78,-5.3,170.30,14.7,-9.6,2.365,2.05,.5,4.8,,
29,29,QRN,QR National,9.071,3.74,+2,4.03,3.07,8.30,,2.22,2.22,124.3,18.10,20.7,49.5,1.244,2.98,13.2,-,,
30,30,TCL,Transurban Grp,8.872,6.07,-,6.245,5.31,29.50,p,4.86,5.35,9.3,3.80,159.7,-51.7,2.544,2.21,14.1,9.2,,
31,31,AGK,AGL Energy,7.796,14.17,-15,16.01,13.031,61.00,f,4.30,6.15,5.0,23.80,59.5,-36.7,1.093,7.26,6.9,6.0,,
