Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, December 7, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4555.9 at 2012-12-07T16:45:05. Report at Friday, December 7, 2012. Processed Saturday at 2012-12-08T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton,111.574,34.74,+35,38.25,30.09,106.15,f,3.06,4.37,14.1,284.17,12.2,-13.6,1.695,11.37,4.0,-4.5,,
2,2,CBA,C'wlth Bank  of Aust,97.967,60.88,+119,61.33,47.50,334.00,f,5.49,7.84,4.4,448.90,13.6,-1.2,2.357,18.73,31.7,10.0,,
3,3,WBC,Westpac Banking,79.371,25.75,+25,26.12,19.94,166.00,f,6.45,9.21,6.4,195.80,13.2,4.5,1.717,.10,38.4,7.7,,
4,4,ANZ,ANZ Banking Grp,67.732,24.89,+53,27.63,20.26,145.00,f,5.83,8.32,3.6,213.40,11.7,4.0,1.643,12.22,29.1,9.4,,
5,5,NAB,National Aust Bank,56.891,24.50,+20,27.13,21.95,180.00,f,7.35,10.50,4.7,213.60,11.5,-2.9,1.299,13.68,13.1,3.3,,
6,6,NWS,News Corp,55.632,24.25,-1,25.20,17.37,14.09,,.58,.58,3.0,46.12,52.6,51.7,.784,2.01,36.1,11.5,,
7,7,TLS,Telstra Corp,54.252,4.36,+5,4.38,3.18,28.00,f,6.42,9.17,-,27.50,15.9,20.8,4.641,.33,41.4,18.4,,
8,8,WES,Wesfarmers,42.080,36.20,+65,36.31,28.25,165.00,f,4.56,6.51,10.0,184.20,19.7,10.6,1.422,4.45,29.1,9.9,,
9,9,WOW,Woolworths,36.792,29.64,+36,31.247,24.458,126.00,f,4.25,6.07,3.3,148.67,19.9,8.8,4.356,2.36,23.6,6.5,,
10,10,WPL,Woodside Petroleum,28.194,34.22,+42,38.16,30.00,114.05,f,3.33,4.76,-6.6,187.44,18.3,14.1,2.158,16.08,15.4,-7.6,,
11,11,CSL,CSL,27.474,54.77,+307,55.03,29.61,83.00,,1.52,1.52,3.8,189.24,28.9,8.8,8.014,5.08,74.6,21.8,,
12,12,RIO,Rio Tinto,26.220,60.17,+142,72.30,48.37,152.71,f,2.54,3.63,21.9,247.68,24.3,13.0,.450,20.97,2.4,-5.3,,
13,13,WDC,Westfield Grp,23.780,10.57,+15,10.76,7.68,48.95,,4.63,4.63,-23.8,73.22,14.4,-18.9,1.397,6.79,42.5,8.8,,
14,14,NCM,Newcrest Min,18.642,24.34,-131,36.10,20.89,35.00,p,1.44,1.50,16.7,146.00,16.7,-3.8,1.235,14.70,-16.8,-10.7,,
15,15,AMP,AMP,14.037,4.79,+19,4.85,3.71,26.50,p,5.53,6.77,-3.3,25.40,18.9,-5.4,2.035,1.06,25.3,-5.3,,
16,17,SUN,Suncorp Grp,13.123,10.20,+51,10.24,7.329,40.00,f,3.92,5.60,14.3,56.68,18.0,26.3,.929,6.15,29.4,10.7,,
17,16,QBE,QBE Insurance Grp,12.566,10.50,-44,14.71,9.88,65.00,p,6.19,6.69,-32.0,71.57,14.7,-48.7,1.223,4.45,-14.9,-20.7,,
18,19,ORG,Origin Energy,12.184,11.14,+16,14.80,9.84,50.00,f,4.49,6.41,-,90.60,12.3,16.0,.843,6.54,-13.2,-8.9,,
19,18,FMG,Fortescue Metals Grp,11.801,3.79,-12,6.18,2.81,8.00,f,2.11,3.01,14.3,49.13,7.7,-19.4,3.197,.77,-9.6,-4.1,,
20,20,BXB,Brambles,11.579,7.44,+20,7.69,6.04,26.00,p,3.49,3.87,.5,38.17,19.5,23.3,4.306,.49,8.3,7.2,,
21,21,MQG,Macquarie Grp,11.440,33.73,+97,33.79,22.79,150.00,,4.45,4.45,-24.7,230.78,14.6,-26.7,.975,28.47,49.1,-6.7,,
22,23,CCL,Coca-Cola Amatil,10.594,13.90,+16,14.19,11.30,54.50,f,3.92,5.60,8.3,90.30,15.4,4.4,5.208,1.88,26.0,10.9,,
23,22,STO,Santos,10.586,11.04,-10,14.63,10.04,30.00,f,2.72,3.88,-18.9,55.00,20.1,13.4,1.181,-,-7.6,-5.3,,
24,24,IAG,Insurance Aust Grp,9.917,4.77,+14,4.78,2.79,17.00,f,3.56,5.09,6.3,10.01,47.7,9.0,2.192,1.20,67.1,10.3,,
25,25,AMC,Amcor,9.641,7.99,+9,8.09,6.72,37.00,,4.63,4.63,5.7,34.00,23.5,12.3,2.853,.96,16.5,14.1,,
26,26,OSH,Oil Search,9.530,7.14,+4,7.91,6.01,3.82,,.54,.54,-11.2,14.95,47.8,62.0,3.208,-,14.8,5.9,,
27,28,TCL,Transurban Grp,9.223,6.31,+10,6.33,5.36,30.50,p,4.83,5.31,9.3,3.80,166.1,-51.7,2.645,2.21,18.1,10.2,,
28,27,WRT,Westfield Retail Tr,9.132,2.99,-,3.19,2.34,17.65,,5.90,5.90,3650.0,26.90,11.1,-83.9,.917,3.37,28.1,-,,
29,29,ORI,Orica,8.724,23.86,-22,28.27,22.86,92.00,p,3.86,4.53,2.2,109.20,21.8,23.9,2.687,2.94,2.2,2.4,,
30,30,AGK,AGL Energy,7.889,14.34,-3,16.01,13.031,61.00,f,4.25,6.08,5.0,23.80,60.3,-36.7,1.106,7.26,7.6,5.9,,
31,31,GMG,Goodman Grp,7.777,4.57,-5,4.69,.56,18.00,,3.94,3.94,-38.3,27.04,16.9,5.0,1.503,2.54,64.4,18.2,,
32,32,AZJ,Aurizon Hldgs,7.716,3.61,-,4.03,3.07,8.30,,2.30,2.30,124.3,18.10,19.9,49.5,1.058,2.98,8.0,-,,
33,33,SGP,Stockland,7.555,3.43,+4,3.64,2.90,24.00,,7.00,7.00,1.3,21.10,16.3,-6.4,.918,3.68,11.7,1.0,,
34,34,CWN,Crown,7.400,10.16,-9,10.34,7.92,37.00,p,3.64,4.42,-,69.78,14.6,57.6,2.193,3.45,30.9,12.9,,
35,35,SYD,Sydney Airport,6.607,3.55,-,3.55,2.54,21.00,,5.92,5.92,-,6.57,54.0,-,2.716,2.44,42.4,14.5,,
36,37,GPT,GPT Grp,6.360,3.60,+11,3.65,3.00,19.10,,5.31,5.31,31.9,17.89,20.1,-51.8,.937,3.65,24.1,11.8,,
37,36,RMD,ResMed Inc,6.147,3.95,-2,4.11,2.36,2.78,,.70,.70,-,17.17,23.0,22.0,3.897,-,61.2,10.3,,
38,39,LEI,Leighton Hldgs,5.691,16.88,-35,26.65,14.71,80.00,,4.74,4.74,30.4,-171.10,-,-4.3,2.057,7.06,-7.8,-20.5,,
39,38,WOR,WorleyParsons,5.602,23.05,-151,30.00,22.97,91.00,p,3.95,5.11,5.8,143.70,16.0,15.6,2.829,1.12,-7.3,-4.5,,
40,40,CFX,CFS Retail Prop,5.516,1.95,+1,2.02,1.655,13.10,p,6.72,6.72,3.1,14.42,13.5,-.2,.942,2.07,19.7,6.9,,
41,41,RHC,Ramsay Health Care,5.339,26.42,-16,26.99,17.81,60.00,f,2.27,3.24,15.4,112.70,23.4,15.1,3.797,2.40,40.8,38.2,,
42,43,ASX,ASX,5.275,30.12,+68,33.49,27.53,177.90,f,5.91,8.44,-2.9,193.70,15.5,-.7,1.761,3.85,4.3,.6,,
43,42,SHL,Sonic Healthcare,5.222,13.20,-24,13.98,10.92,59.00,p,4.47,5.25,-,81.10,16.3,6.9,2.000,-2.40,22.4,-.3,,
44,44,IPL,Incitec Pivot,5.212,3.20,+5,3.45,2.62,12.40,p,3.88,5.01,7.8,31.40,10.2,-23.7,1.293,.73,7.1,-.3,,
45,45,MGR,Mirvac Grp,5.138,1.50,+3,1.56,1.145,8.40,,5.60,5.60,2.4,12.20,12.3,1.7,.893,1.66,31.7,4.0,,
46,46,LLC,Lend Lease Grp,5.112,8.90,+30,8.98,6.87,38.00,,4.27,4.27,8.6,92.70,9.6,9.6,1.307,4.38,30.5,.7,,
47,48,AFI,Aust Foundation,5.015,4.85,+10,4.95,3.93,21.00,f,4.33,6.19,-,23.02,21.1,-6.8,1.269,4.60,26.3,2.3,,
48,49,DXS,DEXUS Prop Grp,4.960,1.025,+2,1.03,.82,5.35,,5.22,5.22,3.3,3.75,27.3,-62.9,.991,1.00,27.0,12.0,,
49,47,CTX,Caltex Aust,4.901,18.15,-13,18.49,11.67,45.00,f,2.48,3.54,-25.0,-302.40,-,164.8,2.209,8.13,58.9,29.7,,
