Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, February 14, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5366.9 at 2014-02-14T16:38:06. Report at Friday, February 14, 2014. Processed Saturday at 2014-02-15T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,CBA,C'wlth Bank  of Aust,122.490,75.99,+247,79.88,63.90,383.00,f,5.04,7.20,9.0,509.80,14.9,8.9,2.693,22.10,18.9,19.5,,
2,2,BHP,BHP Billiton,121.113,37.71,+162,39.34,30.43,119.94,f,3.18,4.54,7.6,220.38,17.1,-24.4,1.559,13.47,5.3,-3.6,,
3,3,WBC,Westpac Banking,101.821,32.75,+150,34.879,27.071,174.00,f,5.31,7.59,4.8,220.40,14.9,6.6,2.144,11.07,13.3,19.6,,
4,4,ANZ,ANZ Banking Grp,86.000,31.34,+189,34.06,26.30,164.00,f,5.23,7.48,13.1,231.30,13.5,-.9,1.885,13.48,15.2,16.0,,
5,5,NAB,National Aust Bank,80.231,34.12,+134,37.07,27.55,190.00,f,5.57,7.95,5.6,229.50,14.9,5.1,1.721,14.64,19.9,17.5,,
6,6,TLS,Telstra Corp,64.704,5.20,+19,5.30,4.44,28.50,f,5.48,7.83,-,31.50,16.5,-2.9,5.026,.37,19.8,32.0,,
7,7,WES,Wesfarmers,50.121,43.84,+139,44.60,36.767,180.18,f,4.11,5.87,9.1,196.09,22.4,6.4,1.926,4.69,9.8,14.6,,
8,8,WOW,Woolworths,44.539,35.50,+53,36.84,31.53,133.00,f,3.75,5.35,5.6,182.59,19.4,-15.5,4.789,2.60,5.6,14.6,,
9,9,CSL,CSL,32.770,67.69,-100,71.20,56.00,115.86,,1.71,1.71,25.6,291.60,23.2,38.8,10.108,5.53,14.8,26.5,,
10,10,WPL,Woodside Petroleum,31.605,38.36,+78,39.53,33.292,156.29,f,4.07,5.82,19.9,368.63,10.4,18.4,2.074,19.62,6.5,-,,
11,11,RIO,Rio Tinto,29.588,67.90,+194,71.29,49.81,184.67,f,2.72,3.89,-44.5,-367.18,-,58.5,.495,21.06,4.5,-4.9,,
12,12,WDC,Westfield Grp,21.706,10.27,+33,12.55,9.67,50.25,,4.89,4.89,2.3,64.24,16.0,-2.2,1.377,6.99,-6.2,6.1,,
13,13,MQG,Macquarie Grp,17.774,55.36,+49,56.20,30.526,221.26,p,4.00,4.68,42.9,313.27,17.7,21.6,1.488,31.64,53.8,19.5,,
14,14,FMG,Fortescue Metals Grp,17.749,5.70,+10,5.94,2.87,10.00,f,1.75,2.51,25.0,60.45,9.4,20.6,3.112,1.29,23.3,-3.3,,
15,15,ORG,Origin Energy,16.298,14.80,+29,14.93,11.00,50.00,,3.38,4.10,-,34.60,42.8,-16.0,1.102,6.53,23.9,.7,,
16,16,SUN,Suncorp Grp,16.134,12.54,+52,13.75,10.947,55.00,f,4.39,6.27,37.5,38.42,32.6,-31.1,1.154,6.11,15.8,19.9,,
17,17,QBE,QBE Insurance Grp,14.273,11.43,+47,17.53,10.05,30.00,f,2.62,3.75,-42.5,37.23,30.7,-1.7,1.298,4.94,-12.8,-9.9,,
18,18,BXB,Brambles,13.729,8.79,+11,9.32,7.489,27.00,p,3.07,3.47,3.9,44.42,19.8,13.6,4.209,.66,3.6,11.5,,
19,19,STO,Santos,13.642,14.06,+38,15.80,11.35,30.00,f,2.13,3.05,-,54.90,25.6,-11.4,1.457,-,7.2,1.4,,
20,22,AMP,AMP,13.369,4.52,+28,5.79,4.11,24.00,p,5.31,6.84,-13.8,24.80,18.2,-2.7,1.775,1.18,-13.4,-.4,,
21,20,AMC,Amcor,12.936,10.72,+10,10.87,7.854,40.00,,3.73,3.73,8.1,49.80,21.5,9.1,3.495,.94,29.6,23.9,,
22,21,IAG,Insurance Aust Grp,12.809,5.47,+8,6.25,5.20,36.00,f,6.58,9.40,111.8,37.57,14.6,180.4,2.568,1.38,.2,20.4,,
23,23,CWN,Crown Resorts,12.674,17.40,+86,18.22,11.45,37.00,p,2.13,2.58,-,54.34,32.0,-3.4,3.470,3.84,48.8,32.6,,
24,24,OSH,Oil Search,11.177,8.32,+9,8.975,6.86,4.08,,.49,.49,1.5,13.94,59.7,-36.9,3.617,2.52,7.9,6.6,,
25,25,AZJ,Aurizon Hldgs,10.900,5.10,+23,5.10,3.77,12.30,p,2.41,3.27,48.2,19.80,25.8,32.8,1.678,-,30.1,19.3,,
