Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, August 1, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5547.6 at 2014-08-01T16:41:36. Report at Friday, August 1, 2014. Processed Saturday at 2014-08-02T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,CBA,C'wlth Bank  of Aust,134.278,82.82,+54,83.92,70.12,383.00,f,4.62,6.61,9.0,509.80,16.2,8.9,2.952,22.10,16.5,25.4,,
2,2,BHP,BHP Billiton,123.361,38.41,-59,39.79,34.35,129.10,f,3.36,4.80,7.6,314.04,12.2,-24.4,1.588,16.04,11.3,2.1,,
3,3,WBC,Westpac Banking,105.863,34.05,-23,35.99,30.00,178.00,f,5.23,7.47,4.8,230.20,14.8,6.6,2.230,11.13,14.6,26.3,,
4,4,ANZ,ANZ Banking Grp,92.511,33.56,-19,35.07,28.84,174.00,f,5.18,7.41,13.1,247.10,13.6,-.9,2.028,13.90,19.1,25.5,,
5,5,NAB,National Aust Bank,82.636,34.93,+34,37.07,30.27,196.00,f,5.61,8.02,5.6,244.10,14.3,5.1,1.773,14.91,13.9,21.6,,
6,6,TLS,Telstra Corp,67.690,5.44,-1,5.53,4.77,28.50,f,5.24,7.48,-,31.50,17.3,-2.9,5.258,.37,14.2,28.4,,
7,7,WES,Wesfarmers,49.527,43.32,+4,44.60,38.939,188.10,f,4.34,6.20,9.1,208.78,20.7,6.4,1.903,4.38,8.8,16.5,,
8,8,WOW,Woolworths,45.933,36.46,+46,38.92,32.36,136.00,f,3.73,5.33,5.6,195.09,18.7,-15.5,4.939,2.83,6.2,18.0,,
9,9,WPL,Woodside Petroleum,34.538,41.92,-78,43.23,36.54,207.71,f,4.95,7.08,61.9,238.04,17.6,-5.1,1.937,20.65,13.1,10.3,,
10,10,CSL,CSL,31.014,65.35,-145,72.82,62.83,115.86,,1.77,1.77,25.6,291.60,22.4,38.8,9.567,5.53,-2.2,35.2,,
