Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, April 10, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5935.4 at 2015-04-10T16:39:06. Report at Friday, April 10, 2015. Processed Saturday at 2015-04-11T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,CBA,C'wlth Bank  of Aust,152.615,94.13,-27,96.69,73.57,416.00,f,4.42,6.31,10.2,552.40,17.0,12.0,3.165,24.46,30.5,31.1,,
2,2,WBC,Westpac Banking,124.433,39.88,+43,40.07,31.33,182.00,f,4.56,6.52,4.6,243.70,16.4,9.8,2.513,11.57,21.3,29.9,,
3,3,ANZ,ANZ Banking Grp,101.788,36.80,+13,37.25,30.47,178.00,f,4.84,6.91,8.5,267.10,13.8,21.3,2.065,14.65,17.4,23.3,,
4,4,BHP,BHP Billiton,96.800,30.14,-8,39.74,26.50,147.02,f,4.88,6.97,11.2,203.47,14.8,12.2,1.087,18.54,-12.0,-.2,,
5,5,NAB,National Aust Bank,95.682,39.52,+83,39.665,31.33,198.00,f,5.01,7.16,4.2,222.10,17.8,-13.8,1.991,15.15,17.8,24.8,,
6,6,TLS,Telstra Corp,76.777,6.28,-4,6.735,5.05,30.00,f,4.78,6.82,5.4,37.60,16.7,24.3,5.579,.41,31.8,32.0,,
7,7,WES,Wesfarmers,49.895,44.40,+89,46.95,39.61,193.94,f,4.37,6.24,4.5,231.34,19.2,-.7,1.910,4.92,12.3,19.1,,
8,8,CSL,CSL,44.603,95.11,+179,96.60,63.77,139.23,,1.46,1.46,17.9,316.08,30.1,9.0,13.364,5.52,39.5,41.0,,
9,9,WOW,Woolworths,37.339,29.56,+57,38.92,28.53,139.00,f,4.70,6.72,3.0,192.40,15.4,3.6,3.493,3.52,-14.9,8.2,,
10,10,WPL,Woodside Petroleum,28.754,34.90,+75,44.23,31.97,303.22,f,8.69,12.41,43.4,357.23,9.8,54.8,1.448,23.42,-1.0,7.2,,
