Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, July 31, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5681.7 at 2015-07-31T16:43:36. Report at Friday, July 31, 2015. Processed Saturday at 2015-08-01T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,CBA,C'wlth Bank  of Aust,142.512,87.56,+175,96.69,73.57,416.00,f,4.75,6.79,10.2,552.40,15.9,12.0,2.888,24.46,9.7,21.3,,
2,2,WBC,Westpac Banking,110.991,34.86,+62,40.07,31.00,185.00,f,5.31,7.58,4.6,243.00,14.3,9.8,2.250,11.84,6.4,21.5,,
3,3,ANZ,ANZ Banking Grp,91.330,32.68,+63,37.25,30.47,181.00,f,5.54,7.91,8.5,270.70,12.1,21.3,1.853,15.75,1.6,17.9,,
4,4,NAB,National Aust Bank,91.293,34.77,+86,39.15,30.888,198.00,f,5.69,8.13,4.2,244.10,14.2,-13.8,1.906,15.65,5.9,19.2,,
5,5,TLS,Telstra Corp,79.345,6.49,+13,6.735,5.23,30.00,f,4.62,6.60,5.4,37.60,17.3,24.3,5.684,.41,24.3,24.4,,
6,6,WES,Wesfarmers,47.703,42.45,+115,46.95,38.45,193.94,f,4.57,6.53,4.5,231.34,18.3,-.7,1.836,4.92,1.0,14.4,,
7,7,CSL,CSL,46.000,98.96,+526,99.33,63.77,139.23,,1.41,1.41,17.9,316.08,31.3,9.0,13.704,5.52,48.4,34.7,,
8,8,WOW,Woolworths,36.225,28.60,+75,37.32,26.25,139.00,f,4.86,6.94,3.0,192.40,14.9,3.6,3.442,3.52,-19.2,4.2,,
9,9,MQG,Macquarie Grp,27.399,82.15,+65,86.20,54.65,330.00,p,4.02,4.71,26.9,538.15,15.3,32.4,1.903,38.19,47.0,56.8,,
10,10,RIO,Rio Tinto,22.423,52.86,+166,67.89,49.13,256.07,f,4.84,6.92,16.9,430.50,12.3,-19.4,.337,25.82,-16.9,3.4,,
11,11,SCG,Scentre Grp,21.084,3.96,+12,4.05,3.245,-,p,-,-,2.8,-,-,-68.1,1.283,3.04,19.5,19.2,,
12,13,WFD,Westfield Corp,20.843,10.03,+59,10.66,7.19,15.85,,1.58,1.58,32.5,-14.18,-,-40.6,2.211,4.54,36.2,23.1,,
13,12,QBE,QBE Insurance Grp,19.990,14.60,-3,15.00,10.13,37.00,f,2.53,3.62,15.6,69.98,20.9,-,1.480,6.46,36.7,4.4,,
14,15,AMP,AMP,19.551,6.61,+24,6.83,5.02,26.00,p,3.93,5.20,13.0,30.30,21.8,29.2,2.332,1.42,25.8,23.9,,
15,14,TCL,Transurban Grp,19.087,9.97,+8,10.59,7.54,40.00,p,4.01,4.31,14.4,3.10,321.6,54.5,3.201,3.23,34.0,23.9,,
16,16,SUN,Suncorp Grp,18.360,14.27,+12,15.08,12.68,78.00,f,5.47,7.81,36.4,63.58,22.4,48.6,1.331,6.12,7.5,27.2,,
17,17,BXB,Brambles,17.049,10.88,-10,11.95,9.01,27.50,p,2.53,2.85,-,39.67,27.4,-12.2,5.838,.65,18.4,24.1,,
18,18,IAG,Insurance Aust Grp,14.321,5.89,+9,6.61,5.31,39.00,f,6.62,8.51,8.3,50.08,11.8,11.9,2.108,1.28,-.5,23.0,,
19,19,RHC,Ramsay Health Care,13.515,66.88,+231,69.22,46.51,91.50,f,1.37,1.95,20.6,161.00,41.5,20.5,7.751,-1.69,40.5,44.0,,
20,20,ORG,Origin Energy,12.583,11.34,+33,16.21,10.28,50.00,,4.41,4.41,-,16.50,68.7,-7.0,.832,6.58,-17.9,2.5,,
21,21,SYD,Sydney Airport,12.433,5.61,+13,5.74,4.05,24.50,,4.37,4.37,4.4,2.67,210.1,-13.8,8.207,-2.77,37.1,28.2,,
22,22,FDC,Federation Cntres,11.876,3.00,+10,3.19,2.48,16.90,,5.63,5.63,8.5,30.63,9.8,7.6,3.309,2.44,23.4,20.6,,
23,24,GMG,Goodman Grp,11.465,6.54,+22,6.70,5.045,22.20,,3.39,3.39,6.7,58.36,11.2,7.0,1.840,3.15,27.3,25.2,,
24,25,OSH,Oil Search,11.375,7.47,+28,9.78,6.61,12.68,,1.70,1.70,170.5,29.07,25.7,69.5,1.856,3.13,-19.3,3.4,,
25,26,RMD,ResMed Inc,11.268,8.00,+32,9.84,5.24,11.41,,1.43,1.43,43.7,27.95,28.6,13.9,6.037,-,47.6,40.5,,
