Derivatives: Call Options - Weekly,,,,,,,,,,,,
XAO 4685.1 at 16:41 17/9/2010  Report at 19:07 Friday 17/9/2010. Processed 18:10 Sunday 19/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $16.00,,,,,,,,,,,,
Sep,10,0.01,16.00,14.82,-,4,-,1.00,3.26,,,
Sep,10,13.00,3.01,2.05,-,-,28.60,1.00,3.26,,,
Sep,10,14.00,2.01,1.40,-,1,26.80,1.00,3.26,,,
Sep,10,14.50,1.51,1.08,10,20,25.90,1.00,3.26,,,
Sep,10,15.00,1.01,0.57,-,14,25.00,0.98,4.89,,,
Sep,10,15.50,0.52,0.54,250,202,16.10,0.94,6.52,,,
Sep,10,16.00,0.11,0.40,5,32,13.00,0.53,35.85,,,
Sep,10,16.50,0.00,-,-,-,13.00,0.04,1.30,,,
Sep,10,17.00,-,-,-,-,13.00,-,-,,,
Oct,10,0.01,16.07,-,-,-,-,-,4.62,,,
Oct,10,14.00,2.08,-,-,-,15.40,1.00,4.07,,,
Oct,10,14.50,1.58,0.42,-,-,15.30,0.98,4.35,,,
Oct,10,15.00,1.11,1.13,2,77,15.20,0.92,5.97,,,
Oct,10,15.50,0.68,0.69,35,439,14.60,0.79,9.78,,,
Oct,10,16.00,0.33,0.30,44,150,13.50,0.57,17.92,,,
Oct,10,16.50,0.14,0.12,8,5,13.60,0.31,7.33,,,
Oct,10,17.00,0.06,-,-,-,14.80,0.14,2.99,,,
Nov,10,0.01,16.14,-,-,-,-,-,4.73,,,
Nov,10,14.00,2.13,-,-,-,14.00,0.99,4.24,,,
Nov,10,14.50,1.65,-,-,-,14.00,0.97,4.73,,,
Nov,10,15.00,1.19,1.22,2,63,14.00,0.90,6.03,,,
Nov,10,15.50,0.79,0.77,1,68,14.10,0.77,9.29,,,
Nov,10,16.00,0.46,0.42,18,88,14.00,0.58,14.99,,,
Nov,10,16.50,0.23,0.25,4,179,13.30,0.38,7.33,,,
Nov,10,17.00,0.10,-,-,-,13.30,0.20,3.10,,,
Dec,10,0.01,16.20,-,-,4,-,-,4.89,,,
Dec,10,13.50,2.67,1.68,-,3,14.80,0.99,4.07,,,
Dec,10,14.00,2.19,-,-,11,14.70,0.98,4.42,,,
Dec,10,14.50,1.72,0.95,-,17,14.70,0.94,5.12,,,
Dec,10,15.00,1.28,0.99,11,79,14.70,0.86,6.63,,,
Dec,10,15.50,0.90,0.38,-,274,14.70,0.75,9.31,,,
Dec,10,16.00,0.60,0.56,130,143,15.20,0.59,14.08,,,
Dec,10,16.50,0.36,0.31,110,82,14.90,0.44,8.50,,,
Dec,10,17.00,0.20,0.17,2,10,14.80,0.29,4.66,,,
Dec,10,17.50,0.11,0.22,-,10,14.80,0.18,2.44,,,
Jan,11,14.00,2.27,-,-,-,14.80,0.96,4.63,,,
Jan,11,14.50,1.81,-,-,-,14.80,0.92,5.40,,,
Jan,11,15.00,1.40,-,-,-,14.80,0.84,6.78,,,
Jan,11,15.50,1.00,-,-,63,13.80,0.75,8.49,,,
Jan,11,16.00,0.67,-,-,-,13.60,0.62,11.49,,,
Jan,11,16.50,0.48,0.28,-,10,14.90,0.47,8.23,,,
Jan,11,17.00,0.26,-,-,-,13.80,0.33,4.46,,,
Feb,11,14.00,2.35,-,-,-,15.90,0.94,4.96,,,
Feb,11,14.50,1.88,-,-,5,14.40,0.91,5.38,,,
Feb,11,15.00,1.48,-,-,-,14.80,0.83,6.80,,,
Feb,11,15.50,1.16,-,-,-,15.90,0.72,9.28,,,
Feb,11,16.00,0.79,0.34,-,10,14.50,0.62,11.19,,,
Feb,11,16.50,0.53,-,-,-,14.10,0.50,7.44,,,
Feb,11,17.00,0.34,-,-,-,14.10,0.37,4.82,,,
Mar,11,0.01,16.11,-,-,-,-,-,1.39,,,
Mar,11,14.00,2.36,1.27,-,8,14.80,0.94,4.28,,,
Mar,11,14.50,1.91,-,-,-,14.80,0.90,4.95,,,
Mar,11,15.00,1.50,1.07,-,13,14.70,0.83,6.04,,,
Mar,11,15.50,1.13,0.47,-,29,14.40,0.74,7.54,,,
Mar,11,16.00,0.83,0.63,44,51,14.80,0.63,10.02,,,
Mar,11,16.50,0.57,0.37,1,25,14.50,0.52,6.94,,,
Mar,11,17.00,0.39,-,-,-,14.60,0.41,4.65,,,
Jun,11,0.01,16.31,-,-,-,-,-,2.57,,,
Jun,11,14.00,2.42,2.00,-,13,16.20,0.91,3.46,,,
Jun,11,14.50,2.02,-,-,-,16.20,0.86,4.24,,,
Jun,11,15.00,1.65,1.02,-,6,16.10,0.80,5.30,,,
Jun,11,15.50,1.31,0.73,-,11,15.80,0.73,6.60,,,
Jun,11,16.00,1.01,0.56,-,76,15.50,0.65,8.27,,,
Jun,11,16.50,0.82,0.81,4,5,16.40,0.57,6.72,,,
Jun,11,17.00,0.59,-,-,-,15.70,0.48,4.85,,,
Dec,12,13.00,3.58,2.56,-,10,17.40,0.91,1.60,,,
Dec,12,17.00,1.46,1.32,-,2,18.60,0.68,4.02,,,
Dec,12,18.00,1.15,1.07,-,15,18.90,0.57,3.18,,,
Jun,14,16.00,3.02,3.02,-,1,24.70,0.76,4.99,,,
Jun,14,16.50,2.83,-,-,-,24.70,0.71,4.67,,,
Asciano Grp Last Sale Price $1.64,,,,,,,,,,,,
Sep,10,0.01,1.66,1.68,-,135,-,1.00,111.62,,,
Sep,10,1.40,0.24,-,-,50,86.70,0.93,15.95,,,
Sep,10,1.50,0.14,-,-,11,55.30,0.90,15.95,,,
Sep,10,1.60,0.05,0.12,-,153,32.10,0.72,47.84,,,
Sep,10,1.70,0.03,0.01,525,2346,65.40,0.34,95.67,,,
Sep,10,1.80,0.01,0.02,50,1140,68.70,0.15,31.89,,,
Sep,10,1.90,0.00,0.01,-,1074,72.00,0.06,12.76,,,
Sep,10,2.00,0.00,0.02,-,106,75.30,0.02,3.19,,,
Sep,10,2.25,-,0.04,-,380,78.70,-,143.51,,,
Oct,10,0.01,1.64,-,-,-,-,-,5.32,,,
Oct,10,1.40,0.26,-,-,-,40.70,0.90,10.63,,,
Oct,10,1.50,0.16,-,-,-,32.30,0.82,13.29,,,
Oct,10,1.60,0.09,-,-,10,27.40,0.64,26.58,,,
Oct,10,1.70,0.03,0.07,-,815,24.90,0.36,15.95,,,
Oct,10,1.80,0.01,0.04,-,1281,24.90,0.15,5.32,,,
Oct,10,1.90,0.00,0.03,-,422,24.90,0.05,1.06,,,
Nov,10,0.01,1.64,-,-,-,-,-,4.78,,,
