Derivatives: Call Options - Weekly,,,,,,,,,,,,,,,,,,,,
Friday, November 9, 2012.,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Report at Friday, November 9, 2012. Processed Saturday at 2012-11-10T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS,
AGL Energy Last Sale Price $13.72,
Nov,12,14.00,.09,.25,60,60,14.90,.32,11.40,,
Nov,12,14.75,.02,.05,100,2329,20.40,.08,2.53,,
Nov,12,15.00,.01,.01,45,926,20.80,.04,1.27,,
Dec,12,14.00,.17,.40,127,288,14.90,.40,11.08,,
Dec,12,14.48,.05,.18,10,1329,14.30,.17,3.17,,
Dec,12,14.49,.05,.21,30,386,14.50,.17,3.17,,
Dec,12,14.97,.01,.05,79,4221,14.30,.05,.63,,
Dec,12,14.98,.01,.04,10,100,14.50,.05,.63,,
Dec,12,15.45,.00,.03,236,1785,14.30,.01,.13,,
Jan,13,14.00,.27,.29,20,-,14.10,.46,9.33,,
Jan,13,14.01,.28,.40,24,24,14.40,.46,9.50,,
Jan,13,14.50,.12,.28,2233,2263,14.10,.26,4.15,,
Jan,13,15.00,.04,.06,42,101,13.90,.12,1.38,,
Feb,13,14.48,.20,.20,20,233,14.70,.33,4.94,,
Feb,13,14.97,.10,.11,20,365,15.00,.20,2.53,,
Feb,13,15.45,.05,.07,22,101,15.40,.11,1.27,,
Mar,13,15.46,.04,.08,75,108,14.20,.14,.77,,
Sep,13,16.41,.10,.16,163,30,15.80,.22,.83,,
,
Asciano Last Sale Price $4.36,
Jan,13,4.40,.13,.12,136,-,17.00,.53,14.13,,
Jan,13,4.50,.09,.09,4470,4771,16.50,.41,9.24,,
Mar,13,4.40,.19,.26,4000,660,17.90,.57,11.14,,
Mar,13,4.70,.07,.08,88,30,16.70,.32,4.22,,
Jun,13,4.80,.12,.13,324,-,19.20,.38,4.35,,
,
Amcor Last Sale Price $7.90,
Nov,12,7.25,.68,.72,50,150,24.30,.94,5.50,,
Nov,12,7.50,.44,.38,60,583,20.10,.88,7.70,,
Dec,12,6.50,1.43,1.29,60,130,21.00,1.00,2.75,,
Dec,12,7.75,.26,.31,65,4699,15.00,.70,12.10,,
Dec,12,8.00,.11,.12,50,5144,13.10,.45,11.55,,
Dec,12,8.25,.04,.04,100,545,13.40,.21,3.85,,
Feb,13,8.25,.14,.14,1107,650,15.10,.39,6.38,,
Mar,13,7.50,.58,.61,60,670,17.30,.77,6.15,,
Mar,13,8.25,.15,.14,250,1444,14.80,.43,4.99,,
Jun,13,7.51,.64,.61,50,50,18.50,.75,5.00,,
,
AMP Last Sale Price $4.60,
Nov,12,4.40,.24,.19,1950,10460,24.60,.80,15.11,,
Nov,12,4.50,.17,.17,2338,13373,24.80,.68,26.45,,
