ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4597.2 at 16:47 27/11/2009  Report at 19:06 Friday 27/11/2009. Processed 20:04 Sunday 29/11/2009.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,13.5,0.706,0.48,0.055,0.13,20.8,18.7,14.4,11.4,1.64,4.22,f,1300 Smiles Ltd,,2.70,5,2.67,2.70,2.70,2.66,4.21,3.00,2.40,
TQH,-,3.074,2.683,0.026,-0.10,-,1.07,16.8,-,-,-,,3Q Hldgs Ltd,,0.18,,0.13,0.18,0.18,0.18,2.33,0.195,0.105,
FCS,-,3.288,-,0.001,0.03,0.8,-4.2,-,-,-,-,,4C Sec Solution,,0.023,,0.023,0.03,0.023,0.023,2.33,0.09,0.015,
ABP,16740,1180.74,538.273,0.64,0.62,0.7,-11.81,-,7.75,-,18.45,,Abacus Prop stpld,,0.42,-1.5,0.415,0.42,0.445,0.41,-1.12,0.48,0.147,
ALR,109.128,3.78,2.416,0.079,1.42,0.9,-21.34,-,9,-,6.69,f,Aberdeen Leaders,,1.345,-4.5,1.345,1.36,1.39,1.345,-0.91,1.44,0.90,
ACX,-,0.832,0.367,-,-0.01,-,-0.33,-,-,-,-,,ACMA Engineering,,0.001,,0.01,-,0.001,0.001,2.33,0.05,0.001,
ACR,2620.44,68.723,41.821,0.392,0.09,27.2,-4.84,-,-,-,-,,Acrux Ltd,,2.45,21,2.42,2.46,2.54,2.22,11.70,2.54,0.42,
ACW,8.475,1.686,1.813,0.002,0.05,1.2,-2.32,-,-,-,-,,Actinogen Ltd,,0.06,0.7,0.045,0.06,0.06,0.053,15.53,0.10,0.017,
ACWO,-,0.008,0.079,-,-,-,-,-,-,-,-,,  opt aug12,,0.003,,-,-,0.003,0.003,2.33,0.004,0.001,
ACU,1804,36.745,22.879,0.013,-,-,-0.43,-,-,-,-,,Acuvax Ltd,,0.02,0.1,0.017,0.02,0.02,0.018,7.59,0.05,0.016,
ADA,59.424,6.673,4.074,0.045,0.22,2.5,8.2,6.7,-,-,-,,Adacel Tech,,0.55,-4,0.57,0.60,0.60,0.54,-4.45,0.84,0.325
AAU,73.13,5.113,11.112,0.016,0.08,3.3,0.45,57.8,1,0.45,3.85,,Adcorp Aust,,0.26,-1,0.26,0.285,0.26,0.235,-1.38,0.345,0.165
ABC,9406.82,677.223,269.172,1.592,1.15,2.2,20.8,12.1,14,1.49,5.58,f,Adelaide Brighton,,2.51,-13,2.50,2.52,2.69,2.48,-2.60,3.01,1.445
AYT,387.338,22.715,19.169,0.13,1.79,0.7,12.59,10.4,15.47,0.81,11.81,,Adelaide Managed unt,,1.31,,1.31,1.33,1.33,1.30,2.33,1.76,1.10
ADQ,172.548,3.946,1.16,0.008,-,-,-8.68,-,-,-,-,,ADG Global Supply,,0.08,-3,0.08,0.09,0.11,0.08,-24.95,0.165,0.058
ADL,411.358,11.181,11.336,0.005,0.01,1.1,-2.68,-,-,-,-,,Admerex Ltd,,0.011,-0.2,0.011,0.013,0.013,0.011,-13.06,0.016,0.004
ADG,14.322,0.91,1.908,0.08,2.37,1.4,27.9,11.5,16,1.74,5.00,f,Adtrans Grp,,3.20,,3.20,3.45,3.20,3.18,2.33,3.25,1.65
ASC,11843.5,105.198,67.037,0.006,0.04,0.3,-0.28,-,-,-,-,,Adultshop Com,,0.01,,0.009,0.011,0.012,0.009,2.33,0.012,0.003
ASCO,157.39,3.005,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,,0.002,0.004,0.003,0.003,2.33,0.003,0.002
ABV,1049.53,100.856,55.976,0.021,0.01,2.8,-0.36,-,-,-,-,,Adv Braking Tech,,0.028,-0.2,0.028,0.03,0.031,0.028,-4.34,0.038,0.005
AMT,22.466,0.672,1.716,0.011,0.20,2.9,-2.9,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.58,-6,0.56,0.62,0.64,0.58,-7.05,0.64,0.28
AES,65.534,1.079,8.335,0.029,0.01,6.5,-0.06,-,-,-,-,,Advanced Energy,,0.065,,0.067,0.08,0.065,0.061,2.33,0.085,0.02
ACE,431.43,23.265,17.62,0.01,-0.04,-,-1.9,-,-,-,-,,Advanced Engine,,0.07,0.3,0.065,0.07,0.07,0.057,6.80,0.093,0.031
ANM,93.453,26.658,27.716,0.012,0.01,5.6,-3.07,-,-,-,-,,Advanced Magnesium,,0.056,0.1,0.056,0.059,0.056,0.055,4.15,0.124,0.013
ASW,108.835,2.305,3.074,0.013,0.09,3.6,2.1,15.2,2,1.05,6.25,f,Advanced Share,,0.32,-3,0.325,0.33,0.36,0.32,-6.24,0.36,0.15
AEI,30,7.141,6.402,0.011,0.01,11.5,-2.31,-,-,-,-,,Aeris Environmental,,0.115,-0.5,0.115,0.12,0.12,0.115,-1.84,0.185,0.05
AVE,255.233,18.744,41.245,0.177,2.07,0.7,-9.7,-,4,-,2.90,,Aevum Ltd,,1.38,-4,1.35,1.39,1.43,1.36,-0.49,1.67,0.545
AFT,-,392.164,1799.66,0.006,-,-,-0.03,-,-,-,-,,AFT Corp,,0.001,,-,0.001,0.001,0.001,2.33,0.001,0.001
AGK,5327.56,355.091,379.122,6.154,6.00,2.3,358,3.8,54,6.63,3.94,f,AGL Energy Ltd,,13.71,,13.69,13.78,14.06,13.67,2.33,15.80,12.83
AGJ,3.031,1.32,0.283,0.014,0.38,0.4,-3.63,-,2.42,-,14.67,,Agricultural Land unt,,0.165,1,0.155,0.16,0.165,0.155,8.78,0.28,0.13
AHC,-,0.203,0.041,0.013,3.31,0.7,17.79,12.6,5,3.56,2.22,,AHC Ltd,,2.25,,2.25,2.45,2.25,2.25,2.33,2.45,1.295
AGI,379.08,10.682,37.73,0.046,0.02,8.3,-4.45,-,-,-,-,,Ainsworth Game Tech,,0.165,-3.5,0.17,0.19,0.20,0.165,-15.17,0.22,0.05
AIZ,113.942,15.273,51.422,1.063,1.18,0.8,1.61,61.5,5.22,0.31,5.27,,Air New Zealand fpo nz,,0.99,-6,0.975,0.99,1.04,0.99,-3.39,1.12,0.55
AIG,-,0.187,0.051,0.001,-0.07,-,-5.34,-,-,-,-,,Aircruising Aust,,0.11,,-,-,0.11,0.11,2.33,0.12,0.098
AJL,703.642,61.49,48.158,0.279,2.11,2.0,249.7,1.7,10.5,23.78,2.44,f,AJ Lucas Grp,,4.30,-18,4.28,4.35,4.62,4.28,-1.69,5.60,2.03
ACL,1468.65,69.425,39.722,0.106,0.03,22.0,-5.2,-,-,-,-,,Alchemia Ltd,*,0.66,-8,0.66,0.665,0.725,0.64,-8.48,0.765,0.095
ACLR,-,-,-,-,-,-,-,-,-,-,-,,  rts16decd,,-,,0.07,0.28,-,-,-,-,-
AAI,0.4,0.002,-,40.4,-,-,-251.67,-,31.58,-,0.68,,Alcoa Inc cdi,,46.65,,-,45.95,46.65,46.65,2.33,47.10,44.00
LEP,380.69,34.516,24.889,0.335,3.08,0.7,31.51,7.0,30,1.05,13.57,,ALE Prop Grp stpld,,2.21,,2.20,2.21,2.22,2.19,2.33,2.36,1.416
ALS,1077,101.181,73.719,0.446,0.49,9.7,-13.94,-,7,-,1.47,f,Alesco Corp,,4.75,-7,4.60,4.75,5.00,4.61,0.87,5.91,0.60
ABQ,569.138,35.34,19.253,0.025,0.05,2.8,2.8,5.0,0.5,5.60,3.57,f,Allied Brands Ltd,,0.14,,0.14,0.145,0.145,0.135,2.33,0.28,0.10
ABQO,-,0.051,3.837,-,-,-,-,-,-,-,-,,  opt dec10,,0.005,,0.003,0.099,0.005,0.005,2.33,0.07,0.001
AMA,1082.66,46.827,50.387,0.016,-0.23,-,-43.5,-,-,-,-,,Allomak Ltd,,0.059,0.8,0.055,0.059,0.06,0.055,18.01,0.078,0.017
AEA,170.6,2.354,5.556,0.002,-,-,-3.25,-,-,-,-,,Altera Res Ltd,,0.11,-1,0.11,0.115,0.12,0.10,-6.01,0.12,0.015
AIQ,45.75,10.188,-,0.144,1.45,0.8,-33.96,-,47,-,42.73,,Alternative Invest unt,,1.10,5,1.065,1.135,1.10,1.05,7.09,1.45,0.575
ALU,80.18,6.748,4.135,0.021,0.12,2.0,-0.47,-,2,-,8.33,,Altium Ltd,,0.24,,0.245,0.27,0.24,0.24,2.33,0.60,0.235
AHD,95.869,9.301,6.302,0.72,4.48,1.2,53.5,10.4,32,1.67,5.73,f,Amalgamated Hldgs,*,5.58,9,5.52,5.58,5.59,5.40,3.97,6.15,3.598
AHDN,-,-,-,-,-,-,-,-,-,-,-,,  def,,-,,-,-,-,-,-,-,-
AMO,157,0.822,2.033,0.015,0.57,0.9,5.9,8.5,3.5,1.69,7.00,f,Ambertech Ltd,,0.50,,0.51,0.525,0.55,0.48,2.33,0.55,0.32
AMB,54,3.312,18.536,0.023,0.13,2.7,-52.3,-,1.5,-,4.35,,Ambition Grp Ltd,,0.345,,0.32,0.35,0.345,0.345,2.33,0.38,0.096
AMH,290.695,11.118,12.783,0.12,0.72,0.9,2.63,25.5,2,1.31,2.99,f,Amcil Ltd,,0.67,,0.67,0.68,0.68,0.67,2.33,0.72,0.43
AMM,7990.9,196.123,210.706,0.127,0.18,1.3,2.25,10.2,0.8,2.81,3.48,f,Amcom Telecomm,,0.23,1,0.23,0.24,0.25,0.22,6.87,0.25,0.096
AMMO,7167.62,183.628,63.922,0.016,-,-,-,-,-,-,-,,  opt dec09,,0.061,0.6,0.052,0.064,0.067,0.05,13.24,0.067,0.002
AMC,20040,1043.83,882.702,7.032,1.61,3.6,25.3,22.8,34,0.74,5.90,,Amcor Ltd,,5.76,13,5.75,5.77,5.90,5.56,4.64,5.90,3.50
AEC,30.961,6.893,3.258,0.102,0.77,3.6,27.1,10.3,16,1.69,5.71,f,Ammtec Ltd,,2.80,-5,2.70,2.80,2.83,2.69,0.57,3.00,1.30
AGF,2476.77,58.52,67.903,0.336,1.27,0.8,4.35,24.4,3.9,1.12,3.68,,AMP Capital China unt,,1.06,-3.5,1.06,1.075,1.13,1.06,-0.87,1.265,0.70
AMP,46353.2,1848.48,1846.24,12.128,0.67,8.8,29.6,20.0,30,0.99,5.07,p,AMP Ltd,,5.92,-41,5.91,5.95,6.41,5.90,-4.15,6.97,3.52
ANQ,704.148,19.191,8.938,0.033,0.02,12.3,-5.6,-,-,-,-,,Anaeco Ltd,,0.245,0.5,0.215,0.245,0.245,0.21,4.41,0.39,0.09
ANQO,-,0.048,0.015,-,-,-,-,-,-,-,-,,  opt may10,,0.003,-0.2,0.001,-,0.005,0.005,-37.67,0.023,0.003
ANQOA,-,0.044,0.005,-,-,-,-,-,-,-,-,,  opt may12,,0.004,,0.001,-,0.004,0.004,2.33,0.016,0.001
ALT,9898.28,62.784,123.877,0.026,-,-,-0.6,-,-,-,-,,Analytica Ltd,,0.067,1.5,0.065,0.07,0.083,0.055,31.17,0.083,0.019
ANN,2658.05,186.663,183.305,1.403,1.98,5.3,89.2,11.7,28,3.19,2.68,,Ansell Ltd,,10.45,24,10.32,10.52,10.95,10.14,4.68,13.38,7.51
ANO,25,12.702,2.406,0.011,0.03,1.7,0.77,6.5,-,-,-,,Antaria Ltd,,0.05,,0.049,0.052,0.05,0.05,2.33,0.065,0.02
ADO,9218.62,86.177,-,0.003,0.01,0.7,-1.1,-,-,-,-,,Anteo Diagnostics,,0.007,,0.007,0.008,0.007,0.006,2.33,0.015,0.004
ADOO,500,9.246,-,-,-,-,-,-,-,-,-,,  opt sep10,,0.002,,0.002,0.003,0.002,0.002,2.33,0.004,0.002
ADOOA,-,-,-,-,-,-,-,-,-,-,-,,  opt feb11,,-,,-,0.009,-,-,-,-,-
ANP,1298.09,41.251,114.696,0.035,0.01,5.9,-0.46,-,-,-,-,,Antisense Therapeutic,,0.059,-0.3,0.058,0.06,0.066,0.059,-2.51,0.075,0.029
ANZ,46414.8,2316.7,2656.68,53.078,10.72,2.0,170.4,12.4,102,1.67,4.81,f,ANZ Banking Grp,,21.19,-56,21.18,21.24,22.34,21.10,-0.25,25.25,11.83
APE,8.156,0.847,0.949,0.324,8.41,1.3,36.1,30.1,44,0.82,4.06,f,AP Eagers Ltd,,10.85,15,10.70,10.85,11.65,10.40,3.73,11.65,4.45
APP,40,1.827,1.889,-,-,-,-3.7,-,-,-,-,,APA Financial,,0.018,,0.018,0.035,0.018,0.018,2.33,0.081,0.01
APA,2894.08,215.181,216.392,1.618,1.18,2.7,16.2,19.6,31,0.52,9.75,,APA Grp stpld,,3.18,,3.17,3.19,3.29,3.17,2.33,3.30,2.45
AEZ,6764.89,489.347,647.733,0.038,0.33,0.2,-56.84,-,1,-,14.49,,APN European Retail stpld,,0.069,-1,0.065,0.071,0.079,0.066,-10.33,0.115,0.014
APN,14060.5,488.387,178.491,1.411,-1.23,-,-13.1,-,12,-,5.06,,APN News & Media,,2.37,5,2.35,2.40,2.58,2.31,4.48,2.638,0.866
APD,149.948,20.47,38.988,0.055,0.20,1.9,-18.08,-,3,-,7.89,,APN Prop Grp,,0.38,-2,0.335,0.38,0.40,0.34,-2.67,0.41,0.09
AOP,27605,306.916,4.607,0.005,-,-,-0.91,-,-,-,-,,Apollo Cons,,0.011,-0.1,0.01,0.011,0.014,0.01,-6.01,0.04,0.009
AQL,-,11.569,23.738,0.003,-,-,-0.35,-,-,-,-,,Aquacarotene Ltd,,0.012,,0.01,0.017,0.012,0.012,2.33,0.018,0.008
APB,495.369,15.903,17.371,0.013,0.22,0.2,2,2.5,-,-,-,,Arafura Pearls,,0.05,-0.4,0.047,0.055,0.054,0.05,-5.08,0.08,0.038
ARP,915.453,14.338,10.401,0.339,1.22,4.2,33.86,15.1,16.5,2.05,3.24,f,ARB Corp,,5.10,7,5.08,5.10,5.13,4.99,3.72,5.20,2.368
AAD,3590.72,156.562,120.384,0.45,1.18,1.3,-0.32,-,14.3,-,9.66,,Ardent Leisure Grp stp,,1.48,3,1.44,1.50,1.525,1.44,4.40,1.65,0.79
ARG,541.61,35.939,34.941,3.858,6.26,1.1,-11.1,-,27,-,4.10,f,Argo Invest,,6.59,-13,6.58,6.60,6.80,6.55,0.39,6.91,4.52
ASV,1426.53,25.757,28.451,0.002,-,-,-0.12,-,-,-,-,,Argus Solutions,,0.007,,0.006,0.007,0.007,0.005,2.33,0.017,0.005
ARA,86.481,4.293,13.869,0.059,0.30,1.0,-4.51,-,1,-,3.45,,Ariadne Aust,,0.29,1,0.29,0.31,0.30,0.28,5.90,0.30,0.16
ALL,15704.7,510.161,649.405,2.096,0.35,11.2,-0.2,-,14.5,-,3.69,f,Aristocrat Leisure,,3.93,-33,3.92,4.02,4.33,3.88,-5.42,5.75,3.16
ARJ,204.098,2.545,3.055,0.014,1.08,0.5,8.07,7.2,7,1.15,12.07,f,ARK Fund Ltd (The),,0.58,-4.5,0.58,0.595,0.63,0.58,-4.87,0.80,0.44
AEM,1754.87,123.426,35.733,0.003,-,-,2.83,0.5,-,-,-,,Artist & Entertain,,0.014,-0.1,0.013,0.014,0.015,0.013,-4.34,0.025,0.003
APH,141,15.552,5.285,0.049,0.04,4.9,3.1,6.3,0.5,6.20,2.56,,Ascent Pharmahealth,,0.195,-0.5,0.195,0.21,0.20,0.195,-0.17,0.26,0.12
AIO,70719.7,4125.67,1212.15,4.696,-1.41,-,-32.5,-,23,-,14.33,,Asciano Grp stpld,,1.605,-1.5,1.605,1.61,1.67,1.59,1.40,1.76,0.32
AFA,437.814,10.672,7.551,0.03,0.01,20.0,-2.61,-,-,-,-,,ASF Grp Ltd,,0.20,1,0.18,0.22,0.20,0.16,7.59,0.43,0.036
ASZ,2034.82,58.751,27.598,0.162,0.05,23.3,8.52,13.7,5.5,1.55,4.72,f,ASG Grp Ltd,,1.165,10.5,1.13,1.165,1.195,1.025,12.23,1.195,0.33
AJJ,145.078,15.098,5.533,0.026,-0.02,-,-2.51,-,-,-,-,,Asia Liver Trans,,0.14,-1,0.14,0.15,0.155,0.14,-4.34,0.50,0.007
AJJO,-,0.75,1.857,-,-,-,-,-,-,-,-,,  opt sep10,,-,,-,0.035,0.001,0.001,2.33,0.002,0.001
AUF,151.548,3.986,2.566,0.093,0.95,1.0,0.76,128.9,-,-,-,,Asian Masters Fund,,0.98,-1,0.98,1.00,0.99,0.98,1.32,1.05,0.77
AKF,20.996,5.794,-,0.022,0.35,1.0,5.4,6.3,1.3,4.15,3.82,f,ASK Funding Ltd,,0.34,-2,0.285,0.34,0.36,0.34,-3.23,0.37,0.125
APZ,20966.4,373.565,125.16,0.296,0.68,0.8,-22.53,-,6.17,-,12.10,,Aspen Grp stpld,,0.51,-0.5,0.49,0.515,0.515,0.48,1.36,0.575,0.218
ASP,-,0.909,3.674,0.036,-0.06,-,-0.22,-,0.13,-,0.87,,Aspermont Ltd,,0.15,,0.15,0.175,0.15,0.15,2.33,0.271,0.14
AKR,211.77,20.05,41.584,0.017,1.60,0.5,-0.03,-,-,-,-,,Astra Capital Ltd,,0.80,15,0.755,0.80,0.80,0.65,25.40,1.10,0.008
AJA,6115,600.059,625.171,0.231,0.93,0.5,-71.94,-,9,-,19.78,,Astro Jap Prop Grp stpld,,0.455,-1,0.445,0.455,0.47,0.435,0.18,0.515,0.16
ATR,24.24,2.118,1.711,0.118,0.03,60.0,-3.9,-,10,-,5.56,,Astron Ltd,,1.80,-15,1.78,1.80,1.95,1.755,-5.37,2.70,1.41
ASX,6321.21,205.077,269.354,5.631,2.66,12.3,183.2,17.8,164.9,1.11,5.04,f,ASX Ltd,,32.70,10,32.70,32.82,33.24,32.50,2.63,37.90,23.52
ACG,108,22.866,16.204,0.02,0.05,3.9,-1.7,-,-,-,-,,Atcor Medical,,0.195,-2,0.195,0.20,0.21,0.195,-6.98,0.24,0.125
ATI,25836.2,1481.06,77.652,0.044,0.01,4.0,-0.11,-,-,-,-,,Atlantic Ltd,,0.04,0.1,0.039,0.04,0.04,0.034,4.89,0.048,0.005
ATIO,7214.44,571.329,-,0.009,-,-,-,-,-,-,-,,  opt dec11,,0.029,0.1,0.027,0.029,0.029,0.025,5.90,0.039,0.003
ATP,185.841,13.512,13.185,0.013,0.20,0.5,-4.39,-,2,-,19.05,,Atlas Southsea Pearl,,0.105,-1.5,0.11,0.125,0.12,0.105,-10.17,0.22,0.075
ATW,50,2.772,1.696,0.003,0.01,1.7,-0.12,-,-,-,-,,Atos Wellness,,0.017,,0.007,0.03,0.017,0.017,2.33,0.04,0.01
AIA,259.674,68.712,80.64,1.802,1.21,1.2,2.74,53.6,6.7,0.41,4.56,,Auckland Airport fpo nz,,1.47,-3.5,1.43,1.46,1.505,1.44,0.00,1.66,1.175
ABWDA,-,-,-,-,7.43,-,-57.97,-,-,-,-,,Aurora Buy-Write def,,-,,1.185,1.195,-,-,-,-,-
AIBDA,15,0.015,-,0.014,8.15,0.1,-13.91,-,-,-,-,,Aurora Global Tr def,,1.13,,1.03,1.25,1.13,1.13,-,1.13,1.13
AUP,2,0.241,0.269,0.02,5.54,1.0,-,-,-,-,-,,Aurora Prop unt,,5.36,4,5.32,5.36,5.37,5.32,3.08,5.37,4.35
AOD,1836.95,21.874,6.272,0.048,1.09,1.0,-6.57,-,5,-,4.59,f,Aurora Sandringham ,,1.09,-2,1.09,1.10,1.11,1.09,0.53,1.23,1.055
ASL,2407.78,99.245,131.906,0.306,1.73,1.0,23.23,7.5,11,2.11,6.32,f,Ausdrill Ltd,,1.74,-7,1.735,1.74,1.84,1.73,-1.54,1.95,0.675
AAX,2522.69,189.271,77.707,0.524,0.76,5.7,43.94,9.8,18.5,2.38,4.30,f,Ausenco Ltd,,4.30,-27,4.17,4.35,4.70,4.16,-3.58,5.95,1.855
AET,453.88,13.418,3.472,0.03,-,-,-32.9,-,2,-,2.63,,Ausmelt Ltd,,0.76,20,0.74,0.76,0.77,0.58,38.04,0.77,0.10
AAC,1656.81,217.731,108.276,0.367,2.55,0.5,-25.7,-,-,-,-,,Aust Agriculture,,1.39,-10,1.39,1.40,1.495,1.38,-4.38,2.07,1.16
AAK,2525,568.147,93.82,0.049,0.06,0.3,0.34,4.4,-,-,-,,Aust China Hldgs,,0.015,,0.011,0.015,0.016,0.013,2.33,0.016,0.002
AAKO,-,24.539,-,0.006,-,-,-,-,-,-,-,,  opt dec13,,0.002,,0.002,0.004,0.002,0.002,2.33,0.005,0.001
AEU,320.1,32.885,78.851,0.058,1.33,0.3,-21.5,-,6.7,-,15.58,,Aust Education unt,,0.43,-3,0.43,0.45,0.45,0.43,-4.19,0.54,0.145
AYF,8.917,0.272,0.31,0.022,6.42,1.0,-157,-,65,-,10.24,p,Aust Enhanced unt,,6.35,,6.26,6.35,6.35,6.28,2.33,6.45,5.00
AEF,0.173,0.036,0.039,0.034,8.53,4.1,121.6,28.5,147,0.83,4.24,f,Aust Ethical,,34.70,-10,32.00,34.00,34.80,34.70,2.04,37.00,17.00
AFI,1305.72,65.371,69.545,5.144,4.77,1.1,10.61,49.2,21,0.51,4.02,f,Aust Foundation,,5.22,-5,5.19,5.23,5.30,5.18,1.38,5.35,3.45
AIX,13516.8,429.762,227.521,0.981,3.14,0.5,26.33,6.5,13,2.03,7.65,p,Aust Infra unt,,1.70,-1,1.70,1.71,1.74,1.68,1.74,1.93,0.991
ALF,237.393,14.033,17.931,0.08,1.56,0.8,11.85,10.1,5,2.37,4.18,f,Aust Leaders,,1.195,-0.5,1.18,1.20,1.20,1.18,1.91,1.265,0.55
ALFO,617.185,18.388,-,0.003,-,-,-,-,-,-,-,,  opt nov10,,0.047,,0.047,0.048,0.048,0.045,2.33,0.10,0.045
API,8899.62,77.449,125.415,0.305,0.84,0.7,5.9,10.6,2,2.95,3.20,f,Aust Pharmaceutical,,0.625,,0.615,0.625,0.645,0.61,2.33,0.939,0.312
APK,59.322,8.856,18.388,0.032,-0.08,-,-9.8,-,-,-,-,,Aust Power,,0.32,-0.5,0.32,0.34,0.325,0.32,0.79,0.38,0.12
AUI,15.289,0.988,0.771,0.695,7.19,1.0,14,50.6,25,0.56,3.53,f,Aust United Invest,,7.08,-82,7.05,7.08,7.70,7.08,-8.05,7.90,4.25
AVG,1216.91,54.258,27.412,0.033,0.88,0.3,-96,-,-,-,-,,Aust Vintage Ltd,,0.26,,0.26,0.275,0.275,0.25,2.33,0.49,0.125
ASB,614.078,54.245,71.374,0.455,1.24,2.0,5,48.4,6,0.83,2.48,f,Austal Ltd,,2.42,6,2.35,2.42,2.46,2.35,4.87,3.12,1.425
AUN,10992.1,565.42,495.9,1.653,-0.33,-,-2.4,-,-,-,-,,Austar United,,1.32,-7,1.30,1.33,1.44,1.32,-2.71,1.465,0.60
AUB,47.751,18.771,14.508,0.269,0.88,5.9,31.7,16.4,20.5,1.55,3.95,f,Austbrokers Hldgs,,5.19,1,5.07,5.20,5.25,5.05,2.52,5.65,3.40
AEO,2189.26,73.235,99.607,0.562,-0.01,-,11.98,13.6,9.1,1.32,5.58,f,Austereo Grp Ltd,,1.63,13,1.58,1.63,1.645,1.51,10.99,1.74,1.02
ANG,625.074,26.669,24.629,0.198,0.63,4.5,31.39,9.1,8,3.92,2.80,f,Austin Engineer,,2.86,-4,2.87,2.93,2.99,2.82,0.95,2.99,0.78
ACK,149.074,5.772,13.721,0.044,0.19,1.7,-17.6,-,1,-,3.08,,Austock Grp Ltd,,0.325,2.5,0.30,0.325,0.325,0.29,10.66,0.35,0.15
AYX,-,0.054,0.025,0.005,0.26,3.8,-6.3,-,-,-,-,,Austofix Grp Ltd,,1.00,,1.00,1.20,1.00,1.00,2.33,1.00,0.75
ALZ,14436.4,1029.16,474.338,1.471,0.92,0.6,-15.55,-,10,-,19.61,,Australand Prop stpld,,0.51,-2.5,0.505,0.51,0.545,0.50,-2.35,0.585,0.174
AIY,400,2.033,0.78,0.002,0.03,1.0,-0.23,-,-,-,-,,Authorised Invest,,0.03,-0.3,0.027,0.03,0.033,0.03,-6.76,0.034,0.016
AIYO,-,-,-,-,-,-,-,-,-,-,-,,  opt feb13,,-,,-,-,-,-,-,-,-
AIYOA,-,-,0.09,-,-,-,-,-,-,-,-,,  opt mar10,,0.01,,-,-,0.01,0.01,2.33,0.01,0.01
ATJ,1182,10.096,7.081,0.008,0.01,5.4,-5.55,-,-,-,-,,Auto Tech Ltd,,0.054,-0.1,0.047,0.052,0.055,0.049,0.51,0.151,0.028
AIE,455.164,9.082,10.452,0.004,0.12,0.6,2.32,2.9,-,-,-,,Autodom Ltd,,0.067,-0.1,0.054,0.067,0.07,0.067,0.86,0.11,0.02
AHE,798.363,50.807,34.051,0.51,0.69,3.3,-,-,14,-,6.19,f,Automotive Hldgs,,2.26,4,2.23,2.26,2.28,2.19,4.13,2.40,0.48
AAT,40,1.419,2.353,0.012,-,-,-1.63,-,-,-,-,,Autron Corp,,0.016,-0.3,0.015,0.016,0.019,0.016,-13.46,0.025,0.01
AVX,3789.21,480.353,256.962,0.14,0.03,6.8,-7.87,-,-,-,-,,Avexa Ltd,,0.205,0.5,0.25,0.17,0.21,0.195,4.83,0.235,0.054
AVH,616.048,45.632,10.293,0.016,0.05,3.2,-5.49,-,-,-,-,,Avita Medical Ltd,,0.16,-0.5,0.155,0.16,0.165,0.155,-0.70,0.275,0.031
AVJ,353.521,20.062,17.693,0.148,1.04,0.5,-4.68,-,2,-,3.70,,AVJennings,,0.54,-0.5,0.52,0.55,0.55,0.52,1.41,0.63,0.16
AWB,39090.7,896.329,335.659,0.96,1.81,0.6,18.5,6.4,5,3.70,4.26,,AWB Ltd,,1.175,-9.5,1.17,1.185,1.30,1.16,-5.15,2.851,0.592
AWL,2100,81.324,89.964,0.006,-,-,-0.31,-,-,-,-,,AWH Corp Ltd,,0.006,,0.005,0.007,0.006,0.006,2.33,0.007,0.002
AXA,34912.1,984.575,768.758,11.596,0.96,5.8,-7.39,-,18.5,-,3.30,p,AXA Asia Pacific,,5.61,-21,5.55,5.62,5.91,5.53,-1.28,6.00,2.52
AXI,1555.25,52.227,52.825,0.019,0.06,0.7,-2.76,-,-,-,-,,Axiom Prop,,0.044,-0.1,0.04,0.054,0.044,0.037,0.10,0.08,0.021
BBIDA,14996.7,14.997,-,1.46,1.84,2.3,-40.69,-,-,-,-,,Babcock & Br Infr stp d,,4.15,,4.09,4.18,4.57,4.04,-,4.57,4.04
BBP,-,1053.55,1866.15,0.055,-1.48,-,-20.34,-,-,-,-,,Babcock & Br Pwr stp,,0.076,,-,-,0.076,0.076,2.33,0.13,0.032
BOQ,2298.95,157.587,107.18,2.221,6.62,1.6,75.9,13.9,52,1.46,4.94,f,Bank of Qld,,10.52,-72,10.52,10.54,11.44,10.42,-4.08,13.49,6.228
BBX,-,0.124,1.35,0.002,0.01,2.0,-12.17,-,-,-,-,,BBX Hldgs,,0.02,,-,0.03,0.02,0.02,2.33,0.02,0.01
BEC,9762.15,208.956,180.259,0.023,0.23,0.5,-167.28,-,16.3,-,148.18,,Becton Prop Grp stpld,,0.11,,0.105,0.11,0.135,0.11,2.33,0.23,0.065
BFG,174.054,27.685,15.636,0.308,0.27,4.7,4.9,25.9,4,1.23,3.15,f,Bell Financial Grp,,1.27,-1,1.22,1.27,1.30,1.22,1.55,1.40,0.37
