ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4643.0 at 16:36 14/5/2010  Report at 19:07 Friday 14/5/2010. Processed 13:04 Sunday 16/5/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,493.462,1.244,0.068,0.061,0.08,36.3,19.23,15.1,12.5,1.54,4.31,f,1300 Smiles Ltd,,2.90,5,2.80,3.00,2.96,2.85,-1.25,3.00,2.50,
TQH,-,0.818,0.417,0.016,-0.08,-,3.28,3.0,-,-,-,,3Q Hldgs Ltd,,0.10,,0.06,0.13,0.10,0.10,-3.01,0.18,0.095,
FCS,108.952,2.59,0.571,0.003,0.01,3.0,-2.77,-,-,-,-,,4C Sec Solution,,0.03,,0.02,0.03,0.03,0.028,-3.01,0.06,0.015,
AAY,3,2.426,-,0.012,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.24,,0.20,0.23,0.24,0.24,-3.01,0.275,0.22,
ABP,19373.7,435.433,418.347,0.753,0.60,0.7,-2.32,-,5.75,-,13.86,,Abacus Prop stp,,0.415,-0.5,0.415,0.42,0.43,0.415,-4.20,0.48,0.285,
ALR,115.608,1.74,1.036,0.08,1.38,1.0,7.67,17.3,9,0.85,6.77,f,Aberdeen Leaders,,1.33,-2,1.33,1.37,1.37,1.33,-4.49,1.47,1.155,
ACR,1127.93,33.292,14.23,0.313,0.06,32.5,-2.84,-,-,-,-,,Acrux Ltd,,1.95,4,1.94,1.95,1.96,1.86,-0.91,2.60,0.97,
ACW,127.25,0.881,0.673,0.001,0.04,0.9,-1.88,-,-,-,-,,Actinogen Ltd,,0.035,,0.028,0.035,0.035,0.027,-3.01,0.10,0.027,
ACWO,-,0.008,0.006,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,-3.01,0.003,0.001,
ACU,790.251,15.136,6.642,0.005,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.007,,0.006,0.008,0.008,0.007,-3.01,0.035,0.006,
ADA,89.799,3.313,0.738,0.035,0.21,2.0,2.7,15.6,-,-,-,,Adacel Tech,,0.42,1,0.40,0.42,0.42,0.385,-0.57,0.84,0.32,
AAU,66.2,2.742,2.305,0.013,0.07,2.9,-2.18,-,1,-,5.00,,Adcorp Aust,,0.20,2,0.19,0.22,0.20,0.185,8.10,0.305,0.18,
ABC,12955.8,208.519,347.249,1.778,1.21,2.3,20.4,13.7,13.5,1.51,4.82,f,Adelaide Brighton,,2.80,7,2.79,2.81,2.84,2.72,-0.44,3.01,2.03,
AYT,261.077,5.738,9.159,0.15,1.79,0.8,6.83,22.0,16.02,0.43,10.64,,Adelaide Managed unt,,1.505,0.5,1.51,1.535,1.52,1.50,-2.68,1.565,1.10,
ADQ,719.544,4.008,0.165,0.007,0.02,2.9,-11.08,-,-,-,-,,ADG Global Supply,,0.059,-0.6,0.059,0.079,0.07,0.059,-12.24,0.123,0.058,
ADQO,-,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,,0.004,0.009,0.008,0.008,-3.01,0.013,0.008,
ADL,103.5,33.616,4.2,0.002,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.005,,0.004,0.005,0.005,0.004,-3.01,0.016,0.004,
ADG,18.514,0.8,0.395,0.088,2.44,1.4,37.1,9.4,20,1.86,5.71,f,Adtrans Grp,,3.50,,3.50,3.65,3.50,3.50,-3.01,3.70,2.00,
ASC,460,82.811,23.868,0.007,0.02,0.5,-0.19,-,-,-,-,,Adultshop Com,,0.011,0.1,0.009,0.01,0.011,0.01,6.99,0.015,0.004,
ASCO,-,15.748,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,,0.003,0.004,0.003,0.003,-3.01,0.005,0.002,
ABV,474.93,19.81,51.834,0.015,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.02,0.1,0.019,0.023,0.023,0.019,2.25,0.038,0.009,
