ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4480.9 at 16:36 13/8/2010  Report at 19:07 Friday 13/8/2010. Processed 20:03 Saturday 14/8/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,3.691,1.461,0.393,0.067,0.08,39.4,19.23,16.4,12.5,1.54,3.97,f,1300 Smiles Ltd,,3.15,,3.05,3.15,3.20,3.15,2.30,3.30,2.61,
TQH,-,0.893,1.494,0.018,-0.08,-,3.28,3.4,-,-,-,,3Q Hldgs Ltd,,0.11,,0.04,0.08,0.11,0.11,2.30,0.18,0.095,
FCS,-,3.278,1.771,0.003,0.01,2.3,-2.77,-,-,-,-,,4C Sec Solution,,0.023,,0.024,0.034,0.023,0.023,2.30,0.05,0.015,
AAY,113.975,4.358,-,0.004,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.07,-0.2,0.06,0.07,0.08,0.07,-0.48,0.275,0.07,
ABP,23550.9,737.263,718.622,0.725,0.60,0.7,-2.32,-,3.9,-,9.75,,Abacus Prop stp,,0.40,-3,0.40,0.405,0.44,0.395,-4.68,0.48,0.33,
ALR,86.141,3.087,2.063,0.074,1.31,0.9,7.67,16.0,9.5,0.81,7.76,f,Aberdeen Leaders,,1.225,-3.5,1.225,1.235,1.27,1.22,-0.48,1.47,1.20,
ACR,795.063,43.728,32.628,0.313,0.06,32.5,-2.84,-,-,-,-,,Acrux Ltd,,1.95,-3,1.95,1.96,2.05,1.855,0.78,2.60,1.18,
ACW,270.679,1.795,1.229,0.003,0.04,2.1,-1.88,-,-,-,-,,Actinogen Ltd,,0.085,-2.5,0.045,0.11,0.105,0.085,-20.43,0.11,0.027,
ACWO,-,0.013,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,0.04,0.001,0.001,2.30,0.003,0.001,
ACU,3535.99,48.402,8.847,0.002,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.003,,0.002,0.004,0.003,0.002,2.30,0.033,0.002,
