ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, May 13, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4787.3 at 2011-05-13T16:39:16. Report at Friday, May 13, 2011. Processed Saturday at 2011-05-14T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,.800,.255,.803,.075,.18,19.4,22.77,15.4,14.70,1.55,4.20,f,1300 Smiles,,3.50,-,3.50,3.69,3.50,3.50,+.60,4.25,2.90,,
TQH,64.816,.296,.818,.009,-.06,-,1.08,5.1,-,-,-,,3Q Hldgs,,.055,-,.055,-,.055,.055,+.60,.11,.052,,
FCS,6.572,.679,2.590,.005,.01,2.9,-.15,-,-,-,-,,4C Sec Solution,,.029,-,.029,.044,.029,.029,+.60,.048,.02,,
AAY,18.000,.876,2.426,.003,-,-,-3.00,-,-,-,-,,AACL Hldgs,,.06,-,.04,.06,.06,.06,+.60,.21,.03,,
AAQ,1405.95,85.114,-,.004,-,-,-3.24,-,-,-,-,,AAQ Hldgs,†,.01,-.2,.011,.012,.012,.01,-16.07,.725,.01,,
ABP,2192.27,59.049,429.060,.825,2.83,.8,2.91,74.9,9.90,.29,4.54,,Abacus Prop,†,2.18,-,2.18,2.20,2.21,2.15,+.60,2.45,1.825,,
ALR,100.499,2.619,1.733,.075,1.38,.9,4.77,26.1,9.50,.50,7.63,f,Aberdeen Leaders,,1.245,+.5,1.245,1.255,1.255,1.245,+1.00,1.345,1.21,,
AKG,-,.061,.121,.024,.15,3.7,4.95,11.1,4.00,1.24,7.27,f,Academies A'asia,,.55,-,.33,.55,.55,.55,+.60,.56,.365,,
ACR,1786.53,39.851,33.084,.566,.77,4.4,65.08,5.2,-,-,-,,Acrux,,3.40,-8,3.40,3.42,3.53,3.39,-1.70,3.55,1.433,,
ACW,-,1.002,.881,.003,.02,3.0,-2.12,-,-,-,-,,Actinogen,,.06,-,.046,.06,.06,.06,+.60,.105,.023,,
ACWO,-,-,.008,-,-,-,-,-,-,-,-,,  opt aug12,,.01,-,-,.01,.01,.01,+.60,.014,.001,,
ACWOA,-,.142,-,-,-,-,-,-,-,-,-,,  opt sep15,,.015,-,.025,-,.015,.015,+.60,.015,.01,,
ACU,20690.0,681.776,15.136,.004,-,-,-.14,-,-,-,-,,Acuvax,,.002,-,.001,.002,.003,.001,+.60,.005,.001,,
ADA,82.878,1.130,3.309,.018,.17,1.3,-2.10,-,-,-,-,,Adacel Tech,,.22,-.5,.22,.25,.25,.22,-1.62,.47,.22,,
AAU,23.460,11.788,2.697,.010,.08,2.0,-9.67,-,1.00,-,6.25,f,Adcorp Aust,,.16,-,.16,.175,.175,.16,+.60,.25,.145,,
ABN,-,313.397,-,.005,-,-,.21,.5,-,-,-,,AdEffective,,.001,-,-,.001,.001,.001,+.60,.003,.001,,
ABC,7011.29,169.244,206.439,1.979,1.19,2.6,23.90,13.0,16.50,1.45,5.31,f,Adelaide Brighton,,3.11,-3,3.09,3.12,3.20,3.07,-.36,3.692,2.473,,
AYT,61.005,10.379,5.738,.024,.27,.9,11.88,2.1,8.30,1.43,33.20,,Adelaide Mgd,,.25,-,.25,.255,.25,.25,+.60,.296,.163,,
ADQ,57.500,5.403,3.694,.013,.03,2.3,-.86,-,-,-,-,,ADG Global Supply,,.07,-,.07,.075,.07,.065,+.60,.082,.05,,
ABV,3034.15,40.046,19.610,.024,.01,2.5,-.03,-,-,-,-,,Adv Braking Tech,,.025,-.2,.024,.025,.027,.025,-6.81,.038,.014,,
AMT,-,.339,.239,.008,.14,1.6,-6.01,-,-,-,-,,Adv Surg Dsgn & Mnft,,.23,-,.14,.26,.23,.23,+.60,.54,.15,,
AES,226.800,.778,3.653,.022,-,-,-.06,-,-,-,-,,Advanced Energy,,.05,-.6,.05,.075,.05,.05,-10.12,.08,.035,,
ANM,1560.46,8.564,4.685,.019,.02,3.5,-.65,-,-,-,-,,Advanced Magnesium,,.069,+2,.065,.07,.072,.046,+41.42,.072,.036,,
ASW,41.946,1.849,2.949,.029,.15,4.6,3.56,19.5,3.70,.96,5.32,f,Advanced Share Reg,,.695,-3.5,.695,.75,.695,.67,-4.20,1.20,.375,,
AEI,843.451,3.151,1.904,.020,-.02,-,-1.54,-,-,-,-,,Aeris Environmental,,.205,+3,.20,.23,.21,.18,+17.74,.39,.055,,
AFT,1800.00,343.961,815.867,.007,-,-,.02,5.0,-,-,-,,AFT Corp,,.001,-,-,.001,.001,.001,+.60,.002,.001,,
AGX,3142.12,24.656,-,.011,-,-,.57,2.6,-,-,-,,Agenix,,.015,-.1,.015,.016,.018,.015,-5.65,.047,.015,,
AGXO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun11,,.001,-,-,.001,.001,.001,+.60,.01,.001,,
AGK,5843.84,105.473,121.104,6.791,6.40,2.3,91.10,16.2,59.00,1.54,4.01,,AGL Energy,,14.72,+7,14.65,14.73,14.80,14.59,+1.08,16.92,13.51,,
AGJ,10.444,.210,.238,.018,.37,.5,2.23,8.7,1.88,1.19,9.64,,Agricultural Land,,.195,+.5,.12,.205,.195,.19,+3.23,.195,.121,,
AHC,-,.020,.068,.011,4.92,.4,11.63,16.3,10.00,1.16,5.26,f,AHC,,1.90,-,-,2.10,1.90,1.90,+.60,2.10,1.80,,
ENY,2.959,.525,.004,.004,-,-,-,-,-,-,-,p,AII 200 Energy,,16.18,-33,16.25,16.34,16.59,16.18,-1.40,18.26,13.95,,
FIN,19.587,.740,.031,.003,-,-,-,-,-,-,-,p,AII 200 Financials,,4.55,-10,4.55,4.58,4.65,4.55,-1.55,4.87,4.18,,
FIX,15.911,.965,-,.002,-,-,-,-,-,-,-,p,AII 200 Fin X-A-REIT,,5.33,-5,5.29,5.33,5.38,5.33,-.33,5.83,4.83,,
IDD,9.000,.544,.007,.001,-,-,-,-,-,-,-,p,AII 200 Industrials,,3.63,-11,3.67,3.70,3.74,3.63,-2.34,3.90,3.21,,
RSR,33.271,.984,.077,.009,-,-,-,-,-,-,-,p,AII 200 Resources,,5.81,+2,5.76,5.80,5.91,5.78,+.94,6.42,4.60,,
MAM,26.721,1.443,.067,.004,-,-,-,-,-,-,-,p,AII 300 Metals & Mining,,4.95,-4,4.95,5.00,5.05,4.95,-.20,5.58,3.90,,
AGI,2269.04,8.258,2.757,.092,.02,16.5,1.69,19.5,-,-,-,,Ainsworth Game Tech,,.33,-1,.33,.335,.36,.315,-2.34,.36,.08,,
AIZ,69.520,7.980,10.043,.904,1.14,.7,8.87,9.4,5.34,1.66,6.43,,Air New Zealand,,.83,-1.5,.83,.86,.86,.825,-1.18,1.175,.765,,
AIG,-,.143,-,-,-.15,-,-4.06,-,-,-,-,,Aircruising Aust,,.04,-,.035,.06,.04,.04,+.60,.11,.035,,
AJL,400.415,7.286,15.155,.100,.94,1.6,-47.00,-,-,-,-,,AJ Lucas Grp,,1.51,-12,1.465,1.51,1.685,1.455,-6.76,3.02,1.455,,
ACL,1591.82,16.591,18.497,.112,.04,14.6,-6.30,-,-,-,-,,Alchemia,,.585,-8.5,.57,.585,.68,.57,-12.09,.77,.345,,
AAI,.060,.033,.027,14.203,-,-,-14.02,-,10.47,-,.64,,Alcoa Inc,,16.40,-,15.51,17.00,16.40,16.376,+.60,18.99,11.50,,
LEP,566.629,13.363,17.102,.313,2.26,.9,6.98,28.4,22.00,.32,11.11,,ALE Prop Grp,,1.98,-1,1.97,2.03,2.00,1.965,+.10,2.29,1.80,,
ALS,916.787,37.197,39.207,.303,.72,4.5,-141.41,-,1.50,-,.47,f,Alesco Corp,,3.22,-1,3.15,3.28,3.26,3.10,+.29,3.63,2.25,,
AJX,409.071,7.133,20.277,.008,-.01,-,-4.93,-,-,-,-,,Alexium Int'l,,.105,-,.105,.125,.11,.105,+.60,.195,.08,,
AEB,112.600,6.431,-,.013,-,-,-,-,-,-,-,,Algae.Tec,,.40,+3,.36,.39,.40,.37,+8.71,.67,.17,,
AEJ,7.136,259.270,311.586,.004,-1300.00,-,-6640.00,-,-,-,-,,Alinta Energy Grp,†,5.58,-248,5.59,6.39,8.20,5.53,-30.17,9.00,.003,,
AZG,802.116,66.372,-,.031,-,-,-,-,-,-,-,,Allmine Grp,,.235,-2.5,.235,.25,.255,.23,-9.02,.30,.16,,
AIQ,176.662,2.633,18.848,.097,1.01,.7,-8.87,-,-,-,-,,Alternative Invest,,.745,+2.5,.74,.75,.745,.72,+4.07,.83,.657,,
ALU,82.639,4.527,2.542,.011,.01,10.5,-11.90,-,-,-,-,,Altium,,.105,-.5,.10,.105,.11,.105,-3.95,.265,.085,,
AMA,560.923,12.027,11.510,.028,-.06,-,3.48,2.9,-,-,-,,AMA Grp,,.10,-.5,.10,.115,.11,.097,-4.16,.15,.033,,
AHD,601.447,6.312,20.341,.929,5.05,1.2,81.90,7.2,37.00,2.21,6.27,f,Amalgamated Hldgs,,5.90,-10,5.80,5.90,6.19,5.69,-1.07,6.78,5.21,,
AMO,27.000,.266,1.726,.010,.58,.5,.60,51.7,.50,1.20,1.61,f,Ambertech,,.31,-,.24,.305,.31,.30,+.60,.58,.30,,
AMB,29.500,2.038,1.300,.018,.16,1.7,3.02,8.8,-,-,-,,Ambition Grp,,.265,-,.275,.31,.265,.265,+.60,.42,.265,,
AKY,1.300,.001,-,.077,-,-,-,-,-,-,-,,Amcbf Five,,98.58,-,98.58,98.58,98.58,98.52,-,98.58,98.52,,
AKX,1.548,.002,-,.070,-,-,-,-,-,-,-,,Amcbf Four,,96.59,-,96.59,96.59,96.59,96.52,-,96.59,96.52,,
