ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, September 9, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4277.4 at 2011-09-09T16:45:44. Report at Friday, September 9, 2011. Processed Saturday at 2011-09-10T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,18.239,.625,1.585,.076,.24,14.8,24.20,14.7,15.50,1.56,4.35,f,1300 Smiles,,3.56,-12,3.56,3.62,3.68,3.50,-2.24,4.25,3.00,,
TQH,182.100,1.584,1.721,.013,-.05,-,1.84,4.3,-,-,-,,3Q Hldgs,,.08,-,-,-,.08,.08,+1.02,.08,.041,,
FCS,25.715,.981,3.739,.003,.09,.2,.03,56.7,-,-,-,,4C Sec Solution,,.017,-,.014,.02,.017,.017,+1.02,.044,.01,,
AAY,708.454,3.500,5.832,.007,-,-,.22,22.7,-,-,-,,AACL Hldgs,,.05,+1,.05,.051,.05,.05,+26.02,.071,.029,,
AAQ,3942.00,161.930,-,.004,-,-,-.30,-,-,-,-,,AAQ Hldgs,†,.01,+.2,-,-,.01,.008,+26.02,.725,.008,,
ABP,3019.25,113.185,806.875,.764,2.76,.7,4.66,42.4,16.50,.28,8.35,,Abacus Prop,†,1.975,-5.5,1.95,1.98,2.03,1.95,-1.69,2.45,1.905,,
ALR,83.035,5.829,3.395,.063,1.16,.9,3.24,32.4,9.50,.34,9.05,f,Aberdeen Leaders,,1.05,-,1.04,1.06,1.05,1.02,+1.02,1.345,1.02,,
AKG,-,.137,.150,.026,.09,6.1,5.40,10.2,4.00,1.35,7.27,f,Academies A'asia,,.55,-2,-,.545,.55,.53,-2.61,.55,.45,,
ACR,3212.22,93.840,46.902,.619,-,-,34.73,10.7,-,-,-,,Acrux,,3.72,-6,3.69,3.74,3.85,3.66,-.57,4.30,1.757,,
ACW,20.000,1.956,1.985,.002,.02,1.6,-1.66,-,-,-,-,,Actinogen,,.031,-.1,-,-,.031,.031,-2.10,.105,.03,,
