ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, November 4, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4342.5 at 2011-11-04T16:46:27. Report at Friday, November 4, 2011. Processed Saturday at 2011-11-05T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,10.930,.743,1.630,.086,.24,15.2,24.20,15.1,15.50,1.56,4.25,f,1300 Smiles,,3.65,+3,-,-,3.69,3.62,+2.39,4.25,3.00,,
TQH,-,1.614,2.088,.013,-.05,-,1.84,4.3,-,-,-,,3Q Hldgs,,.08,-,.06,.12,.08,.08,+1.56,.08,.041,,
FCS,-,1.134,5.018,.009,.09,.6,.03,183.3,-,-,-,,4C Sec Solution,,.055,-,.017,.044,.055,.055,+1.56,.055,.01,,
AYI,1382.00,8.043,13.051,.011,.01,5.0,-.94,-,-,-,-,,A1 Invest & Res,,.05,+1.4,.041,.05,.05,.036,+40.45,.09,.028,,
AAY,250.000,4.655,7.835,.005,-,-,.22,18.2,-,-,-,,AACL Hldgs,,.04,-1,.02,.05,.05,.04,-18.44,.068,.029,,
AAQ,1480.00,174.042,-,.004,-,-,-.30,-,-,-,-,,AAQ Hldgs,†,.01,+.2,.009,.01,.01,.008,+26.56,.725,.007,,
ABP,2097.65,138.826,930.776,.723,2.76,.7,4.66,40.1,16.50,.28,8.82,,Abacus Prop,†,1.87,-5,1.855,1.89,1.935,1.84,-1.04,2.45,.42,,
ALR,104.630,6.870,4.237,.062,1.11,.9,3.24,31.6,9.50,.34,9.27,f,Aberdeen Leaders,,1.025,-2.5,1.025,1.095,1.05,1.015,-.82,1.345,.98,,
AKG,-,.381,.220,.024,.09,5.7,5.40,9.4,4.00,1.35,7.84,f,Academies A'asia,,.51,-,.50,.55,.51,.51,+1.56,.55,.45,,
ACR,2263.45,123.677,64.616,.553,-,-,34.73,9.6,-,-,-,,Acrux,,3.32,-13,3.30,3.32,3.43,3.22,-2.21,4.30,2.49,,
ACW,-,2.104,2.454,.001,.02,1.3,-1.66,-,-,-,-,,Actinogen,,.025,-,-,-,.025,.025,+1.56,.10,.02,,
ACWO,-,.009,.065,-,-,-,-,-,-,-,-,,  opt aug12,,.001,-,-,-,.001,.001,+1.56,.014,.001,,
ACWOA,-,.234,-,-,-,-,-,-,-,-,-,,  opt sep15,,.001,-,-,-,.001,.001,+1.56,.015,.001,,
ACU,11500.0,847.292,80.017,.002,-,-,-.05,-,-,-,-,,Acuvax,,.001,-,-,-,.002,.001,+1.56,.005,.001,,
ADA,1.000,2.253,4.679,.019,.09,2.6,-3.60,-,-,-,-,,Adacel Tech,,.235,-,.235,.24,.235,.235,+1.56,.43,.18,,
AAU,1.000,15.523,7.201,.010,.09,1.9,2.29,7.4,2.00,1.15,11.76,f,Adcorp Aust,,.17,-,.175,.195,.17,.17,+1.56,.25,.125,,
ABN,700.050,370.602,613.389,.005,-,-,-.02,-,-,-,-,,AdEffective,,.001,-,-,-,.001,.001,+1.56,.002,.001,,
ABC,7423.16,439.151,471.943,1.852,1.17,2.5,22.80,12.8,16.50,1.38,5.67,f,Adelaide Brighton,,2.91,+1,2.90,2.94,2.94,2.76,+1.91,3.692,2.22,,
AYT,373.206,25.223,29.457,.026,.29,1.0,10.03,2.8,2.33,4.30,8.32,,Adelaide Mgd,,.28,+1.5,.265,.28,.28,.26,+7.22,.28,.195,,
ADQ,33.000,13.650,10.237,.013,.04,1.5,.47,12.6,-,-,-,,ADG Global Supply,,.059,-.1,.05,.059,.06,.059,-.10,.09,.05,,
ABV,577.500,73.343,78.775,.022,.01,2.3,.06,38.3,-,-,-,,Adv Braking Tech,,.023,+.1,-,-,.026,.021,+6.11,.038,.016,,
AMT,-,.413,1.176,.006,.11,1.5,-9.25,-,-,-,-,,Adv Surg Dsgn & Mnft,,.17,-,-,-,.17,.17,+1.56,.41,.15,,
ANM,700.934,20.920,14.264,.019,.02,2.8,-.68,-,-,-,-,,Advanced Magnesium,,.055,-,.055,.057,.06,.055,+1.56,.087,.036,,
ASW,20.535,2.556,7.344,.028,.13,5.0,4.17,15.6,3.85,1.08,5.92,f,Advanced Share Reg,,.65,-,.65,.70,.66,.65,+1.56,1.20,.65,,
AEI,93.350,7.098,8.941,.018,.02,8.8,-2.16,-,-,-,-,,Aeris Environmental,,.175,-1.5,.17,.18,.19,.17,-6.33,.29,.155,,
AFT,2500.00,432.877,1200.91,.007,-,-,.03,3.3,-,-,-,,AFT Corp,,.001,-,-,.001,.001,.001,+1.56,.002,.001,,
