ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, December 7, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4555.9 at 2012-12-07T16:45:05. Report at Friday, December 7, 2012. Processed Saturday at 2012-12-08T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,8.321,2.615,1.042,.121,.59,8.64,26.60,19.2,17.80,1.49,3.49,f,1300 Smiles,,5.10,+1,5.05,5.19,5.20,5.05,-.64,6.54,3.80,,
TQH,130.000,1.402,2.018,.013,-.04,-,1.47,6.1,-,-,-,,3Q Hldgs,,.09,+.3,.086,.09,.09,.085,+2.61,.099,.052,,
AYI,-,32.710,8.203,.002,.02,.20,-1.20,-,-,-,-,,A1 Invest & Res,,.004,-,.003,.007,.004,.004,-.84,.041,.004,,
AAY,-,7.914,6.700,.002,-.03,-,-3.11,-,-,-,-,,AACL Hldgs,,.02,-,.016,.02,.02,.02,-.84,.041,.02,,
AAQ,1460.01,333.216,289.196,.002,-,-,-.16,-,-,-,-,,AAQ Hldgs,,.005,-,.005,.006,.006,.004,-.84,.011,.003,,
ABP,1798.70,180.712,149.716,.912,2.34,.88,2.11,97.2,16.50,.13,8.05,,Abacus Prop,†,2.05,-,2.03,2.08,2.06,2.02,-.84,2.13,1.80,,
ALR,657.261,9.995,7.184,.064,1.08,.99,2.98,35.7,9.50,.31,8.92,f,Aberdeen Leaders,,1.065,+.5,1.065,1.10,1.10,1.05,-.37,1.125,.975,,
AKG,4.000,.094,.411,.035,.10,7.20,6.30,11.4,4.50,1.40,6.25,f,Academies A'asia,,.72,+2,.70,.745,.72,.70,+2.02,.80,.44,,
ACR,4318.30,240.327,135.117,.490,.17,17.29,4.44,66.2,8.00,.56,2.72,,Acrux,,2.94,+8,2.93,3.04,3.05,2.78,+1.96,4.77,2.59,,
ACW,53.334,4.760,3.404,.001,-,-,-2.12,-,-,-,-,,Actinogen,,.015,-.2,.005,.015,.02,.015,-12.60,.052,.015,,
ACWOA,-,.453,.244,-,-,-,-,-,-,-,-,,  opt sep15,,.001,-,.001,.002,.001,.001,-.84,.003,.001,,
