ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, June 21, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 4723.8 at 2013-06-21T16:17:05. Report at Friday, June 21, 2013. Processed Saturday at 2013-06-22T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,13.101,1.099,1.391,.138,.65,8.95,28.92,20.1,19.20,1.51,3.30,f,1300 Smiles,,5.82,-14,5.82,5.97,5.96,5.82,-1.27,6.54,5.00,,
TIX,1716.24,65.663,-,.169,-,-,-,-,-,-,-,,360 Cap Indust Fund,,.52,+1,.51,.52,.53,.51,+3.08,.565,.356,,
AYI,150.000,28.043,24.808,.001,-,-,-1.31,-,-,-,-,,A1 Invest & Res,,.003,-,.003,.004,.003,.003,+1.08,.015,.001,,
AAY,-,3.512,6.380,.002,-.03,-,2.48,.6,-,-,-,,AACL Hldgs,,.015,-,.001,.015,.015,.015,+1.08,.03,.01,,
ABP,1619.31,59.056,105.495,1.047,2.30,1.00,6.83,33.8,16.50,.41,7.14,,Abacus Prop,,2.31,+5,2.28,2.31,2.34,2.25,+3.27,2.51,1.915,,
ALR,165.328,5.130,2.561,.076,1.24,1.01,2.64,47.3,9.50,.28,7.60,f,Aberdeen Leaders,,1.25,+7,1.25,1.34,1.32,1.25,+6.77,1.365,.975,,
AKG,7.219,3.184,.040,.040,.12,6.83,7.01,11.7,5.00,1.40,6.10,f,Academies A'asia,,.82,-,.78,.82,.82,.78,+1.08,.82,.46,,
ACR,1149.21,83.912,116.571,.584,.11,31.91,2.73,128.6,8.00,.34,2.28,,Acrux,,3.51,-3,3.50,3.51,3.67,3.49,+.26,4.33,2.64,,
ACW,637.000,1.832,3.169,.002,-,-,-.15,-,-,-,-,,Actinogen,,.019,-,.019,.029,.019,.013,+1.08,.039,.01,,
ACWOA,-,.107,.347,-,-,-,-,-,-,-,-,,  opt sep15,,.001,-,-,.02,.001,.001,+1.08,.003,.001,,
ADA,18.000,.917,.835,.034,.13,3.27,1.80,23.6,-,-,-,,Adacel Tech,,.425,-3.5,.40,.46,.46,.425,-6.53,.46,.241,,
AAU,168.490,4.535,2.300,.005,.04,1.93,-6.79,-,.75,-,9.74,,Adcorp Aust,,.077,-.2,.073,.082,.084,.081,-1.33,.22,.081,,
ABN,-,14.497,28.256,.002,-,-,.15,6.7,-,-,-,,AdEffective,,.01,-,.01,.013,.01,.01,+1.08,.016,.007,,
ABNO,-,13.076,22.143,-,-,-,-,-,-,-,-,,  opt jun14,,.002,-,.002,.005,.002,.002,+1.08,.005,.002,,
ABC,6895.84,242.767,206.583,2.107,1.29,2.56,24.20,13.6,16.50,1.47,5.00,f,Adelaide Brighton,,3.30,+4,3.29,3.30,3.35,3.22,+2.30,3.70,2.87,,
