ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, January 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5254.3 at 2014-01-24T16:41:36. Report at Friday, January 24, 2014. Processed Saturday at 2014-01-25T23:15:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,21.205,.046,.117,.157,.62,10.68,26.90,24.6,18.50,1.45,2.79,f,1300 Smiles,,6.62,-1,6.57,6.62,6.64,6.59,+1.02,7.25,5.41,,
TIX,360.133,.929,7.782,.192,.02,102.00,24.80,8.2,18.30,1.36,8.97,,360 Cap Indust Fund,†,2.04,-1,2.04,2.05,2.07,2.02,+.68,2.24,.380,,
TGP,478.526,1.553,.149,.167,.58,1.16,-7.40,-,3.50,-,5.22,,360 Capital Grp,†,.67,-,.67,.69,.70,.66,+1.17,.79,.465,,
NNW,397.711,1.967,-,.024,-,-,-,-,-,-,-,,99 Wuxian,,.36,-2,.36,.375,.385,.36,-4.09,.60,.35,,
AYI,-,-,.188,-,-,-,-.66,-,-,-,-,,A1 Invest & Res,,.001,-,.001,.002,.001,.001,+1.17,.006,.001,,
ABP,3004.39,14.077,6.023,1.124,2.32,.98,13.68,16.6,16.50,.83,7.27,,Abacus Prop,,2.27,-3,2.26,2.27,2.35,2.25,-.14,2.51,2.12,,
ALR,105.022,.325,.974,.083,1.16,1.18,2.97,46.0,9.25,.32,6.78,f,Aberdeen Leaders,,1.365,+5.5,1.32,1.365,1.365,1.32,+5.37,1.385,1.18,,
AKG,39.721,.095,.023,.053,.10,9.50,6.80,14.0,5.00,1.36,5.26,f,Academies A'asia,,.95,+2,.905,1.00,.95,.93,+3.32,1.10,.55,,
ACR,2749.49,6.534,7.783,.395,.14,16.93,4.16,57.0,8.00,.52,3.38,,Acrux,,2.37,-20,2.37,2.41,2.61,2.36,-6.61,4.12,2.18,,
ACW,-,.083,.278,.005,-,-,-.36,-,-,-,-,,Actinogen,†,.027,-,.02,.027,.027,.027,+1.17,.048,.01,,
