ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, March 21, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5354.0 at 2014-03-21T16:43:06. Report at Friday, March 21, 2014. Processed Saturday at 2014-03-22T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,40.862,.455,.598,.142,.61,9.84,20.85,28.8,15.00,1.39,2.50,f,1300 Smiles,,6.00,-2,6.00,6.10,6.10,5.96,-.46,7.25,5.35,,
TIX,186.606,3.817,18.333,.202,1.94,1.10,17.12,12.5,18.30,.94,8.55,,360 Cap Indust Fund,†,2.14,+5,2.12,2.16,2.16,2.09,+2.26,2.26,1.769,,
TGP,1685.46,11.215,20.746,.187,.60,1.25,7.66,9.8,3.50,2.19,4.67,,360 Capital Grp,†,.75,+2.5,.75,.755,.76,.72,+3.32,.79,.465,,
NNW,304.188,7.053,-,.024,-,-,-,-,-,-,-,,99 Wuxian,,.35,+.5,.325,.355,.36,.33,+1.32,.60,.30,,
AYI,5999.99,23.998,8.587,-,-,-,-.54,-,-,-,-,,A1 Invest & Res,,.001,-,-,.001,.001,.001,-.13,.005,.001,,
ABP,6686.17,39.104,26.612,1.196,2.34,1.01,18.46,12.8,16.50,1.12,6.96,,Abacus Prop,,2.37,+5,2.30,2.38,2.37,2.27,+2.03,2.51,2.14,,
ALR,192.637,1.139,2.661,.079,1.16,1.11,2.93,44.0,9.25,.32,7.17,f,Aberdeen Leaders,,1.29,-2,1.29,1.30,1.32,1.29,-1.66,1.385,1.18,,
AKG,4.765,.506,.855,.054,.16,6.00,8.70,11.0,5.00,1.74,5.21,f,Academies A'asia,,.96,-2.5,.96,.98,.985,.96,-2.67,1.10,.64,,
ACR,7312.98,67.582,43.789,.288,.22,7.86,17.87,9.7,8.00,2.23,4.62,,Acrux,,1.73,-6.5,1.72,1.735,1.86,1.71,-3.75,3.901,1.71,,
ACW,4.748,7.930,.862,.007,.01,3.30,-.47,-,-,-,-,,Actinogen,†,.033,+.3,.033,.039,.033,.03,+9.87,.048,.01,,
ACWOA,-,-,.107,-,-,-,-,-,-,-,-,,  opt sep15,†,-,-,-,.01,.001,.001,-.13,.001,.001,,
ADA,5.783,.159,.250,.032,.14,2.86,.70,57.1,-,-,-,,Adacel Tech,,.40,-2,.34,.40,.42,.40,-4.89,.57,.255,,
AAU,124.700,.784,2.166,.004,-.01,-,-5.55,-,-,-,-,,Adcorp Aust,,.06,+2,.06,.07,.06,.042,+49.87,.125,.04,,
ABC,21302.4,93.356,115.798,2.496,1.38,2.83,23.70,16.5,16.50,1.44,4.22,f,Adelaide Brighton,,3.91,+16,3.89,3.91,3.91,3.65,+4.14,4.375,3.108,,
ADQ,2591.81,25.439,19.831,.003,.04,.25,-2.11,-,-,-,-,,ADG Global Supply,,.01,-,.01,.012,.01,.01,-.13,.054,.009,,
AHZ,24315.8,316.294,254.118,.189,.01,15.00,-.03,-,-,-,-,,ADMEDUS,,.15,-,.15,.155,.155,.14,-.13,.185,.024,,
ADJ,3136.15,141.684,32.946,.087,.63,.14,-1.12,-,-,-,-,,Adslot,,.088,+.1,.087,.088,.088,.078,+1.02,.155,.024,,
ABV,4326.03,18.549,30.965,.011,-,-,-.20,-,-,-,-,,Adv Braking Tech,,.01,-,.009,.01,.012,.009,-.13,.019,.009,,
AMT,-,.039,.024,.002,.09,.50,-.91,-,-,-,-,,Adv Surg Dsgn & Mnft,,.045,-,.02,.05,.045,.045,-.13,.105,.045,,
ASW,25.000,.211,.522,.028,.14,4.71,3.43,19.2,3.70,.93,5.61,f,Advanced Share Reg,,.66,-,.64,.67,.68,.66,-.13,.738,.619,,
AEI,-,.477,.358,.016,-.01,-,-1.03,-,-,-,-,,Aeris Environmental,,.135,-,.08,.125,.135,.135,-.13,.205,.10,,
AFJ,2060.16,23.184,-,.122,-,-,-,-,-,-,-,,Affinity Education,,1.365,+3,1.325,1.37,1.38,1.29,+2.12,1.555,.98,,
AFT,-,1.000,2.000,.007,-,-,-.02,-,-,-,-,,AFT Corp,,.001,-,-,.001,.001,.001,-.13,.001,.001,,
AHA,514.501,2.085,14.442,.007,-,-,-6.31,-,-,-,-,,AG Financial,,.041,-,.041,.041,.041,.04,-.13,.045,.020,,
AGX,875.368,33.271,4.981,.002,-,-,5.19,.3,-,-,-,,Agenix,,.016,-,.016,.017,.016,.015,-.13,.042,.012,,
AGXO,-,.143,.150,-,-,-,-,-,-,-,-,,  opt jun15,,.005,-,.001,.005,.005,.005,-.13,.01,.001,,
AGK,8876.87,75.466,104.292,8.370,7.56,1.98,51.10,29.3,63.00,.81,4.20,f,AGL Energy,,14.99,-8,14.90,15.04,15.13,14.85,-.66,16.15,13.85,,
AGJ,17.463,.781,3.400,.012,.11,.73,-3.71,-,2.82,-,35.25,,Agricultural Land,,.08,-,.076,.105,.08,.08,-.13,.145,.073,,
APW,6093.80,29.193,14.639,.042,.13,.65,-4.40,-,.09,-,1.06,,AIMS Prop Sec Fund,,.085,+.5,.085,.089,.089,.08,+6.12,.089,.060,,
AGI,6922.51,21.296,27.569,1.311,.63,6.46,20.00,20.4,10.00,2.00,2.46,,Ainsworth Game Tech,,4.07,-4,4.06,4.13,4.29,3.99,-1.10,4.79,3.26,,
AIZ,1607.77,4.966,1.304,1.960,1.43,1.23,18.53,9.5,8.52,2.17,4.84,,Air New Zealand,,1.76,+1,1.755,1.79,1.78,1.69,+.44,1.80,1.14,,
AJL,1223.08,4.276,7.786,.229,.47,1.82,-91.50,-,-,-,-,,AJ Lucas Grp,,.855,-11.5,.83,.915,.97,.815,-11.98,1.61,.75,,
