ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, April 11, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5423.5 at 2014-04-11T16:43:05. Report at Friday, April 11, 2014. Processed Saturday at 2014-04-12T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,28.308,.571,.788,.140,.61,9.67,20.85,28.3,15.00,1.39,2.54,f,1300 Smiles,,5.90,-,5.90,6.00,6.00,5.71,+.09,7.25,5.35,,
TIX,413.026,7.937,26.105,.205,1.94,1.12,17.12,12.7,18.30,.94,8.43,,360 Cap Indust Fund,†,2.17,-1,2.18,2.20,2.22,2.17,-.37,2.26,1.92,,
TGP,1475.68,16.211,21.014,.192,.60,1.28,7.66,10.1,3.50,2.19,4.55,,360 Capital Grp,†,.77,-1,.76,.80,.80,.76,-1.19,.815,.465,,
NNW,691.177,15.490,-,.024,-,-,-,-,-,-,-,,99 Wuxian,,.355,-.5,.345,.355,.37,.35,-1.30,.60,.30,,
AYI,28597.0,65.242,13.445,-,-,-,-.54,-,-,-,-,,A1 Invest & Res,,.001,-.1,.001,.001,.002,.001,-49.91,.005,.001,,
ABP,3173.19,46.913,33.404,1.211,2.34,1.03,18.46,13.0,16.50,1.12,6.88,,Abacus Prop,,2.40,+7,2.33,2.42,2.425,2.31,+3.10,2.51,2.14,,
ALR,204.674,1.794,3.230,.079,1.22,1.05,2.93,43.9,8.75,.33,6.81,f,Aberdeen Leaders,,1.285,+2,1.26,1.285,1.30,1.25,+1.67,1.385,1.18,,
AKG,56.248,.802,2.835,.052,.16,5.75,8.70,10.6,5.00,1.74,5.43,f,Academies A'asia,,.92,-4,.80,.985,.955,.92,-4.07,1.10,.64,,
ACR,5511.14,82.450,51.955,.291,.22,7.95,17.87,9.8,8.00,2.23,4.57,,Acrux,,1.75,+4.5,1.74,1.765,1.82,1.675,+2.73,3.901,1.675,,
ACW,210.270,9.452,1.105,.007,.01,3.50,-.47,-,-,-,-,,Actinogen,†,.035,-,.025,.035,.04,.035,+.09,.046,.01,,
ACWOA,-,-,.107,-,-,-,-,-,-,-,-,,  opt sep15,†,-,-,-,.01,.001,.001,+.09,.001,.001,,
ADA,4.001,.179,.263,.028,.14,2.50,.70,50.0,-,-,-,,Adacel Tech,,.35,-4,.35,.39,.39,.35,-10.16,.57,.30,,
AAU,96.000,2.104,2.796,.005,-.01,-,-5.55,-,-,-,-,,Adcorp Aust,,.09,-.5,.09,.095,.095,.09,-5.17,.125,.04,,
ABC,8453.54,126.100,147.764,2.503,1.38,2.84,23.70,16.5,16.50,1.44,4.21,f,Adelaide Brighton,,3.92,+3,3.91,3.97,3.99,3.84,+.86,4.375,3.108,,
ADQ,1120.00,27.359,21.871,.004,.04,.30,-2.11,-,-,-,-,,ADG Global Supply,,.012,+.1,.012,.013,.012,.012,+9.18,.05,.009,,
AHZ,18814.9,362.629,290.196,.157,.01,12.50,-.03,-,-,-,-,,ADMEDUS,,.125,-.5,.125,.135,.14,.122,-3.75,.185,.025,,
ADJ,12137.0,159.522,40.405,.065,.63,.10,-1.12,-,-,-,-,,Adslot,,.066,-.8,.065,.069,.078,.064,-10.72,.155,.028,,
ABV,3949.54,24.929,37.357,.008,-,-,-.20,-,-,-,-,,Adv Braking Tech,,.007,-.3,.007,.01,.01,.007,-31.11,.018,.007,,
AMT,-,.083,.024,.002,.09,.56,-.91,-,-,-,-,,Adv Surg Dsgn & Mnft,,.05,-,.051,.08,.05,.05,+.09,.105,.045,,
ASW,27.500,.238,.604,.029,.14,4.79,3.43,19.5,3.70,.93,5.52,f,Advanced Share Reg,,.67,+1,.65,.66,.67,.66,+1.61,.738,.619,,
AEI,-,.633,.409,.014,-.01,-,-1.03,-,-,-,-,,Aeris Environmental,,.12,-,.10,.11,.12,.12,+.09,.205,.08,,
AFJ,4596.49,31.824,-,.116,-,-,-,-,-,-,-,,Affinity Education,,1.295,+4.9,1.295,1.32,1.335,1.246,+4.05,1.446,.911,,
AFT,1500.00,2.521,2.515,.007,-,-,-.02,-,-,-,-,,AFT Corp,,.001,-,.001,.001,.001,.001,+.09,.001,.001,,
AHA,10.421,2.096,14.768,.007,-,-,-6.31,-,-,-,-,,AG Financial,,.042,+.1,.042,.10,.042,.041,+2.53,.045,.021,,
AGX,511.048,34.076,6.447,.002,-,-,5.19,.3,-,-,-,,Agenix,,.015,-,.015,.016,.017,.015,+.09,.042,.012,,
AGXO,.200,.144,.150,-,-,-,-,-,-,-,-,,  opt jun15,,.001,-.4,.001,.012,.005,.001,-79.91,.01,.001,,
