ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, July 24, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5556.8 at 2015-07-24T16:34:36. Report at Friday, July 24, 2015. Processed Saturday at 2015-07-25T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,11.470,.613,1.237,.168,.38,18.68,24.60,28.9,17.00,1.45,2.39,f,1300 Smiles,,7.10,+10,7.00,7.10,7.10,6.80,+3.12,7.20,5.70,,
1ST,739.735,14.079,-,.007,-,-,-,-,-,-,-,,1ST Available,,.115,-2,.115,.12,.135,.115,-13.12,.22,.115,,
TIX,1251.17,23.172,13.247,.374,2.19,1.12,48.68,5.0,21.00,2.32,8.57,,360 Capital Indust,,2.45,+2,2.42,2.45,2.45,2.40,+2.52,2.79,2.17,,
TGP,1261.47,30.981,25.706,.255,-,-,15.09,6.8,5.52,2.73,5.39,,360 Capital Grp,,1.025,+1,1.01,1.025,1.025,1.005,+2.68,1.41,.815,,
TOF,544.428,14.311,19.280,.150,2.10,.98,4.70,43.6,17.00,.28,8.29,,360 Capital Office,,2.05,-2,2.05,2.06,2.08,2.04,+.73,2.24,1.925,,
TOT,106.000,1.771,-,.045,-,-,-10.50,-,2.81,-,2.46,,360 Capital Total Re,,1.14,+.5,1.14,1.17,1.16,1.14,+2.13,1.35,1.13,,
3DM,3041.71,342.965,422.087,.031,.01,9.90,-.24,-,-,-,-,,3D Medical,†,.099,-.6,.098,.099,.105,.097,-4.02,.195,.004,,
3PL,752.786,21.019,14.359,.305,.10,22.60,-2.29,-,-,-,-,,3P Learning,,2.26,+14,2.25,2.33,2.33,2.12,+8.30,2.85,1.94,,
8CO,-,1.346,-,.003,-,-,-.61,-,-,-,-,,8common,,.24,-,.23,.24,.24,.24,+1.69,.295,.145,,
8IH,291.135,17.781,-,.304,-,-,-,-,-,-,-,,8I Hldgs,,.85,-1,.80,.845,.88,.80,+.53,1.13,.25,,
NNW,352.250,38.959,38.316,.027,.04,4.50,.13,138.5,-,-,-,,99 Wuxian,,.18,-,.175,.19,.195,.17,+1.69,.675,.15,,
AYI,-,195.402,83.526,.010,-,-,.04,2.5,-,-,-,,A1 Invest & Res,,.001,-,-,.001,.001,.001,+1.69,.001,.001,,
ABP,2273.86,102.907,98.058,1.604,2.42,1.20,24.24,12.0,17.00,1.43,5.86,,Abacus Prop,,2.90,-8,2.89,2.92,3.02,2.88,-.99,3.337,2.45,,
ALR,66.525,3.434,4.300,.069,1.19,.95,2.86,39.3,7.00,.41,6.22,f,Aberdeen Leaders,,1.125,-1,1.125,1.14,1.14,1.115,+.81,1.25,1.04,,
AKG,74.241,5.063,4.215,.034,-.01,-,6.20,8.9,4.50,1.38,8.18,f,Academies A'asia,,.55,-13,.545,.59,.69,.52,-17.42,1.40,.52,,
ACX,1264.84,11.840,-,.573,-,-,27.00,12.9,-,-,-,,Aconex,,3.48,+14,3.48,3.65,3.65,3.36,+5.89,3.90,1.65,,
ACQ,459.186,10.960,5.836,.038,.92,.82,-8.05,-,-,-,-,,Acorn Capital Invest,,.75,+1,.75,.76,.78,.74,+3.05,.94,.69,,
ACQO,139.000,6.884,6.133,-,-,-,-,-,-,-,-,,  opt oct15,,.001,-,.001,.002,.001,.001,+1.69,.035,.001,,
