ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, August 28, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5274.7 at 2015-08-28T16:36:36. Report at Friday, August 28, 2015. Processed Saturday at 2015-08-29T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,31.567,.900,1.309,.168,.45,15.76,27.80,25.5,19.20,1.45,2.71,f,1300 Smiles,,7.09,-11,7.09,7.24,7.28,6.71,-2.48,7.28,5.72,,
1ST,353.666,20.614,-,.007,-,-,-,-,-,-,-,,1ST Available,,.12,+1,.105,.12,.12,.095,+8.14,.22,.095,,
TIX,813.604,27.048,20.033,.376,2.34,1.04,35.50,6.9,21.00,1.69,8.61,,360 Capital Indust,,2.44,-2,2.44,2.48,2.50,2.38,-1.77,2.79,2.17,,
TGP,874.595,38.191,30.850,.261,.71,1.48,10.60,9.9,5.75,1.84,5.48,,360 Capital Grp,,1.05,+2.5,1.02,1.05,1.06,.975,+1.48,1.41,.88,,
TOF,562.452,16.507,22.955,.147,2.14,.94,16.40,12.3,17.00,.96,8.46,,360 Capital Office,,2.01,-6,2.00,2.02,2.03,1.95,-3.85,2.24,1.925,,
TOT,1839.36,4.049,-,.042,-,-,-10.50,-,2.81,-,2.65,,360 Capital Total Re,,1.06,-2,1.06,1.13,1.13,1.00,-2.81,1.35,1.00,,
3DM,11084.7,364.803,683.054,.028,.01,8.90,-.24,-,-,-,-,,3D Medical,†,.089,+2.9,.088,.09,.099,.056,+47.38,.195,.004,,
3PL,4523.03,27.853,19.104,.279,.10,20.70,-2.29,-,1.80,-,.87,f,3P Learning,,2.07,+7,2.05,2.17,2.23,1.84,+2.55,2.85,1.84,,
8CO,116.850,1.990,.561,.003,-,-,-.61,-,-,-,-,,8common,,.21,-2,.21,.22,.22,.21,-9.65,.285,.145,,
8IH,580.712,19.252,-,.275,-,-,-,-,-,-,-,,8I Hldgs,,.77,-3,.745,.79,.79,.715,-4.70,1.13,.25,,
NNW,727.593,41.921,54.094,.025,.04,4.13,.13,126.9,-,-,-,,99 Wuxian,,.165,-3,.16,.175,.19,.155,-16.34,.535,.15,,
AYI,-,195.402,128.229,.010,-,-,.04,2.5,-,-,-,,A1 Invest & Res,,.001,-,-,.001,.001,.001,-.95,.001,.001,,
ABP,5343.79,120.948,113.011,1.678,2.49,1.22,25.46,11.9,17.00,1.50,5.61,,Abacus Prop,,3.03,+14,3.01,3.05,3.09,2.81,+3.89,3.337,2.48,,
ALR,53.850,3.921,5.200,.067,1.27,.86,3.33,32.7,7.00,.48,6.42,f,Aberdeen Leaders,,1.09,-1,1.09,1.10,1.10,1.07,-1.86,1.25,1.04,,
AKG,121.707,5.637,4.956,.024,-.06,-,.90,43.3,4.50,.20,11.54,f,Academies A'asia,,.39,-8.5,.39,.415,.475,.39,-18.85,1.375,.39,,
ACX,5448.91,21.367,-,.628,-,-,11.00,34.6,-,-,-,,Aconex,,3.81,-28,3.78,3.88,4.10,3.76,-7.80,4.50,1.65,,
ACQ,365.551,12.140,6.935,.036,.91,.78,-8.05,-,-,-,-,,Acorn Capital Invest,,.71,-2.5,.705,.72,.72,.70,-4.36,.925,.69,,
ACQO,-,7.174,7.407,-,-,-,-,-,-,-,-,,  opt oct15,,.001,-,-,.002,.001,.001,-.95,.031,.001,,
ACR,1934.95,103.581,295.193,.103,.12,5.17,6.70,9.3,6.00,1.12,9.68,f,Acrux,,.62,-7.5,.62,.625,.68,.61,-11.75,2.10,.61,,
ACW,3801.44,170.511,18.329,.035,.01,5.70,-.58,-,-,-,-,,Actinogen,,.057,-.2,.057,.06,.062,.05,-4.34,.15,.035,,
ACWOA,-,1.193,.260,-,-,-,-,-,-,-,-,,  opt sep15,,.002,-,-,.001,.002,.002,-.95,.006,.001,,
ACU,1466.22,115.468,14.800,.007,-,-,-.04,-,-,-,-,,Acuvax,†,.083,-.1,.078,.085,.085,.07,-2.15,.215,.001,,
ADA,596.472,6.244,.614,.080,.12,8.38,-2.60,-,2.00,-,1.99,,Adacel Tech,,1.005,+.5,1.00,1.01,1.045,.715,-.45,1.07,.20,,
ADH,2708.18,53.377,-,.445,-,-,-,-,-,-,-,,Adairs,,2.68,-24,2.66,2.71,2.85,2.60,-9.17,2.95,2.57,,
AAU,120.250,1.277,2.927,.003,-.03,-,-1.78,-,-,-,-,,Adcorp Aust,,.043,+.3,.043,.045,.043,.04,+6.55,.059,.035,,
ABC,11832.1,249.222,326.939,2.965,1.39,3.29,31.70,14.4,17.50,1.81,3.83,f,Adelaide Brighton,,4.57,+1,4.50,4.58,4.58,4.18,-.74,5.005,3.12,,
ADR,11341.9,11.342,-,.073,-,-,-,-,-,-,-,,Adherium,,.69,-,.68,.70,.71,.55,-,.71,.55,,
AHZ,22393.2,760.224,667.952,.127,.01,6.90,-1.22,-,-,-,-,,ADMEDUS,,.069,-.5,.068,.07,.075,.065,-7.71,.162,.057,,
ADJ,7539.69,180.883,356.158,.088,-,-,-.89,-,-,-,-,,Adslot,,.083,+.3,.082,.083,.083,.068,+2.80,.17,.068,,
ABV,14974.9,156.384,78.410,.012,-,-,-.19,-,-,-,-,,Adv Braking Tech,,.008,-.3,.007,.008,.01,.007,-28.23,.013,.003,,
ABVO,-,9.177,4.178,-,-,-,-,-,-,-,-,,  opt aug16,,.005,-,.002,.004,.005,.005,-.95,.005,.002,,
ASW,15.171,1.032,.865,.027,.15,4.23,3.50,18.1,3.70,.95,5.83,f,Advanced Share Reg,,.635,+.5,.645,.71,.64,.635,-.16,.75,.575,,
AER,85.400,4.636,-,.003,-,-,-,-,-,-,-,,Aeeris,,.125,-3,.125,.16,.155,.125,-20.31,.25,.125,,
AEI,214.102,19.675,1.609,.062,.01,41.00,-1.36,-,-,-,-,,Aeris Environmental,,.41,-2,.41,.43,.43,.40,-5.61,.60,.13,,
AFJ,12043.5,251.198,76.659,.199,-.15,-,.49,175.5,-,-,-,,Affinity Education,,.86,+5,.86,.865,.865,.845,+5.22,1.480,.49,,
AFT,-,6.772,8.021,.008,-,-,-.02,-,-,-,-,,AFT Corp,,.001,-,-,.001,.001,.001,-.95,.001,.001,,
AHA,-,30.094,23.082,.002,-,-,-.03,-,-,-,-,,AG Financial,,.007,-,.006,.01,.007,.007,-.95,.063,.006,,
AGX,156.000,21.300,48.866,.002,.01,1.20,.79,1.5,-,-,-,,Agenix,,.012,-,.012,.013,.012,.012,-.95,.022,.01,,
AGL,17023.6,302.635,236.582,11.443,8.22,2.06,33.30,50.9,64.00,.52,3.77,f,AGL Energy,,16.96,+24,16.70,16.99,17.25,15.54,+.48,17.25,12.55,,
AGJ,19.372,1.682,1.911,.008,.11,.77,1.76,4.8,.52,3.38,6.12,,Agricultural Land,,.085,-,.082,.10,.085,.085,-.95,.10,.076,,
AHL,316.690,42.599,39.693,.055,-,-,-.22,-,-,-,-,,Ahalife Hldgs,†,.40,-,.37,.43,.40,.35,-.95,.49,.015,,
APW,1519.12,43.510,129.079,.057,-,-,5.82,2.1,.32,18.19,2.56,,AIMS Prop Sec Fund,,.125,-,.12,.125,.125,.115,-.95,.15,.11,,
AGI,5904.96,135.831,79.765,.964,.78,3.83,22.00,13.6,10.00,2.20,3.34,f,Ainsworth Game Tech,,2.99,-19,2.98,3.00,3.16,2.87,-6.93,3.49,2.03,,
AIZ,163.924,4.884,11.507,2.547,1.45,1.57,21.72,10.5,14.80,1.47,6.52,,Air New Zealand,,2.27,-16,2.15,2.40,2.45,2.24,-7.54,2.90,1.595,,
AXP,253.900,7.776,-,.156,-,-,-,-,-,-,-,,"Airxpanders,",,.76,+2.5,.75,.76,.78,.66,+2.45,.87,.48,,
AJL,298.040,16.439,13.545,.092,.30,1.15,-16.90,-,-,-,-,,AJ Lucas Grp,,.345,+4.5,.345,.35,.36,.30,+14.05,.875,.215,,
ACL,2730.38,207.016,61.960,.011,.04,.83,-5.30,-,-,-,-,,Alchemia,,.033,+.1,.033,.035,.035,.031,+2.17,.68,.03,,
AAI,.950,.396,.024,.136,-,-,-246.13,-,10.47,-,.81,,Alcoa Inc,,13.00,-370,8.55,12.70,16.70,13.00,-23.11,26.86,13.00,,
LEP,712.687,17.321,13.630,.707,2.27,1.59,50.77,7.1,16.85,3.01,4.67,,ALE Prop Grp,,3.61,-9,3.56,3.65,3.71,3.25,-3.39,3.94,3.07,,
AJX,16622.6,289.514,48.254,.247,-.01,-,-2.25,-,-,-,-,,Alexium Int'l,,.915,-7.5,.91,.92,.99,.755,-8.53,1.11,.13,,
AEB,627.816,19.369,21.967,.015,.01,4.60,-.80,-,-,-,-,,Algae.Tec,,.046,-.4,.034,.043,.049,.046,-8.95,.094,.04,,
AMT,-,.537,.393,.016,.07,3.57,-.45,-,-,-,-,,Allegra Orthopaedics,,.25,-,.06,.235,.25,.25,-.95,.325,.05,,
AQZ,280.194,26.320,20.395,.056,.99,.54,-34.41,-,2.10,-,3.96,f,Alliance Aviation,,.53,-6,.505,.53,.58,.505,-11.12,1.41,.36,,
ALQ,12396.0,419.156,260.253,2.199,.05,108.00,-43.37,-,21.00,-,3.89,p,ALS,,5.40,+63,4.85,5.45,5.43,4.50,+12.25,7.61,4.33,,
AIQ,5568.03,21.090,11.183,.014,.14,.79,.58,19.0,-,-,-,,Alternative Invest,,.11,-.5,.105,.115,.115,.105,-5.30,.125,.10,,
ALU,6044.78,76.468,38.239,.530,.40,10.25,97.45,4.2,16.00,6.09,3.90,,Altium,,4.10,+14,4.02,4.15,4.25,3.50,+2.58,5.31,2.62,,
AMA,6604.31,104.360,71.761,.258,-,-,2.24,28.1,1.60,1.40,2.54,f,AMA Grp,,.63,-2,.625,.64,.665,.545,-4.03,.76,.28,,
AHD,492.934,13.198,10.793,2.038,5.44,2.37,68.90,18.7,45.00,1.53,3.49,f,Amalgamated Hldgs,,12.90,-25,12.71,13.00,13.15,12.50,-2.86,13.39,9.27,,
AYS,1794.84,31.677,-,.379,-,-,-,-,-,-,-,,Amaysim Au,,2.15,-9,2.16,2.19,2.29,2.11,-4.97,2.29,1.75,,
AMO,-,2.020,2.389,.004,.31,.44,-5.40,-,-,-,-,,Ambertech,,.135,-,.11,.16,.135,.135,-.95,.20,.11,,
AMB,50.000,3.615,5.166,.011,.19,.87,2.20,7.5,-,-,-,,Ambition Grp,,.165,-,.165,.18,.165,.165,-.95,.17,.10,,
AKY,-,.007,.024,.015,19.58,.98,194.00,9.9,190.00,1.02,9.92,,AMCB Fund No 5,,19.15,-,-,19.15,18.95,18.95,-.95,24.959,18.258,,
AMH,320.224,9.574,11.258,.204,.91,.91,2.93,28.3,4.00,.73,4.82,f,AMCIL,,.83,-2,.825,.83,.86,.79,-3.31,.96,.79,,
AMC,31103.6,647.228,595.560,15.831,-.51,-,73.70,18.2,52.95,1.39,3.95,,Amcor,,13.42,+59,13.40,13.49,13.70,12.37,+3.64,14.93,10.83,,
AOW,35.050,14.118,7.400,.011,-,-,-1.23,-,-,-,-,,American Patriot Oil,,.15,-1,.15,.16,.15,.14,-7.20,.205,.11,,
