ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, October 2, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5089.2 at 2015-10-02T16:46:05. Report at Friday, October 2, 2015. Processed Saturday at 2015-10-03T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,17.679,.957,1.406,.163,.45,15.33,27.80,24.8,19.20,1.45,2.78,f,1300 Smiles,,6.90,-18.2,6.75,7.20,7.15,6.798,-2.85,7.28,5.72,,
1ST,119.350,22.497,-,.006,-,-,-,-,-,-,-,,1ST Available,,.105,-2.5,.105,.115,.12,.105,-19.48,.22,.095,,
TIX,1976.72,34.782,26.317,.363,2.34,1.00,35.50,6.6,21.00,1.69,8.94,,360 Capital Indust,,2.35,-2,2.34,2.35,2.40,2.32,-1.09,2.79,2.17,,
TGP,992.318,44.333,36.005,.241,.71,1.37,10.60,9.2,6.00,1.77,6.15,,360 Capital Grp,,.975,+1.5,.95,.975,.98,.912,+1.32,1.41,.88,,
TOF,213.410,19.447,26.460,.145,2.14,.93,16.40,12.1,17.00,.96,8.59,,360 Capital Office,,1.98,-2,1.975,1.99,2.00,1.95,-1.25,2.24,1.925,,
TOT,11.800,4.431,-,.043,-,-,-10.50,-,5.62,-,5.20,,360 Capital Total Re,,1.08,-2,1.08,1.20,1.08,1.072,-2.07,1.35,1.00,,
3DM,2687.93,374.713,756.384,.026,.01,8.30,-3.60,-,-,-,-,,3D Medical,†,.083,+.2,.081,.083,.093,.078,+2.22,.195,.004,,
3PL,3559.88,40.418,22.653,.251,.12,15.50,3.04,61.2,1.80,1.69,.97,f,3P Learning,,1.86,+3,1.84,1.86,1.90,1.80,+1.39,2.85,1.70,,
8CO,-,2.276,2.446,.003,-,-,-.02,-,-,-,-,,8common,,.20,-,.13,.195,.20,.20,-.25,.25,.145,,
8IH,239.156,20.346,-,.291,-,-,-,-,-,-,-,,8I Hldgs,,.815,+3.5,.79,.82,.82,.78,+4.24,1.13,.25,,
NNW,313.333,43.008,63.272,.025,.04,4.13,.06,275.0,-,-,-,,99 Wuxian,,.165,-1,.165,.175,.19,.165,-5.96,.495,.15,,
AYI,500.000,198.782,155.909,.010,-,-,-.05,-,-,-,-,,A1 Invest & Res,,.001,-,-,.001,.001,.001,-.25,.001,.001,,
ABP,4795.85,144.172,139.531,1.772,2.49,1.29,25.46,12.6,17.00,1.50,5.31,,Abacus Prop,,3.20,+7,3.18,3.21,3.26,3.07,+1.99,3.337,2.53,,
ALR,92.931,4.287,5.968,.064,1.14,.91,3.33,31.2,6.00,.56,5.77,f,Aberdeen Leaders,,1.04,-2.5,1.025,1.04,1.06,1.025,-2.59,1.24,1.02,,
AKG,347.777,6.187,6.205,.029,-.06,-,.90,52.2,4.50,.20,9.57,f,Academies A'asia,,.47,+14.5,.39,.475,.47,.325,+44.37,1.27,.31,,
ACX,552.915,26.968,-,.692,-,-,11.00,38.1,-,-,-,,Aconex,,4.19,-11,4.14,4.21,4.30,4.06,-2.81,4.50,1.65,,
