Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4596.9 at 16:34 29/1/2010  Report at 19:06 Friday 29/1/2010. Processed 19:13 Sunday 31/1/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
104.45,86.00,102.00,102.00,LEPHB,ALE Prop Grp 7.265un11,102.00,-,-,102.00,105.00,100.00,7.265sa,31/03/10,30/09/11m,102.5,9.0
100.00,99.50,99.50,99.50,ACDHC,Aust Central 9% un15,99.50,-,-,98.50,-,100.00,9.0q,1/04/10,31/07/10i,100,11.9
105.00,100.00,102.00,102.00,BZAHA,Brookfield Bonds A 7.82%3m12,102.00,-,-,102.00,-,100.00,7.82,-,7/09/2012,-,-
103.00,100.50,103.00,103.00,BZBHA,Brookfield Bonds B 8.79%3m12,103.00,0.485,49.955,102.00,103.00,100.00,8.79,-,23/11/2012,-,-
760.00,200.00,755.001,750.00,CBHGA,CBH Res Ltd 7.25%cn12,755.001,1.36,1020.8,756.00,795.00,1000.00,7.25sa,15/03/10,3/05/12m,-,23.6
1200.00,0.12,1200.00,1200.00,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,1200.00,-,500.00,50,-,14/7/2011,-,-
106.00,102.00,105.00,104.50,HBSHA,Heritage Bld Soc 10%3mth19,105.00,7.781,816.895,104.50,105.00,100.00,10.000q,17/02/10,27/10/14i,100,3.7
0.80,0.70,0.73,0.70,MSCHF,Minerals Corp 10.5%db11,0.70,47,33.539,0.675,0.78,1.00,10.5,-,30/9/2011,-,-
3905.657,3905.657,3905.657,3905.657,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,1650.00,n/a,1/03/10,1/10/11m,-,n/a
5697.365,5697.365,5697.365,5697.365,LSBHB,  lsbfr10,5697.365,-,-,-,-,4031.00,n/a,1/03/10,1/10/14m,-,n/a
5905.21,5905.21,5905.21,5905.21,LSBHF,  lsbml10,5905.21,-,-,-,-,4294.00,n/a,1/03/10,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
25.00,5.25,19.50,17.00,AFPHA,Alpha Financial Prod ser1frn12,19.50,0.901,17.124,19.50,22.00,100.00,6.18sa,20/03/10,20/03/12m,100,109.4
114.00,100.00,110.73,110.00,AQNHA,AMP Grp Finance frn apr19,110.73,2.967,328.366,110.20,110.73,100.00,8.755q,17/02/10,15/05/14i,100,3.4
72.00,47.20,68.50,66.80,BENHB,Bendigo & Adelaide cap. note,68.50,1.151,78.482,66.70,68.00,100.00,4.80q,2/03/10,undated,100,4.3
