Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4516.5 at 16:37 11/6/2010  Report at 19:07 Friday 11/6/2010. Processed 19:26 Friday 11/6/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
INDUSTRIAL RISES,,,,,,,,,,,,,,,,
KTL Tech Ltd,KTL,0.007,0.40,133.3,,,,,,,,,,,,
Strathfield Grp,SRA,0.02,1.00,100,,,,,,,,,,,,
Cardia Bioplastics opt jun11,CNNO,0.003,0.10,50,,,,,,,,,,,,
CO2 Grp Ltd opt nov11,COZO,0.03,1.00,50,,,,,,,,,,,,
Aspermont Ltd,ASP,0.14,4.00,40,,,,,,,,,,,,
Austofix Grp Ltd,AYX,1.00,25.00,33.33,,,,,,,,,,,,
MGM Wireless Ltd,MWR,0.012,0.30,33.33,,,,,,,,,,,,
Bluglass Ltd,BLG,0.13,3.00,30,,,,,,,,,,,,
CO2 Grp Ltd,COZ,0.135,3.00,28.57,,,,,,,,,,,,
Structural Systems,STS,0.545,11.00,25.29,,,,,,,,,,,,
Auto Tech Ltd,ATJ,0.05,0.90,21.95,,,,,,,,,,,,
TPL Corp Ltd,TPL,0.017,0.30,21.43,,,,,,,,,,,,
Aquacarotene Ltd def,AQLDA,0.18,3.00,20,,,,,,,,,,,,
MAX Tr unt,MXQ,0.048,0.80,20,,,,,,,,,,,,
Cyclopharm Ltd,CYC,0.099,1.50,17.86,,,,,,,,,,,,
Moko Mobi Ltd,MKB,0.07,1.00,16.67,,,,,,,,,,,,
Gunns Ltd,GNS,0.505,7.00,16.09,,,,,,,,,,,,
AJ Lucas Grp,AJL,2.65,36.00,15.72,,,,,,,,,,,,
Nusep Ltd opt sep12,NSPO,0.052,0.70,15.56,,,,,,,,,,,,
LBT Innovations,LBT,0.08,1.00,14.29,,,,,,,,,,,,
Medivac Ltd,MDV,0.008,0.10,14.29,,,,,,,,,,,,
Neptune Marine,NMS,0.20,2.50,14.29,,,,,,,,,,,,
Rubicor Grp,RUB,0.048,0.60,14.29,,,,,,,,,,,,
Compumedics Ltd,CMP,0.165,2.00,13.79,,,,,,,,,,,,
Village Roadshow 'a' pref,VRLPA,2.17,26.00,13.61,,,,,,,,,,,,
Dyesol Ltd,DYE,1.185,14.00,13.4,,,,,,,,,,,,
Hot Rock Ltd,HRL,0.079,0.90,12.86,,,,,,,,,,,,
Apollo Cons,AOP,0.009,0.10,12.5,,,,,,,,,,,,
BioProspect Ltd,BPO,0.018,0.20,12.5,,,,,,,,,,,,
Intermoco Ltd,INT,0.009,0.10,12.5,,,,,,,,,,,,
Legacy Iron Ore,LCY,0.135,1.50,12.5,,,,,,,,,,,,
Vesture Ltd,VES,0.09,1.00,12.5,,,,,,,,,,,,
E-Com Multi Ltd,ECE,0.01,0.10,11.11,,,,,,,,,,,,
Adultshop Com,ASC,0.011,0.10,10,,,,,,,,,,,,
IFS Construct Ltd,IFS,0.055,0.50,10,,,,,,,,,,,,
Integrated Legal,IAW,0.11,1.00,10,,,,,,,,,,,,
Nusep Ltd,NSP,0.22,2.00,10,,,,,,,,,,,,
Quay Magnesium,QMG,0.022,0.20,10,,,,,,,,,,,,
AVJennings,AVJ,0.45,4.00,9.76,,,,,,,,,,,,
Energy Ventures,EVE,0.035,0.30,9.38,,,,,,,,,,,,
Mesbon China Nylon,MES,0.12,1.00,9.09,,,,,,,,,,,,
Over Fifty Grp,OFG,0.55,4.50,8.91,,,,,,,,,,,,
World Wide Ent Grp,WWG,0.049,0.40,8.89,,,,,,,,,,,,
Essa Aust,ESS,0.185,1.50,8.82,,,,,,,,,,,,
CMI Ltd,CMI,0.68,5.50,8.8,,,,,,,,,,,,
