Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 27/2/2013,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/1/2013,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/1/2013,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-03-03T16:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Bonds - Inflation-linked,,
Aberdeen Inflation Linked Bond,1.0306,1.0265,7.17,10.23,NAv,,
Equity Global Resources,,
CFS MIF-Global Resources,1.0922,1.0857,-13.45,-4.58,NAv,,
Equity Australia Derivative Income,,
Merlon WS Australian Share Income,1.1102,1.1058,17.49,4.89,***,,
Zurich Investments Equity Income,0.7527,0.7505,15.28,6.62,****,,
Equity Greater China,,
Premium China,1.5571,1.5493,14.57,2.04,***,,
Multisector Conservative,,
CBA Income,NAv,1.1047,8.11,5.80,***,,
Multisector Moderate,,
AMP Gen-Defensive,0.9467,0.9439,10.57,6.91,***,,
BT Investor Choice Mod Gr,1.0441,1.0417,9.43,6.16,***,,
BT Multi-Manager Cons Retail,0.9221,0.9202,8.80,6.35,**,,
CFS FC Inv-FirstChoice Conservative,0.9965,0.9936,8.86,6.03,***,,
CFS MIF-Conservative,1.1486,1.1463,7.32,4.35,**,,
Fiducian Capital Stable,0.9462,0.9438,9.28,6.08,***,,
IOOF MultiMix Conservative Trust,0.9988,0.9962,10.63,7.30,****,,
ipac Classic Portfolio 1,0.8884,0.8857,10.71,7.00,***,,
ipac Pathways 30,0.9190,0.9162,11.38,7.38,***,,
MLC UT/MKey InvSer Horizon 2 - Income,1.0648,1.0637,10.73,6.41,**,,
North Index Defensive,0.9345,0.9316,9.98,7.16,****,,
Profile Preservation Portfolio,1.0630,1.0577,10.47,NAv,NAv,,
UBS Defensive Investment,1.1025,1.0992,14.59,8.08,*****,,
Multisector Balanced,,
Access Pre Select Balanced,0.9910,0.9886,12.46,6.76,***,,
AMP FLI-AMP Monthly Income No 2,0.5967,0.5932,11.56,5.88,****,,
AMP FLI-AMP Monthly Income No 3,0.8514,0.8463,12.65,6.12,****,,
AMP Gen-Moderately Defensive,0.9383,0.9346,13.59,7.34,***,,
ANZ OA IP-Vanguard Balanced Index EF,1.0367,1.0341,11.54,NAv,NAv,,
Australian Ethical Balanced Trust,1.1075,1.1052,11.59,4.10,**,,
BlackRock Global Allocation Aus D,1.1163,1.1096,11.91,9.77,*****,,
BT Class Inv Balanced Returns,1.4859,1.4821,10.09,4.69,**,,
CFS FC Inv-FirstChoice Moderate,0.9766,0.9737,12.63,6.31,**,,
CFS MIF-Balanced,1.2576,1.2538,8.00,3.45,*,,
IOOF Multi Series Balanced Trust,0.8006,0.7972,14.45,5.91,*,,
ipac Classic Value Portfolio,0.8589,0.8550,13.82,7.36,***,,
MLC UT/MKey InvSer Horizon 3-Conserv Gr,0.9139,0.9130,11.08,5.95,***,,
Netwealth Index Opportunities Balanced,0.8469,0.8435,15.39,8.17,****,,
North Index Moderately Defensive,0.8831,0.8799,12.86,7.56,****,,
Plan B Market 55,1.3324,1.3317,10.79,5.25,***,,
Profile 55,0.8918,0.8914,11.95,6.40,****,,
Select Dynamic Allocation Portfolio,1.0744,1.0720,11.82,NAv,NAv,,
SUMMIT Select - Active Mod Defensive,0.9810,0.9771,14.72,8.44,****,,
Summit Select Income Generator,1.0711,1.0669,14.83,NAv,NAv,,
UBS Tactical Beta Fund - Balanced,1.0711,1.0679,NAv,NAv,NAv,,
Ventura Diversified 50,0.9480,0.9439,12.65,7.80,****,,
Multisector Growth,,
Aberdeen Multi-Asset Real Return,1.4913,1.4853,13.14,5.98,***,,
Access Pre Select Growth,0.9737,0.9708,15.49,7.02,***,,
AMP FLI-AMP Balanced Growth,1.0643,1.0594,15.55,5.56,**,,
AMP FLI-Future Directions Balanced,0.9713,0.9673,12.34,5.51,*,,
AMP Gen-Balanced,0.9032,0.8989,15.75,7.18,***,,
ANZ OA IP-OP Tax Effective Income NE,0.9488,0.9454,16.01,5.47,*,,
BlackRock W Balanced,1.7295,1.7235,14.97,6.74,****,,
BT Class Inv Tax Effective Income NE,NAv,0.9850,13.30,5.74,****,,
BT Investor Choice Bal Gr,1.1386,1.1347,13.48,6.32,***,,
BT Multi-Manager Bal Retail,0.9489,0.9451,12.57,6.35,**,,
CBA Balanced,NAv,1.4273,10.99,4.96,***,,
CBA Growth,NAv,1.4700,13.98,5.35,***,,
