Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 28/10/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 30/9/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 30/9/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-11-01T15:00:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0335,1.0295,NAv,NAv,NAv,,
1980's Lifestage Fund - A,1.0346,1.0306,NAv,NAv,NAv,,
Advance Growth Multi-Blend W,1.0330,1.0278,6.86,12.64,**,,
Advance High Growth Multi-Blend W,0.9982,0.9922,7.87,14.19,***,,
AMP Gen-Growth,1.0299,1.0243,10.00,15.35,***,,
AMP Gen-High Growth,1.0279,1.0218,10.82,16.99,***,,
BT Class Inv Split Growth,3.0519,3.0464,15.45,19.61,****,,
BT Future Goals Retail,1.8275,1.8218,7.47,12.44,**,,
IOOF MultiMix Growth Trust,1.0458,1.0390,11.12,14.72,***,,
IOOF Profile 95,0.9026,0.9008,9.72,16.54,****,,
ipac Classic Portfolio 3,0.8491,0.8443,10.11,15.31,***,,
ipac Pathways 85,0.9690,0.9640,10.68,16.04,****,,
ipac Pathways 95,0.9195,0.9148,11.55,17.27,****,,
ipac Strat Inv Srv Inflation Plus 6,1.1329,1.1265,9.68,14.98,***,,
MLC UT/MKey InvSerHorizon 5 - Growth,1.2262,1.2237,8.44,13.79,***,,
North Index Growth,0.7443,0.7421,10.86,15.91,****,,
North Index High Growth,0.6325,0.6306,12.08,18.13,****,,
Russell Growth A,0.9515,0.9468,9.77,15.10,****,,
Russell Growth C,1.0050,1.0001,9.55,14.87,***,,
SUMMIT Select - Active Growth Units,0.9797,0.9744,11.14,16.55,****,,
Multisector Balanced,,
Advance Moderate Multi-Blend W,1.0548,1.0516,5.75,9.26,***,,
AMP Gen-Moderately Defensive,1.0224,1.0184,7.39,11.07,***,,
Australian Ethical Balanced Trust,1.2941,1.2938,8.50,11.61,**,,
CFS FC Inv-FirstChoice Moderate,1.0864,1.0831,8.48,11.08,***,,
CFS FC W Inv-CFS W Balanced,1.1287,1.1253,7.48,9.59,**,,
CFS FC W Inv-FirstChoice W Moderate,1.0973,1.0940,9.45,12.06,****,,
IOOF Multi Series Balanced Trust,0.8832,0.8794,10.54,12.61,****,,
IOOF MultiMix Moderate Trust,1.0340,1.0290,8.54,10.64,***,,
IOOF Profile 55,0.9599,0.9589,5.81,10.38,***,,
ipac Classic Value Portfolio,0.9728,0.9683,8.56,12.01,****,,
MLC UT/MKey InvSer Horizon 3-Conserv Gr,1.0036,1.0026,6.43,9.63,**,,
Netwealth Active Balanced,0.7110,0.7086,7.43,11.95,***,,
North Index Moderately Defensive,0.9486,0.9461,8.18,11.18,****,,
Pre Select Balanced,1.1574,1.1547,8.07,11.53,*****,,
Russell Diversified 50 A,1.0452,1.0409,8.03,11.31,****,,
Schroder Real Return CPI+5% Wholesale,1.1448,1.1402,6.72,9.14,**,,
SUMMIT Select - Active Mod Defensive,1.0706,1.0663,8.45,12.19,****,,
Summit Select Income Generator,1.1407,1.1363,7.17,11.34,****,,
The Trust Company Philanthropy,0.8421,0.8392,5.10,10.10,*,,
UBS Tactical Beta Fund - Balanced,1.1493,1.1459,10.70,NAv,NAv,,
Multisector Conservative,,
North Multi Manager Active Defensive,0.9913,0.9889,6.86,8.96,*****,,
Multisector Growth,,
Adv Balanced Multi-Blend ARS,0.8536,0.8536,5.29,10.05,**,,
Advance Balanced Multi-Blend W,1.1223,1.1177,6.54,11.34,***,,
AMP FLI-AMP Balanced Growth,1.0844,1.0794,7.28,12.71,**,,
AMP Gen-Balanced,1.0191,1.0142,9.26,13.65,***,,
BT Active Bal WS,1.6860,1.6811,7.99,12.00,***,,
BT Investor Choice Bal Gr,1.2298,1.2256,6.44,11.31,**,,
BT Multi-Manager Bal Retail,1.0362,1.0320,5.45,10.21,*,,
CBA Balanced,NAv,1.4970,6.95,9.54,**,,
CBA Growth,NAv,1.6668,6.96,11.97,***,,
CFS FC Inv-FirstChoice Growth,1.1070,1.1026,9.39,13.07,***,,
CFS FC W Inv-CFS W Diversified,1.5823,1.5760,8.94,13.35,***,,
CFS FC W Inv-FC W Multi-Index Balanced,1.0606,1.0575,9.50,13.94,*****,,
CFS FC W Inv-FirstChoice W Growth,1.1124,1.1079,10.40,14.13,****,,
CFS MIF-Diversified,1.8420,1.8346,8.03,12.40,**,,
DMG Diversified Portfolio,1.0442,1.0389,6.78,NAv,NAv,,
EQT Growth,1.4362,1.4261,6.78,13.90,****,,
Fiducian Balanced,1.1587,1.1529,9.04,12.89,***,,
IOOF MultiMix Balanced Growth Trust,1.0723,1.0663,10.04,13.29,***,,
IOOF Profile 75,0.9722,0.9708,7.27,13.45,***,,
ipac Classic Portfolio 2,0.8952,0.8906,9.41,13.70,***,,
ipac Pathways 70,0.9564,0.9516,9.89,14.30,****,,
ipac Strat Inv Srv Inflation Plus 4,1.0696,1.0642,8.89,13.26,***,,
MLC UT/MKey InvSer Horizon 4 - Balanced,1.3941,1.3913,7.74,12.13,**,,
North Index Balanced,0.8342,0.8319,9.59,13.80,****,,
North Multi Manager Active Growth,0.8713,0.8669,11.13,16.94,*****,,
North Multi Manager Balanced,0.9567,0.9526,9.84,14.81,****,,
North Select Active Balanced,1.1768,1.1708,10.50,14.78,****,,
OnePath OA IP-OP Tax Effective Inc NE,1.6040,1.6040,4.09,11.14,*,,
Perpetual Wholesale Balanced Growth,1.5151,1.5099,9.21,14.52,*****,,
Pre Select Growth,1.2575,1.2538,9.38,14.33,****,,
Russell Balanced A,0.9465,0.9420,9.09,13.47,****,,
Russell Balanced Class C,1.0174,1.0127,8.84,13.24,***,,
SUMMIT Select - Active Balanced,1.0353,1.0303,10.41,14.84,*****,,
UBS Balanced Investment,1.2850,1.2799,10.86,15.13,****,,
Multisector Moderate,,
Advance Defensive Multi-Blend W,1.0985,1.0963,4.78,6.98,***,,
BT Investor Choice Mod Gr,1.0849,1.0824,5.55,7.65,**,,
CFS FC Inv-FirstChoice Conservative,1.0489,1.0457,5.90,7.35,**,,
CFS FC W Inv-CFS W Conservative,1.1497,1.1474,6.02,7.85,***,,
CFS FC W Inv-FC W Multi-Index Cons,0.9584,0.9565,6.33,8.37,***,,
CFS FC W Inv-FirstChoice W Conservative,1.0670,1.0638,6.73,8.19,***,,
IOOF MultiMix Conservative Trust,1.0248,1.0222,6.97,8.83,****,,
