ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4479.0 at 16:37 28/5/2010  Report at 19:07 Friday 28/5/2010. Processed 15:12 Sunday 30/5/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,561.585,16.879,15.721,0.04,-,-,-0.27,-,-,-,-,,3D Oil Ltd,,0.20,,0.19,0.20,0.20,0.195,-3.54,0.39,0.088
DDD,336,8.246,3.201,0.003,-,-,-1.9,-,-,-,-,,3D Res Ltd,,0.02,,0.02,0.025,0.02,0.019,-3.54,0.026,0.009
AAO,212.069,4.58,5.222,0.008,-,-,-1.28,-,-,-,-,,A'asia Gold,,0.065,-0.7,0.06,0.065,0.08,0.065,-13.26,0.109,0.025
AAOO,50,0.113,-,-,-,-,-,-,-,-,-,,  opt apr13,,0.016,-0.4,0.016,0.024,0.02,0.016,-23.54,0.02,0.012
ARH,869.833,11.985,7.497,0.115,-,-,-1.4,-,-,-,-,,A'asian Resour,,0.26,-1,0.25,0.265,0.27,0.22,-7.25,0.70,0.215
AAM,5510.25,78.036,26.204,0.045,-,-,-3.56,-,-,-,-,,A1 Min Ltd,,0.23,4.5,0.23,0.235,0.24,0.215,20.78,0.42,0.13
ABU,26599.6,427.952,132.677,0.03,-,-,-4.09,-,-,-,-,,ABM Res NL,,0.019,0.1,0.018,0.019,0.022,0.016,2.01,0.07,0.016
AII,60,0.772,0.915,0.019,-,-,-1.94,-,-,-,-,,Abra Min Ltd,,0.135,0.5,0.12,0.16,0.135,0.13,0.30,0.25,0.11
ACB,532.28,28.769,24.097,0.054,0.14,2.4,-0.91,-,-,-,-,,A-Cap Res,,0.335,3.5,0.33,0.345,0.35,0.305,8.12,0.60,0.30
ACS,285.062,18.557,13.063,0.024,-,-,-1.53,-,-,-,-,,Accent Res NL,,0.17,1,0.165,0.175,0.18,0.155,2.71,0.27,0.13
AEX,65852.4,1572.6,100.024,0.014,-,-,-0.38,-,-,-,-,,Acclaim Explore,,0.014,0.1,0.014,0.015,0.015,0.012,4.15,0.029,0.004
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,0.001,0.025,0.003,0.003,-3.54,0.003,0.003
AIV,36,14.97,3.422,0.006,-,-,-1.49,-,-,-,-,,Activex Ltd,,0.075,-0.5,0.066,0.089,0.085,0.075,-9.79,0.14,0.05
AIVO,-,2.523,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.01,,0.006,0.02,0.01,0.01,-3.54,0.06,0.001
ADU,4333.03,80.799,7.928,0.183,-,-,-12.87,-,-,-,-,,Adamus Res,,0.47,,0.47,0.475,0.52,0.465,-3.54,0.58,0.303
ADD,604.097,15.357,12.114,0.006,0.02,1.6,-0.96,-,-,-,-,,Adavale Resource,,0.031,-0.2,0.031,0.035,0.035,0.03,-9.60,0.065,0.019
ADE,727.661,36.529,18.992,0.032,-,-,0.97,14.9,-,-,-,,Adelaide Energy,,0.145,1,0.135,0.145,0.16,0.135,3.87,0.215,0.105
ADN,249.327,28.528,19.441,0.018,-,-,-0.56,-,-,-,-,,Adelaide Res,,0.16,,0.145,0.16,0.16,0.14,-3.54,0.395,0.084
ADI,5053.25,59.323,20.245,0.07,-,-,-4.27,-,-,-,-,,Adelphi Energy,,0.415,1,0.41,0.42,0.42,0.405,-1.07,0.42,0.059
ABY,7380.89,84.038,199.557,0.241,1.51,0.5,19.61,3.9,-,-,-,,Aditya Birla,,0.77,3.5,0.76,0.77,0.78,0.665,1.22,1.65,0.50
ADY,46085.6,1822.04,4268.36,0.023,-,-,0.09,11.1,-,-,-,,Admiralty Res,,0.01,0.1,0.009,0.01,0.011,0.009,7.57,0.032,0.009
AVD,35,1.101,4.806,0.004,-,-,-3.1,-,-,-,-,,Advance Energy,,0.025,-1.2,0.019,0.024,0.025,0.025,-35.97,0.125,0.025
AED,1311.09,32.642,55.511,0.096,1.03,0.5,-48.17,-,-,-,-,,AED Oil Ltd,,0.505,-2,0.50,0.51,0.545,0.485,-7.35,1.04,0.485
AFR,490.09,23.048,7.142,0.023,-,-,-1.13,-,-,-,-,,African Energy Res cdi,,0.081,0.2,0.081,0.083,0.089,0.08,-1.01,0.24,0.05
AAE,271.533,59.399,-,0.004,-,-,15.8,0.1,-,-,-,,Agri Energy Ltd,,0.01,,0.009,0.01,0.013,0.01,-3.54,0.027,0.009
ALG,-,0.719,0.035,0.004,-,-,-1.34,-,-,-,-,,Alamar Res Ltd,,0.18,,0.175,0.21,0.18,0.18,-3.54,0.245,0.14
AUQ,112.143,4.052,4.291,0.007,-,-,-1.9,-,-,-,-,,Alara Res Ltd,,0.082,-1,0.092,0.10,0.092,0.082,-14.41,0.25,0.048
ALY,1748.13,51.394,2.183,0.035,-,-,-3.2,-,-,-,-,,Alchemy Resource,,0.46,-7,0.45,0.48,0.54,0.425,-16.75,1.27,0.10
ALYO,497.698,3.537,0.875,0.005,-,-,-,-,-,-,-,,  opt aug10,,0.23,-5.5,0.20,0.27,0.285,0.18,-22.84,0.96,0.004
AYN,964.512,116.992,-,0.016,-,-,-6.05,-,-,-,-,,Alcyone Res Ltd,,0.025,0.2,0.024,0.025,0.025,0.022,5.15,0.06,0.022
AYNOB,-,-,-,-,-,-,-,-,-,-,-,,  opt sep11,,-,,-,-,0.021,0.021,-3.54,0.021,0.021
ALK,722.227,22.959,19.556,0.071,-,-,0.93,30.6,-,-,-,,Alkane Res Ltd,,0.285,-1,0.275,0.28,0.30,0.26,-6.93,0.49,0.25
AGS,1249.57,36.553,46.592,0.126,-,-,-1.97,-,-,-,-,,Alliance Res,,0.37,2,0.35,0.37,0.37,0.33,2.17,0.98,0.33
ALD,2974.83,82.955,34.821,0.385,0.26,1.4,-3.42,-,-,-,-,,Allied Gold Ltd,,0.37,-0.5,0.365,0.385,0.41,0.365,-4.88,0.55,0.25
AYR,1000,19.818,4.34,0.003,-,-,-0.62,-,-,-,-,,Alloy Res,,0.026,-0.1,0.021,0.028,0.027,0.026,-7.25,0.042,0.019
AJM,1017.16,12.936,4.478,0.036,-,-,-5.11,-,-,-,-,,Altura Min Ltd,,0.185,2.5,0.18,0.19,0.185,0.16,12.08,0.37,0.067
AWC,101448,1953.44,1293.83,4.1,1.21,1.4,-1.2,-,2,-,1.19,f,Alumina Ltd,,1.68,7,1.67,1.685,1.72,1.525,0.81,2.06,1.285
AMU,1815.81,51.28,11.162,0.058,0.34,0.6,-10.17,-,-,-,-,,Amadeus Energy,,0.19,,0.185,0.19,0.195,0.175,-3.54,0.43,0.175
AXZ,33.396,1.349,0.346,0.008,-,-,-2.85,-,-,-,-,,Amex Res,,0.155,-0.5,0.135,0.155,0.16,0.135,-6.67,0.25,0.085
AMX,2607.27,81.125,22.287,0.238,-,-,-7,-,-,-,-,,Ampella Min,,1.45,5,1.40,1.48,1.54,1.33,0.03,1.94,0.275
AMXO,11.243,2.386,0.664,0.017,-,-,-,-,-,-,-,,  opt jul10,,1.305,-11.5,1.20,1.395,1.42,1.19,-11.64,1.755,0.13
AHR,348,6.86,0.851,0.006,-,-,-2.05,-,-,-,-,,Anchor Res,,0.145,-2.5,0.145,0.17,0.16,0.13,-18.25,0.28,0.043
AND,2251.75,38.495,50.767,1.526,-,-,-4.64,-,-,-,-,,Andean Res Ltd,,3.24,18,3.15,3.27,3.43,3.04,2.34,3.58,1.68
ATM,-,0.012,0.011,2.289,0.10,12.0,0.7,171.4,2.94,0.24,2.45,,Aneka Tambang cdi,,1.20,,1.20,-,1.20,1.20,-3.54,1.30,0.97
AAR,3187.61,65.022,67.475,0.012,-,-,-0.14,-,-,-,-,,Anglo Aust,,0.024,0.1,0.024,0.026,0.027,0.022,0.81,0.044,0.018
AGP,-,0.005,-,0.329,-,-,34.4,8.9,14.64,2.35,4.78,,Anglo Pacific Grp,,3.06,7.8,2.81,-,2.982,2.982,-0.93,3.50,2.581
AGG,61.724,1.256,3.795,0.885,8.69,1.1,-99.23,-,3.87,-,0.39,,Anglogold Ashanti,,9.92,67,9.40,10.14,10.30,9.30,3.70,11.00,7.65
AZZ,7096.13,151.71,21.3,0.171,-,-,-1.6,-,-,-,-,,Antares Energy,,0.62,5.5,0.615,0.62,0.635,0.575,6.19,0.885,0.19
AVM,101.456,2.735,2.3,0.034,-,-,-23.97,-,-,-,-,,Anvil Min cdi,,3.60,32,3.60,3.70,3.70,3.30,6.21,4.56,1.50
AAL,50,1.893,1.082,0.004,-,-,1.53,2.7,-,-,-,,Apac Coal,,0.041,0.2,0.039,0.051,0.043,0.039,1.59,0.08,0.035
AXM,88633.3,1447.9,309.747,0.063,-,-,-26.39,-,-,-,-,,Apex Min NL,,0.019,-0.1,0.018,0.019,0.021,0.017,-8.54,0.187,0.014
AXMO,3394.5,214.861,-,0.003,-,-,-,-,-,-,-,,  opt nov12,,0.005,-0.1,0.005,0.006,0.006,0.005,-20.21,0.025,0.005
AZO,216.677,27.029,-,0.05,-,-,-,-,-,-,-,,Apollo Gas Ltd,,0.60,,0.56,0.59,0.63,0.54,-3.54,0.87,0.35
AON,458.061,11.532,1.72,0.012,-,-,-6.59,-,-,-,-,,Apollo Min Ltd,,0.10,-3,0.105,0.12,0.13,0.10,-26.62,0.40,0.10
AONO,-,0.515,-,-,-,-,-,-,-,-,-,,  opt nov11,,0.02,,0.008,-,0.02,0.02,-3.54,0.025,0.012
AQP,10868.7,158.863,78.726,3.056,-,-,20.79,31.7,2.26,9.20,0.34,,Aquarius Platinum,,6.60,59,6.49,6.61,6.71,6.05,6.27,7.95,3.74
AQA,3411.12,82.687,30.879,2.9,-,-,-14.8,-,-,-,-,,Aquila Res,,9.00,63,8.82,9.12,9.40,8.13,3.98,11.38,4.036
