ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, January 21, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4860.9 at 2011-01-21T16:38:33. Report at Friday, January 21, 2011. Processed Saturday at 2011-01-22T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDO,442.931,1.298,3.280,.046,-,-,-.42,-,-,-,-,,3D Oil,,.23,-3,.23,.25,.26,.23,-10.57,.33,.14,,
DDD,485.000,1.743,.836,.009,-,-,-1.15,-,-,-,-,,3D Res,,.045,+.3,.044,.047,.045,.042,+8.11,.049,.018,,
AAO,789.095,2.499,.435,.045,-,-,-.37,-,-,-,-,,A'asia Gold,,.24,-.5,.235,.24,.265,.24,-1.07,.295,.044,,
AAOO,281.370,.928,-,.016,-,-,-,-,-,-,-,,  opt apr13,,.12,-2.5,.12,.145,.15,.12,-16.27,.16,.011,,
ARH,690.881,2.982,1.700,.206,-,-,-.09,-,-,-,-,,A'asian Resources,,.465,-6.5,.465,.47,.54,.455,-11.29,.63,.20,,
AAM,4565.11,7.846,9.432,.020,-,-,-3.50,-,-,-,-,,A1 Min,,.098,-.7,.098,.10,.105,.097,-5.70,.38,.097,,
ABU,31239.0,140.426,46.533,.059,-,-,-2.62,-,-,-,-,,ABM Res,,.027,-.3,.027,.028,.03,.027,-9.03,.043,.016,,
AII,62.200,.192,.040,.042,-,-,-1.98,-,-,-,-,,Abra Min,,.30,+1,.205,.31,.32,.30,+4.42,.32,.086,,
ACB,9090.22,20.253,3.234,.135,-,-,-1.05,-,-,-,-,,A-Cap Res,,.68,-,.67,.685,.76,.665,+.97,.76,.28,,
ACS,955.149,1.205,3.251,.061,-,-,-1.06,-,-,-,-,,Accent Res,,.36,+4.5,.36,.37,.395,.31,+15.26,.46,.13,,
AEX,11085.1,30.527,81.399,.023,-,-,-.21,-,-,-,-,,Acclaim Explore,,.016,-.2,.015,.016,.019,.016,-10.14,.029,.004,,
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,.003,-,-,.025,.003,.003,+.97,.003,.003,,
AIV,824.200,3.652,1.087,.006,-,-,-1.13,-,-,-,-,,Activex,,.059,-.1,.059,.062,.062,.058,-.70,.14,.05,,
ADU,6838.24,13.158,7.669,.335,-,-,-28.16,-,-,-,-,,Adamus Res,,.75,-6.5,.745,.77,.84,.745,-7.00,.895,.344,,
ADD,2952.86,12.442,1.198,.011,.02,1.8,-1.13,-,-,-,-,,Adavale Resources,,.037,+.2,.036,.037,.038,.033,+6.69,.046,.015,,
ADE,2909.16,13.845,6.144,.038,-,-,-1.14,-,-,-,-,,Adelaide Energy,,.11,-.5,.11,.115,.12,.11,-3.38,.197,.06,,
ADN,1149.97,2.597,4.935,.027,-,-,-.63,-,-,-,-,,Adelaide Res,,.19,+1,.185,.19,.19,.175,+6.53,.30,.125,,
ABY,1195.99,3.917,5.831,.404,1.61,.8,18.71,6.9,-,-,-,,Aditya Birla,,1.29,-3.5,1.285,1.29,1.35,1.285,-1.67,1.42,.62,,
