ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, July 27, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4234.4 at 2012-07-27T16:45:36. Report at Friday, July 27, 2012. Processed Saturday at 2012-07-28T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDO,465.000,10.803,10.404,.013,-,-,-.62,-,-,-,-,,3D Oil,,.065,-.5,.05,.07,.065,.06,-7.23,.15,.06,,
DDD,285.714,11.968,14.243,.005,-,-,-.44,-,-,-,-,,3D Res,,.023,-.1,.023,.03,.024,.023,-4.26,.055,.023,,
ARH,161.425,11.375,16.661,.068,-,-,.47,29.8,-,-,-,,A'asian Resources,,.14,+2.5,.14,.145,.14,.12,+21.65,.335,.105,,
AYC,32.000,2.403,-,.015,-,-,-,-,-,-,-,,A1 Gold,,.28,-,-,-,.30,.28,-.09,.30,.20,,
ABU,17291.9,1119.87,2047.59,.130,-,-,-.43,-,-,-,-,,ABM Res,,.04,-.2,.039,.04,.042,.038,-4.85,.082,.035,,
AJC,1360.38,192.584,1282.22,.023,-,-,-1.14,-,-,-,-,,Acacia Coal,,.025,-,.023,.026,.025,.023,-.09,.094,.023,,
ACB,347.823,41.674,114.065,.032,-,-,-2.06,-,-,-,-,,A-Cap Res,,.14,-2.5,.14,.145,.165,.13,-15.24,.45,.115,,
ACS,170.341,90.964,17.990,.045,-,-,-.42,-,-,-,-,,Accent Res,,.25,-4,.25,.325,.335,.25,-13.88,.405,.215,,
ACN,3168.16,86.981,110.473,.056,-,-,-4.59,-,-,-,-,,Acer Energy,,.12,-1,.12,.13,.13,.12,-7.78,.245,.105,,
AIV,100.000,16.875,88.471,.004,-,-,-.78,-,-,-,-,,ActiveX,,.022,-.1,-,-,.023,.022,-4.44,.055,.016,,
ADD,386.666,23.729,153.089,.004,.01,1.4,-.51,-,-,-,-,,Adavale Resources,,.014,-.2,.014,.021,.016,.014,-12.59,.033,.01,,
ADN,185.000,66.309,24.815,.007,-,-,-.95,-,-,-,-,,Adelaide Res,,.047,-,.045,.047,.047,.046,-.09,.125,.046,,
AAO,143.000,2.607,18.297,.007,.10,.8,-9.92,-,-,-,-,,Adept Solutions,,.085,-.1,-,-,.086,.085,-1.25,.637,.083,,
AAOO,-,-,4.089,-,-,-,-,-,-,-,-,,  opt apr13,,-,-,-,-,.066,.066,-.09,.066,.066,,
ABY,1108.36,54.462,77.799,.135,-,-,8.48,5.1,5.00,1.70,11.63,,Aditya Birla,,.43,-1,.43,.44,.45,.42,-2.36,1.58,.42,,
ADY,1580.52,61.625,591.651,.033,-,-,-.44,-,-,-,-,,Admiralty Res,,.045,-,-,-,.046,.044,-.09,.071,.043,,
AVD,33.957,9.830,159.346,.002,-,-,-.73,-,-,-,-,,Advance Energy,,.004,-,-,-,.004,.004,-.09,.012,.003,,
AVDOA,-,-,68.902,-,-,-,-,-,-,-,-,,  opt aug12,,.001,-,-,-,.001,.001,-.09,.002,.001,,
ADX,2165.52,162.290,231.582,.010,-,-,-1.93,-,-,-,-,,ADX Energy,,.023,-,.022,.023,.024,.021,-.09,.105,.02,,
AFR,7937.28,174.542,364.322,.061,-,-,-1.92,-,-,-,-,,African Energy Res,,.185,-1.5,.185,.195,.20,.185,-7.59,.52,.16,,
AAE,-,84.759,401.002,.006,-,-,-.23,-,-,-,-,,Agri Energy,,.008,-,.005,.008,.008,.008,-.09,.01,.004,,
AGR,297.532,17.436,17.398,.014,-,-,-9.22,-,-,-,-,,Aguia Res,,.165,+1.5,.165,.17,.17,.155,+9.91,.74,.14,,
AQG,2436.52,99.367,51.569,.554,-,-,28.59,19.9,-,-,-,,Alacer Gold,,5.70,+55,5.64,5.74,5.82,4.91,+10.59,12.30,4.66,,
AUQ,3329.21,42.026,78.621,.069,-,-,-2.59,-,-,-,-,,Alara Res,,.33,+2,.305,.33,.335,.28,+6.36,.42,.23,,
ALY,54.152,22.458,53.573,.012,-,-,-1.68,-,-,-,-,,Alchemy Resources,,.079,-,.079,.084,.079,.072,-.09,.203,.072,,
AYN,7067.32,748.296,3610.24,.051,-,-,-.52,-,-,-,-,,Alcyone Res,,.035,+.2,.034,.036,.037,.033,+5.97,.12,.031,,
AWD,13387.4,781.901,339.960,.019,-,-,.05,28.0,-,-,-,,Aleator Energy,,.014,-.2,.013,.014,.015,.014,-12.59,.023,.011,,
AWDO,1528.60,465.394,2.499,.004,-,-,-,-,-,-,-,,  opt jan15,,.004,-,.003,.004,.004,.003,-.09,.013,.003,,
ALK,2455.07,145.150,255.949,.309,-,-,-1.00,-,-,-,-,,Alkane Res,,.83,-5,.82,.84,.905,.815,-5.77,2.071,.735,,
AHQ,184.300,5.548,-,.004,-,-,-,-,-,-,-,,Allegiance Coal,,.08,-,.08,.09,.081,.08,-.09,.19,.08,,
AHQO,2.500,.616,-,-,-,-,-,-,-,-,-,,  opt mar14,,.02,-,.011,.025,.02,.02,-.09,.025,.017,,
AGS,663.302,189.039,57.477,.065,-,-,-1.77,-,-,-,-,,Alliance Res,,.19,-1.5,.185,.20,.205,.185,-7.41,.615,.115,,
ALD,1690.90,34.966,160.161,.137,2.99,.7,-3.03,-,-,-,-,,Allied Gold,,2.12,+3,2.10,2.14,2.14,2.05,+1.34,4.00,1.42,,
AGE,234.642,31.431,71.563,.014,-,-,-.36,-,-,-,-,,Alligator Energy,,.098,+.8,.095,.098,.098,.088,+8.80,.195,.076,,
AYR,952.000,32.946,273.197,.002,-,-,-.33,-,-,-,-,,Alloy Res,,.01,+.2,.008,.01,.01,.008,+24.91,.038,.008,,
AYM,721.418,28.029,-,.008,.08,.5,-.65,-,-,-,-,,Altuis Mining,,.04,+1.2,.04,.07,.04,.025,+42.77,.15,.025,,
AOH,3818.71,124.350,247.081,.142,-,-,-4.72,-,-,-,-,,Altona Min,,.27,-2.5,.27,.28,.295,.25,-8.57,.345,.19,,
AJM,1012.77,74.868,81.127,.082,-,-,-.39,-,-,-,-,,Altura Min,,.18,-1.5,.175,.18,.195,.17,-7.78,.23,.14,,
AWC,122900,2741.30,2205.75,1.647,1.04,.6,5.12,13.2,5.68,.90,8.41,f,Alumina,,.675,-2,.67,.68,.695,.63,-2.97,2.24,.625,,
AMU,5095.00,104.386,124.960,.050,.30,.7,.35,60.0,-,-,-,,Amadeus Energy,,.21,-.5,.21,.215,.21,.21,-2.42,.24,.19,,
AQO,728.743,49.955,-,.008,-,-,-1.20,-,-,-,-,,Ambassador Oil & Gas,,.094,-.6,.091,.105,.11,.09,-6.09,.245,.09,,
AQOO,729.206,2.907,-,.001,-,-,-,-,-,-,-,,  opt oct13,,.026,+.6,.025,.026,.026,.02,+29.91,.052,.02,,
AXZ,42.513,1.976,9.937,.071,-,-,-3.46,-,-,-,-,,Amex Res,,.95,-,.95,1.00,.97,.90,-.09,1.36,.83,,
AMX,8401.24,171.089,67.485,.132,-,-,-12.25,-,-,-,-,,Ampella Min,,.535,+7.5,.53,.535,.535,.415,+16.21,2.43,.35,,
AEK,-,2.607,7.530,.011,-,-,-2.18,-,-,-,-,,Anatolia Energy,,.07,-,.065,.075,.07,.07,-.09,.20,.05,,
AHR,-,.020,13.250,.010,-,-,-4.79,-,-,-,-,,Anchor Res,,.19,-,-,-,.19,.19,-.09,.28,.15,,
ATM,-,-,-,.002,-,-,2.16,57.9,4.05,.53,3.24,,Aneka Tambang,,1.25,-,-,-,1.209,1.209,-.09,1.25,1.209,,
AAR,1165.33,49.184,125.853,.005,-,-,-.11,-,-,-,-,,Anglo Aust Res,,.007,+.1,.007,.008,.007,.006,+16.58,.016,.006,,
AGG,6.957,1.507,2.759,.572,14.62,.4,1979.13,.3,11.59,170.76,1.81,,Anglogold Ashanti,,6.41,+38,5.87,6.80,6.45,6.02,+6.21,9.48,6.02,,
AZZ,1750.79,62.777,164.335,.108,-,-,-1.40,-,-,-,-,,Antares Energy,,.42,-1,.42,.425,.425,.39,-2.42,.555,.35,,
AZY,35.000,6.528,9.125,.004,-,-,-.84,-,-,-,-,,Antipa Min,,.062,+.2,-,-,.062,.055,+3.24,.31,.044,,
AZYO,-,2.370,4.648,-,-,-,-,-,-,-,-,,  opt mar13,,.005,-,-,-,.005,.005,-.09,.13,.005,,
AAL,-,1.105,3.551,.001,-,-,-.07,-,-,-,-,,APAC Coal,,.006,-,-,-,.006,.006,-.09,.018,.005,,
AXM,11194.2,1942.24,2121.49,.018,-,-,7.00,1.6,-,-,-,,Apex Minerals,†,.11,-,.11,.115,.115,.105,-.09,1.30,.10,,
AXMO,-,.632,142.402,-,-,-,-,-,-,-,-,,  opt nov12,†,.05,-,-,-,.05,.05,-.09,.05,.001,,
AQQ,397.500,32.257,51.020,.008,-,-,-.49,-,-,-,-,,Aphrodite Gold,,.044,-.8,.041,.052,.052,.044,-15.48,.128,.033,,
AQQO,350.000,10.653,10.939,-,-,-,-,-,-,-,-,,  opt dec13,,.005,-.3,.001,.007,.006,.005,-37.59,.035,.002,,
AOP,-,5.714,478.382,.004,-,-,-.08,-,-,-,-,,Apollo Cons,†,.10,-,.09,.10,.10,.10,-.09,.20,.002,,
AON,100.000,24.241,20.233,.010,-,-,-1.11,-,-,-,-,,Apollo Minerals,,.038,-,-,-,.038,.036,-.09,.08,.03,,
AQP,7532.08,268.932,190.811,.282,-,-,-46.14,-,3.76,-,6.27,,Aquarius Platinum,,.60,-1.5,.585,.605,.63,.55,-2.53,4.40,.55,,
AQA,2526.48,68.562,59.044,.770,-,-,-20.60,-,-,-,-,,Aquila Res,,1.87,-36,1.86,1.90,2.22,1.86,-16.23,6.83,1.86,,
ARU,6003.29,213.433,272.996,.071,-,-,-1.91,-,-,-,-,,Arafura Resources,,.18,-3,.175,.18,.205,.175,-14.38,.79,.175,,
ARX,25049.0,272.230,543.931,.005,-,-,-.41,-,-,-,-,,ARC Explore,,.006,+.1,-,-,.006,.005,+19.91,.023,.004,,
AXE,2423.80,178.238,18.989,.016,-,-,-1.60,-,-,-,-,,Archer Explore,,.19,-3,.19,.195,.22,.185,-13.73,.45,.11,,
ARD,238.693,22.885,113.080,.008,-,-,-5.10,-,-,-,-,,Argent Minerals,,.058,+.4,.054,.06,.058,.05,+7.32,.27,.05,,
AVK,105.836,8.668,18.705,.003,-,-,-1.34,-,-,-,-,,Argentina Min,,.075,-.4,.075,.08,.079,.075,-5.15,.195,.073,,
AVKO,-,1.677,5.807,-,-,-,-,-,-,-,-,,  opt mar15,,.02,-,-,-,.02,.02,-.09,.07,.012,,
AXT,257.560,18.373,37.285,.002,-,-,-2.33,-,-,-,-,,Argo Explore,,.022,+.3,.017,.022,.022,.017,+15.70,.07,.017,,
ARE,361.567,38.201,63.969,.010,-,-,-1.62,-,-,-,-,,Argonaut Res,,.04,-,-,-,.041,.04,-.09,.078,.039,,
AGY,71.600,4.969,29.698,.006,-,-,-1.06,-,-,-,-,,Argosy Minerals,,.048,-1.2,-,-,.06,.048,-20.09,.175,.041,,
AHK,42.328,4.477,3.748,.002,-,-,-6.16,-,-,-,-,,Ark Mines,,.09,-,-,-,.09,.09,-.09,.425,.078,,
AJQ,2235.77,48.728,-,.051,-,-,-,-,-,-,-,,Armour Energy,,.23,-.5,.23,.24,.24,.195,-2.22,.50,.195,,
AJQO,72.500,8.803,-,.003,-,-,-,-,-,-,-,,  opt aug14,,.05,-1,-,-,.051,.05,-16.76,.135,.05,,
ARV,2078.28,77.790,189.491,.006,-,-,-.26,-,-,-,-,,Artemis Res,,.012,-.2,.012,.013,.013,.012,-14.38,.038,.01,,
AAJ,-,2.616,4.775,.006,-,-,-.93,-,-,-,-,,Aruma Res,,.07,-,-,-,.07,.07,-.09,.10,.06,,
ATN,4005.00,290.869,375.547,.004,-,-,-.82,-,-,-,-,,Ashburton Min,,.004,-.1,.003,.004,.004,.004,-20.09,.044,.003,,
ATNO,-,15.686,-,-,-,-,-,-,-,-,-,,  opt apr14,,.001,-,-,-,.001,.001,-.09,.002,.001,,
AKM,1817.26,174.987,239.860,.074,-,-,-1.03,-,-,-,-,,Aspire Min,,.12,-1,.115,.12,.135,.11,-7.78,.595,.11,,
ARO,4818.06,520.917,805.109,.003,-,-,-.09,-,-,-,-,,Astro Res,,.001,-.1,.001,.002,.002,.001,-50.09,.006,.001,,
AROOA,-,7.325,-,-,-,-,-,-,-,-,-,,  opt jun14,,.001,-,-,-,.001,.001,-.09,.001,.001,,
AROOB,-,7.118,42.492,-,-,-,-,-,-,-,-,,  opt nov12,,.001,-,-,-,.001,.001,-.09,.002,.001,,
AHN,180.000,6.105,47.233,.007,-,-,-1.44,-,-,-,-,,Athena Res,,.06,-1,.04,.065,.07,.06,-14.38,.123,.035,,
ATI,494.177,22.383,28.268,.073,-,-,21.10,2.2,-,-,-,,Atlantic,,.47,+2,.47,.485,.51,.425,+4.35,1.75,.36,,
ATV,235.000,32.384,66.212,.019,-,-,-.25,-,-,-,-,,Atlantic Gold,,.033,+.2,.028,.033,.033,.026,+6.36,.051,.026,,
ATVCD,-,.533,-,-,-,-,-,-,-,-,-,,  ctg,,.003,-,-,-,.003,.003,-.09,.03,.001,,
AGO,53792.1,1148.88,921.064,1.506,.02,83.3,21.60,7.7,3.00,7.20,1.80,,Atlas Iron,,1.665,-23,1.66,1.675,1.845,1.615,-12.23,4.26,1.615,,
ATU,3089.63,3.090,-,.013,-,-,-,-,-,-,-,,Atrum Coal,,.21,-,.20,.21,.215,.17,-,.215,.17,,
AYA,165.910,4.673,2.613,.011,-,-,-1.75,-,-,-,-,,Attila Res,,.60,-,.60,.65,.63,.55,-.09,.72,.13,,
AYAO,68.750,1.152,.250,.003,-,-,-,-,-,-,-,,  opt jun14,,.30,-5,.23,.40,.35,.30,-14.38,.42,.035,,
ACP,-,.051,.393,.003,-,-,-.36,-,-,-,-,,Audalia Res,,.18,-,-,-,.18,.18,-.09,.26,.10,,
ACPO,-,.010,.040,-,-,-,-,-,-,-,-,,  opt apr14,,.02,-,-,-,.02,.02,-.09,.03,.02,,
AUK,1059.46,34.010,47.363,.008,-,-,-1.34,-,-,-,-,,Augur Res,,.045,-1.5,.04,.05,.055,.045,-25.09,.46,.033,,
AEE,559.015,27.283,111.008,.023,-,-,-1.47,-,-,-,-,,Aura Energy,,.15,-1,.145,.15,.16,.145,-6.34,.332,.12,,
AEEO,1002.24,8.055,-,-,-,-,-,-,-,-,-,,  opt dec14,,.05,+1,-,.048,.05,.045,+24.91,.07,.035,,
AGU,160.000,31.170,221.195,.003,-,-,-.13,-,-,-,-,,Aurium Res,,.01,-.1,.011,.012,.011,.01,-9.18,.042,.01,,
AGUOA,-,10.303,73.201,-,-,-,-,-,-,-,-,,  opt sep12,,.001,-,-,-,.001,.001,-.09,.029,.001,,
ARM,262.500,13.134,63.574,.008,-,-,-4.98,-,-,-,-,,Aurora Minerals,,.08,-.1,.08,.084,.081,.08,-1.33,.19,.078,,
AUT,5016.11,249.586,310.513,1.518,-,-,7.38,46.1,-,-,-,,Aurora Oil & Gas,,3.40,-10,3.38,3.46,3.47,3.27,-2.95,4.26,2.11,,
