ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, August 3, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4243.0 at 2012-08-03T16:48:37. Report at Friday, August 3, 2012. Processed Saturday at 2012-08-04T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDO,2929.42,13.732,10.816,.013,-,-,-.62,-,-,-,-,,3D Oil,,.065,-,.065,.07,.069,.06,-.20,.15,.06,,
DDD,210.952,12.179,14.594,.007,-,-,-.44,-,-,-,-,,3D Res,,.031,+.8,.031,.037,.031,.025,+34.58,.055,.023,,
ARH,249.400,11.625,16.723,.061,-,-,.47,26.6,-,-,-,,A'asian Resources,,.125,-1.5,.115,.125,.14,.125,-10.92,.335,.105,,
AYC,10.334,2.414,-,.016,-,-,-,-,-,-,-,,A1 Gold,,.30,+2,-,-,.30,.30,+6.94,.30,.20,,
ABU,20851.2,1140.72,2065.70,.123,-,-,-.43,-,-,-,-,,ABM Res,,.038,-.2,.038,.039,.04,.038,-5.20,.082,.035,,
AJC,4011.73,196.596,1289.50,.020,-,-,-1.14,-,-,-,-,,Acacia Coal,,.022,-.3,.022,.024,.024,.021,-12.20,.094,.021,,
ACB,373.615,42.048,121.723,.034,-,-,-2.06,-,-,-,-,,A-Cap Res,,.15,+1,.15,.155,.155,.15,+6.94,.385,.115,,
ACS,-,90.964,19.039,.045,-,-,-.42,-,-,-,-,,Accent Res,,.25,-,-,-,.25,.25,-.20,.405,.215,,
ACN,2322.92,89.304,111.306,.056,-,-,-4.59,-,-,-,-,,Acer Energy,,.12,-,.12,.125,.13,.12,-.20,.245,.105,,
AIV,276.458,17.152,89.371,.003,-,-,-.78,-,-,-,-,,ActiveX,,.018,-.4,.018,.02,.021,.018,-18.39,.055,.016,,
ADD,738.323,24.467,155.171,.006,.01,2.0,-.51,-,-,-,-,,Adavale Resources,,.02,+.6,.014,.02,.02,.014,+42.65,.032,.01,,
ADN,475.000,66.784,26.089,.007,-,-,-.95,-,-,-,-,,Adelaide Res,,.048,+.1,.045,.048,.048,.045,+1.92,.115,.045,,
AAO,30.734,2.637,18.359,.007,.10,.9,-9.92,-,-,-,-,,Adept Solutions,,.09,+.5,.08,.10,.09,.085,+5.68,.637,.083,,
AAOO,-,-,4.089,-,-,-,-,-,-,-,-,,  opt apr13,,-,-,-,-,.066,.066,-.20,.066,.066,,
ABY,1916.87,56.379,80.655,.128,-,-,8.48,4.8,5.00,1.70,12.20,,Aditya Birla,,.41,-2,.405,.41,.445,.41,-4.85,1.32,.41,,
ADY,740.205,62.365,595.755,.032,-,-,-.44,-,-,-,-,,Admiralty Res,,.044,-.1,-,-,.045,.044,-2.43,.071,.043,,
