ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, March 1, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 5100.9 at 2013-03-01T16:53:05. Report at Friday, March 1, 2013. Processed Monday at 2013-03-04T12:05:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDO,94.560,1.079,3.049,.024,-,-,-3.38,-,-,-,-,,3D Oil,,.10,+1,.072,.10,.10,.083,+9.84,.14,.06,,
DDD,56.000,2.531,5.293,.008,-,-,-.34,-,-,-,-,,3D Res,,.035,+.3,.03,.035,.035,.032,+8.10,.046,.023,,
ARH,132.110,1.625,1.844,.033,-,-,-1.26,-,-,-,-,,A'asian Resources,,.068,-1.2,.067,.07,.075,.066,-16.27,.20,.06,,
AYC,2.200,.308,-,.014,-,-,-,-,-,-,-,,A1 Gold,,.24,-2,.24,.24,.26,.24,-8.97,.30,.20,,
ABU,9100.72,247.888,479.918,.131,-,-,-.43,-,-,-,-,,ABM Res,,.04,+.1,.039,.04,.041,.039,+1.29,.065,.035,,
AJC,3102.28,25.357,68.563,.016,-,-,-.29,-,-,-,-,,Acacia Coal,,.018,-.1,.018,.019,.019,.017,-6.54,.056,.013,,
ACB,838.676,5.627,12.838,.026,-,-,-2.00,-,-,-,-,,A-Cap Res,,.115,-.5,.115,.12,.12,.11,-5.44,.275,.10,,
ACS,65.970,.234,85.722,.033,-,-,-.91,-,-,-,-,,Accent Res,,.18,-2,.18,.20,.20,.18,-11.27,.335,.18,,
AIV,1253.00,8.085,5.967,.003,-,-,-.48,-,-,-,-,,ActiveX,,.014,-.1,.012,.014,.015,.011,-7.94,.025,.011,,
ADD,710.993,2.189,10.887,.005,-,-,-.58,-,-,-,-,,Adavale Resources,,.015,-.2,.015,.02,.019,.015,-13.04,.021,.012,,
ADN,144.435,5.270,16.797,.008,-,-,-.68,-,-,-,-,,Adelaide Res,,.045,-.2,.04,.045,.047,.045,-5.53,.115,.035,,
ABY,759.020,13.392,16.440,.163,1.61,.32,1.34,38.8,5.00,.27,9.62,,Aditya Birla,,.52,+.5,.515,.52,.535,.50,-.30,.805,.385,,
ADY,870.492,11.914,22.417,.025,-,-,-2.45,-,-,-,-,,Admiralty Res,,.034,-,.033,.037,.039,.034,-1.27,.052,.031,,
AVD,41886.1,163.683,2.551,.001,-,-,-.60,-,-,-,-,,Advance Energy,,.001,-.1,.001,.002,.001,.001,-51.27,.007,.001,,
