ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, May 17, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 5159.8 at 2013-05-17T16:40:36. Report at Friday, May 17, 2013. Processed Saturday at 2013-05-18T23:15:16+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDO,1047.00,8.315,6.976,.026,-,-,-3.61,-,-,-,-,,3D Oil,,.11,-.5,.096,.11,.12,.11,-3.75,.14,.06,,
DDD,540.472,5.534,8.940,.004,-,-,-.10,-,-,-,-,,3D Res,,.015,-.1,.014,.015,.019,.015,-5.65,.045,.015,,
ARH,173.174,5.428,7.959,.019,-,-,-2.33,-,-,-,-,,A'asian Resources,,.038,-.5,.038,.048,.046,.038,-11.03,.16,.026,,
AYC,141.800,1.357,-,.012,-,-,-.47,-,-,-,-,,A1 Gold,,.21,+1,.185,.21,.22,.17,+5.60,.30,.17,,
ABU,19857.5,560.685,911.701,.092,-,-,-.43,-,-,-,-,,ABM Res,,.028,-.5,.028,.029,.032,.028,-14.55,.065,.028,,
AJC,2335.00,63.767,154.092,.010,-,-,-.42,-,-,-,-,,Acacia Coal,,.011,-,.011,.012,.012,.011,+.60,.036,.011,,
ACB,797.729,15.100,31.140,.016,-,-,-1.08,-,-,-,-,,A-Cap Res,,.06,-.1,.059,.06,.062,.059,-1.04,.175,.059,,
ACS,11.900,.622,90.106,.029,-,-,-.86,-,-,-,-,,Accent Res,,.16,+1,.17,.18,.16,.15,+7.27,.335,.15,,
AIV,7881.85,62.639,9.864,.004,-,-,-.48,-,-,-,-,,ActiveX,,.015,-.1,.015,.016,.015,.015,-5.65,.022,.010,,
ADD,60.000,4.749,18.174,.003,-,-,-1.58,-,-,-,-,,Adavale Resources,,.009,-,.007,.009,.009,.009,+.60,.021,.004,,
