ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, June 28, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 4775.4 at 2013-06-28T16:44:35. Report at Friday, June 28, 2013. Processed Saturday at 2013-06-29T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDO,167.066,12.118,7.508,.021,-,-,-3.61,-,-,-,-,,3D Oil,,.087,-.8,.081,.10,.09,.085,-9.51,.14,.06,,
DDD,-,6.464,9.834,.007,-,-,-.10,-,-,-,-,,3D Res,,.03,-,.015,.029,.03,.03,-1.09,.045,.014,,
ARH,1755.72,9.069,9.805,.014,-,-,-2.33,-,-,-,-,,A'asian Resources,,.028,-.1,.027,.028,.03,.021,-4.54,.14,.021,,
AYC,60.001,1.617,1.876,.007,-,-,-.47,-,-,-,-,,A1 Gold,,.125,-1.5,.14,.15,.145,.13,-11.44,.30,.13,,
ABU,23362.9,716.150,1024.73,.079,-,-,-.43,-,-,-,-,,ABM Res,,.024,+.1,.023,.025,.027,.022,+3.25,.065,.021,,
AJC,4638.19,77.629,180.971,.008,-,-,-.42,-,-,-,-,,Acacia Coal,,.009,-,.008,.009,.009,.007,-1.09,.032,.007,,
ACB,1070.14,20.691,36.676,.012,-,-,-1.08,-,-,-,-,,A-Cap Res,,.046,-,.046,.048,.046,.045,-1.09,.175,.045,,
ACS,48.700,.822,90.482,.041,-,-,-.86,-,-,-,-,,Accent Res,,.225,+1.5,.20,.225,.225,.20,+6.05,.335,.15,,
AIV,12651.6,134.231,13.849,.005,-,-,-.48,-,-,-,-,,ActiveX,,.015,-,.015,.016,.015,.015,-1.09,.022,.010,,
ADD,198.958,8.680,23.004,-,-,-,-1.58,-,-,-,-,,Adavale Resources,,.002,-.2,.002,.004,.004,.002,-51.09,.021,.002,,
ADN,2002.01,247.122,64.593,.020,-,-,-3.84,-,-,-,-,,Adelaide Res,,.096,+.8,.093,.097,.10,.08,+8.00,.25,.035,,
