ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Thursday, April 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5515.5 at 2014-04-24T16:40:36. Report at Thursday, April 24, 2014. Processed Saturday at 2014-04-26T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDO,-,4.668,4.215,.021,-,-,-.56,-,-,-,-,,3D Oil,,.09,-,.095,.099,.09,.09,-1.30,.14,.075,,
DDD,-,3.422,4.083,.005,-,-,-.24,-,-,-,-,,3D Res,,.019,-,.018,.02,.019,.019,-1.30,.030,.012,,
ARH,84.353,3.643,4.728,.015,-,-,-4.20,-,-,-,-,,A'asian Resources,,.03,-.1,.03,.033,.031,.03,-4.52,.16,.021,,
AYC,-,.785,.977,.010,-,-,-.82,-,-,-,-,,A1 Gold,,.10,-,.082,.11,.10,.10,-1.30,.215,.085,,
ABU,4409.52,317.043,475.252,.087,-,-,-.22,-,-,-,-,,ABM Res,,.023,-,.022,.023,.024,.023,-1.30,.04,.021,,
AJC,2059.80,30.891,53.954,.009,-,-,-.19,-,-,-,-,,Acacia Coal,,.01,+.1,.01,.011,.01,.009,+9.81,.016,.007,,
ACB,625.542,10.438,13.546,.014,-,-,-1.33,-,-,-,-,,A-Cap Res,,.048,-.2,.048,.05,.051,.048,-5.30,.086,.042,,
ACS,-,.400,.563,.034,-,-,-1.44,-,-,-,-,,Accent Res,,.19,-,.11,.21,.19,.19,-1.30,.23,.14,,
AIV,246.800,11.177,34.441,.011,-,-,-1.23,-,-,-,-,,ActiveX,,.021,+.1,.021,.03,.021,.02,+3.70,.021,.01,,
ADD,544.810,1.930,4.288,.002,-,-,-.26,-,-,-,-,,Adavale Resources,,.005,+.2,.003,.005,.005,.003,+65.37,.009,.002,,
ADN,553.959,22.817,10.703,.011,-,-,-.49,-,-,-,-,,Adelaide Res,,.048,-.2,.048,.053,.051,.048,-5.30,.25,.042,,
ADY,618.512,27.514,17.044,.009,-,-,-2.92,-,-,-,-,,Admiralty Res,,.013,-,.013,.014,.013,.012,-1.30,.035,.012,,
AVD,-,-,193.171,.001,-,-,-.32,-,-,-,-,,Advance Energy,,.001,-,-,.001,.001,.001,-1.30,.001,.001,,
ADX,805.000,13.805,78.381,.005,-,-,-1.33,-,-,-,-,,ADX Energy,,.01,-.1,.01,.011,.011,.01,-10.39,.022,.01,,
AQR,54.712,1.464,14.363,.025,-,-,-.80,-,-,-,-,,AEON Metals,,.14,-1,.125,.15,.145,.14,-7.96,.27,.105,,
ACJ,4482.08,77.195,39.097,.004,-,-,-.14,-,-,-,-,,African Chrome Flds,,.003,-,.002,.003,.003,.003,-1.30,.009,.001,,
AFR,276.201,14.204,35.109,.038,-,-,-3.35,-,-,-,-,,African Energy Res,,.085,+.2,.083,.089,.089,.083,+1.11,.175,.063,,
AGR,32.267,12.957,6.496,.012,-,-,-1.76,-,-,-,-,,Aguia Res,,.058,-.6,.058,.062,.058,.058,-10.67,.09,.045,,
AQG,1162.59,62.944,66.071,.242,-,-,-173.22,-,2.20,-,.83,,Alacer Gold,,2.65,+3,2.60,2.66,2.68,2.47,-.15,3.78,1.94,,
AUQ,2553.23,52.181,39.353,.024,-,-,-.67,-,-,-,-,,Alara Res,,.10,-,.10,.105,.14,.097,-1.30,.14,.035,,
ALY,115.000,13.727,12.784,.005,-,-,-1.48,-,-,-,-,,Alchemy Resources,,.029,+.2,.025,.038,.038,.027,+6.11,.12,.021,,
AWD,350.000,478.617,-,.002,-,-,-.15,-,-,-,-,,Aleator Energy,,.001,-,.001,.001,.001,.001,-1.30,.013,.001,,
AWDO,-,.250,-,.001,-,-,-,-,-,-,-,,  opt jan15,,.001,-,-,.001,.001,.001,-1.30,.004,.001,,
AQI,50.000,.991,1.293,.005,-,-,-6.70,-,-,-,-,,Alicanto Min,,.21,-2,.18,.23,.23,.21,-9.99,.33,.145,,
ALK,334.095,40.504,48.143,.121,-,-,20.27,1.6,-,-,-,,Alkane Res,,.325,+.5,.31,.33,.325,.305,+.26,.585,.245,,
AHQ,-,1.285,2.006,-,-,-,-.95,-,-,-,-,,Allegiance Coal,,.011,-,.011,.024,.011,.011,-1.30,.041,.011,,
AGS,1015.96,38.198,13.092,.078,-,-,-2.11,-,-,-,-,,Alliance Res,,.23,-2.5,.23,.24,.255,.23,-11.10,.27,.093,,
AGE,215.000,12.839,6.422,.010,-,-,-.68,-,-,-,-,,Alligator Energy,,.049,-.1,.04,.05,.049,.047,-3.30,.085,.023,,
AYR,2280.00,123.804,80.749,.003,-,-,-.37,-,-,-,-,,Alloy Res,,.006,+.1,.005,.006,.006,.005,+18.70,.013,.003,,
AYM,161.250,.621,.759,.003,.04,.15,-.28,-,-,-,-,,Altuis Mining,,.006,-,.006,.018,.008,.006,-1.30,.018,.005,,
AOH,1570.14,37.481,54.871,.082,-,-,2.40,6.5,-,-,-,,Altona Min,,.155,-1.5,.15,.155,.162,.155,-10.12,.21,.115,,
AJM,464.924,28.479,11.670,.079,-,-,-.40,-,-,-,-,,Altura Min,,.175,-.5,.175,.18,.18,.17,-4.08,.245,.076,,
AWC,30539.5,1117.09,1234.56,3.845,1.02,1.34,.02,6850.0,-,-,-,,Alumina,,1.37,-.5,1.36,1.375,1.405,1.365,-1.66,1.405,.89,,
AQO,1467.02,19.076,37.730,.026,-,-,-.50,-,-,-,-,,Ambassador Oil & Gas,,.185,-,.18,.19,.185,.175,-1.30,.24,.13,,
AXZ,5.800,.277,1.423,.100,-,-,-.03,-,-,-,-,,Amex Res,,1.20,-,1.15,1.20,1.20,1.20,-1.30,1.35,.92,,
AEK,10.241,6.539,3.996,.019,-,-,-.58,-,-,-,-,,Anatolia Energy,,.08,-,.08,.086,.08,.08,-1.30,.10,.032,,
AEKO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun17,,.002,-,.01,-,.002,.002,-1.30,.002,.002,,
AHR,-,-,-,.010,-,-,-2.51,-,-,-,-,,Anchor Res,,.19,-,.03,.19,.19,.19,-1.30,.19,.19,,
ATM,-,-,-,.001,-,-,394.49,.3,2.11,186.96,1.92,,Aneka Tambang,,1.10,-,1.12,-,1.079,1.079,-1.30,1.25,1.079,,
AAR,-,4.499,82.332,.001,-,-,-1.52,-,-,-,-,,Anglo Aust Res,†,.014,-,.014,.018,.014,.014,-1.30,.06,.004,,
AGG,10.175,.410,7.229,.354,8.89,.45,-401.41,-,1.81,-,.46,,Anglogold Ashanti,,3.97,+10,3.50,4.00,3.98,3.65,+1.29,4.31,2.49,,
AWV,650.000,13.024,19.153,.008,-,-,-.81,-,-,-,-,,Anova Metals,,.042,+.7,.038,.042,.042,.04,+18.70,.05,.019,,
AZZ,651.012,49.076,35.792,.103,-,-,8.90,4.6,-,-,-,,Antares Energy,,.405,-1,.395,.405,.415,.395,-3.71,.58,.27,,
AZY,525.033,13.439,184.474,.004,-,-,-.78,-,-,-,-,,Antipa Min,,.019,-.1,.019,.02,.021,.019,-6.30,.099,.019,,
AZYOA,353.334,1.957,39.953,-,-,-,-,-,-,-,-,,  opt dec14,,.002,-,.002,.004,.002,.002,-1.30,.036,.002,,
AAL,-,.085,.316,-,-,-,-.27,-,-,-,-,,APAC Coal,,.003,-,.003,.01,.003,.003,-1.30,.004,.002,,
AQQ,188.000,6.829,212.957,.005,-,-,.06,35.0,-,-,-,,Aphrodite Gold,,.021,-,.018,.02,.021,.018,-1.30,.044,.017,,
AOP,715.540,4.725,2.072,.003,-,-,-2.05,-,-,-,-,,Apollo Cons,,.065,+.3,.066,.085,.08,.062,+3.54,.08,.019,,
AON,1371.82,50.201,64.942,.007,-,-,-4.13,-,-,-,-,,Apollo Minerals,,.016,-,.015,.016,.017,.015,-1.30,.048,.012,,
AQP,4349.79,30.052,77.830,.195,-,-,-34.48,-,-,-,-,,Aquarius Platinum,*,.40,-.4,.395,.41,.50,.385,-2.30,.527,.304,,
AQPR,1625.84,1.626,-,.127,-,-,-,-,-,-,-,,  rts07mayd,,.13,-,.12,.135,.16,.05,-,.16,.05,,
AQA,1035.58,31.267,56.894,1.083,-,-,21.86,12.0,-,-,-,,Aquila Res,,2.63,-1,2.56,2.72,2.74,2.58,-1.68,2.895,1.68,,
ARU,346.932,19.027,38.392,.034,-,-,-3.28,-,-,-,-,,Arafura Resources,,.076,+.5,.072,.076,.076,.072,+5.74,.135,.062,,
ARX,131.200,30.566,84.804,.005,-,-,-.16,-,-,-,-,,ARC Explore,,.005,-.1,.005,.006,.006,.005,-17.96,.009,.002,,
AXE,781.083,11.959,24.131,.015,-,-,-.64,-,-,-,-,,Archer Explore,,.175,+.5,.17,.175,.18,.165,+1.64,.23,.11,,
ARD,322.520,8.463,10.420,.004,-,-,-.79,-,-,-,-,,Argent Minerals,,.025,-,.023,.03,.025,.023,-1.30,.072,.022,,
ARDO,500.000,1.628,-,-,-,-,-,-,-,-,-,,  opt mar16,,.009,-.1,.009,-,.01,.009,-11.30,.015,.009,,
AVK,426.666,3.438,.977,.002,-,-,-7.42,-,-,-,-,,Argentina Min,,.011,-.4,.011,.015,.013,.011,-25.67,.032,.008,,
AVKO,-,.070,.294,-,-,-,-,-,-,-,-,,  opt mar15,,.001,-,-,-,.001,.001,-1.30,.002,.001,,
AXT,185.000,1.425,13.029,.001,-,-,-.91,-,-,-,-,,Argo Explore,,.011,+.1,.011,.02,.012,.01,+8.70,.031,.01,,
ARE,13.205,15.495,13.808,.007,-,-,-3.69,-,-,-,-,,Argonaut Res,,.021,-.1,.02,.022,.021,.021,-5.84,.045,.018,,
AGY,-,.070,3.098,.007,-,-,-1.31,-,-,-,-,,Argosy Minerals,,.045,-,.001,.029,.016,.016,-1.30,.053,.007,,
AHK,-,-,1.536,.003,-,-,-5.72,-,-,-,-,,Ark Mines,,.095,-,.002,.069,.095,.095,-1.30,.13,.05,,
AJQ,737.929,11.966,35.859,.036,-,-,1.29,12.4,-,-,-,,Armour Energy,,.16,-1,.155,.17,.165,.155,-7.18,.375,.15,,
AJQO,20.000,1.647,4.143,-,-,-,-,-,-,-,-,,  opt aug14,,.006,-,.004,.011,.006,.006,-1.30,.10,.003,,
