ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, November 14, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5433.8 at 2014-11-14T16:38:06. Report at Friday, November 14, 2014. Processed Saturday at 2014-11-15T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
1PG,763.531,718.805,5.056,.029,-,-,-.20,-,-,-,-,,1-Page,†,.42,-.5,.45,.425,.42,.385,+.42,.43,.003,,
TDO,1001.05,11.075,23.654,.019,-,-,-.54,-,-,-,-,,3D Oil,,.081,-.8,.082,.089,.096,.081,-7.39,.135,.064,,
DDD,37.500,15.558,9.110,.002,-,-,.25,2.8,-,-,-,,3D Res,,.007,-.1,.007,.009,.008,.007,-10.90,.029,.007,,
ARH,783.055,13.605,16.008,.008,-,-,-1.30,-,-,-,-,,A'asian Resources,,.016,+.1,.013,.016,.017,.015,+8.27,.07,.015,,
AYC,2606.67,4.089,2.188,.008,-,-,-.61,-,-,-,-,,A1 Gold,,.03,-.5,.023,.031,.031,.026,-12.69,.13,.026,,
AYCO,535.750,.536,-,-,-,-,-,-,-,-,-,,  opt nov19,,.008,-,.006,.015,.01,.008,-,.01,.008,,
ABU,581.105,481.326,1405.93,.075,-,-,-53.55,-,-,-,-,,ABM Res,†,.275,-.5,.27,.29,.295,.265,-.19,.48,.24,,
AJC,2779.69,115.804,138.144,.003,-,-,-.68,-,-,-,-,,Acacia Coal,,.003,-.2,.003,.004,.004,.003,-38.40,.015,.003,,
ACB,3922.22,28.104,32.102,.023,-,-,-.79,-,-,-,-,,A-Cap Res,,.06,+1.4,.058,.063,.065,.052,+32.03,.08,.041,,
ACS,-,1.171,1.167,.025,-,-,-1.47,-,-,-,-,,Accent Res,,.14,-,.14,.20,.14,.14,+1.60,.23,.14,,
AIV,100.000,22.482,144.516,.012,-,-,-.21,-,-,-,-,,ActiveX,,.02,+.6,.014,.02,.02,.014,+44.46,.025,.011,,
ADD,-,8.860,10.670,-,-,-,-.33,-,-,-,-,,Adavale Resources,,.003,-,.002,.004,.003,.003,+1.60,.007,.001,,
ADN,397.562,50.937,271.198,.007,-,-,-2.96,-,-,-,-,,Adelaide Res,,.027,-,.023,.027,.027,.025,+1.60,.073,.025,,
ABY,468.523,31.813,69.589,.063,1.64,.12,-.07,-,-,-,-,,Aditya Birla,,.20,+1,.20,.205,.215,.19,+6.86,.38,.15,,
ADY,1996.60,108.864,41.989,.025,-,-,-.43,-,-,-,-,,Admiralty Res,,.033,-,.032,.033,.033,.03,+1.60,.034,.011,,
ADX,2428.15,64.682,118.389,.006,-,-,-.60,-,-,-,-,,ADX Energy,,.009,-,.009,.01,.01,.009,+1.60,.018,.008,,
AQR,255.306,25.506,20.675,.030,-,-,-2.09,-,-,-,-,,AEON Metals,,.10,-.5,.105,.12,.115,.10,-3.16,.24,.10,,
ACJ,250.000,274.545,172.468,.005,-,-,-.12,-,-,-,-,,African Chrome Flds,,.004,-,.004,.005,.004,.004,+1.60,.009,.001,,
AFR,503.812,49.315,71.524,.037,-,-,-1.65,-,-,-,-,,African Energy Res,,.067,-.8,.067,.075,.075,.065,-9.07,.139,.053,,
AGR,375.000,30.564,62.182,.009,-,-,-7.57,-,-,-,-,,Aguia Res,,.037,-.1,.036,.039,.039,.035,-1.03,.075,.035,,
AQG,4069.52,134.631,180.089,.193,-,-,-5.88,-,2.20,-,1.06,,Alacer Gold,,2.08,+15.5,2.06,2.13,2.22,1.965,+9.65,3.63,1.815,,
AUQ,3021.13,116.243,107.523,.006,-,-,.30,8.0,-,-,-,,Alara Res,,.024,-,.022,.024,.024,.02,+1.60,.14,.02,,
ALY,216.667,29.755,22.620,.003,-,-,-1.00,-,-,-,-,,Alchemy Resources,,.015,-,.015,.02,.016,.015,+1.60,.12,.015,,
AWD,-,1139.69,930.882,.002,-,-,-.11,-,-,-,-,,Aleator Energy,,.001,-,-,.001,.001,.001,+1.60,.006,.001,,
AWDO,-,.250,360.507,.001,-,-,-,-,-,-,-,,  opt jan15,,.001,-,-,.001,.001,.001,+1.60,.002,.001,,
AQI,-,3.557,3.038,.004,-,-,-6.70,-,-,-,-,,Alicanto Min,,.09,-,.06,.11,.09,.09,+1.60,.33,.09,,
ALK,810.515,113.568,111.971,.085,-,-,-1.70,-,-,-,-,,Alkane Res,,.205,-1,.205,.21,.225,.20,-3.05,.47,.17,,
AHQ,30.000,3.733,5.043,.004,-,-,-.86,-,-,-,-,,Allegiance Coal,,.023,-.2,.01,.023,.023,.023,-6.40,.033,.007,,
AGS,998.430,74.207,50.388,.051,-,-,-4.98,-,-,-,-,,Alliance Res,,.15,-1.5,.145,.155,.17,.14,-7.49,.27,.11,,
AGE,898.000,37.747,43.746,.010,-,-,-.47,-,-,-,-,,Alligator Energy,,.033,+.5,.033,.034,.036,.028,+19.46,.069,.028,,
AYR,1089.00,208.667,333.175,.004,-,-,-.12,-,-,-,-,,Alloy Res,,.009,+.2,.007,.009,.009,.007,+30.17,.011,.005,,
ATC,1522.90,23.233,31.425,.011,-,-,-3.40,-,-,-,-,,Altech Chem,,.10,+1.2,.096,.10,.105,.072,+15.24,.11,.07,,
ATCO,782.900,1.802,-,-,-,-,-,-,-,-,-,,  opt may15,,.012,-.4,.007,.009,.016,.002,-23.40,.02,.002,,
AOH,637.308,128.952,139.115,.123,-,-,2.40,9.6,-,-,-,,Altona Min,,.23,-1,.225,.235,.24,.23,-2.57,.245,.14,,
AJM,1495.38,55.873,39.022,.036,-,-,-1.54,-,-,-,-,,Altura Min,,.08,-.5,.08,.09,.094,.08,-4.28,.245,.08,,
AWC,63146.2,2951.87,2836.03,4.841,1.00,1.73,-1.68,-,-,-,-,,Alumina,,1.725,-4.5,1.72,1.73,1.795,1.70,-.94,1.795,.935,,
AXZ,-,.653,2.582,.081,-,-,-17.05,-,-,-,-,,Amex Res,,.90,-,.70,.89,.90,.90,+1.60,1.35,.79,,
AEK,3748.85,40.269,32.397,.024,-,-,-1.00,-,-,-,-,,Anatolia Energy,,.078,+1.6,.074,.08,.08,.06,+27.41,.105,.06,,
AEKO,-,-,.250,-,-,-,-,-,-,-,-,,  opt jun17,,.006,-,.002,-,.006,.006,+1.60,.006,.002,,
AHR,-,-,.023,.010,-,-,-2.05,-,-,-,-,,Anchor Res,,.19,-,.05,.19,.19,.19,+1.60,.19,.19,,
ATM,-,.005,.002,.001,-,-,-3998.73,-,.38,-,.35,,Aneka Tambang,,1.10,-,-,-,1.10,1.10,+1.60,1.10,1.075,,
