ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, March 13, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5788.0 at 2015-03-13T17:17:36. Report at Friday, March 13, 2015. Processed Saturday at 2015-03-14T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
1PG,3479.34,29.521,125.837,.118,-,-,-.20,-,-,-,-,,1-Page,†,1.73,+8,1.725,1.74,1.83,1.585,+6.22,1.83,.006,,
TDO,800.000,12.269,3.773,.011,-,-,-.54,-,-,-,-,,3D Oil,,.047,-.1,.048,.051,.048,.047,-.71,.10,.044,,
DDD,202.396,1.223,2.474,.001,-,-,.28,1.4,-,-,-,,3D Res,,.004,-.2,.004,.008,.006,.004,-31.96,.028,.004,,
88E,4475.40,275.443,8.467,.010,-,-,-6.03,-,-,-,-,,88 Energy,,.009,-.1,.009,.01,.01,.009,-8.63,.325,.006,,
88EO,15500.0,34.195,-,-,-,-,-,-,-,-,-,,  opt mar18,,.002,-.1,.002,.003,.003,.002,-31.96,.003,.002,,
ARH,20.844,1.685,2.246,.005,-,-,-1.30,-,-,-,-,,A'asian Resources,,.01,-,.01,.013,.01,.01,+1.37,.035,.01,,
AYC,433.252,2.328,.444,.009,-,-,-.61,-,-,-,-,,A1 Gold,,.031,-.2,.03,.033,.033,.031,-4.69,.098,.025,,
AYCO,1243.88,3.358,-,.002,-,-,-,-,-,-,-,,  opt nov19,,.012,-.4,.011,.012,.015,.012,-23.63,.016,.004,,
ABL,14.421,.330,30.052,.003,-,-,-5.60,-,-,-,-,,Abilene Oil & Gas,†,.035,-,.009,.30,.015,.015,+1.37,.054,.001,,
ABU,1410.91,21.700,246.921,.069,-,-,-55.10,-,-,-,-,,ABM Res,†,.23,+.5,.22,.23,.23,.215,+3.60,.449,.209,,
AJC,2200.00,41.007,14.515,.003,-,-,-.02,-,-,-,-,,Acacia Coal,,.003,+.1,.002,.003,.003,.002,+51.37,.011,.002,,
ACB,220.900,3.141,8.118,.015,-,-,-.79,-,-,-,-,,A-Cap Res,,.04,-.3,.039,.045,.043,.04,-5.60,.074,.04,,
ACS,-,.072,.304,.024,-,-,-1.47,-,-,-,-,,Accent Resources,,.13,-,.13,-,.13,.13,+1.37,.22,.13,,
AIV,352.000,23.838,5.364,.019,-,-,-.16,-,-,-,-,,ActiveX,,.03,-,.02,.03,.031,.029,+1.37,.031,.012,,
ADD,39.841,.293,.905,-,-,-,-6.60,-,-,-,-,,Adavale Resources,†,.025,-,.025,.026,.025,.025,+1.37,.10,.002,,
ADN,502.000,3.760,18.392,.008,-,-,-2.96,-,-,-,-,,Adelaide Resources,,.026,-.1,.026,.028,.028,.026,-2.33,.058,.023,,
ADNO,-,-,-,-,-,-,-,-,-,-,-,,  opt sep16,,.005,-,.005,.009,.005,.005,+1.37,.009,.005,,
ABY,5026.95,10.578,5.333,.056,1.07,.17,-53.74,-,-,-,-,,Aditya Birla,,.18,+.5,.18,.185,.185,.175,+4.23,.315,.15,,
ADY,2080.61,45.491,19.999,.022,-,-,-.43,-,-,-,-,,Admiralty Res,,.029,-,.029,.031,.03,.029,+1.37,.037,.011,,
ADX,10800.0,25.805,8.415,.003,-,-,-.60,-,-,-,-,,ADX Energy,,.004,+.1,.003,.004,.005,.003,+34.71,.014,.003,,
AQR,327.944,3.500,.586,.026,-,-,-2.09,-,-,-,-,,AEON Metals,,.085,-.1,.07,.09,.09,.068,+.21,.24,.068,,
AFR,2728.50,16.156,7.520,.044,-,-,-1.65,-,-,-,-,,African Energy Res,,.071,-.1,.071,.073,.073,.069,-.02,.106,.051,,
AMN,-,.503,.607,.011,-,-,-.73,-,-,-,-,,Agrimin,,.13,-,.105,.135,.13,.13,+1.37,.20,.065,,
AMNOA,-,1.432,-,-,-,-,-,-,-,-,-,,  opt dec15,,.06,-,.06,-,.06,.06,+1.37,.095,.03,,
AGR,680.000,6.216,10.134,.009,-,-,-7.57,-,-,-,-,,Aguia Res,,.035,-,.03,.035,.035,.025,+1.37,.064,.025,,
AQG,1419.39,18.787,41.240,.182,-,-,28.04,8.9,2.20,12.75,.88,,Alacer Gold,,2.50,-25,2.46,2.53,2.61,2.42,-7.72,3.63,1.815,,
AUQ,345.000,53.336,20.599,.002,-,-,-.45,-,-,-,-,,Alara Res,,.01,-.1,.01,.011,.011,.01,-7.72,.14,.007,,
ALY,823.490,7.912,10.385,.003,-,-,-1.00,-,-,-,-,,Alchemy Resources,,.017,-.2,.017,.022,.019,.016,-9.15,.038,.013,,
AWD,2109.27,17.881,72.173,.002,-,-,-1.65,-,-,-,-,,Aleator Energy,†,.004,+.1,.004,.005,.004,.004,+34.71,.03,.003,,
AQI,-,.768,.715,.003,-,-,-7.00,-,-,-,-,,Alicanto Min,,.06,-,.05,.07,.06,.06,+1.37,.285,.06,,
ALK,1076.57,27.708,22.455,.137,-,-,-2.00,-,-,-,-,,Alkane Res,,.33,-4,.33,.34,.37,.33,-9.44,.405,.17,,
AHQ,-,.031,.265,.004,-,-,-.86,-,-,-,-,,Allegiance Coal,,.023,-,.008,.018,.023,.023,+1.37,.028,.007,,
AGS,853.152,19.525,28.694,.030,-,-,-4.98,-,-,-,-,,Alliance Res,,.075,-1.8,.075,.079,.092,.075,-17.98,.27,.058,,
AGE,1507.96,11.075,10.263,.012,-,-,-.47,-,-,-,-,,Alligator Energy,,.038,+.2,.036,.038,.039,.035,+6.93,.058,.021,,
AYR,503.528,10.891,106.467,.003,-,-,-.12,-,-,-,-,,Alloy Res,,.007,-,.006,.007,.007,.007,+1.37,.011,.005,,
ATC,124.998,2.033,2.527,.008,-,-,-3.40,-,-,-,-,,Altech Chemicals,,.07,+.5,.06,.078,.07,.07,+9.07,.105,.06,,
ATCO,-,.600,-,-,-,-,-,-,-,-,-,,  opt may15,,.001,-,.001,.002,.001,.001,+1.37,.02,.001,,
AOH,1211.85,38.588,28.838,.056,.27,.39,6.05,1.7,-,-,-,,Altona Mining,,.105,-,.10,.105,.105,.099,+1.37,.12,.06,,
AJM,534.910,7.151,25.218,.014,-,-,-6.99,-,-,-,-,,Altura Mining,,.029,-.1,.027,.034,.033,.027,-1.96,.22,.024,,
AWC,83232.1,730.159,706.408,4.855,.94,1.84,-4.27,-,2.02,-,1.17,f,Alumina,,1.73,-4,1.72,1.73,1.785,1.68,-.89,2.10,1.135,,
AXZ,25.894,.104,.251,.060,-,-,-17.05,-,-,-,-,,Amex Resources,,.64,+4,.51,.64,.64,.60,+8.04,1.30,.60,,
AEK,1376.79,15.450,3.105,.020,-,-,-1.00,-,-,-,-,,Anatolia Energy,,.065,-,.065,.069,.067,.061,+1.37,.105,.055,,
AEKO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun17,,.006,-,.002,-,.006,.006,+1.37,.006,.002,,
AHR,7.834,.019,-,.004,-,-,-1.96,-,-,-,-,,Anchor Res,,.08,-3,.08,.195,.11,.08,-25.90,.19,.08,,
ATM,-,-,-,.001,.12,9.17,-851.35,-,.38,-,.35,,Aneka Tambang,,1.10,-,.95,-,1.10,1.10,+1.37,1.10,1.075,,
AAR,-,2.832,2.906,.002,-,-,-.67,-,-,-,-,,Anglo Aust Res,,.012,-,.008,.011,.012,.012,+1.37,.016,.007,,
AGG,13.112,.174,.341,.241,8.89,.30,-401.41,-,-,-,-,,Anglogold Ashanti,,2.70,-8,2.08,2.70,2.80,2.70,-1.50,4.25,1.88,,
AB1,63.328,1.798,3.312,.010,-,-,-13.45,-,-,-,-,,Animoca Brands Corp,†,.225,+2.5,.20,.225,.245,.20,+13.87,.338,.013,,
AWV,432.639,14.848,9.817,.014,-,-,-1.61,-,-,-,-,,Anova Metals,,.045,-.6,.045,.046,.051,.045,-10.39,.06,.02,,
AZZ,1275.98,17.999,39.363,.037,-,-,1.00,15.5,-,-,-,,Antares Energy,,.155,+.5,.135,.155,.165,.13,+4.71,.68,.13,,
AVD,126.042,1.178,-,.002,-,-,-9.72,-,-,-,-,,Antilles Oil & Gas,†,.064,-.1,.064,.10,.065,.06,-.17,.32,.003,,
AZY,1350.00,20.932,7.090,.002,-,-,-.45,-,-,-,-,,Antipa Min,,.005,-,.004,.006,.005,.005,+1.37,.025,.004,,
AZYO,-,15.630,-,-,-,-,-,-,-,-,-,,  opt may16,,.002,-,.001,.003,.002,.002,+1.37,.004,.001,,
AAL,-,.100,.035,-,-,-,-.32,-,-,-,-,,APAC Coal,,.002,-,.002,.003,.002,.002,+1.37,.007,.002,,
AQQ,290.000,3.070,4.640,.002,-,-,-.12,-,-,-,-,,Aphrodite Gold,,.009,-,.009,.011,.01,.009,+1.37,.022,.007,,
AOP,-,.448,1.879,.001,-,-,-1.50,-,-,-,-,,Apollo Cons,,.016,-,.017,.019,.016,.016,+1.37,.08,.011,,
AON,13905.8,96.104,34.342,.008,-,-,-.04,-,-,-,-,,Apollo Minerals,,.012,-,.01,.012,.012,.01,+1.37,.044,.006,,
AQP,1286.13,10.830,13.415,.286,-,-,-.55,-,-,-,-,,Aquarius Platinum,,.19,-2.5,.185,.195,.205,.185,-10.25,.50,.185,,
ARU,572.844,10.048,13.755,.026,-,-,-1.40,-,-,-,-,,Arafura Resources,,.058,-.2,.058,.059,.06,.056,-1.96,.105,.037,,
ARX,5.867,13.259,19.131,.003,-,-,-.24,-,-,-,-,,ARC Explore,,.003,-,.002,.003,.003,.003,+1.37,.007,.002,,
AXE,211.897,4.330,7.607,.008,-,-,-.60,-,-,-,-,,Archer Explore,,.096,-.4,.096,.11,.10,.092,-2.63,.235,.091,,
AWO,-,.455,.075,.001,-,-,-.25,-,-,-,-,,Ardent Res,,.013,-,.008,.012,.013,.013,+1.37,.017,.005,,
ADV,31787.4,74.408,2.750,.003,-,-,-.40,-,-,-,-,,Ardiden,†,.007,-,.006,.008,.009,.006,+1.37,.02,.004,,
ARD,131.554,5.457,4.694,.005,-,-,-.06,-,-,-,-,,Argent Minerals,,.03,-.6,.026,.03,.031,.03,-15.29,.045,.02,,
ARDO,115.750,.781,.300,-,-,-,-,-,-,-,-,,  opt mar16,,.007,-,.002,.005,.007,.002,+1.37,.015,.002,,
AXT,-,.763,1.198,.001,-,-,-.90,-,-,-,-,,Argo Explore,,.01,-,.01,.019,.01,.01,+1.37,.025,.008,,
ARE,239.638,6.526,8.651,.004,-,-,-.72,-,-,-,-,,Argonaut Res,,.009,-.1,.009,.01,.01,.007,-8.63,.035,.007,,
AREO,-,-,-,-,-,-,-,-,-,-,-,,  opt mar17,,.002,-,.001,-,.002,.002,+1.37,.005,.002,,
AGY,-,4.796,.021,-,-,-,-.60,-,-,-,-,,Argosy Minerals,,.002,-,.002,.003,.002,.002,+1.37,.017,.001,,
AHK,20.485,.757,-,.002,-,-,-1.21,-,-,-,-,,Ark Mines,,.04,+3,.043,.05,.04,.014,+301.4,.095,.01,,
AJQ,202.667,11.119,8.261,.016,-,-,-.56,-,-,-,-,,Armour Energy,,.053,-.7,.054,.06,.058,.053,-10.29,.20,.041,,
ARV,2530.00,24.747,18.465,.002,-,-,-.29,-,-,-,-,,Artemis Res,,.002,-,.002,.003,.002,.002,+1.37,.004,.002,,
ARVOA,-,-,10.733,-,-,-,-,-,-,-,-,,  opt aug16,,.002,-,-,.001,.002,.002,+1.37,.002,.001,,
ARVOB,-,1.246,-,-,-,-,-,-,-,-,-,,  opt jul16,,.001,-,-,.001,.001,.001,+1.37,.001,.001,,
AAJ,-,5.613,4.388,.001,-,-,-.93,-,-,-,-,,Aruma Res,,.01,-,.01,.02,.01,.01,+1.37,.044,.009,,
AJY,-,-,-,.021,.03,8.00,-13.33,-,-,-,-,,Asaplus Res,,.24,-,-,.24,.24,.24,+1.37,.245,.24,,
AZQ,-,.422,5.467,.012,-,-,-14.80,-,-,-,-,,Ascot Res,†,.09,-,.061,.09,.09,.09,+1.37,.24,.09,,
AKM,-,18.148,13.910,.020,-,-,-.43,-,-,-,-,,Aspire Min,,.028,-,-,-,.028,.028,+1.37,.065,.026,,
ARO,132.785,5.109,2.950,-,-,-,-3.00,-,-,-,-,,Astro Res,†,.011,+.1,.011,.013,.011,.01,+11.37,.10,.008,,
AHN,35.625,.386,1.368,.002,-,-,-.23,-,-,-,-,,Athena Res,,.014,+.1,.008,.014,.014,.013,+9.07,.06,.01,,
AGO,33291.5,522.969,871.971,.138,.55,.27,-124.69,-,2.00,-,13.33,,Atlas Iron,,.15,-1.5,.15,.155,.16,.14,-7.72,1.08,.13,,
ATU,717.202,4.575,8.259,.243,-,-,-12.20,-,-,-,-,,Atrum Coal,,1.43,+1,1.41,1.43,1.48,1.29,+2.08,1.95,.85,,
AYA,137.050,2.084,2.691,.023,-,-,-10.22,-,-,-,-,,Attila Res,,.26,+2,.22,.265,.26,.24,+9.71,.45,.20,,
ACP,-,.134,.073,.047,-,-,-.23,-,-,-,-,,Audalia Res,,.20,-,-,.22,.20,.20,+1.37,.23,.09,,
AUK,449.000,.699,4.357,.005,-,-,-.25,-,-,-,-,,Augur Res,,.015,-.3,.015,.04,.017,.01,-15.29,.051,.01,,
AEE,720.668,10.100,15.357,.007,-,-,-2.07,-,-,-,-,,Aura Energy,,.027,-.4,.027,.03,.03,.027,-11.53,.046,.019,,
AMI,700.926,22.765,11.091,.103,-,-,-2.93,-,-,-,-,,Aurelia Metals,,.265,-.5,.26,.27,.265,.26,-.48,.433,.199,,
AOU,28.000,.749,.565,.002,-,-,-1.50,-,-,-,-,,Auroch Min,,.04,-.7,.04,.045,.04,.04,-13.52,.105,.02,,
ARM,365.000,3.024,3.176,.004,-,-,-1.66,-,-,-,-,,Aurora Minerals,,.03,-.2,.031,.035,.032,.03,-4.88,.062,.021,,
AQJ,-,6.373,.357,.003,-,-,-2.42,-,-,-,-,,Aus Asia Minerals,,.004,-,.003,.005,.004,.004,+1.37,.028,.004,,
ANW,200.000,12.520,9.255,.004,-,-,-.11,-,-,-,-,,Aus Tin Mining,,.004,+.1,.003,.004,.004,.003,+34.71,.009,.003,,
AUC,576.027,3.718,21.101,.008,-,-,-1.90,-,-,-,-,,Ausgold,,.034,-.2,.021,.036,.039,.03,-4.18,.074,.02,,
AUCO,-,-,5.444,-,-,-,-,-,-,-,-,,  opt may15,,.012,-,-,.01,.012,.012,+1.37,.031,.012,,
AOA,-,1.215,7.516,.001,-,-,-.22,-,-,-,-,,Ausmon Resources,,.006,-,.006,.009,.006,.006,+1.37,.01,.006,,
AQC,2984.77,28.021,88.215,.001,-,-,-1.10,-,-,-,-,,Aust Pacific Coal,†,.005,+.1,.004,.005,.005,.004,+26.37,.045,.004,,
AQD,11253.5,136.895,33.427,.007,-,-,-1.19,-,-,-,-,,AusQuest,,.023,-,.021,.023,.024,.019,+1.37,.035,.007,,
AQDO,250.000,10.834,4.817,-,-,-,-,-,-,-,-,,  opt nov16,,.005,-.1,.005,.009,.006,.005,-15.29,.01,.002,,
