ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, October 9, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5309.2 at 2015-10-09T16:37:35. Report at Friday, October 9, 2015. Processed Saturday at 2015-10-10T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
1PG,4286.71,119.154,696.312,.368,.08,59.38,-15.05,-,-,-,-,,1-Page,,4.75,+14,4.70,4.76,5.13,3.99,-1.29,5.69,.016,,
TDO,70.000,28.079,9.449,.012,-,-,.97,5.2,-,-,-,,3D Oil,,.05,-.2,.05,.052,.052,.05,-8.17,.096,.044,,
DDD,1067.16,23.934,11.841,-,-,-,-.20,-,-,-,-,,3D Res,,.003,-,.003,.004,.003,.003,-4.32,.011,.003,,
88E,38257.7,2164.65,235.191,.028,-,-,-8.45,-,-,-,-,,88 Energy,,.012,-.1,.012,.013,.013,.012,-12.01,.019,.006,,
88EO,14125.0,379.326,-,.002,-,-,-,-,-,-,-,,  opt mar18,,.006,+.1,.005,.006,.006,.005,+15.68,.006,.002,,
ARH,-,6.666,12.529,.002,-,-,-3.90,-,-,-,-,,A'asian Resources,,.005,-,-,-,.005,.005,-4.32,.021,.004,,
AYC,190.000,31.824,1.443,.016,-,-,-5.90,-,-,-,-,,A1 Gold,,.036,-.7,.036,.042,.043,.036,-20.60,.054,.025,,
AYCO,-,8.183,-,.004,-,-,-,-,-,-,-,,  opt nov19,,.018,-,.018,.023,.018,.018,-4.32,.03,.004,,
ABL,-,5.853,91.251,.009,-,-,-4.89,-,-,-,-,,Abilene Oil & Gas,†,.024,-,.007,.021,.024,.024,-4.32,.04,.001,,
ABU,2595.86,75.209,477.203,.079,-,-,-3.81,-,-,-,-,,ABM Res,,.23,+2.5,.225,.23,.23,.20,+7.87,.384,.195,,
AJC,185.987,182.978,108.565,.002,-,-,-.02,-,-,-,-,,Acacia Coal,,.002,-,.002,.003,.002,.002,-4.32,.005,.001,,
ACB,641.559,18.803,21.942,.011,-,-,-.78,-,-,-,-,,A-Cap Res,,.023,+.6,.023,.025,.024,.017,+30.97,.065,.016,,
ACS,23.092,.681,1.146,.024,-,-,-7.67,-,-,-,-,,Accent Resources,,.13,-,.13,.15,.13,.13,-4.32,.36,.10,,
AIV,40.000,36.915,22.322,.016,-,-,-.15,-,-,-,-,,ActiveX,,.025,-.3,.007,.025,.028,.025,-15.04,.035,.014,,
ADD,25.000,.563,8.460,-,-,-,-3.69,-,-,-,-,,Adavale Resources,†,.017,-.1,.013,.04,.018,.017,-9.88,.06,.002,,
ADN,176.868,24.276,46.650,.007,-,-,-.44,-,-,-,-,,Adelaide Resources,,.023,+.3,.023,.025,.025,.023,+10.68,.041,.02,,
ADNO,-,.791,-,-,-,-,-,-,-,-,-,,  opt sep16,,.006,-,.004,.006,.006,.006,-4.32,.009,.004,,
ABY,217.665,23.116,29.470,.055,.91,.19,-70.11,-,-,-,-,,Aditya Birla,,.175,+1.5,.17,.175,.175,.15,+5.05,.24,.145,,
ADY,105.338,76.202,94.297,.019,-,-,-.48,-,-,-,-,,Admiralty Res,,.019,-.3,.019,.022,.024,.019,-17.96,.037,.014,,
ADX,9914.12,81.168,49.559,.003,-,-,.01,50.0,-,-,-,,ADX Energy,,.005,+.2,.004,.005,.005,.003,+62.34,.011,.003,,
AQR,329.000,13.774,22.684,.017,-,-,-3.09,-,-,-,-,,AEON Metals,,.05,-.5,.04,.05,.055,.04,-13.41,.145,.04,,
AFR,2070.00,46.979,43.285,.034,-,-,-1.17,-,-,-,-,,African Energy Res,,.055,-.3,.05,.055,.058,.055,-9.49,.101,.045,,
AMN,-,15.426,17.201,.021,-,-,-1.41,-,-,-,-,,Agrimin,,.23,-,.22,.23,.23,.23,-4.32,.25,.10,,
AMNOA,4.166,2.063,1.033,.002,-,-,-,-,-,-,-,,  opt dec15,,.125,-2.5,.125,.18,.15,.125,-20.99,.15,.06,,
AGR,2305.46,94.798,28.452,.062,-,-,-4.32,-,-,-,-,,Aguia Res,,.17,-1,.16,.18,.185,.16,-9.88,.225,.025,,
AQG,1846.17,51.478,121.528,.220,-,-,34.18,9.1,-,-,-,,Alacer Gold,,3.10,+3,3.02,3.15,3.20,3.04,-3.34,3.26,1.815,,
AUQ,5155.81,501.225,109.579,.004,-,-,-.67,-,-,-,-,,Alara Res,,.016,-.1,.016,.017,.019,.016,-10.20,.042,.005,,
ALY,1033.45,51.775,29.025,.005,-,-,-2.41,-,-,-,-,,Alchemy Resources,,.02,+.2,.019,.026,.022,.018,+6.79,.051,.013,,
AWD,64039.4,1580.22,1138.57,.024,-,-,-24.57,-,-,-,-,,Aleator Energy,†,.035,+.6,.034,.035,.035,.026,+16.37,.048,.002,,
AQI,35.000,4.568,3.399,.003,-,-,-5.00,-,-,-,-,,Alicanto Min,,.045,+.5,.03,-,.045,.04,+8.18,.15,.04,,
ALK,501.955,65.802,105.899,.099,-,-,-1.00,-,-,-,-,,Alkane Res,,.24,+.5,.235,.25,.255,.235,-2.19,.405,.20,,
AHQ,3966.32,6.757,3.703,-,-,-,-.34,-,-,-,-,,Allegiance Coal,,.005,-.1,.004,.006,.009,.004,-20.99,.025,.004,,
AGS,2667.24,134.767,71.205,.060,-,-,-.87,-,-,-,-,,Alliance Res,†,.15,-,.15,.155,.15,.145,-4.32,.205,.058,,
AGE,476.000,40.142,33.225,.015,-,-,-.29,-,-,-,-,,Alligator Energy,,.042,+.2,.038,.042,.042,.039,+.68,.048,.021,,
AYR,845.027,29.221,202.861,.002,-,-,-.60,-,-,-,-,,Alloy Res,,.005,-,.005,.006,.005,.005,-4.32,.01,.005,,
ATC,11679.7,46.461,20.911,.013,-,-,-1.20,-,-,-,-,,Altech Chemicals,,.10,-2.5,.10,.105,.15,.10,-24.32,.15,.045,,
ATCOA,-,.212,-,-,-,-,-,-,-,-,-,,  opt dec15,,.012,-,.005,.02,.012,.012,-4.32,.015,.01,,
AOH,2165.48,151.141,120.479,.044,-,-,5.88,1.4,-,-,-,,Altona Mining,,.082,-.2,.082,.087,.084,.08,-6.70,.21,.08,,
AJM,73326.1,780.577,51.063,.038,-,-,-6.09,-,-,-,-,,Altura Mining,,.045,+1,.044,.045,.046,.035,+24.25,.104,.009,,
AJMO,10202.1,116.485,-,.005,-,-,-,-,-,-,-,,  opt jun16,,.025,+.9,.024,.025,.025,.015,+51.93,.028,.003,,
AWC,95862.9,3016.55,2592.98,3.672,.95,1.34,3.13,40.7,8.46,.37,6.64,f,Alumina,,1.275,+17,1.265,1.28,1.285,1.12,+11.06,2.10,1.077,,
AXZ,6.628,.804,.573,.043,-,-,-21.11,-,-,-,-,,Amex Resources,,.45,-.5,.30,.48,.455,.45,-5.42,.93,.35,,
AEK,938.594,54.930,34.171,.019,-,-,-.67,-,-,-,-,,Anatolia Energy,,.06,-,.055,.059,.06,.052,-4.32,.088,.052,,
AEKO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun17,,.006,-,-,-,.006,.006,-4.32,.006,.006,,
AHR,-,.117,-,.001,-,-,-2.06,-,-,-,-,,Anchor Res,,.025,-,.005,.19,.025,.025,-4.32,.19,.025,,
ATM,-,.004,.005,.002,-,-,564.55,.2,-,-,-,,Aneka Tambang,,1.25,-,-,-,1.25,1.25,-4.32,1.25,.95,,
AAR,200.000,10.929,13.825,.001,-,-,-4.11,-,-,-,-,,Anglo Aust Res,,.007,-.3,.005,.01,.01,.007,-34.32,.016,.006,,
AGG,21.753,.661,.658,.212,7.44,.32,-546.47,-,-,-,-,,Anglogold Ashanti,,2.38,+3,2.35,2.65,2.56,2.35,-3.05,3.39,1.50,,
AWV,285.000,39.284,38.416,.017,-,-,-1.40,-,-,-,-,,Anova Metals,,.051,+.1,.051,.052,.052,.049,-2.32,.06,.026,,
AZZ,-,80.738,107.110,.120,-,-,-58.18,-,-,-,-,,Antares Energy,,.50,-,-,-,.50,.50,-4.32,.535,.076,,
AVD,-,8.924,55.455,.002,-,-,3.38,1.1,-,-,-,,Antilles Oil & Gas,,.037,-,.037,.045,.037,.037,-4.32,.20,.02,,
AVDOB,-,.100,-,-,-,-,-,-,-,-,-,,  opt jan17,,.025,-,.002,.02,.025,.025,-4.32,.025,.025,,
AZY,3145.27,558.926,28.390,.004,-,-,-.21,-,-,-,-,,Antipa Min,,.008,-,.009,.008,.008,.008,-4.32,.023,.003,,
AZYO,1974.49,295.793,-,-,-,-,-,-,-,-,-,,  opt may16,,.002,-,.001,.003,.002,.002,-4.32,.013,.001,,
AAL,-,2.892,3.465,-,-,-,-.32,-,-,-,-,,APAC Coal,,.002,-,.002,.004,.002,.002,-4.32,.004,.002,,
AQQ,1048.20,13.935,25.865,.005,-,-,-.30,-,-,-,-,,Aphrodite Gold,,.01,-.1,.01,.011,.011,.009,-13.41,.013,.006,,
AOP,762.724,5.460,7.753,.005,-,-,-.50,-,-,-,-,,Apollo Cons,,.042,+.4,.04,.045,.042,.035,+6.20,.042,.01,,
AON,46.991,145.614,429.347,.003,-,-,-1.91,-,-,-,-,,Apollo Minerals,†,.042,-.2,.04,.055,.044,.04,-8.87,.20,.03,,
AQP,5382.48,84.855,108.417,.369,-,-,-8.58,-,-,-,-,,Aquarius Platinum,,.245,+10,.245,.25,.25,.15,+64.64,.385,.125,,
AQS,87.000,5.673,2.212,.003,-,-,-2.40,-,-,-,-,,Aquis Entertain,,.08,-3.5,.09,.12,.115,.08,-34.76,.19,.06,,
ARU,487.980,34.371,59.386,.021,-,-,-.95,-,-,-,-,,Arafura Resources,,.047,-.4,.047,.051,.053,.047,-12.17,.065,.037,,
ARX,181.000,90.929,96.842,.001,-,-,-.15,-,-,-,-,,ARC Explore,,.001,-,.001,.002,.001,.001,-4.32,.005,.001,,
AXE,118.433,17.609,39.915,.008,-,-,-1.16,-,-,-,-,,Archer Explore,,.095,-,.09,.095,.097,.093,-4.32,.18,.081,,
AWO,3799.92,80.259,25.475,.002,-,-,-1.28,-,-,-,-,,Ardent Res,,.016,-,.014,.016,.017,.013,-4.32,.042,.006,,
ADV,99471.3,459.818,38.583,.003,-,-,-.18,-,-,-,-,,Ardiden,,.008,+.2,.008,.009,.011,.005,+29.01,.013,.004,,
ARD,490.839,48.281,28.526,.005,-,-,-.91,-,-,-,-,,Argent Minerals,,.025,-.4,.025,.028,.029,.025,-18.12,.045,.019,,
ARDO,700.000,20.990,2.128,-,-,-,-,-,-,-,-,,  opt mar16,,.001,-,-,.001,.001,.001,-4.32,.015,.001,,
AXT,156.551,10.649,4.082,.004,-,-,.18,16.1,-,-,-,,Argo Explore,,.029,+.4,.018,.029,.029,.025,+11.68,.029,.008,,
ARE,-,18.189,36.151,.002,-,-,-1.52,-,-,-,-,,Argonaut Res,,.004,-,.004,.005,.004,.004,-4.32,.02,.004,,
AREO,-,-,.020,-,-,-,-,-,-,-,-,,  opt mar17,,.002,-,-,-,.002,.002,-4.32,.005,.002,,
AGY,3296.37,87.773,46.823,.001,-,-,.08,3.8,-,-,-,,Argosy Minerals,,.003,-,.003,.004,.003,.003,-4.32,.005,.001,,
AHK,-,2.696,.968,.003,-,-,-2.50,-,-,-,-,,Ark Mines,,.075,-,.077,.105,.075,.075,-4.32,.091,.01,,
AJQ,7420.11,78.024,51.406,.056,-,-,-2.20,-,-,-,-,,Armour Energy,,.185,+6.5,.175,.185,.185,.12,+49.84,.185,.041,,
ARV,3800.00,105.856,92.001,.001,-,-,-.34,-,-,-,-,,Artemis Res,*,.001,-,-,.001,.001,.001,-4.32,.004,.001,,
ARVOA,-,-,15.439,-,-,-,-,-,-,-,-,,  opt aug16,,.002,-,-,.001,.002,.002,-4.32,.002,.002,,
ARVOB,-,1.246,-,-,-,-,-,-,-,-,-,,  opt jul16,,.001,-,-,.001,.001,.001,-4.32,.001,.001,,
ARVR,-,.253,-,.003,-,-,-,-,-,-,-,,  rts 08oct,,.001,-,-,-,.001,.001,-4.32,.001,.001,,
